日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-09-09,0.98,0.978,0.99,0.973,854983,84037745.0,1.71,-1.51,-0.015,4.88
2020-09-10,0.982,0.958,0.984,0.956,563511,54747486.0,2.86,-2.04,-0.02,3.22
2020-09-11,0.956,0.965,0.965,0.954,493971,47392792.0,1.15,0.73,0.007,2.82
2020-09-14,0.965,0.966,0.968,0.961,355599,34300524.0,0.73,0.1,0.001,2.03
2020-09-15,0.966,0.967,0.968,0.961,319957,30843576.0,0.72,0.1,0.001,1.83
2020-09-16,0.969,0.964,0.969,0.96,305020,29414376.0,0.93,-0.31,-0.003,1.74
2020-09-17,0.964,0.959,0.965,0.954,398442,38173723.0,1.14,-0.52,-0.005,2.27
2020-09-18,0.958,0.975,0.978,0.957,520256,50282731.0,2.19,1.67,0.016,2.97
2020-09-21,0.977,0.971,0.98,0.969,441313,42973178.0,1.13,-0.41,-0.004,2.52
2020-09-22,0.964,0.962,0.974,0.958,499350,48233534.0,1.65,-0.93,-0.009,2.85
2020-09-23,0.963,0.962,0.965,0.958,356946,34322166.0,0.73,0.0,0.0,2.04
2020-09-24,0.959,0.947,0.96,0.946,365200,34754126.0,1.46,-1.56,-0.015,2.09
2020-09-25,0.946,0.947,0.952,0.942,357980,33869285.0,1.06,0.0,0.0,2.04
2020-09-28,0.947,0.945,0.951,0.942,323005,30576093.0,0.95,-0.21,-0.002,1.84
2020-09-29,0.95,0.948,0.953,0.945,397079,37700155.0,0.85,0.32,0.003,2.27
2020-09-30,0.949,0.948,0.954,0.941,343042,32512604.0,1.37,0.0,0.0,1.96
2020-10-09,0.955,0.961,0.963,0.954,386558,37116636.0,0.95,1.37,0.013,2.21
2020-10-12,0.964,0.985,0.987,0.963,706618,69095181.0,2.5,2.5,0.024,4.03
2020-10-13,0.984,0.985,0.987,0.979,424699,41706438.0,0.81,0.0,0.0,2.42
2020-10-14,0.985,0.979,0.985,0.977,371910,36444406.0,0.81,-0.61,-0.006,2.12
2020-10-15,0.979,0.977,0.983,0.975,328894,32179270.0,0.82,-0.2,-0.002,1.88
2020-10-16,0.979,0.977,0.982,0.973,361653,35351938.0,0.92,0.0,0.0,2.06
2020-10-19,0.98,0.971,0.988,0.968,442550,43344268.0,2.05,-0.61,-0.006,2.53
2020-10-20,0.97,0.975,0.975,0.965,360668,34922576.0,1.03,0.41,0.004,2.06
2020-10-21,0.976,0.974,0.976,0.968,302570,29392456.0,0.82,-0.1,-0.001,1.73
2020-10-22,0.972,0.972,0.973,0.963,340479,32983447.0,1.03,-0.21,-0.002,1.94
2020-10-23,0.97,0.962,0.975,0.959,425960,41238796.0,1.65,-1.03,-0.01,2.43
2020-10-26,0.962,0.954,0.962,0.945,342466,32578215.0,1.77,-0.83,-0.008,1.96
2020-10-27,0.949,0.956,0.956,0.949,350133,33356769.0,0.73,0.21,0.002,2.0
2020-10-28,0.955,0.96,0.963,0.951,419592,40112318.0,1.26,0.42,0.004,2.4
2020-10-29,0.953,0.964,0.969,0.948,382551,36719245.0,2.19,0.42,0.004,2.18
2020-10-30,0.963,0.951,0.964,0.948,419393,40166399.0,1.66,-1.35,-0.013,2.39
2020-11-02,0.952,0.949,0.955,0.946,371590,35296346.0,0.95,-0.21,-0.002,2.12
2020-11-03,0.951,0.959,0.961,0.949,438394,41906483.0,1.26,1.05,0.01,2.5
2020-11-04,0.958,0.962,0.966,0.956,405759,38964219.0,1.04,0.31,0.003,2.32
2020-11-05,0.967,0.975,0.976,0.965,499375,48522190.0,1.14,1.35,0.013,2.85
2020-11-06,0.976,0.975,0.977,0.967,379193,36855073.0,1.03,0.0,0.0,2.16
2020-11-09,0.977,0.987,0.991,0.977,665673,65616433.0,1.44,1.23,0.012,3.8
2020-11-10,0.988,0.985,0.992,0.982,377502,37320530.0,1.01,-0.2,-0.002,2.16
2020-11-11,0.982,0.981,0.986,0.98,332187,32671500.0,0.61,-0.41,-0.004,1.9
2020-11-12,0.983,0.977,0.983,0.975,328985,32168034.0,0.82,-0.41,-0.004,1.88
2020-11-13,0.979,0.966,0.979,0.961,362114,34937091.0,1.84,-1.13,-0.011,2.07
2020-11-16,0.969,0.975,0.975,0.965,402453,38995710.0,1.04,0.93,0.009,2.3
2020-11-17,0.974,0.975,0.975,0.969,383005,37240683.0,0.62,0.0,0.0,2.19
2020-11-18,0.975,0.975,0.979,0.971,334686,32660470.0,0.82,0.0,0.0,1.91
2020-11-19,0.974,0.98,0.982,0.97,343799,33538472.0,1.23,0.51,0.005,1.96
2020-11-20,0.979,0.986,0.986,0.978,391439,38460342.0,0.82,0.61,0.006,2.23
2020-11-23,0.986,0.994,0.999,0.984,648231,64235805.0,1.52,0.81,0.008,3.7
2020-11-24,0.992,0.989,0.995,0.988,318178,31534795.0,0.7,-0.5,-0.005,1.82
2020-11-25,0.994,0.982,0.996,0.981,342376,33905782.0,1.52,-0.71,-0.007,1.95
2020-11-26,0.98,0.983,0.983,0.975,322625,31597712.0,0.81,0.1,0.001,1.84
2020-11-27,0.983,0.992,0.992,0.981,332872,32810901.0,1.12,0.92,0.009,1.9
2020-11-30,0.992,0.986,1.005,0.985,932884,93298113.0,2.02,-0.6,-0.006,5.33
2020-12-01,0.983,1.001,1.002,0.982,659733,65684023.0,2.03,1.52,0.015,3.77
2020-12-02,1.002,1.001,1.005,0.996,458097,45822014.0,0.9,0.0,0.0,2.62
2020-12-03,1.0,0.999,1.002,0.996,296947,29671331.0,0.6,-0.2,-0.002,1.7
2020-12-04,0.999,0.999,1.001,0.992,304643,30358419.0,0.9,0.0,0.0,1.74
2020-12-07,0.999,0.992,1.0,0.991,381218,37912791.0,0.9,-0.7,-0.007,2.18
2020-12-08,0.992,0.991,0.997,0.99,291632,28964924.0,0.71,-0.1,-0.001,1.67
2020-12-09,0.992,0.981,0.995,0.979,347007,34258950.0,1.61,-1.01,-0.01,1.98
2020-12-10,0.98,0.979,0.983,0.975,306857,30045854.0,0.82,-0.2,-0.002,1.75
2020-12-11,0.981,0.972,0.983,0.965,420268,40906234.0,1.84,-0.72,-0.007,2.4
2020-12-14,0.972,0.976,0.976,0.968,430514,41883108.0,0.82,0.41,0.004,2.46
2020-12-15,0.975,0.976,0.977,0.97,448271,43622021.0,0.72,0.0,0.0,2.56
2020-12-16,0.975,0.978,0.981,0.975,389915,38119014.0,0.61,0.2,0.002,2.23
2020-12-17,0.977,0.99,0.99,0.974,406864,39934955.0,1.64,1.23,0.012,2.32
2020-12-18,0.99,0.984,0.991,0.981,351160,34634627.0,1.01,-0.61,-0.006,2.0
2020-12-21,0.986,0.991,0.994,0.98,400008,39502479.0,1.42,0.71,0.007,2.28
2020-12-22,0.989,0.978,0.991,0.974,391650,38571097.0,1.72,-1.31,-0.013,2.24
2020-12-23,0.977,0.981,0.985,0.975,341139,33417250.0,1.02,0.31,0.003,1.95
