日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-08-29,1.027,1.021,1.028,1.017,4934708,504031584.0,1.07,-0.49,-0.005,6.72
2016-08-30,1.021,1.019,1.025,1.016,1374718,140090134.0,0.88,-0.2,-0.002,1.87
2016-08-31,1.02,1.023,1.027,1.019,581832,59488441.0,0.79,0.39,0.004,0.79
2016-09-01,1.024,1.012,1.024,1.011,583550,59403553.0,1.27,-1.08,-0.011,0.79
2016-09-02,1.012,1.014,1.015,1.009,974959,98627256.0,0.59,0.2,0.002,1.33
2016-09-05,1.014,1.012,1.017,1.011,163539,16584052.0,0.59,-0.2,-0.002,0.22
2016-09-06,1.014,1.018,1.019,1.006,923903,93618241.0,1.28,0.59,0.006,1.26
2016-09-07,1.018,1.024,1.03,1.018,744314,76352955.0,1.18,0.59,0.006,1.01
2016-09-08,1.024,1.025,1.027,1.02,119863,12264184.0,0.68,0.1,0.001,0.16
2016-09-09,1.024,1.019,1.027,1.018,336859,34432287.0,0.88,-0.59,-0.006,0.46
2016-09-12,1.01,1.007,1.01,1.0,704494,70776820.0,0.98,-1.18,-0.012,0.96
2016-09-13,1.006,1.001,1.007,0.997,474162,47407172.0,0.99,-0.6,-0.006,0.65
2016-09-14,0.996,0.996,0.999,0.993,246059,24486165.0,0.6,-0.5,-0.005,0.33
2016-09-19,0.996,0.999,1.0,0.995,106134,10599774.0,0.5,0.3,0.003,0.14
2016-09-20,0.999,0.999,1.001,0.998,49493,4945486.0,0.3,0.0,0.0,0.07
2016-09-21,0.998,0.998,1.002,0.997,102208,10217488.0,0.5,-0.1,-0.001,0.14
2016-09-22,0.998,1.004,1.009,0.998,237185,23843651.0,1.1,0.6,0.006,0.32
2016-09-23,1.005,1.0,1.006,0.999,121391,12174821.0,0.7,-0.4,-0.004,0.17
2016-09-26,1.0,0.983,1.0,0.983,176898,17550132.0,1.7,-1.7,-0.017,0.24
2016-09-27,0.983,0.988,0.99,0.983,62700,6176912.0,0.71,0.51,0.005,0.09
2016-09-28,0.99,0.986,0.99,0.985,31525,3111809.0,0.51,-0.2,-0.002,0.04
2016-09-29,0.988,0.989,0.992,0.986,49600,4907241.0,0.61,0.3,0.003,0.07
2016-09-30,0.989,0.993,0.993,0.987,41371,4098642.0,0.61,0.4,0.004,0.06
2016-10-10,0.995,1.001,1.001,0.992,184257,18372721.0,0.91,0.81,0.008,0.25
2016-10-11,1.0,1.004,1.005,0.998,139013,13945191.0,0.7,0.3,0.003,0.19
2016-10-12,1.001,1.001,1.005,0.999,113506,11369994.0,0.6,-0.3,-0.003,0.15
2016-10-13,1.003,1.002,1.004,1.0,71625,7175635.0,0.4,0.1,0.001,0.1
2016-10-14,1.001,1.002,1.003,0.995,632133,63083530.0,0.8,0.0,0.0,0.86
2016-10-17,1.002,0.993,1.002,0.991,955444,95419744.0,1.1,-0.9,-0.009,1.3
2016-10-18,0.992,1.002,1.003,0.992,2184544,218131890.0,1.11,0.91,0.009,2.97
2016-10-19,1.002,1.001,1.005,0.999,972479,97465113.0,0.6,-0.1,-0.001,1.32
2016-10-20,1.0,1.0,1.003,1.0,93574,9373410.0,0.3,-0.1,-0.001,0.13
2016-10-21,1.0,1.001,1.007,0.998,260054,26055457.0,0.9,0.1,0.001,0.35
