日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-10-22,0.981,1.007,1.009,0.981,3262105,326840784.0,2.76,-0.89,-0.009,4.82
2012-10-23,1.006,1.0,1.006,1.0,218902,21925165.0,0.6,-0.7,-0.007,0.32
2012-10-24,0.997,0.999,1.006,0.996,368429,36868305.0,1.0,-0.1,-0.001,0.54
2012-10-25,0.998,0.998,1.005,0.997,223937,22408775.0,0.8,-0.1,-0.001,0.33
2012-10-26,1.0,0.987,1.0,0.982,148478,14708607.0,1.8,-1.1,-0.011,0.22
2012-10-29,0.987,0.994,0.997,0.982,172088,17069619.0,1.52,0.71,0.007,0.25
2012-10-30,0.996,0.992,0.999,0.991,2129097,211755525.0,0.8,-0.2,-0.002,3.14
2012-10-31,0.994,0.994,0.998,0.993,1321089,131500212.0,0.5,0.2,0.002,1.95
2012-11-01,0.997,1.01,1.011,0.993,1359516,136008497.0,1.81,1.61,0.016,2.01
2012-11-02,1.016,1.029,1.033,1.016,120290,12352564.0,1.68,1.88,0.019,0.18
2012-11-05,1.02,1.019,1.026,1.016,21959,2239147.0,0.97,-0.97,-0.01,0.03
2012-11-06,1.014,1.011,1.014,1.002,22595,2276997.0,1.18,-0.79,-0.008,0.03
2012-11-07,1.011,1.012,1.014,1.0,21400,2157589.0,1.38,0.1,0.001,0.03
2012-11-08,1.0,0.996,1.003,0.993,43873,4387943.0,0.99,-1.58,-0.016,0.06
2012-11-09,0.985,0.98,0.985,0.98,23087,2266220.0,0.5,-1.61,-0.016,0.03
2012-11-12,0.982,0.984,0.984,0.977,13507,1326514.0,0.71,0.41,0.004,0.02
2012-11-13,0.98,0.962,0.98,0.959,51455,4958218.0,2.13,-2.24,-0.022,0.08
2012-11-14,0.964,0.973,0.975,0.963,60562,5875903.0,1.25,1.14,0.011,0.09
2012-11-15,0.978,0.959,0.978,0.959,30757,2967883.0,1.95,-1.44,-0.014,0.05
2012-11-16,0.957,0.961,0.965,0.957,8069,776484.0,0.83,0.21,0.002,0.01
2012-11-19,0.97,0.984,0.99,0.966,99995,9708661.0,2.5,2.39,0.023,0.15
2012-11-20,0.984,0.974,0.987,0.973,24988,2454880.0,1.42,-1.02,-0.01,0.04
2012-11-21,0.973,0.974,0.975,0.964,77760,7540755.0,1.13,0.0,0.0,0.11
2012-11-22,0.978,0.984,0.99,0.978,34748,3421749.0,1.23,1.03,0.01,0.05
2012-11-23,0.98,0.99,0.994,0.98,12135,1201484.0,1.42,0.61,0.006,0.02
2012-11-26,0.992,0.993,0.995,0.99,20328,2019117.0,0.51,0.3,0.003,0.03
2012-11-27,0.993,0.989,0.998,0.988,79059,7845252.0,1.01,-0.4,-0.004,0.12
2012-11-28,0.978,0.972,0.979,0.97,29693,2896207.0,0.91,-1.72,-0.017,0.04
2012-11-29,0.98,0.981,0.99,0.979,154773,15215904.0,1.13,0.93,0.009,0.23
2012-11-30,0.987,0.991,0.995,0.982,34651,3432564.0,1.33,1.02,0.01,0.05
2012-12-03,0.995,0.981,0.996,0.98,110816,10976632.0,1.61,-1.01,-0.01,0.16
2012-12-04,0.98,0.975,0.98,0.957,37741,3663021.0,2.34,-0.61,-0.006,0.06
2012-12-05,0.981,1.003,1.006,0.981,22283,2218700.0,2.56,2.87,0.028,0.03
2012-12-06,1.008,1.019,1.02,1.008,139061,14131592.0,1.2,1.6,0.016,0.21
2012-12-07,1.02,1.023,1.03,1.02,30124,3085632.0,0.98,0.39,0.004,0.04
2012-12-10,1.04,1.021,1.04,1.021,156607,16047599.0,1.86,-0.2,-0.002,0.23
2012-12-11,1.015,1.018,1.026,1.015,107261,10970516.0,1.08,-0.29,-0.003,0.16
2012-12-12,1.015,1.034,1.037,1.015,125970,13005771.0,2.16,1.57,0.016,0.19
2012-12-13,1.029,1.034,1.041,1.029,79562,8255478.0,1.16,0.0,0.0,0.12
2012-12-14,1.024,1.048,1.055,1.024,92754,9744231.0,3.0,1.35,0.014,0.14
2012-12-17,1.048,1.046,1.055,1.045,82707,8688116.0,0.95,-0.19,-0.002,0.12
2012-12-18,1.045,1.032,1.052,1.03,100379,10505177.0,2.1,-1.34,-0.014,0.15
2012-12-19,1.052,1.056,1.057,1.05,69049,7273025.0,0.68,2.33,0.024,0.1
2012-12-20,1.055,1.044,1.059,1.039,63697,6642741.0,1.89,-1.14,-0.012,0.09
2012-12-21,1.048,1.04,1.048,1.038,51088,5306780.0,0.96,-0.38,-0.004,0.08
2012-12-24,1.042,1.038,1.046,1.02,40509,4218980.0,2.5,-0.19,-0.002,0.06
2012-12-25,1.038,1.069,1.069,1.028,13461,1399072.0,3.95,2.99,0.031,0.02
2012-12-26,1.034,1.045,1.058,1.033,8048,834942.0,2.34,-2.25,-0.024,0.01
