日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-06,1.002,1.003,1.003,1.002,142070,1424083519.0,0.0,-99.0,-99.307,41.41
2025-01-07,1.003,1.003,1.003,1.003,71363,715663244.0,0.0,0.0,0.0,20.8
2025-01-08,1.003,1.003,1.003,1.003,25851,259213564.0,0.0,0.0,0.0,7.53
2025-01-09,1.002,1.002,1.002,1.002,24366,244135238.0,0.0,-0.1,-0.001,7.1
2025-01-10,1.001,1.0,1.001,1.0,17431,174337999.0,0.1,-0.2,-0.002,5.08
2025-01-13,1.0,1.0,1.001,0.999,10767,107650327.0,0.2,0.0,0.0,3.14
2025-01-14,1.0,1.0,1.0,0.999,11943,119385291.0,0.1,0.0,0.0,3.48
2025-01-15,1.0,1.0,1.0,1.0,78664,786767424.0,0.0,0.0,0.0,22.93
2025-01-16,1.0,1.0,1.0,0.999,10294,102912330.0,0.1,0.0,0.0,3.0
2025-01-17,1.0,1.0,1.0,0.999,54786,547714293.0,0.1,0.0,0.0,15.97
2025-01-20,1.0,1.0,1.0,0.999,3264,32623039.0,0.1,0.0,0.0,0.95
2025-01-21,1.0,1.0,1.0,1.0,6371,63705213.0,0.0,0.0,0.0,1.86
2025-01-22,1.0,1.0,1.0,1.0,11730,117300365.0,0.0,0.0,0.0,3.42
2025-01-23,1.0,1.0,1.0,0.999,8481,84782142.0,0.1,0.0,0.0,2.47
2025-01-24,1.0,1.0,1.0,1.0,7433,74306314.0,0.0,0.0,0.0,2.17
2025-01-27,1.0,1.002,1.005,1.0,18713,187432908.0,0.5,0.2,0.002,5.45
2025-02-05,1.001,1.001,1.001,1.0,12580,125855671.0,0.1,-0.1,-0.001,3.67
2025-02-06,1.001,1.001,1.001,1.0,9040,90458373.0,0.1,0.0,0.0,2.63
2025-02-07,1.001,1.001,1.001,1.001,5969,59740913.0,0.0,0.0,0.0,1.74
2025-02-10,1.001,1.001,1.001,1.001,60455,604960634.0,0.0,0.0,0.0,17.62
2025-02-11,1.001,1.0,1.001,1.0,4997,49981053.0,0.1,-0.1,-0.001,1.46
2025-02-12,1.0,1.0,1.0,1.0,11663,116659737.0,0.0,0.0,0.0,3.4
2025-02-13,1.0,1.0,1.0,1.0,4133,41332610.0,0.0,0.0,0.0,1.2
