日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-09-14,0.98,0.98,0.985,0.977,1177241,115431402.0,0.81,-0.91,-0.009,0.17
2016-09-19,0.979,0.982,0.985,0.979,234915,23072514.0,0.61,0.2,0.002,0.03
2016-09-20,0.982,0.98,0.983,0.978,172012,16855033.0,0.51,-0.2,-0.002,0.02
2016-09-21,0.979,0.989,0.994,0.979,520398,51417210.0,1.53,0.92,0.009,0.08
2016-09-22,0.998,0.989,0.998,0.988,264471,26239881.0,1.01,0.0,0.0,0.04
2016-09-23,0.988,0.983,0.991,0.982,104207,10280193.0,0.91,-0.61,-0.006,0.02
2016-09-26,0.983,0.962,0.983,0.96,66950,6523214.0,2.34,-2.14,-0.021,0.01
2016-09-27,0.964,0.976,0.976,0.964,75086,7298807.0,1.25,1.46,0.014,0.01
2016-09-28,0.976,0.97,0.976,0.97,31315,3046418.0,0.61,-0.61,-0.006,0.0
2016-09-29,0.971,0.983,0.993,0.971,160640,15833643.0,2.27,1.34,0.013,0.02
2016-09-30,0.979,0.981,0.986,0.976,42555,4181052.0,1.02,-0.2,-0.002,0.01
2016-10-10,0.99,0.997,0.999,0.986,244512,24309785.0,1.33,1.63,0.016,0.04
2016-10-11,0.998,0.999,1.002,0.994,326032,32563116.0,0.8,0.2,0.002,0.05
2016-10-12,0.995,0.997,1.0,0.994,41912,4178756.0,0.6,-0.2,-0.002,0.01
2016-10-13,0.997,0.999,1.002,0.994,177274,17724293.0,0.8,0.2,0.002,0.03
2016-10-14,0.997,0.995,0.999,0.99,47521,4727264.0,0.9,-0.4,-0.004,0.01
2016-10-17,0.995,0.984,0.998,0.983,34326,3405221.0,1.51,-1.11,-0.011,0.0
2016-10-18,0.982,1.005,1.007,0.982,364332,36497088.0,2.54,2.13,0.021,0.05
2016-10-19,1.005,0.998,1.006,0.995,92954,9309512.0,1.09,-0.7,-0.007,0.01
2016-10-20,0.998,0.996,1.002,0.996,42789,4273400.0,0.6,-0.2,-0.002,0.01
2016-10-21,0.997,1.002,1.013,0.995,283410,28512522.0,1.81,0.6,0.006,0.04
2016-10-24,1.001,1.025,1.044,1.0,589778,60524536.0,4.39,2.3,0.023,0.09
2016-10-25,1.024,1.019,1.024,1.015,42577,4336009.0,0.88,-0.59,-0.006,0.01
2016-10-26,1.019,1.016,1.026,1.014,56626,5775667.0,1.18,-0.29,-0.003,0.01
2016-10-27,1.014,1.017,1.018,1.011,80240,8150097.0,0.69,0.1,0.001,0.01
2016-10-28,1.019,1.024,1.055,1.019,235163,24469800.0,3.54,0.69,0.007,0.03
2016-10-31,1.021,1.024,1.029,1.005,53756,5466240.0,2.34,0.0,0.0,0.01
2016-11-01,1.021,1.031,1.036,1.021,118751,12244970.0,1.46,0.68,0.007,0.02
2016-11-02,1.024,1.028,1.044,1.024,71713,7420197.0,1.94,-0.29,-0.003,0.01
2016-11-03,1.025,1.05,1.07,1.023,271716,28636764.0,4.57,2.14,0.022,0.04
2016-11-04,1.047,1.045,1.058,1.043,71972,7560790.0,1.43,-0.48,-0.005,0.01
2016-11-07,1.045,1.048,1.055,1.043,45749,4797290.0,1.15,0.29,0.003,0.01
2016-11-08,1.051,1.049,1.063,1.048,31011,3267453.0,1.43,0.1,0.001,0.0
2016-11-09,1.049,1.037,1.049,1.028,53381,5535990.0,2.0,-1.14,-0.012,0.01
2016-11-10,1.041,1.053,1.063,1.041,74993,7916237.0,2.12,1.54,0.016,0.01
2016-11-11,1.055,1.088,1.096,1.053,251682,27198399.0,4.08,3.32,0.035,0.04
2016-11-14,1.09,1.097,1.124,1.08,312786,34723787.0,4.04,0.83,0.009,0.05
2016-11-15,1.097,1.089,1.104,1.085,65288,7139513.0,1.73,-0.73,-0.008,0.01
2016-11-16,1.09,1.093,1.097,1.082,100688,10986504.0,1.38,0.37,0.004,0.01
2016-11-17,1.09,1.092,1.096,1.08,87589,9536830.0,1.46,-0.09,-0.001,0.01
2016-11-18,1.091,1.072,1.091,1.07,51483,5563540.0,1.92,-1.83,-0.02,0.01
2016-11-21,1.073,1.078,1.089,1.067,71147,7669588.0,2.05,0.56,0.006,0.01
2016-11-22,1.08,1.088,1.096,1.08,78388,8545066.0,1.48,0.93,0.01,0.01
2016-11-23,1.086,1.081,1.094,1.076,46970,5090053.0,1.65,-0.64,-0.007,0.01
2016-11-24,1.078,1.087,1.107,1.076,123754,13522481.0,2.87,0.56,0.006,0.02
2016-11-25,1.087,1.092,1.095,1.072,90155,9769925.0,2.12,0.46,0.005,0.01
2016-11-28,1.1,1.087,1.124,1.087,56507,6192213.0,3.39,-0.46,-0.005,0.01
2016-11-29,1.086,1.09,1.103,1.075,121582,13239083.0,2.58,0.28,0.003,0.02
2016-11-30,1.09,1.082,1.101,1.07,86303,9400978.0,2.84,-0.73,-0.008,0.01
2016-12-01,1.082,1.091,1.093,1.073,65947,7171502.0,1.85,0.83,0.009,0.01
2016-12-02,1.091,1.075,1.091,1.069,83846,9062538.0,2.02,-1.47,-0.016,0.01
2016-12-05,1.064,1.034,1.064,1.033,121628,12701964.0,2.88,-3.81,-0.041,0.02
2016-12-06,1.035,1.032,1.038,1.03,59259,6130296.0,0.77,-0.19,-0.002,0.01
2016-12-07,1.031,1.037,1.037,1.028,42167,4358345.0,0.87,0.48,0.005,0.01
2016-12-08,1.038,1.026,1.039,1.026,37287,3843829.0,1.25,-1.06,-0.011,0.01
2016-12-09,1.025,1.029,1.036,1.025,36601,3770559.0,1.07,0.29,0.003,0.01
2016-12-12,1.029,1.001,1.029,0.994,131803,13224160.0,3.4,-2.72,-0.028,0.02
2016-12-13,0.998,1.001,1.005,0.993,27706,2764057.0,1.2,0.0,0.0,0.0
2016-12-14,1.001,0.988,1.001,0.987,31565,3131396.0,1.4,-1.3,-0.013,0.0
2016-12-15,0.976,0.982,0.993,0.976,60038,5909276.0,1.72,-0.61,-0.006,0.01
2016-12-16,0.983,0.983,0.989,0.981,26808,2640242.0,0.81,0.1,0.001,0.0
2016-12-19,0.981,0.976,0.981,0.973,12967,1265307.0,0.81,-0.71,-0.007,0.0
2016-12-20,0.975,0.975,0.976,0.969,67613,6576007.0,0.72,-0.1,-0.001,0.01
2016-12-21,0.975,0.981,0.99,0.975,73367,7207871.0,1.54,0.62,0.006,0.01
2016-12-22,0.98,0.974,0.98,0.972,58138,5673597.0,0.82,-0.71,-0.007,0.01
2016-12-23,0.975,0.963,0.975,0.962,85129,8233105.0,1.33,-1.13,-0.011,0.01
2016-12-26,0.961,0.972,0.975,0.953,144278,13941650.0,2.28,0.93,0.009,0.02
2016-12-27,0.972,0.969,0.976,0.968,31457,3059550.0,0.82,-0.31,-0.003,0.0
2016-12-28,0.967,0.967,0.974,0.964,30247,2930202.0,1.03,-0.21,-0.002,0.0
2016-12-29,0.966,0.965,0.97,0.963,11088,1071800.0,0.72,-0.21,-0.002,0.0
2016-12-30,0.965,0.969,0.969,0.963,35464,3417777.0,0.62,0.41,0.004,0.01
2017-01-03,0.968,0.978,0.982,0.968,75596,7383685.0,1.44,0.93,0.009,0.01
2017-01-04,0.978,0.981,0.983,0.976,24504,2402412.0,0.72,0.31,0.003,0.0
2017-01-05,0.982,0.979,0.983,0.978,21850,2141643.0,0.51,-0.2,-0.002,0.0
2017-01-06,0.98,0.97,0.98,0.969,26116,2542562.0,1.12,-0.92,-0.009,0.0
2017-01-09,0.969,0.97,0.974,0.968,21053,2042221.0,0.62,0.0,0.0,0.0
2017-01-10,0.97,0.972,0.976,0.97,18576,1807760.0,0.62,0.21,0.002,0.0
2017-01-11,0.972,0.969,0.977,0.969,28841,2807048.0,0.82,-0.31,-0.003,0.0
2017-01-12,0.969,0.971,0.978,0.969,27646,2693990.0,0.93,0.21,0.002,0.0
2017-01-13,0.97,0.971,0.978,0.963,16947,1647973.0,1.54,0.0,0.0,0.0
2017-01-16,0.965,0.971,0.975,0.949,136677,13167398.0,2.68,0.0,0.0,0.02
2017-01-17,0.964,0.963,0.965,0.955,44253,4252027.0,1.03,-0.82,-0.008,0.01
2017-01-18,0.964,0.965,0.97,0.963,27672,2675073.0,0.73,0.21,0.002,0.0
2017-01-19,0.963,0.965,0.972,0.963,80473,7780675.0,0.93,0.0,0.0,0.01
2017-01-20,0.964,0.973,0.975,0.954,23500,2285033.0,2.18,0.83,0.008,0.0
2017-01-23,0.973,0.975,0.98,0.972,21847,2132471.0,0.82,0.21,0.002,0.0
2017-01-24,0.975,0.97,0.975,0.969,11997,1165561.0,0.62,-0.51,-0.005,0.0
2017-01-25,0.967,0.971,0.972,0.967,5781,560651.0,0.52,0.1,0.001,0.0
2017-01-26,0.972,0.977,0.979,0.972,10350,1010763.0,0.72,0.62,0.006,0.0
2017-02-03,0.977,0.969,0.977,0.969,14385,1398779.0,0.82,-0.82,-0.008,0.0
2017-02-06,0.969,0.969,0.972,0.966,12538,1213410.0,0.62,0.0,0.0,0.0
2017-02-07,0.969,0.963,0.969,0.962,8417,811302.0,0.72,-0.62,-0.006,0.0
2017-02-08,0.963,0.982,0.983,0.959,85981,8389108.0,2.49,1.97,0.019,0.01
2017-02-09,0.98,0.982,0.988,0.977,47514,4676501.0,1.12,0.0,0.0,0.01
2017-02-10,0.983,0.986,0.991,0.98,112733,11114867.0,1.12,0.41,0.004,0.02
2017-02-13,0.988,0.991,0.998,0.985,65718,6525512.0,1.32,0.51,0.005,0.01
2017-02-14,0.992,0.99,0.996,0.988,20364,2020738.0,0.81,-0.1,-0.001,0.0
2017-02-15,0.988,0.985,0.998,0.985,72914,7247120.0,1.31,-0.51,-0.005,0.01
2017-02-16,0.988,0.994,0.997,0.984,47897,4744848.0,1.32,0.91,0.009,0.01
2017-02-17,0.998,0.994,1.023,0.994,150595,15206172.0,2.92,0.0,0.0,0.02
2017-02-20,0.995,1.002,1.004,0.99,37524,3742180.0,1.41,0.8,0.008,0.01
2017-02-21,1.004,1.007,1.019,1.004,103349,10474997.0,1.5,0.5,0.005,0.01
2017-02-22,1.009,1.005,1.009,1.002,43184,4339182.0,0.7,-0.2,-0.002,0.01
2017-02-23,1.004,0.999,1.006,0.995,23569,2361049.0,1.09,-0.6,-0.006,0.0
2017-02-24,0.998,0.999,1.003,0.996,90007,8989082.0,0.7,0.0,0.0,0.01
2017-02-27,1.0,0.991,1.003,0.99,55852,5554946.0,1.3,-0.8,-0.008,0.01
2017-02-28,0.992,0.992,0.997,0.99,28865,2865211.0,0.71,0.1,0.001,0.0
2017-03-01,0.993,0.99,0.997,0.989,24120,2396382.0,0.81,-0.2,-0.002,0.0
2017-03-02,0.992,0.99,1.004,0.989,70340,7018059.0,1.52,0.0,0.0,0.01
2017-03-03,0.99,0.983,0.99,0.981,46654,4589211.0,0.91,-0.71,-0.007,0.01
2017-03-06,0.983,0.989,0.99,0.983,27600,2722525.0,0.71,0.61,0.006,0.0
2017-03-07,0.99,0.99,0.991,0.987,18562,1835458.0,0.4,0.1,0.001,0.0
2017-03-08,0.989,0.986,0.991,0.985,42570,4198374.0,0.61,-0.4,-0.004,0.01
2017-03-09,0.986,0.98,0.986,0.975,64030,6273616.0,1.12,-0.61,-0.006,0.01
2017-03-10,0.98,0.981,0.984,0.979,9819,963139.0,0.51,0.1,0.001,0.0
