日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-07-18,0.995,1.008,1.015,0.995,4202584,421399488.0,1.99,0.2,0.002,2.31
2014-07-21,1.008,1.006,1.012,1.005,247834,25003873.0,0.69,-0.2,-0.002,0.14
2014-07-22,1.005,1.02,1.023,1.005,368124,37404229.0,1.79,1.39,0.014,0.2
2014-07-23,1.009,1.033,1.095,1.009,161063,16677798.0,8.43,1.27,0.013,0.09
2014-07-24,1.036,1.065,1.071,1.036,197427,20927524.0,3.39,3.1,0.032,0.11
2014-07-25,1.065,1.072,1.072,1.06,75196,8018462.0,1.13,0.66,0.007,0.04
2014-07-28,1.078,1.112,1.134,1.078,178033,19647165.0,5.22,3.73,0.04,0.1
2014-07-29,1.1,1.114,1.121,1.1,98648,10924086.0,1.89,0.18,0.002,0.05
2014-07-30,1.115,1.113,1.156,1.11,338430,37837058.0,4.13,-0.09,-0.001,0.19
2014-07-31,1.111,1.13,1.131,1.106,231179,25749894.0,2.25,1.53,0.017,0.13
2014-08-01,1.12,1.106,1.13,1.105,216150,24175254.0,2.21,-2.12,-0.024,0.12
2014-08-04,1.106,1.148,1.151,1.106,198161,22438581.0,4.07,3.8,0.042,0.11
2014-08-05,1.148,1.137,1.148,1.125,180753,20497559.0,2.0,-0.96,-0.011,0.1
2014-08-06,1.133,1.128,1.135,1.116,150311,16855754.0,1.67,-0.79,-0.009,0.08
2014-08-07,1.126,1.109,1.132,1.108,137522,15361998.0,2.13,-1.68,-0.019,0.08
2014-08-08,1.114,1.107,1.119,1.101,64648,7156731.0,1.62,-0.18,-0.002,0.04
2014-08-11,1.11,1.124,1.131,1.107,131459,14759103.0,2.17,1.54,0.017,0.07
2014-08-12,1.121,1.116,1.122,1.113,46370,5175505.0,0.8,-0.71,-0.008,0.03
2014-08-13,1.116,1.128,1.132,1.113,95242,10679716.0,1.7,1.08,0.012,0.05
2014-08-14,1.133,1.114,1.133,1.113,83312,9379096.0,1.77,-1.24,-0.014,0.05
2014-08-15,1.114,1.135,1.141,1.113,145589,16475529.0,2.51,1.89,0.021,0.08
2014-08-18,1.144,1.138,1.147,1.133,41000,4668452.0,1.23,0.26,0.003,0.02
2014-08-19,1.137,1.128,1.137,1.114,105876,11895468.0,2.02,-0.88,-0.01,0.06
2014-08-20,1.122,1.118,1.129,1.116,133691,14959005.0,1.15,-0.89,-0.01,0.07
2014-08-21,1.117,1.11,1.121,1.102,99426,11074584.0,1.7,-0.72,-0.008,0.05
2014-08-22,1.112,1.115,1.118,1.109,42990,4782245.0,0.81,0.45,0.005,0.02
2014-08-25,1.114,1.097,1.115,1.096,58371,6436048.0,1.7,-1.61,-0.018,0.03
2014-08-26,1.095,1.09,1.104,1.087,75084,8219787.0,1.55,-0.64,-0.007,0.04
2014-08-27,1.094,1.091,1.1,1.09,48167,5280846.0,0.92,0.09,0.001,0.03
2014-08-28,1.092,1.09,1.099,1.086,32146,3510551.0,1.19,-0.09,-0.001,0.02
2014-08-29,1.09,1.099,1.099,1.089,32103,3514461.0,0.92,0.83,0.009,0.02
2014-09-01,1.099,1.104,1.106,1.097,57249,6312116.0,0.82,0.45,0.005,0.03
2014-09-02,1.104,1.125,1.126,1.1,77011,8592324.0,2.36,1.9,0.021,0.04
2014-09-03,1.127,1.127,1.135,1.125,116005,13114315.0,0.89,0.18,0.002,0.06
2014-09-04,1.126,1.146,1.147,1.126,94504,10745378.0,1.86,1.69,0.019,0.05
2014-09-05,1.147,1.157,1.165,1.147,177240,20471798.0,1.57,0.96,0.011,0.1
2014-09-09,1.157,1.145,1.16,1.142,145837,16813225.0,1.56,-1.04,-0.012,0.08
2014-09-10,1.144,1.133,1.144,1.128,93381,10576263.0,1.4,-1.05,-0.012,0.05
2014-09-11,1.133,1.129,1.157,1.129,154994,17620310.0,2.47,-0.35,-0.004,0.09
2014-09-12,1.13,1.134,1.134,1.123,76401,8625807.0,0.97,0.44,0.005,0.04
2014-09-15,1.131,1.129,1.131,1.12,61782,6953592.0,0.97,-0.44,-0.005,0.03
2014-09-16,1.13,1.103,1.134,1.1,92513,10320388.0,3.01,-2.3,-0.026,0.05
2014-09-17,1.104,1.108,1.113,1.098,195794,21638546.0,1.36,0.45,0.005,0.11
2014-09-18,1.107,1.109,1.121,1.098,82795,9190684.0,2.08,0.09,0.001,0.05
2014-09-19,1.11,1.12,1.124,1.11,75790,8469274.0,1.26,0.99,0.011,0.04
2014-09-22,1.119,1.095,1.119,1.093,62802,6899225.0,2.32,-2.23,-0.025,0.03
2014-09-23,1.098,1.107,1.11,1.095,84017,9236022.0,1.37,1.1,0.012,0.05
