日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-01-06,0.95,0.985,1.0,0.95,92808,9226675.0,4.94,-2.76,-0.028,1.17
2014-01-07,0.961,0.99,0.995,0.961,148578,14737546.0,3.45,0.51,0.005,1.88
2014-01-08,0.989,0.999,1.005,0.971,86555,8659610.0,3.43,0.91,0.009,1.09
2014-01-09,0.976,1.0,1.01,0.976,69060,6945767.0,3.4,0.1,0.001,0.87
2014-01-10,0.982,0.982,0.996,0.98,2715,268452.0,1.6,-1.8,-0.018,0.03
2014-01-13,0.98,0.962,0.982,0.96,1032,100448.0,2.24,-2.04,-0.02,0.01
2014-01-14,0.962,0.973,0.975,0.953,1649,159173.0,2.29,1.14,0.011,0.02
2014-01-15,0.961,1.001,1.003,0.961,8183,808561.0,4.32,2.88,0.028,0.1
2014-01-16,0.994,0.979,0.994,0.978,1851,181667.0,1.6,-2.2,-0.022,0.02
2014-01-17,0.98,0.98,0.98,0.969,1544,150392.0,1.12,0.1,0.001,0.02
2014-01-20,0.963,0.958,0.968,0.958,2220,213949.0,1.02,-2.24,-0.022,0.03
2014-01-21,0.949,0.97,0.97,0.949,7450,713509.0,2.19,1.25,0.012,0.09
2014-01-22,0.959,0.974,0.98,0.959,3302,320436.0,2.16,0.41,0.004,0.04
2014-01-23,0.974,0.98,0.98,0.963,6808,665650.0,1.75,0.62,0.006,0.09
2014-01-24,0.971,0.982,0.995,0.961,21379,2107771.0,3.47,0.2,0.002,0.27
2014-01-27,0.966,0.975,0.98,0.966,488,47534.0,1.43,-0.71,-0.007,0.01
2014-01-28,0.966,0.975,0.975,0.966,1046,101899.0,0.92,0.0,0.0,0.01
2014-01-29,0.975,0.984,0.99,0.972,2775,270483.0,1.85,0.92,0.009,0.04
2014-01-30,0.965,0.98,0.98,0.965,202248,19790827.0,1.52,-0.41,-0.004,2.56
2014-02-07,0.97,0.978,0.978,0.967,2678,259453.0,1.12,-0.2,-0.002,0.03
2014-02-10,0.978,1.005,1.006,0.971,102182,10242552.0,3.58,2.76,0.027,1.29
2014-02-11,1.004,1.007,1.019,1.0,204688,20745555.0,1.89,0.2,0.002,2.59
2014-02-12,1.007,1.014,1.016,0.996,83763,8483722.0,1.99,0.7,0.007,1.06
2014-02-13,1.0,1.002,1.014,1.0,8462,853507.0,1.38,-1.18,-0.012,0.11
2014-02-14,0.989,1.017,1.02,0.989,10771,1085781.0,3.09,1.5,0.015,0.14
2014-02-17,1.004,1.027,1.027,1.004,30785,3138771.0,2.26,0.98,0.01,0.39
2014-02-18,1.031,1.023,1.031,1.006,4680,477738.0,2.43,-0.39,-0.004,0.06
2014-02-19,1.017,1.04,1.043,1.013,11182,1145877.0,2.93,1.66,0.017,0.14
2014-02-20,1.006,1.021,1.036,1.006,202160,20701475.0,2.88,-1.83,-0.019,2.55
2014-02-21,1.019,1.015,1.03,1.01,7747,785759.0,1.96,-0.59,-0.006,0.1
2014-02-24,1.006,1.014,1.029,1.0,7123,721359.0,2.86,-0.1,-0.001,0.09
2014-02-25,1.017,1.0,1.035,0.998,7250,742611.0,3.65,-1.38,-0.014,0.09
