日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-04-27,0.986,0.987,0.994,0.974,926818,91247324.0,2.03,0.1,0.001,59.5
2018-05-02,0.989,0.988,0.995,0.983,245869,24297356.0,1.22,0.1,0.001,15.78
2018-05-03,0.989,0.997,0.998,0.982,333483,33113980.0,1.62,0.91,0.009,21.41
2018-05-04,0.996,0.991,0.999,0.991,175068,17416297.0,0.8,-0.6,-0.006,11.24
2018-05-07,0.993,1.007,1.008,0.991,1169731,117366314.0,1.72,1.61,0.016,75.09
2018-05-08,1.008,1.021,1.025,1.007,1595726,162322401.0,1.79,1.39,0.014,102.44
2018-05-09,1.02,1.02,1.022,1.015,529555,53943530.0,0.69,-0.1,-0.001,33.99
2018-05-10,1.021,1.025,1.026,1.018,579322,59208971.0,0.78,0.49,0.005,37.19
2018-05-11,1.026,1.019,1.028,1.019,522953,53515138.0,0.88,-0.59,-0.006,33.57
2018-05-14,1.023,1.03,1.034,1.023,799075,82262633.0,1.08,1.08,0.011,51.3
2018-05-15,1.034,1.035,1.036,1.028,997739,102918318.0,0.78,0.49,0.005,64.05
2018-05-16,1.031,1.027,1.035,1.026,622613,64216787.0,0.87,-0.77,-0.008,39.97
2018-05-17,1.027,1.019,1.029,1.018,543045,55566968.0,1.07,-0.78,-0.008,34.86
2018-05-18,1.018,1.03,1.03,1.014,616047,62917784.0,1.57,1.08,0.011,39.55
2018-05-21,1.036,1.033,1.04,1.031,626595,64885745.0,0.87,0.29,0.003,40.22
2018-05-22,1.032,1.031,1.033,1.025,464174,47742143.0,0.77,-0.19,-0.002,29.8
2018-05-23,1.03,1.019,1.03,1.018,495321,50691679.0,1.16,-1.16,-0.012,31.8
2018-05-24,1.017,1.012,1.02,1.009,417051,42285710.0,1.08,-0.69,-0.007,26.77
2018-05-25,1.011,1.009,1.015,1.005,443316,44783516.0,0.99,-0.3,-0.003,28.46
2018-05-28,1.011,1.013,1.017,1.005,354697,35895627.0,1.19,0.4,0.004,22.77
2018-05-29,1.013,1.008,1.016,1.007,472542,47733623.0,0.89,-0.49,-0.005,30.33
2018-05-30,1.001,0.988,1.002,0.987,706230,70103720.0,1.49,-1.98,-0.02,45.34
2018-05-31,0.993,1.007,1.008,0.992,471360,47185110.0,1.62,1.92,0.019,30.26
2018-06-01,1.003,0.998,1.008,0.995,412552,41297128.0,1.29,-0.89,-0.009,26.48
2018-06-04,1.002,1.008,1.01,1.0,472019,47494138.0,1.0,1.0,0.01,30.3
2018-06-05,1.008,1.017,1.018,1.006,609607,61719333.0,1.19,0.89,0.009,39.13
2018-06-06,1.017,1.017,1.02,1.014,390133,39666143.0,0.59,0.0,0.0,25.04
2018-06-07,1.019,1.015,1.023,1.015,537954,54855436.0,0.79,-0.2,-0.002,34.53
2018-06-08,1.014,1.003,1.014,0.998,488206,49069728.0,1.58,-1.18,-0.012,31.34
2018-06-11,0.999,1.002,1.006,0.994,272621,27276684.0,1.2,-0.1,-0.001,17.5
2018-06-12,1.001,1.016,1.017,1.001,642360,64755852.0,1.6,1.4,0.014,41.24
2018-06-13,1.014,1.007,1.014,1.006,472751,47811468.0,0.79,-0.89,-0.009,30.35
2018-06-14,1.004,1.005,1.014,1.0,387585,38969879.0,1.39,-0.2,-0.002,24.88
2018-06-15,1.002,1.003,1.008,0.999,372409,37355672.0,0.9,-0.2,-0.002,23.91
2018-06-19,0.995,0.97,0.995,0.961,711153,69983025.0,3.39,-3.29,-0.033,45.65
2018-06-20,0.969,0.975,0.977,0.961,323280,31344658.0,1.65,0.52,0.005,20.75
2018-06-21,0.975,0.964,0.985,0.963,456976,44629068.0,2.26,-1.13,-0.011,29.34
2018-06-22,0.961,0.97,0.97,0.953,569640,54912990.0,1.76,0.62,0.006,36.57
2018-06-25,0.976,0.958,0.976,0.957,341299,33042695.0,1.96,-1.24,-0.012,21.91
2018-06-26,0.95,0.948,0.953,0.934,402380,38017177.0,1.98,-1.04,-0.01,25.83
2018-06-27,0.947,0.926,0.951,0.924,336432,31549583.0,2.85,-2.32,-0.022,21.6
2018-06-28,0.926,0.918,0.932,0.916,396866,36693617.0,1.73,-0.86,-0.008,25.48
2018-06-29,0.918,0.942,0.942,0.918,398107,37074578.0,2.61,2.61,0.024,25.56
2018-07-02,0.939,0.913,0.942,0.907,362498,33546161.0,3.72,-3.08,-0.029,23.27
2018-07-03,0.915,0.912,0.919,0.889,491010,44243200.0,3.29,-0.11,-0.001,31.52
2018-07-04,0.91,0.902,0.915,0.9,264280,24004494.0,1.64,-1.1,-0.01,16.97
2018-07-05,0.901,0.897,0.911,0.894,362457,32684328.0,1.88,-0.55,-0.005,23.27
2018-07-06,0.898,0.904,0.912,0.884,390123,35108886.0,3.12,0.78,0.007,25.04
2018-07-09,0.906,0.93,0.931,0.906,535633,49336729.0,2.77,2.88,0.026,34.38
2018-07-10,0.93,0.932,0.934,0.925,255291,23722066.0,0.97,0.22,0.002,16.39
