日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-06-17,0.988,0.983,0.999,0.971,856968,84837789.0,2.82,-0.91,-0.009,0.12
2019-06-18,0.983,0.997,0.998,0.98,307465,30457272.0,1.83,1.42,0.014,0.04
2019-06-19,1.013,1.004,1.028,1.0,467445,47398852.0,2.81,0.7,0.007,0.06
2019-06-20,1.005,1.028,1.032,1.001,131569,13415532.0,3.09,2.39,0.024,0.02
2019-06-21,1.028,1.043,1.048,1.028,56581,5899973.0,1.95,1.46,0.015,0.01
2019-06-24,1.043,1.042,1.044,1.035,84613,8786796.0,0.86,-0.1,-0.001,0.01
2019-06-25,1.035,1.03,1.04,1.018,24053,2479580.0,2.11,-1.15,-0.012,0.0
2019-06-26,1.013,1.055,1.058,1.013,84234,8819032.0,4.37,2.43,0.025,0.01
2019-06-27,1.07,1.067,1.072,1.057,56216,5985558.0,1.42,1.14,0.012,0.01
2019-06-28,1.067,1.057,1.067,1.048,52781,5557671.0,1.78,-0.94,-0.01,0.01
2019-07-01,1.078,1.084,1.084,1.065,77886,8398625.0,1.8,2.55,0.027,0.01
2019-07-02,1.084,1.098,1.102,1.078,74634,8172550.0,2.21,1.29,0.014,0.01
2019-07-03,1.098,1.084,1.098,1.081,41961,4566588.0,1.55,-1.28,-0.014,0.01
2019-07-04,1.089,1.07,1.089,1.065,41529,4460915.0,2.21,-1.29,-0.014,0.01
2019-07-05,1.07,1.078,1.08,1.07,29505,3167637.0,0.93,0.75,0.008,0.0
2019-07-08,1.074,1.055,1.074,1.043,51096,5398912.0,2.88,-2.13,-0.023,0.01
2019-07-09,1.046,1.064,1.066,1.045,43607,4621652.0,1.99,0.85,0.009,0.01
2019-07-10,1.064,1.065,1.073,1.062,48310,5147450.0,1.03,0.09,0.001,0.01
2019-07-11,1.064,1.077,1.088,1.064,52699,5689596.0,2.25,1.13,0.012,0.01
2019-07-12,1.076,1.079,1.084,1.067,39390,4251302.0,1.58,0.19,0.002,0.01
2019-07-15,1.08,1.086,1.09,1.065,46489,5002519.0,2.32,0.65,0.007,0.01
2019-07-16,1.1,1.082,1.1,1.078,36041,3916685.0,2.03,-0.37,-0.004,0.0
2019-07-17,1.074,1.076,1.082,1.072,24940,2684019.0,0.92,-0.55,-0.006,0.0
2019-07-18,1.068,1.057,1.068,1.056,34591,3670740.0,1.12,-1.77,-0.019,0.0
2019-07-19,1.061,1.063,1.071,1.059,30936,3294051.0,1.14,0.57,0.006,0.0
2019-07-22,1.061,1.047,1.062,1.042,34682,3644470.0,1.88,-1.51,-0.016,0.0
2019-07-23,1.052,1.056,1.056,1.046,33624,3527335.0,0.96,0.86,0.009,0.0
2019-07-24,1.06,1.065,1.072,1.059,34169,3630564.0,1.23,0.85,0.009,0.0
2019-07-25,1.065,1.066,1.071,1.063,26505,2828437.0,0.75,0.09,0.001,0.0
2019-07-26,1.08,1.076,1.08,1.065,43851,4699251.0,1.41,0.94,0.01,0.01
2019-07-29,1.07,1.064,1.074,1.062,31029,3308539.0,1.12,-1.12,-0.012,0.0
2019-07-30,1.067,1.071,1.077,1.067,37016,3969874.0,0.94,0.66,0.007,0.01
2019-07-31,1.071,1.065,1.071,1.062,31376,3340118.0,0.84,-0.56,-0.006,0.0
2019-08-01,1.058,1.061,1.062,1.056,30320,3214298.0,0.56,-0.38,-0.004,0.0
2019-08-02,1.048,1.06,1.062,1.041,36025,3806577.0,1.98,-0.09,-0.001,0.0
2019-08-05,1.06,1.051,1.071,1.05,35292,3739566.0,1.98,-0.85,-0.009,0.0
2019-08-06,1.051,1.038,1.051,1.022,68622,7063892.0,2.76,-1.24,-0.013,0.01
2019-08-07,1.041,1.04,1.048,1.035,30586,3188112.0,1.25,0.19,0.002,0.0
2019-08-08,1.04,1.058,1.059,1.04,30974,3263562.0,1.83,1.73,0.018,0.0
2019-08-09,1.058,1.06,1.071,1.056,32342,3444597.0,1.42,0.19,0.002,0.0
2019-08-12,1.068,1.075,1.075,1.06,31897,3409248.0,1.42,1.42,0.015,0.0
2019-08-13,1.076,1.074,1.08,1.067,26830,2885869.0,1.21,-0.09,-0.001,0.0
2019-08-14,1.084,1.09,1.094,1.077,36976,4026240.0,1.58,1.49,0.016,0.01
2019-08-15,1.077,1.104,1.105,1.077,38763,4251453.0,2.57,1.28,0.014,0.01
2019-08-16,1.102,1.11,1.125,1.102,67937,7554477.0,2.08,0.54,0.006,0.01
