日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-14,1.023,1.02,1.026,1.018,1559289,159505679.0,0.78,-0.29,-0.003,27.09
2025-04-15,1.021,1.023,1.023,1.015,253611,25834939.0,0.78,0.29,0.003,4.41
2025-04-16,1.023,1.025,1.026,1.01,137978,14028715.0,1.56,0.2,0.002,2.4
2025-04-17,1.015,1.024,1.026,1.015,150510,15409442.0,1.07,-0.1,-0.001,2.61
2025-04-18,1.018,1.025,1.026,1.018,58347,5966144.0,0.78,0.1,0.001,1.01
2025-04-21,1.015,1.029,1.03,1.015,56135,5766507.0,1.46,0.39,0.004,0.98
2025-04-22,1.029,1.033,1.034,1.028,39150,4033311.0,0.58,0.39,0.004,0.68
2025-04-23,1.035,1.032,1.036,1.031,4220,435713.0,0.48,-0.1,-0.001,0.07
2025-04-24,1.036,1.035,1.039,1.031,12880,1334115.0,0.78,0.29,0.003,0.22
2025-04-25,1.036,1.035,1.038,1.034,13599,1407499.0,0.39,0.0,0.0,0.24
2025-04-28,1.036,1.032,1.036,1.027,16793,1730649.0,0.87,-0.29,-0.003,0.29
2025-04-29,1.031,1.028,1.032,1.028,7449,767257.0,0.39,-0.39,-0.004,0.13
2025-04-30,1.03,1.03,1.031,1.025,7742,797342.0,0.58,0.19,0.002,0.13
2025-05-06,1.036,1.036,1.037,1.032,19729,2042720.0,0.49,0.58,0.006,0.34
2025-05-07,1.036,1.043,1.046,1.036,21213,2208361.0,0.97,0.68,0.007,0.37
2025-05-08,1.043,1.052,1.057,1.043,17348,1821909.0,1.34,0.86,0.009,0.3
2025-05-09,1.048,1.055,1.055,1.048,21260,2233340.0,0.67,0.29,0.003,0.37
2025-05-12,1.049,1.065,1.065,1.049,10471,1109960.0,1.52,0.95,0.01,0.18
2025-05-13,1.075,1.066,1.075,1.061,28168,2996511.0,1.31,0.09,0.001,0.49
2025-05-14,1.065,1.081,1.085,1.062,34600,3724534.0,2.16,1.41,0.015,0.6
2025-05-15,1.076,1.075,1.079,1.071,9821,1056197.0,0.74,-0.56,-0.006,0.17
2025-05-16,1.07,1.067,1.072,1.064,13092,1397108.0,0.74,-0.74,-0.008,0.23
2025-05-19,1.064,1.064,1.066,1.061,6046,643126.0,0.47,-0.28,-0.003,0.11
2025-05-20,1.064,1.071,1.075,1.064,2610,278349.0,1.03,0.66,0.007,0.05
2025-05-21,1.071,1.078,1.083,1.071,5452,587104.0,1.12,0.65,0.007,0.09
2025-05-22,1.078,1.076,1.08,1.072,13347,1438631.0,0.74,-0.19,-0.002,0.23
2025-05-23,1.083,1.071,1.083,1.071,9681,1040583.0,1.12,-0.46,-0.005,0.17
2025-05-26,1.062,1.058,1.069,1.058,6719,714331.0,1.03,-1.21,-0.013,0.12
2025-05-27,1.058,1.052,1.058,1.052,1175,123920.0,0.57,-0.57,-0.006,0.02
2025-05-28,1.054,1.051,1.056,1.051,11897,1253784.0,0.48,-0.1,-0.001,0.21
2025-05-29,1.049,1.058,1.087,1.048,32383,3421704.0,3.71,0.67,0.007,0.56
2025-05-30,1.058,1.054,1.058,1.048,8633,909392.0,0.95,-0.38,-0.004,0.15
