日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-07-13,0.939,0.943,0.969,0.935,2341,220256.0,3.62,0.43,0.004,0.14
2018-07-16,0.946,0.939,0.946,0.938,700,65802.0,0.85,-0.42,-0.004,0.04
2018-07-17,0.937,0.932,0.937,0.927,500,46460.0,1.06,-0.75,-0.007,0.03
2018-07-18,0.932,0.935,0.943,0.932,277,25989.0,1.18,0.32,0.003,0.02
2018-07-19,0.933,0.93,0.935,0.927,2318,215602.0,0.86,-0.53,-0.005,0.14
2018-07-20,0.949,0.946,0.95,0.926,418,39434.0,2.58,1.72,0.016,0.02
2018-07-23,0.943,0.948,0.949,0.94,146,13787.0,0.95,0.21,0.002,0.01
2018-07-24,0.95,0.958,0.964,0.95,519,49682.0,1.48,1.05,0.01,0.03
2018-07-25,0.959,0.96,0.963,0.956,2378,228841.0,0.73,0.21,0.002,0.14
2018-07-26,0.959,0.951,0.959,0.95,101,9651.0,0.94,-0.94,-0.009,0.01
2018-07-27,0.945,0.946,0.951,0.945,99,9383.0,0.63,-0.53,-0.005,0.01
2018-07-30,0.946,0.938,0.949,0.938,80,7548.0,1.16,-0.85,-0.008,0.0
2018-07-31,0.943,0.944,0.945,0.943,130,12270.0,0.21,0.64,0.006,0.01
2018-08-01,0.946,0.929,0.949,0.929,18542,1723897.0,2.12,-1.59,-0.015,1.1
2018-08-02,0.929,0.906,0.929,0.901,6183,566862.0,3.01,-2.48,-0.023,0.37
2018-08-03,0.912,0.9,0.912,0.9,869,78651.0,1.32,-0.66,-0.006,0.05
2018-08-06,0.894,0.886,0.901,0.881,27527,2451887.0,2.22,-1.56,-0.014,1.63
2018-08-07,0.894,0.904,0.904,0.884,30,2682.0,2.26,2.03,0.018,0.0
2018-08-08,0.898,0.901,0.901,0.898,2130,191909.0,0.33,-0.33,-0.003,0.13
2018-08-09,0.896,0.913,0.913,0.896,272,24770.0,1.89,1.33,0.012,0.02
2018-08-10,0.912,0.912,0.916,0.909,1665,151615.0,0.77,-0.11,-0.001,0.1
2018-08-13,0.908,0.898,0.908,0.898,603,54454.0,1.1,-1.54,-0.014,0.04
2018-08-14,0.909,0.904,0.909,0.902,168,15190.0,0.78,0.67,0.006,0.01
2018-08-15,0.903,0.885,0.903,0.885,1134,100856.0,1.99,-2.1,-0.019,0.07
2018-08-16,0.885,0.882,0.885,0.879,60,5280.0,0.68,-0.34,-0.003,0.0
2018-08-17,0.88,0.869,0.88,0.869,768,67485.0,1.25,-1.47,-0.013,0.05
2018-08-20,0.867,0.873,0.873,0.859,231,19997.0,1.61,0.46,0.004,0.01
2018-08-21,0.879,0.887,0.887,0.879,4,353.0,0.92,1.6,0.014,0.0
2018-08-22,0.885,0.882,0.885,0.881,21,1852.0,0.45,-0.56,-0.005,0.0
2018-08-23,0.882,0.885,0.886,0.882,50,4424.0,0.45,0.34,0.003,0.0
2018-08-24,0.885,0.887,0.887,0.884,40,3541.0,0.34,0.23,0.002,0.0
2018-08-27,0.898,0.909,0.909,0.897,1254,113472.0,1.35,2.48,0.022,0.07
2018-08-28,0.909,0.908,0.911,0.908,182,16570.0,0.33,-0.11,-0.001,0.01
2018-08-29,0.903,0.902,0.903,0.902,20,1805.0,0.11,-0.66,-0.006,0.0
2018-08-30,0.906,0.897,0.906,0.897,230,20643.0,1.0,-0.55,-0.005,0.01
2018-08-31,0.891,0.887,0.892,0.887,314,27914.0,0.56,-1.11,-0.01,0.02
2018-09-03,0.887,0.883,0.888,0.883,53,4694.0,0.56,-0.45,-0.004,0.0
2018-09-04,0.889,0.899,0.899,0.886,94,8397.0,1.47,1.81,0.016,0.01
2018-09-05,0.895,0.884,0.895,0.884,462,41089.0,1.22,-1.67,-0.015,0.03
2018-09-06,0.883,0.874,0.883,0.874,150,13169.0,1.02,-1.13,-0.01,0.01
2018-09-07,0.885,0.879,0.885,0.875,2134,186753.0,1.14,0.57,0.005,0.13
2018-09-10,0.872,0.867,0.874,0.867,334,29059.0,0.8,-1.37,-0.012,0.02
2018-09-11,0.867,0.865,0.87,0.864,2856,248077.0,0.69,-0.23,-0.002,0.17
2018-09-12,0.861,0.859,0.863,0.858,222,19097.0,0.58,-0.69,-0.006,0.01
2018-09-13,0.855,0.863,0.867,0.855,184,15865.0,1.4,0.47,0.004,0.01
2018-09-14,0.865,0.868,0.869,0.863,193,16722.0,0.7,0.58,0.005,0.01
2018-09-17,0.86,0.858,0.86,0.858,21,1802.0,0.23,-1.15,-0.01,0.0
2018-09-18,0.849,0.856,0.856,0.849,30,2560.0,0.82,-0.23,-0.002,0.0
