日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-06-12,0.994,1.013,1.022,0.99,1346322,135273233.0,3.18,0.8,0.008,0.92
2019-06-13,1.01,0.999,1.016,0.994,150306,15113343.0,2.17,-1.38,-0.014,0.1
2019-06-14,0.998,0.966,1.005,0.963,76983,7600680.0,4.2,-3.3,-0.033,0.05
2019-06-17,0.965,0.954,0.97,0.948,50678,4842825.0,2.28,-1.24,-0.012,0.03
2019-06-18,0.957,0.945,0.957,0.94,40390,3823312.0,1.78,-0.94,-0.009,0.03
2019-06-19,0.955,0.976,0.991,0.955,135976,13332982.0,3.81,3.28,0.031,0.09
2019-06-20,0.98,0.991,0.996,0.96,53549,5278674.0,3.69,1.54,0.015,0.04
2019-06-21,0.992,1.007,1.021,0.992,196584,19925258.0,2.93,1.61,0.016,0.13
2019-06-24,1.012,1.01,1.017,1.002,68144,6876647.0,1.49,0.3,0.003,0.05
2019-06-25,1.005,0.99,1.013,0.98,56951,5648696.0,3.27,-1.98,-0.02,0.04
2019-06-26,0.976,1.001,1.006,0.976,51130,5106423.0,3.03,1.11,0.011,0.03
2019-06-27,1.002,1.025,1.036,1.0,202872,20724194.0,3.6,2.4,0.024,0.14
2019-06-28,1.024,1.003,1.024,0.996,64054,6444981.0,2.73,-2.15,-0.022,0.04
2019-07-01,1.025,1.048,1.048,1.022,215778,22420842.0,2.59,4.49,0.045,0.15
2019-07-02,1.045,1.032,1.048,1.026,67788,7017324.0,2.1,-1.53,-0.016,0.05
2019-07-03,1.022,1.015,1.028,1.008,59828,6079257.0,1.94,-1.65,-0.017,0.04
2019-07-04,1.014,1.003,1.02,0.998,63095,6338425.0,2.17,-1.18,-0.012,0.04
2019-07-05,1.009,1.012,1.015,1.003,49379,4987462.0,1.2,0.9,0.009,0.03
2019-07-08,1.012,0.969,1.012,0.964,122066,11947144.0,4.74,-4.25,-0.043,0.08
2019-07-09,0.969,0.973,0.979,0.94,38274,3717624.0,4.02,0.41,0.004,0.03
2019-07-10,0.973,0.982,0.99,0.973,68088,6694931.0,1.75,0.92,0.009,0.05
2019-07-11,0.983,0.973,0.99,0.965,61742,6041114.0,2.55,-0.92,-0.009,0.04
2019-07-12,0.975,0.969,0.979,0.962,47788,4645186.0,1.75,-0.41,-0.004,0.03
2019-07-15,0.969,1.0,1.009,0.95,121561,12010229.0,6.09,3.2,0.031,0.08
2019-07-16,1.0,1.005,1.013,0.993,88666,8900052.0,2.0,0.5,0.005,0.06
2019-07-17,1.0,1.026,1.039,1.0,205328,21150759.0,3.88,2.09,0.021,0.14
2019-07-18,1.019,1.006,1.019,1.004,72371,7302479.0,1.46,-1.95,-0.02,0.05
2019-07-19,1.006,1.014,1.017,1.006,68814,6977648.0,1.09,0.8,0.008,0.05
2019-07-22,1.029,1.0,1.04,0.979,143857,14297478.0,6.02,-1.38,-0.014,0.1
2019-07-23,0.995,1.012,1.015,0.991,150793,15183825.0,2.4,1.2,0.012,0.1
2019-07-24,1.012,1.037,1.041,1.007,303475,31411371.0,3.36,2.47,0.025,0.21
2019-07-25,1.04,1.055,1.067,1.035,309286,32633253.0,3.09,1.74,0.018,0.21
2019-07-26,1.055,1.053,1.06,1.043,98576,10361710.0,1.61,-0.19,-0.002,0.07
2019-07-29,1.053,1.069,1.077,1.053,110542,11796387.0,2.28,1.52,0.016,0.08
2019-07-30,1.068,1.052,1.068,1.05,132826,14062572.0,1.68,-1.59,-0.017,0.09
