日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-05-18,0.996,1.006,1.008,0.992,3762666,376067904.0,1.6,0.6,0.006,736.96
2018-05-21,1.013,1.011,1.018,1.009,1202073,121722217.0,0.89,0.5,0.005,235.44
2018-05-22,1.011,1.008,1.011,1.002,566277,57005716.0,0.89,-0.3,-0.003,110.91
2018-05-23,1.008,1.0,1.008,0.999,278906,27976716.0,0.89,-0.79,-0.008,54.63
2018-05-24,0.999,0.989,1.0,0.988,234709,23341949.0,1.2,-1.1,-0.011,45.97
2018-05-25,0.989,0.987,0.994,0.984,190728,18879336.0,1.01,-0.2,-0.002,37.36
2018-05-28,0.986,0.993,0.996,0.986,182021,18044033.0,1.01,0.61,0.006,35.65
2018-05-29,0.993,0.988,0.997,0.987,164260,16281416.0,1.01,-0.5,-0.005,32.17
2018-05-30,0.984,0.97,0.984,0.968,196170,19093568.0,1.62,-1.82,-0.018,38.42
2018-05-31,0.975,0.986,0.988,0.972,210571,20642552.0,1.65,1.65,0.016,41.24
2018-06-01,0.984,0.978,0.989,0.975,242655,23806881.0,1.42,-0.81,-0.008,47.53
2018-06-04,0.979,0.985,0.989,0.979,281566,27777474.0,1.02,0.72,0.007,55.15
2018-06-05,0.992,0.997,0.997,0.986,264498,26228972.0,1.12,1.22,0.012,51.81
2018-06-06,0.996,0.997,0.999,0.993,227781,22694026.0,0.6,0.0,0.0,44.61
2018-06-07,0.996,0.995,1.003,0.994,232680,23248997.0,0.9,-0.2,-0.002,45.57
2018-06-08,0.995,0.982,0.995,0.977,197171,19393130.0,1.81,-1.31,-0.013,38.62
2018-06-11,0.982,0.982,0.986,0.976,169946,16667474.0,1.02,0.0,0.0,33.29
2018-06-12,0.982,0.995,0.996,0.979,200525,19845049.0,1.73,1.32,0.013,39.28
2018-06-13,0.993,0.985,0.993,0.984,126602,12529238.0,0.9,-1.01,-0.01,24.8
2018-06-14,0.984,0.985,0.993,0.98,82417,8114657.0,1.32,0.0,0.0,16.14
2018-06-15,0.985,0.981,0.988,0.979,190182,18694783.0,0.91,-0.41,-0.004,37.25
2018-06-19,0.97,0.949,0.979,0.93,298994,28574699.0,4.99,-3.26,-0.032,58.56
2018-06-20,0.94,0.954,0.958,0.94,230327,21923264.0,1.9,0.53,0.005,45.11
2018-06-21,0.955,0.948,0.966,0.948,223848,21439996.0,1.89,-0.63,-0.006,43.84
2018-06-22,0.941,0.95,0.95,0.934,164908,15567068.0,1.69,0.21,0.002,32.3
2018-06-25,0.955,0.939,0.957,0.93,140719,13313200.0,2.84,-1.16,-0.011,27.56
2018-06-26,0.931,0.927,0.932,0.915,302059,27951876.0,1.81,-1.28,-0.012,59.16
2018-06-27,0.928,0.907,0.931,0.906,245225,22465491.0,2.7,-2.16,-0.02,48.03
2018-06-28,0.907,0.901,0.915,0.895,474193,43005573.0,2.21,-0.66,-0.006,92.88
2018-06-29,0.905,0.923,0.924,0.901,266234,24353327.0,2.55,2.44,0.022,52.14
2018-07-02,0.923,0.895,0.923,0.891,199437,18227396.0,3.47,-3.03,-0.028,39.06
2018-07-03,0.9,0.893,0.903,0.872,330627,29389148.0,3.46,-0.22,-0.002,64.76
2018-07-04,0.894,0.885,0.897,0.883,179395,15957414.0,1.57,-0.9,-0.008,35.14
2018-07-05,0.883,0.88,0.895,0.876,137004,12084562.0,2.15,-0.56,-0.005,26.83
2018-07-06,0.881,0.886,0.895,0.87,173893,15391196.0,2.84,0.68,0.006,34.06
2018-07-09,0.89,0.914,0.914,0.89,315192,28454565.0,2.71,3.16,0.028,61.73
2018-07-10,0.906,0.914,0.917,0.906,136605,12462873.0,1.2,0.0,0.0,26.76
2018-07-11,0.906,0.9,0.906,0.883,114696,10296861.0,2.52,-1.53,-0.014,22.46
2018-07-12,0.899,0.918,0.925,0.899,195414,17905084.0,2.89,2.0,0.018,38.27
2018-07-13,0.919,0.923,0.925,0.919,155363,14329689.0,0.65,0.54,0.005,30.43
2018-07-16,0.925,0.918,0.927,0.916,58474,5377559.0,1.19,-0.54,-0.005,11.45
2018-07-17,0.916,0.912,0.916,0.906,82677,7523451.0,1.09,-0.65,-0.006,16.19
2018-07-18,0.912,0.909,0.92,0.907,60204,5500484.0,1.43,-0.33,-0.003,11.79
2018-07-19,0.907,0.906,0.917,0.905,83917,7645670.0,1.32,-0.33,-0.003,16.44
2018-07-20,0.907,0.926,0.93,0.901,228374,20868176.0,3.2,2.21,0.02,44.73
2018-07-23,0.923,0.935,0.938,0.92,211854,19649905.0,1.94,0.97,0.009,41.49
2018-07-24,0.94,0.95,0.955,0.936,137425,13063095.0,2.03,1.6,0.015,26.92
2018-07-25,0.952,0.948,0.952,0.945,110636,10484841.0,0.74,-0.21,-0.002,21.67
2018-07-26,0.948,0.939,0.954,0.937,85799,8083872.0,1.79,-0.95,-0.009,16.8
2018-07-27,0.939,0.935,0.942,0.932,76397,7154047.0,1.06,-0.43,-0.004,14.96
2018-07-30,0.933,0.934,0.944,0.925,125397,11752887.0,2.03,-0.11,-0.001,24.56
2018-07-31,0.931,0.937,0.943,0.93,440969,41268586.0,1.39,0.32,0.003,86.37
2018-08-01,0.939,0.918,0.943,0.917,91391,8502160.0,2.77,-2.03,-0.019,17.9
2018-08-02,0.912,0.898,0.916,0.886,135341,12138814.0,3.27,-2.18,-0.02,26.51
2018-08-03,0.896,0.888,0.901,0.887,103730,9255843.0,1.56,-1.11,-0.01,20.32
2018-08-06,0.882,0.871,0.891,0.87,174398,15335005.0,2.36,-1.91,-0.017,34.16
2018-08-07,0.873,0.898,0.898,0.87,142230,12555170.0,3.21,3.1,0.027,27.86
2018-08-08,0.897,0.883,0.898,0.883,69872,6219526.0,1.67,-1.67,-0.015,13.69
2018-08-09,0.879,0.904,0.909,0.879,157646,14190564.0,3.4,2.38,0.021,30.88
2018-08-10,0.904,0.906,0.912,0.9,54555,4941628.0,1.33,0.22,0.002,10.69
2018-08-13,0.903,0.901,0.904,0.888,64336,5766902.0,1.77,-0.55,-0.005,12.6
