日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-07-28,0.996,0.991,0.997,0.986,479740,47682166.0,1.1,-1.2,-0.012,5.07
2017-07-31,0.995,0.981,0.995,0.98,96444,9488022.0,1.51,-1.01,-0.01,1.02
2017-08-01,0.989,0.981,0.989,0.977,116614,11456715.0,1.22,0.0,0.0,1.23
2017-08-02,0.977,0.962,0.977,0.955,76070,7349173.0,2.24,-1.94,-0.019,0.8
2017-08-03,0.955,0.965,0.971,0.955,97785,9428917.0,1.66,0.31,0.003,1.03
2017-08-04,0.961,1.009,1.02,0.961,1095102,110202864.0,6.11,4.56,0.044,11.56
2017-08-07,1.018,1.003,1.018,0.998,42430,4256320.0,1.98,-0.59,-0.006,0.45
2017-08-08,1.003,1.009,1.018,0.99,57927,5842184.0,2.79,0.6,0.006,0.61
2017-08-09,1.008,1.001,1.008,0.996,10467,1047760.0,1.19,-0.79,-0.008,0.11
2017-08-10,1.001,1.006,1.018,1.0,34141,3443791.0,1.8,0.5,0.005,0.36
2017-08-11,1.004,1.0,1.03,0.997,80485,8189251.0,3.28,-0.6,-0.006,0.85
2017-08-14,1.002,1.014,1.014,0.994,30978,3121456.0,2.0,1.4,0.014,0.33
2017-08-15,1.014,1.016,1.022,1.007,38510,3908134.0,1.48,0.2,0.002,0.41
2017-08-16,1.01,1.028,1.03,1.01,113009,11548707.0,1.97,1.18,0.012,1.19
2017-08-17,1.028,1.033,1.047,1.028,142452,14826316.0,1.85,0.49,0.005,1.5
2017-08-18,1.03,1.025,1.037,1.024,28331,2917520.0,1.26,-0.77,-0.008,0.3
2017-08-21,1.025,1.029,1.035,1.022,16232,1665679.0,1.27,0.39,0.004,0.17
2017-08-22,1.029,1.015,1.03,1.014,9905,1010096.0,1.55,-1.36,-0.014,0.1
2017-08-23,1.015,1.016,1.019,1.011,8320,845032.0,0.79,0.1,0.001,0.09
2017-08-24,1.009,1.006,1.017,1.004,17693,1781868.0,1.28,-0.98,-0.01,0.19
2017-08-25,1.006,1.015,1.016,1.003,15693,1587541.0,1.29,0.89,0.009,0.17
2017-08-28,1.012,1.024,1.027,1.012,35198,3593108.0,1.48,0.89,0.009,0.37
2017-08-29,1.024,1.011,1.024,1.011,8285,841764.0,1.27,-1.27,-0.013,0.09
2017-08-30,1.011,1.013,1.014,1.011,11908,1205159.0,0.3,0.2,0.002,0.13
2017-08-31,1.014,1.013,1.016,1.013,14392,1459299.0,0.3,0.0,0.0,0.15
2017-09-01,1.013,1.018,1.018,1.013,9812,996353.0,0.49,0.49,0.005,0.1
2017-09-04,1.02,1.032,1.04,1.02,36882,3801300.0,1.96,1.38,0.014,0.39
2017-09-05,1.032,1.028,1.032,1.026,11521,1186237.0,0.58,-0.39,-0.004,0.12
2017-09-06,1.026,1.04,1.041,1.025,30582,3165027.0,1.56,1.17,0.012,0.32
2017-09-07,1.04,1.029,1.041,1.004,50308,5212807.0,3.56,-1.06,-0.011,0.53
2017-09-08,1.029,1.024,1.034,1.022,11195,1153288.0,1.17,-0.49,-0.005,0.12
2017-09-11,1.039,1.031,1.039,1.021,12111,1246901.0,1.76,0.68,0.007,0.13
2017-09-12,1.032,1.032,1.032,1.029,6917,712846.0,0.29,0.1,0.001,0.07
2017-09-13,1.033,1.033,1.034,1.027,18473,1902880.0,0.68,0.1,0.001,0.2
2017-09-14,1.033,1.03,1.033,1.025,8228,844991.0,0.77,-0.29,-0.003,0.09
2017-09-15,1.031,1.037,1.039,1.031,19470,2014026.0,0.78,0.68,0.007,0.21
2017-09-18,1.038,1.042,1.043,1.037,24912,2594638.0,0.58,0.48,0.005,0.26
2017-09-19,1.04,1.04,1.041,1.033,3023,313997.0,0.77,-0.19,-0.002,0.03
2017-09-20,1.04,1.048,1.049,1.04,21215,2218928.0,0.87,0.77,0.008,0.22
2017-09-21,1.044,1.044,1.051,1.041,6400,670258.0,0.95,-0.38,-0.004,0.07
2017-09-22,1.041,1.037,1.041,1.031,4838,501226.0,0.96,-0.67,-0.007,0.05
2017-09-25,1.041,1.034,1.047,1.034,13677,1425166.0,1.25,-0.29,-0.003,0.14
2017-09-26,1.037,1.035,1.037,1.021,5975,615428.0,1.55,0.1,0.001,0.06
2017-09-27,1.035,1.044,1.044,1.034,8044,837144.0,0.97,0.87,0.009,0.08
2017-09-28,1.044,1.048,1.054,1.04,27554,2891445.0,1.34,0.38,0.004,0.29
2017-09-29,1.053,1.055,1.055,1.05,8580,904267.0,0.48,0.67,0.007,0.09
2017-10-09,1.06,1.06,1.063,1.051,7974,842518.0,1.14,0.47,0.005,0.08
2017-10-10,1.05,1.06,1.06,1.04,8373,878968.0,1.89,0.0,0.0,0.09
2017-10-11,1.042,1.05,1.059,1.042,4505,474823.0,1.6,-0.94,-0.01,0.05
2017-10-12,1.058,1.065,1.079,1.057,7731,821832.0,2.1,1.43,0.015,0.08
2017-10-13,1.052,1.06,1.06,1.052,2498,263650.0,0.75,-0.47,-0.005,0.03
2017-10-16,1.053,1.06,1.08,1.053,4806,509759.0,2.55,0.0,0.0,0.05
2017-10-17,1.054,1.055,1.055,1.046,4427,464613.0,0.85,-0.47,-0.005,0.05
2017-10-18,1.056,1.048,1.056,1.048,2224,234277.0,0.76,-0.66,-0.007,0.02
2017-10-19,1.048,1.024,1.048,1.017,3059,317580.0,2.96,-2.29,-0.024,0.03
2017-10-20,1.02,1.033,1.033,1.02,4032,414440.0,1.27,0.88,0.009,0.04
2017-10-23,1.055,1.035,1.055,1.032,6633,688496.0,2.23,0.19,0.002,0.07
2017-10-24,1.034,1.038,1.038,1.012,2878,294626.0,2.51,0.29,0.003,0.03
2017-10-25,1.012,1.033,1.033,1.012,2135,218050.0,2.02,-0.48,-0.005,0.02
2017-10-26,1.015,1.03,1.032,1.014,2520,257849.0,1.74,-0.29,-0.003,0.03
2017-10-27,1.03,1.022,1.03,1.022,3615,369913.0,0.78,-0.78,-0.008,0.04
2017-10-30,1.029,0.996,1.029,0.983,7899,788858.0,4.5,-2.54,-0.026,0.08
2017-10-31,0.996,0.999,1.009,0.99,3980,396647.0,1.91,0.3,0.003,0.04
2017-11-01,0.998,0.998,1.004,0.998,570,57036.0,0.6,-0.1,-0.001,0.01
2017-11-02,0.998,0.989,0.998,0.989,2488,246421.0,0.9,-0.9,-0.009,0.03
2017-11-03,0.989,0.988,0.998,0.988,823,81458.0,1.01,-0.1,-0.001,0.01
2017-11-06,0.988,1.003,1.009,0.988,855,84929.0,2.13,1.52,0.015,0.01
2017-11-07,1.003,1.0,1.007,0.995,655,65489.0,1.2,-0.3,-0.003,0.01
2017-11-08,1.008,1.007,1.016,1.001,7002,705441.0,1.5,0.7,0.007,0.07
2017-11-09,1.007,1.021,1.021,1.006,4918,499638.0,1.49,1.39,0.014,0.05
