日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-07-25,1.02,1.027,1.034,1.019,1309047,133960849.0,1.47,0.49,0.005,11.85
2014-07-28,1.03,1.045,1.05,1.03,269419,28092436.0,1.95,1.75,0.018,2.44
2014-07-29,1.045,1.043,1.049,1.01,155833,16207221.0,3.73,-0.19,-0.002,1.41
2014-07-30,1.04,1.045,1.045,1.038,186062,19389604.0,0.67,0.19,0.002,1.68
2014-07-31,1.048,1.063,1.063,1.047,50157,5283970.0,1.53,1.72,0.018,0.45
2014-08-01,1.06,1.065,1.078,1.06,21561,2302528.0,1.69,0.19,0.002,0.2
2014-08-04,1.069,1.08,1.08,1.067,22620,2432287.0,1.22,1.41,0.015,0.2
2014-08-05,1.074,1.077,1.08,1.07,71726,7720332.0,0.93,-0.28,-0.003,0.65
2014-08-06,1.071,1.076,1.08,1.067,49536,5317551.0,1.21,-0.09,-0.001,0.45
2014-08-07,1.073,1.055,1.074,1.055,20356,2182167.0,1.77,-1.95,-0.021,0.18
2014-08-08,1.061,1.058,1.062,1.056,49418,5237881.0,0.57,0.28,0.003,0.45
2014-08-11,1.066,1.078,1.078,1.066,46686,5010883.0,1.13,1.89,0.02,0.42
2014-08-12,1.072,1.08,1.081,1.072,27969,3016736.0,0.83,0.19,0.002,0.25
2014-08-13,1.077,1.081,1.09,1.077,109119,11811070.0,1.2,0.09,0.001,0.99
2014-08-14,1.08,1.069,1.08,1.069,8404,906079.0,1.02,-1.11,-0.012,0.08
2014-08-15,1.07,1.078,1.083,1.07,89792,9679769.0,1.22,0.84,0.009,0.81
2014-08-18,1.085,1.083,1.086,1.08,45894,4972337.0,0.56,0.46,0.005,0.42
2014-08-19,1.081,1.083,1.084,1.076,55264,5974977.0,0.74,0.0,0.0,0.5
2014-08-20,1.083,1.086,1.092,1.083,75805,8247287.0,0.83,0.28,0.003,0.69
2014-08-21,1.081,1.081,1.084,1.072,26306,2841607.0,1.1,-0.46,-0.005,0.24
2014-08-22,1.081,1.082,1.088,1.081,49545,5372765.0,0.65,0.09,0.001,0.45
2014-08-25,1.078,1.079,1.082,1.076,40233,4343270.0,0.55,-0.28,-0.003,0.36
2014-08-26,1.076,1.065,1.076,1.064,8030,858377.0,1.11,-1.3,-0.014,0.07
2014-08-27,1.068,1.066,1.07,1.064,6604,705272.0,0.56,0.09,0.001,0.06
2014-08-28,1.065,1.061,1.07,1.061,10932,1166776.0,0.84,-0.47,-0.005,0.1
2014-08-29,1.066,1.074,1.074,1.065,23550,2515455.0,0.85,1.23,0.013,0.21
2014-09-01,1.075,1.081,1.081,1.075,22532,2427341.0,0.56,0.65,0.007,0.2
2014-09-02,1.08,1.093,1.094,1.08,54003,5870811.0,1.3,1.11,0.012,0.49
2014-09-03,1.098,1.099,1.102,1.094,28732,3156614.0,0.73,0.55,0.006,0.26
2014-09-04,1.097,1.103,1.104,1.094,18760,2058671.0,0.91,0.36,0.004,0.17
2014-09-05,1.108,1.112,1.113,1.1,28880,3201869.0,1.18,0.82,0.009,0.26
2014-09-09,1.113,1.114,1.115,1.113,12098,1347204.0,0.18,0.18,0.002,0.11
2014-09-10,1.111,1.112,1.112,1.104,23842,2641662.0,0.72,-0.18,-0.002,0.22
2014-09-11,1.11,1.099,1.115,1.097,41450,4588965.0,1.62,-1.17,-0.013,0.38
2014-09-12,1.097,1.105,1.105,1.095,6899,756631.0,0.91,0.55,0.006,0.06
2014-09-15,1.104,1.103,1.106,1.1,17591,1940504.0,0.54,-0.18,-0.002,0.16
2014-09-16,1.104,1.086,1.104,1.085,8504,930056.0,1.72,-1.54,-0.017,0.08
2014-09-17,1.085,1.086,1.086,1.08,20288,2196687.0,0.55,0.0,0.0,0.18
2014-09-18,1.083,1.09,1.093,1.083,15247,1656042.0,0.92,0.37,0.004,0.14
2014-09-19,1.089,1.101,1.102,1.089,25473,2794711.0,1.19,1.01,0.011,0.23
2014-09-22,1.094,1.084,1.094,1.081,10642,1161802.0,1.18,-1.54,-0.017,0.1
2014-09-23,1.09,1.093,1.093,1.085,16183,1760530.0,0.74,0.83,0.009,0.15
2014-09-24,1.093,1.108,1.108,1.093,43932,4823312.0,1.37,1.37,0.015,0.4
2014-09-25,1.111,1.102,1.114,1.102,27698,3071192.0,1.08,-0.54,-0.006,0.25
2014-09-26,1.101,1.107,1.109,1.098,50238,5538822.0,1.0,0.45,0.005,0.45
2014-09-29,1.108,1.116,1.117,1.108,47971,5345381.0,0.81,0.81,0.009,0.43
2014-09-30,1.119,1.117,1.119,1.111,74514,8304373.0,0.72,0.09,0.001,0.67
2014-10-08,1.117,1.131,1.131,1.107,103033,11518897.0,2.15,1.25,0.014,0.93
2014-10-09,1.126,1.128,1.132,1.121,19569,2206342.0,0.97,-0.27,-0.003,0.18
2014-10-10,1.127,1.117,1.127,1.113,25031,2802414.0,1.24,-0.98,-0.011,0.23
2014-10-13,1.116,1.103,1.116,1.093,24808,2728725.0,2.06,-1.25,-0.014,0.22
2014-10-14,1.104,1.098,1.107,1.097,23567,2602117.0,0.91,-0.45,-0.005,0.21
2014-10-15,1.1,1.104,1.106,1.094,38285,4209821.0,1.09,0.55,0.006,0.35
2014-10-16,1.103,1.097,1.109,1.097,57327,6326109.0,1.09,-0.63,-0.007,0.52
2014-10-17,1.096,1.097,1.098,1.082,53086,5805858.0,1.46,0.0,0.0,0.48
2014-10-20,1.101,1.103,1.104,1.098,23074,2541315.0,0.55,0.55,0.006,0.21
2014-10-21,1.101,1.096,1.102,1.095,35302,3881160.0,0.63,-0.63,-0.007,0.32
2014-10-22,1.095,1.08,1.095,1.08,19804,2159401.0,1.37,-1.46,-0.016,0.18
2014-10-23,1.08,1.065,1.08,1.064,13201,1409624.0,1.48,-1.39,-0.015,0.12
2014-10-24,1.065,1.065,1.068,1.062,7024,748135.0,0.56,0.0,0.0,0.06
2014-10-27,1.063,1.065,1.066,1.054,50103,5319026.0,1.13,0.0,0.0,0.45
2014-10-28,1.069,1.076,1.076,1.067,14437,1544832.0,0.85,1.03,0.011,0.13
2014-10-29,1.075,1.082,1.084,1.072,57789,6228441.0,1.12,0.56,0.006,0.52
2014-10-30,1.078,1.081,1.089,1.078,48618,5275348.0,1.02,-0.09,-0.001,0.44
2014-10-31,1.081,1.084,1.089,1.07,73865,7961670.0,1.76,0.28,0.003,0.67
2014-11-03,1.083,1.083,1.083,1.077,7672,830286.0,0.55,-0.09,-0.001,0.07
2014-11-04,1.078,1.067,1.078,1.066,27008,2903899.0,1.11,-1.48,-0.016,0.24
2014-11-05,1.062,1.062,1.063,1.058,12957,1374738.0,0.47,-0.47,-0.005,0.12
2014-11-06,1.062,1.064,1.064,1.058,23684,2513174.0,0.56,0.19,0.002,0.21
2014-11-07,1.063,1.054,1.066,1.052,31091,3304189.0,1.32,-0.94,-0.01,0.28
2014-11-10,1.055,1.079,1.08,1.055,37796,4032176.0,2.37,2.37,0.025,0.34
2014-11-11,1.08,1.072,1.089,1.064,38121,4098028.0,2.32,-0.65,-0.007,0.35
2014-11-12,1.071,1.087,1.087,1.07,30537,3283862.0,1.59,1.4,0.015,0.28
2014-11-13,1.086,1.08,1.089,1.079,27923,3025743.0,0.92,-0.64,-0.007,0.25
2014-11-14,1.08,1.093,1.096,1.08,73059,7960628.0,1.48,1.2,0.013,0.66
2014-11-17,1.094,1.096,1.106,1.094,47479,5228511.0,1.1,0.27,0.003,0.43
2014-11-18,1.097,1.09,1.099,1.087,31615,3453893.0,1.09,-0.55,-0.006,0.29
2014-11-19,1.088,1.089,1.09,1.085,30865,3357360.0,0.46,-0.09,-0.001,0.28
2014-11-20,1.089,1.08,1.089,1.079,8150,880401.0,0.92,-0.83,-0.009,0.07
2014-11-21,1.083,1.087,1.09,1.08,23760,2578112.0,0.93,0.65,0.007,0.22
2014-11-24,1.089,1.091,1.097,1.086,29269,3197486.0,1.01,0.37,0.004,0.26
2014-11-25,1.09,1.1,1.106,1.09,25617,2817165.0,1.47,0.82,0.009,0.23
2014-11-26,1.101,1.11,1.111,1.101,23117,2563817.0,0.91,0.91,0.01,0.21
2014-11-27,1.113,1.117,1.118,1.107,23855,2658783.0,0.99,0.63,0.007,0.22
2014-11-28,1.115,1.11,1.115,1.105,11635,1292067.0,0.9,-0.63,-0.007,0.11
2014-12-01,1.112,1.132,1.133,1.11,24260,2728594.0,2.07,1.98,0.022,0.22
2014-12-02,1.131,1.142,1.144,1.13,17881,2032021.0,1.24,0.88,0.01,0.16
2014-12-03,1.144,1.16,1.17,1.144,8585,993716.0,2.28,1.58,0.018,0.08
2014-12-04,1.163,1.188,1.188,1.163,24523,2890421.0,2.16,2.41,0.028,0.22
2014-12-05,1.191,1.156,1.196,1.137,12018,1395312.0,4.97,-2.69,-0.032,0.11
2014-12-08,1.157,1.172,1.173,1.147,9570,1107976.0,2.25,1.38,0.016,0.09
2014-12-09,1.171,1.148,1.208,1.14,24621,2909559.0,5.8,-2.05,-0.024,0.22
2014-12-10,1.148,1.187,1.187,1.148,12792,1502323.0,3.4,3.4,0.039,0.12
2014-12-11,1.189,1.191,1.201,1.18,14304,1705842.0,1.77,0.34,0.004,0.13
