日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-08-01,1.007,0.995,1.008,0.992,1078994,108366186.0,1.58,-1.49,-0.015,2.03
2019-08-02,0.985,0.983,0.988,0.971,196880,19330816.0,1.71,-1.21,-0.012,0.37
2019-08-05,0.981,0.98,1.0,0.978,188142,18647700.0,2.24,-0.31,-0.003,0.35
2019-08-06,0.966,0.963,0.97,0.944,154441,14776205.0,2.65,-1.73,-0.017,0.29
2019-08-07,0.968,0.951,0.968,0.95,128252,12311807.0,1.87,-1.25,-0.012,0.24
2019-08-08,0.954,0.961,0.967,0.951,83906,8031309.0,1.68,1.05,0.01,0.16
2019-08-09,0.961,0.937,0.963,0.937,118188,11186525.0,2.71,-2.5,-0.024,0.22
2019-08-12,0.937,0.951,0.954,0.933,128312,12059926.0,2.24,1.49,0.014,0.24
2019-08-13,0.95,0.946,0.955,0.935,159767,15125654.0,2.1,-0.53,-0.005,0.3
2019-08-14,0.946,0.951,0.96,0.946,112782,10763093.0,1.48,0.53,0.005,0.21
2019-08-15,0.932,0.956,0.958,0.932,111066,10498655.0,2.73,0.53,0.005,0.21
2019-08-16,0.949,0.963,0.97,0.949,162127,15595960.0,2.2,0.73,0.007,0.31
2019-08-19,0.964,0.992,0.996,0.964,235032,23132707.0,3.32,3.01,0.029,0.44
2019-08-20,0.994,0.995,1.005,0.992,385953,38541600.0,1.31,0.3,0.003,0.73
2019-08-21,0.995,1.0,1.005,0.99,308119,30849711.0,1.51,0.5,0.005,0.58
2019-08-22,1.008,1.008,1.013,1.0,481164,48487455.0,1.3,0.8,0.008,0.91
2019-08-23,1.007,1.002,1.015,0.999,159872,16076156.0,1.59,-0.6,-0.006,0.3
2019-08-26,1.002,1.004,1.007,0.991,216590,21697456.0,1.6,0.2,0.002,0.41
2019-08-27,1.006,1.026,1.029,1.006,888306,90771857.0,2.29,2.19,0.022,1.67
2019-08-28,1.026,1.022,1.04,1.02,374239,38616598.0,1.95,-0.39,-0.004,0.7
2019-08-29,1.025,1.036,1.041,1.023,367350,38027293.0,1.76,1.37,0.014,0.69
2019-08-30,1.04,1.049,1.059,1.037,489290,51331447.0,2.12,1.25,0.013,0.92
2019-09-02,1.056,1.11,1.121,1.056,819997,89511645.0,6.2,5.82,0.061,1.54
2019-09-03,1.11,1.124,1.131,1.096,455379,50602155.0,3.15,1.26,0.014,0.86
2019-09-04,1.114,1.113,1.119,1.096,413551,45847287.0,2.05,-0.98,-0.011,0.78
2019-09-05,1.113,1.115,1.132,1.107,475937,53292484.0,2.25,0.18,0.002,0.9
2019-09-06,1.12,1.116,1.124,1.11,258207,28813996.0,1.26,0.09,0.001,0.49
2019-09-09,1.129,1.135,1.136,1.113,355579,39947652.0,2.06,1.7,0.019,0.67
2019-09-10,1.135,1.118,1.15,1.112,299399,33813086.0,3.35,-1.5,-0.017,0.56
2019-09-11,1.122,1.107,1.122,1.105,243702,27157505.0,1.52,-0.98,-0.011,0.46
2019-09-12,1.107,1.108,1.11,1.101,188248,20816174.0,0.81,0.09,0.001,0.35
2019-09-16,1.11,1.111,1.118,1.108,225884,25175938.0,0.9,0.27,0.003,0.43
2019-09-17,1.11,1.074,1.111,1.071,217056,23566944.0,3.6,-3.33,-0.037,0.41
2019-09-18,1.074,1.071,1.082,1.069,178640,19213703.0,1.21,-0.28,-0.003,0.34
2019-09-19,1.07,1.089,1.09,1.07,166897,18036245.0,1.87,1.68,0.018,0.31
2019-09-20,1.089,1.082,1.094,1.075,153295,16595388.0,1.74,-0.64,-0.007,0.29
2019-09-23,1.082,1.082,1.088,1.071,133510,14397894.0,1.57,0.0,0.0,0.25
2019-09-24,1.082,1.09,1.098,1.078,157712,17164371.0,1.85,0.74,0.008,0.3
2019-09-25,1.09,1.072,1.09,1.07,141354,15247679.0,1.83,-1.65,-0.018,0.27
2019-09-26,1.08,1.022,1.08,1.021,200623,20910793.0,5.5,-4.66,-0.05,0.38
2019-09-27,1.022,1.041,1.046,1.022,147758,15367194.0,2.35,1.86,0.019,0.28
2019-09-30,1.049,1.032,1.049,1.03,112981,11710136.0,1.83,-0.86,-0.009,0.21
2019-10-08,1.032,1.011,1.041,1.01,147615,15011394.0,3.0,-2.03,-0.021,0.28
2019-10-09,1.01,1.02,1.02,1.0,725506,73702429.0,1.98,0.89,0.009,1.37
2019-10-10,1.02,1.032,1.032,1.02,150419,15451804.0,1.18,1.18,0.012,0.28
2019-10-11,1.031,1.024,1.031,1.018,159773,16381911.0,1.26,-0.78,-0.008,0.3
2019-10-14,1.026,1.043,1.046,1.026,208085,21567789.0,1.95,1.86,0.019,0.39
2019-10-15,1.043,1.026,1.043,1.019,122416,12545880.0,2.3,-1.63,-0.017,0.23
2019-10-16,1.026,1.018,1.027,1.017,73911,7563597.0,0.97,-0.78,-0.008,0.14
2019-10-17,1.018,1.015,1.022,1.014,144023,14665263.0,0.79,-0.29,-0.003,0.27
2019-10-18,1.018,0.999,1.019,0.996,92830,9363548.0,2.27,-1.58,-0.016,0.17
