日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-07-26,1.0,0.998,1.015,0.99,1819996,182802772.0,2.49,-0.6,-0.006,19.02
2017-07-27,1.0,0.997,1.003,0.994,357231,35673126.0,0.9,-0.1,-0.001,3.73
2017-07-28,0.999,0.999,1.002,0.991,63640,6347961.0,1.1,0.2,0.002,0.66
2017-07-31,0.999,0.996,1.004,0.994,150406,15029459.0,1.0,-0.3,-0.003,1.57
2017-08-01,1.0,1.008,1.01,0.995,276179,27783713.0,1.51,1.2,0.012,2.89
2017-08-02,1.008,1.019,1.025,1.008,361903,36861067.0,1.69,1.09,0.011,3.78
2017-08-03,1.019,1.004,1.024,1.003,56159,5699560.0,2.06,-1.47,-0.015,0.59
2017-08-04,1.002,1.006,1.007,0.998,27731,2781614.0,0.9,0.2,0.002,0.29
2017-08-07,1.0,0.999,1.0,0.994,8580,855446.0,0.6,-0.7,-0.007,0.09
2017-08-08,0.999,0.995,0.999,0.993,11561,1151779.0,0.6,-0.4,-0.004,0.12
2017-08-09,0.991,0.984,0.994,0.982,20909,2065303.0,1.21,-1.11,-0.011,0.22
2017-08-10,0.983,0.979,0.987,0.974,27828,2724790.0,1.32,-0.51,-0.005,0.29
2017-08-11,0.978,0.964,0.978,0.956,26835,2586928.0,2.25,-1.53,-0.015,0.28
2017-08-14,0.964,0.963,0.964,0.956,9617,923687.0,0.83,-0.1,-0.001,0.1
2017-08-15,0.963,0.976,0.984,0.963,17711,1732069.0,2.18,1.35,0.013,0.19
2017-08-16,0.97,0.97,0.973,0.968,8458,820780.0,0.51,-0.61,-0.006,0.09
2017-08-17,0.968,0.971,0.976,0.968,3157,306139.0,0.82,0.1,0.001,0.03
2017-08-18,0.969,0.973,0.976,0.965,15620,1515803.0,1.13,0.21,0.002,0.16
2017-08-21,0.973,0.972,0.973,0.967,3641,353074.0,0.62,-0.1,-0.001,0.04
2017-08-22,0.971,0.978,0.978,0.97,13643,1327397.0,0.82,0.62,0.006,0.14
2017-08-23,0.978,0.992,0.996,0.978,44273,4384521.0,1.84,1.43,0.014,0.46
2017-08-24,0.99,0.992,1.002,0.986,27270,2718407.0,1.61,0.0,0.0,0.28
2017-08-25,0.993,1.02,1.022,0.993,130598,13213751.0,2.92,2.82,0.028,1.36
2017-08-28,1.023,1.02,1.035,1.019,120753,12407964.0,1.57,0.0,0.0,1.26
2017-08-29,1.017,1.026,1.027,1.016,24908,2549069.0,1.08,0.59,0.006,0.26
2017-08-30,1.028,1.017,1.037,1.017,16088,1655598.0,1.95,-0.88,-0.009,0.17
2017-08-31,1.019,1.01,1.019,1.003,14975,1507906.0,1.57,-0.69,-0.007,0.16
2017-09-01,1.007,1.005,1.014,1.002,11227,1130204.0,1.19,-0.5,-0.005,0.12
2017-09-04,1.005,1.012,1.012,1.0,17839,1797754.0,1.19,0.7,0.007,0.19
2017-09-05,1.014,1.022,1.025,1.011,21147,2158065.0,1.38,0.99,0.01,0.22
2017-09-06,1.023,1.015,1.023,1.012,11249,1141881.0,1.08,-0.68,-0.007,0.12
2017-09-07,1.017,1.006,1.017,1.006,27251,2756555.0,1.08,-0.89,-0.009,0.28
2017-09-08,1.005,1.007,1.013,1.005,4760,479655.0,0.8,0.1,0.001,0.05
2017-09-11,1.006,1.006,1.015,1.003,31484,3172331.0,1.19,-0.1,-0.001,0.33
2017-09-12,1.005,1.008,1.008,0.998,20682,2069798.0,0.99,0.2,0.002,0.22
2017-09-13,1.004,1.004,1.006,1.002,19803,1987671.0,0.4,-0.4,-0.004,0.21
2017-09-14,1.004,0.995,1.005,0.995,6650,663264.0,1.0,-0.9,-0.009,0.07
2017-09-15,0.996,0.994,0.996,0.99,21599,2143479.0,0.6,-0.1,-0.001,0.23
2017-09-18,0.994,0.995,0.998,0.994,18777,1869985.0,0.4,0.1,0.001,0.2
2017-09-19,0.995,0.995,0.998,0.987,20814,2064885.0,1.11,0.0,0.0,0.22
2017-09-20,0.996,0.995,0.998,0.991,11079,1100611.0,0.7,0.0,0.0,0.12
2017-09-21,0.994,1.002,1.003,0.992,16714,1671352.0,1.11,0.7,0.007,0.17
2017-09-22,1.002,1.002,1.007,0.997,15435,1545398.0,1.0,0.0,0.0,0.16
2017-09-25,1.002,1.003,1.003,0.99,37104,3712754.0,1.3,0.1,0.001,0.39
2017-09-26,1.004,1.003,1.005,1.0,16141,1619776.0,0.5,0.0,0.0,0.17
2017-09-27,0.998,0.996,0.999,0.994,25171,2510512.0,0.5,-0.7,-0.007,0.26
2017-09-28,0.995,0.994,0.995,0.991,21667,2148284.0,0.4,-0.2,-0.002,0.23
2017-09-29,0.994,0.998,0.998,0.993,17456,1740169.0,0.5,0.4,0.004,0.18
2017-10-09,1.02,1.01,1.024,1.007,47852,4855727.0,1.7,1.2,0.012,0.5
2017-10-10,1.009,1.013,1.013,1.005,13656,1375010.0,0.79,0.3,0.003,0.14
2017-10-11,1.012,1.014,1.017,1.012,17072,1734071.0,0.49,0.1,0.001,0.18
2017-10-12,1.014,1.017,1.018,1.014,8009,813049.0,0.39,0.3,0.003,0.08
2017-10-13,1.016,1.013,1.016,1.012,3403,345023.0,0.39,-0.39,-0.004,0.04
2017-10-16,1.012,1.02,1.021,1.01,27798,2829860.0,1.09,0.69,0.007,0.29
2017-10-17,1.02,1.019,1.02,1.017,31821,3241927.0,0.29,-0.1,-0.001,0.33
2017-10-18,1.017,1.023,1.023,1.016,10560,1077391.0,0.69,0.39,0.004,0.11
2017-10-19,1.021,1.023,1.025,1.02,12153,1241425.0,0.49,0.0,0.0,0.13
2017-10-20,1.024,1.019,1.024,1.016,26576,2705433.0,0.78,-0.39,-0.004,0.28
2017-10-23,1.02,1.01,1.02,1.01,9365,947974.0,0.98,-0.88,-0.009,0.1
2017-10-24,1.011,1.016,1.016,1.011,18348,1862434.0,0.5,0.59,0.006,0.19
2017-10-25,1.016,1.014,1.016,1.01,9549,965958.0,0.59,-0.2,-0.002,0.1
2017-10-26,1.011,1.005,1.011,1.004,35396,3566130.0,0.69,-0.89,-0.009,0.37
2017-10-27,1.005,1.024,1.024,1.005,28281,2886299.0,1.89,1.89,0.019,0.3
2017-10-30,1.021,1.02,1.024,1.017,9767,995754.0,0.68,-0.39,-0.004,0.1
2017-10-31,1.015,1.014,1.018,1.012,17212,1743067.0,0.59,-0.59,-0.006,0.18
2017-11-01,1.011,1.005,1.011,1.003,26498,2668528.0,0.79,-0.89,-0.009,0.28
2017-11-02,1.002,1.007,1.007,0.998,21453,2148279.0,0.9,0.2,0.002,0.22
2017-11-03,1.002,1.003,1.006,0.996,21717,2167537.0,0.99,-0.4,-0.004,0.23
2017-11-06,1.001,0.997,1.001,0.994,25775,2568522.0,0.7,-0.6,-0.006,0.27
2017-11-07,0.997,1.009,1.012,0.997,29587,2973510.0,1.5,1.2,0.012,0.31
2017-11-08,1.009,1.011,1.018,1.009,20035,2028013.0,0.89,0.2,0.002,0.21
2017-11-09,1.012,1.008,1.015,1.006,1302,131508.0,0.89,-0.3,-0.003,0.01
2017-11-10,1.005,1.004,1.006,1.0,38531,3858394.0,0.6,-0.4,-0.004,0.4
2017-11-13,1.009,1.017,1.026,1.009,33350,3403790.0,1.69,1.29,0.013,0.35
2017-11-14,1.019,1.014,1.02,1.012,7866,799692.0,0.79,-0.29,-0.003,0.08
2017-11-15,1.022,1.013,1.022,1.011,19096,1935938.0,1.08,-0.1,-0.001,0.2
2017-11-16,1.011,1.009,1.011,1.007,6765,681945.0,0.39,-0.39,-0.004,0.07
2017-11-17,1.0,1.037,1.038,1.0,50749,5194144.0,3.77,2.78,0.028,0.53
2017-11-20,1.036,1.053,1.054,1.03,22934,2391999.0,2.31,1.54,0.016,0.24
2017-11-21,1.07,1.06,1.072,1.053,17978,1914521.0,1.8,0.66,0.007,0.19
2017-11-22,1.06,1.086,1.092,1.06,14320,1549365.0,3.02,2.45,0.026,0.15
2017-11-23,1.092,1.066,1.095,1.061,15642,1693505.0,3.13,-1.84,-0.02,0.16
2017-11-24,1.066,1.072,1.081,1.063,17024,1825266.0,1.69,0.56,0.006,0.18
2017-11-27,1.063,1.064,1.064,1.053,8227,870464.0,1.03,-0.75,-0.008,0.09
2017-11-28,1.06,1.047,1.06,1.046,21189,2228098.0,1.32,-1.6,-0.017,0.22
