日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-06-12,1.013,1.033,1.045,1.013,1080141,110629767.0,3.11,0.39,0.004,1.69
2019-06-13,1.033,1.023,1.039,1.017,300887,30878815.0,2.13,-0.97,-0.01,0.47
2019-06-14,1.027,0.989,1.027,0.986,271986,27329852.0,4.01,-3.32,-0.034,0.43
2019-06-17,0.994,0.978,0.994,0.97,145766,14265379.0,2.43,-1.11,-0.011,0.23
2019-06-18,0.972,0.969,0.98,0.966,361049,35058369.0,1.43,-0.92,-0.009,0.57
2019-06-19,0.992,1.006,1.02,0.992,453041,45707765.0,2.89,3.82,0.037,0.71
2019-06-20,1.001,1.019,1.025,0.997,332120,33603773.0,2.78,1.29,0.013,0.52
2019-06-21,1.019,1.037,1.05,1.019,399042,41534584.0,3.04,1.77,0.018,0.62
2019-06-24,1.032,1.037,1.044,1.027,262649,27134668.0,1.64,0.0,0.0,0.41
2019-06-25,1.034,1.02,1.034,1.009,226092,23081510.0,2.41,-1.64,-0.017,0.35
2019-06-26,1.015,1.027,1.034,1.011,234786,24090270.0,2.25,0.69,0.007,0.37
2019-06-27,1.033,1.053,1.062,1.031,485366,50875909.0,3.02,2.53,0.026,0.76
2019-06-28,1.053,1.033,1.054,1.023,266981,27630221.0,2.94,-1.9,-0.02,0.42
2019-07-01,1.06,1.078,1.078,1.053,459932,49156005.0,2.42,4.36,0.045,0.72
2019-07-02,1.076,1.06,1.08,1.057,326846,34912563.0,2.13,-1.67,-0.018,0.51
2019-07-03,1.055,1.045,1.059,1.039,295120,30904541.0,1.89,-1.42,-0.015,0.46
2019-07-04,1.046,1.033,1.052,1.026,287130,29742331.0,2.49,-1.15,-0.012,0.45
2019-07-05,1.03,1.044,1.045,1.03,285845,29711350.0,1.45,1.06,0.011,0.45
2019-07-08,1.044,0.998,1.044,0.995,473226,47703006.0,4.69,-4.41,-0.046,0.74
2019-07-09,0.997,1.005,1.009,0.991,276610,27702820.0,1.8,0.7,0.007,0.43
2019-07-10,1.004,1.017,1.023,1.004,346649,35203492.0,1.89,1.19,0.012,0.54
2019-07-11,1.022,1.005,1.022,0.996,266907,26961006.0,2.56,-1.18,-0.012,0.42
2019-07-12,1.005,1.007,1.011,0.994,259337,26067501.0,1.69,0.2,0.002,0.41
2019-07-15,1.0,1.032,1.036,0.992,498199,50581455.0,4.37,2.48,0.025,0.78
2019-07-16,1.02,1.037,1.044,1.02,271343,28113682.0,2.33,0.48,0.005,0.42
2019-07-17,1.037,1.061,1.073,1.035,503496,53547237.0,3.66,2.31,0.024,0.79
2019-07-18,1.05,1.041,1.055,1.037,490285,51115604.0,1.7,-1.89,-0.02,0.77
2019-07-19,1.043,1.049,1.05,1.041,566600,59298055.0,0.86,0.77,0.008,0.89
2019-07-22,1.06,1.034,1.07,1.008,2515935,259795655.0,5.91,-1.43,-0.015,3.94
2019-07-23,1.036,1.065,1.069,1.032,1144194,120630243.0,3.58,3.0,0.031,1.79
2019-07-24,1.071,1.094,1.098,1.068,875737,95565924.0,2.82,2.72,0.029,1.37
2019-07-25,1.097,1.113,1.123,1.095,702588,78063032.0,2.56,1.74,0.019,1.1
2019-07-26,1.115,1.11,1.116,1.098,524670,58102094.0,1.62,-0.27,-0.003,0.82
2019-07-29,1.113,1.123,1.131,1.11,666085,74732286.0,1.89,1.17,0.013,1.04
2019-07-30,1.122,1.111,1.13,1.108,458434,51180415.0,1.96,-1.07,-0.012,0.72
2019-07-31,1.109,1.118,1.126,1.108,846857,94911853.0,1.62,0.63,0.007,1.33
2019-08-01,1.108,1.112,1.121,1.101,623785,69317904.0,1.79,-0.54,-0.006,0.98
2019-08-02,1.089,1.1,1.108,1.079,838585,91911916.0,2.61,-1.08,-0.012,1.31
2019-08-05,1.093,1.085,1.116,1.082,651186,71600346.0,3.09,-1.36,-0.015,1.02
