日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-08-22,0.993,0.976,0.996,0.975,795437,78646878.0,2.11,-2.11,-0.021,5.75
2016-08-23,0.978,0.974,0.981,0.971,127101,12426341.0,1.02,-0.2,-0.002,0.92
2016-08-24,0.974,0.981,0.989,0.97,145456,14295977.0,1.95,0.72,0.007,1.05
2016-08-25,0.981,0.976,0.981,0.964,114158,11057342.0,1.73,-0.51,-0.005,0.83
2016-08-26,0.986,0.983,0.988,0.972,95061,9334776.0,1.64,0.72,0.007,0.69
2016-08-29,0.983,0.985,0.992,0.98,178298,17600887.0,1.22,0.2,0.002,1.29
2016-08-30,0.982,0.991,0.998,0.979,409949,40752512.0,1.93,0.61,0.006,2.96
2016-08-31,0.991,0.984,0.991,0.982,35106,3458219.0,0.91,-0.71,-0.007,0.25
2016-09-01,0.983,0.975,0.989,0.974,39717,3911157.0,1.52,-0.91,-0.009,0.29
2016-09-02,0.975,0.967,0.976,0.963,41721,4043912.0,1.33,-0.82,-0.008,0.3
2016-09-05,0.985,0.97,0.985,0.967,33648,3267232.0,1.86,0.31,0.003,0.24
2016-09-06,0.966,0.978,0.979,0.96,63759,6196538.0,1.96,0.82,0.008,0.46
2016-09-07,0.981,0.981,0.989,0.98,106803,10538480.0,0.92,0.31,0.003,0.77
2016-09-08,0.982,0.982,0.985,0.98,37369,3669139.0,0.51,0.1,0.001,0.27
2016-09-09,0.983,0.98,0.991,0.98,300964,29661992.0,1.12,-0.2,-0.002,2.18
2016-09-12,0.97,0.952,0.97,0.952,60368,5788583.0,1.84,-2.86,-0.028,0.44
2016-09-13,0.967,0.96,0.967,0.951,30223,2890819.0,1.68,0.84,0.008,0.22
2016-09-14,0.953,0.957,0.959,0.953,21708,2076054.0,0.63,-0.31,-0.003,0.16
2016-09-19,0.954,0.958,0.97,0.954,25141,2408743.0,1.67,0.1,0.001,0.18
2016-09-20,0.954,0.951,0.957,0.951,30026,2863472.0,0.63,-0.73,-0.007,0.22
2016-09-21,0.95,0.956,0.958,0.95,38671,3696442.0,0.84,0.53,0.005,0.28
2016-09-22,0.964,0.956,0.964,0.955,28289,2708391.0,0.94,0.0,0.0,0.2
2016-09-23,0.956,0.953,0.958,0.953,51185,4881685.0,0.52,-0.31,-0.003,0.37
2016-09-26,0.952,0.93,0.953,0.929,41507,3902622.0,2.52,-2.41,-0.023,0.3
2016-09-27,0.93,0.932,0.933,0.921,46090,4275776.0,1.29,0.22,0.002,0.33
2016-09-28,0.932,0.935,0.938,0.93,23709,2213160.0,0.86,0.32,0.003,0.17
2016-09-29,0.935,0.933,0.94,0.932,28427,2660750.0,0.86,-0.21,-0.002,0.21
2016-09-30,0.935,0.937,0.941,0.935,11977,1124540.0,0.64,0.43,0.004,0.09
2016-10-10,0.936,0.964,0.964,0.936,51938,4967037.0,2.99,2.88,0.027,0.38
2016-10-11,0.963,0.972,0.975,0.963,43352,4215853.0,1.24,0.83,0.008,0.31
2016-10-12,0.966,0.971,0.972,0.96,59568,5768540.0,1.23,-0.1,-0.001,0.43
2016-10-13,0.971,0.973,0.976,0.97,21626,2103614.0,0.62,0.21,0.002,0.16
2016-10-14,0.969,0.972,0.972,0.963,30105,2910331.0,0.92,-0.1,-0.001,0.22
2016-10-17,0.972,0.957,0.975,0.956,19335,1868452.0,1.95,-1.54,-0.015,0.14
2016-10-18,0.953,0.969,0.971,0.953,24407,2349920.0,1.88,1.25,0.012,0.18
2016-10-19,0.969,0.973,0.977,0.968,36125,3511971.0,0.93,0.41,0.004,0.26
2016-10-20,0.978,0.974,0.98,0.973,32402,3162062.0,0.72,0.1,0.001,0.23
