日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-11-23,0.983,0.974,0.988,0.973,96752,9516013.0,1.52,-1.52,-0.015,1.54
2018-11-26,0.972,0.977,0.986,0.972,120451,11836779.0,1.44,0.31,0.003,1.92
2018-11-27,0.979,0.975,0.982,0.974,13148,1289066.0,0.82,-0.2,-0.002,0.21
2018-11-28,0.971,0.982,0.983,0.971,295,28893.0,1.23,0.72,0.007,0.0
2018-11-29,0.985,0.977,0.986,0.977,15337,1509129.0,0.92,-0.51,-0.005,0.24
2018-11-30,0.98,0.985,0.985,0.978,681,66895.0,0.72,0.82,0.008,0.01
2018-12-03,0.997,1.002,1.006,0.996,2685,269119.0,1.02,1.73,0.017,0.04
2018-12-04,1.0,1.003,1.006,1.0,42256,4239169.0,0.6,0.1,0.001,0.67
2018-12-05,0.999,1.0,1.002,0.996,1282,128137.0,0.6,-0.3,-0.003,0.02
2018-12-06,0.994,0.989,0.994,0.985,1435,141721.0,0.9,-1.1,-0.011,0.02
2018-12-07,0.99,0.986,0.99,0.985,224,22130.0,0.51,-0.3,-0.003,0.0
2018-12-10,0.981,0.976,0.983,0.974,742,72599.0,0.91,-1.01,-0.01,0.01
2018-12-11,0.978,0.977,0.979,0.976,1581,154380.0,0.31,0.1,0.001,0.03
2018-12-12,0.98,0.975,0.981,0.974,197,19263.0,0.72,-0.2,-0.002,0.0
2018-12-13,0.978,0.985,0.99,0.976,3319,326125.0,1.44,1.03,0.01,0.05
2018-12-14,0.979,0.973,0.979,0.973,113,11018.0,0.61,-1.22,-0.012,0.0
2018-12-17,0.973,0.978,0.978,0.972,811,79128.0,0.62,0.51,0.005,0.01
2018-12-18,0.975,0.967,0.975,0.967,502,48710.0,0.82,-1.12,-0.011,0.01
2018-12-19,0.969,0.957,0.969,0.957,484,46613.0,1.24,-1.03,-0.01,0.01
2018-12-20,0.956,0.941,0.956,0.933,1607,150790.0,2.4,-1.67,-0.016,0.03
2018-12-21,0.935,0.925,0.935,0.924,815,75608.0,1.17,-1.7,-0.016,0.01
2018-12-24,0.925,0.923,0.927,0.923,86,7942.0,0.43,-0.22,-0.002,0.0
2018-12-25,0.916,0.925,0.927,0.912,1168,106730.0,1.63,0.22,0.002,0.02
2018-12-26,0.923,0.922,0.924,0.92,154,14201.0,0.43,-0.32,-0.003,0.0
2018-12-27,0.929,0.926,0.929,0.926,45,4174.0,0.33,0.43,0.004,0.0
2018-12-28,0.932,0.931,0.938,0.931,139,12952.0,0.76,0.54,0.005,0.0
2019-01-02,0.915,0.916,0.916,0.912,342,31287.0,0.43,-1.61,-0.015,0.01
2019-01-03,0.915,0.922,0.923,0.915,309158,28385424.0,0.87,0.66,0.006,4.93
2019-01-04,0.918,0.941,0.943,0.918,1604,148820.0,2.71,2.06,0.019,0.03
2019-01-07,0.945,0.941,0.945,0.936,352,33130.0,0.96,0.0,0.0,0.01
2019-01-08,0.939,0.934,0.939,0.933,95,8884.0,0.64,-0.74,-0.007,0.0
2019-01-09,0.934,0.944,0.953,0.934,4034,383263.0,2.03,1.07,0.01,0.06
2019-01-10,0.938,0.943,0.944,0.938,152,14340.0,0.64,-0.11,-0.001,0.0
2019-01-11,0.942,0.949,0.953,0.942,120,11385.0,1.17,0.64,0.006,0.0
2019-01-14,0.949,0.944,0.949,0.942,71,6711.0,0.74,-0.53,-0.005,0.0
2019-01-15,0.945,0.952,0.953,0.945,369,35081.0,0.85,0.85,0.008,0.01
2019-01-16,0.951,0.954,0.954,0.951,105,9993.0,0.32,0.21,0.002,0.0
2019-01-17,0.955,0.954,0.957,0.949,180,17195.0,0.84,0.0,0.0,0.0
2019-01-18,0.959,0.967,0.968,0.958,315,30344.0,1.05,1.36,0.013,0.01
2019-01-21,0.97,0.968,0.97,0.968,90,8724.0,0.21,0.1,0.001,0.0
2019-01-22,0.968,0.958,0.97,0.958,146,14047.0,1.24,-1.03,-0.01,0.0
2019-01-23,0.964,0.964,0.966,0.964,9050,872424.0,0.21,0.63,0.006,0.14
2019-01-24,0.963,0.979,0.979,0.963,5389,523810.0,1.66,1.56,0.015,0.09
2019-01-25,0.973,0.987,0.991,0.973,2607,254546.0,1.84,0.82,0.008,0.04
2019-01-28,0.989,0.988,0.997,0.988,233,23151.0,0.91,0.1,0.001,0.0
2019-01-29,0.985,0.997,0.997,0.984,240,23879.0,1.32,0.91,0.009,0.0
2019-01-30,0.996,0.993,0.996,0.991,3720,369604.0,0.5,-0.4,-0.004,0.06
2019-01-31,0.993,1.003,1.008,0.993,354072,35512212.0,1.51,1.01,0.01,5.65
2019-02-01,1.003,1.008,1.008,1.0,369059,37074796.0,0.8,0.5,0.005,5.89
2019-02-11,1.0,1.004,1.007,1.0,95165,9572575.0,0.69,-0.4,-0.004,1.52
2019-02-12,1.008,1.008,1.011,1.001,182281,18353863.0,1.0,0.4,0.004,2.91
2019-02-13,1.01,1.02,1.027,1.002,654391,66035103.0,2.48,1.19,0.012,10.44
2019-02-14,1.019,1.016,1.019,1.013,61191,6224649.0,0.59,-0.39,-0.004,0.98
2019-02-15,1.012,1.0,1.012,1.0,66336,6680815.0,1.18,-1.57,-0.016,1.06
2019-02-18,1.006,1.018,1.018,1.006,6815,691256.0,1.2,1.8,0.018,0.11
2019-02-19,1.016,1.016,1.03,1.01,94067,9579872.0,1.96,-0.2,-0.002,1.5
2019-02-20,1.019,1.016,1.024,1.013,1047511,106593019.0,1.08,0.0,0.0,16.7
2019-02-21,1.01,1.012,1.021,0.96,102370,10414725.0,6.0,-0.39,-0.004,1.63
2019-02-22,1.009,1.024,1.024,1.005,46930,4749626.0,1.88,1.19,0.012,0.75
2019-02-25,1.037,1.067,1.102,1.036,2072012,218166418.0,6.45,4.2,0.043,33.04
2019-02-26,1.068,1.072,1.106,1.068,49038,5271181.0,3.56,0.47,0.005,0.78
2019-02-27,1.076,1.085,1.109,1.073,46172,4992679.0,3.36,1.21,0.013,0.74
2019-02-28,1.088,1.081,1.092,1.079,42736,4616443.0,1.2,-0.37,-0.004,0.68
2019-03-01,1.082,1.096,1.11,1.079,32069,3509232.0,2.87,1.39,0.015,0.51
2019-03-04,1.12,1.121,1.15,1.11,127420,14441349.0,3.65,2.28,0.025,2.03
2019-03-05,1.124,1.118,1.124,1.102,88259,9863571.0,1.96,-0.27,-0.003,1.41
2019-03-06,1.1,1.121,1.131,1.091,47213,5284030.0,3.58,0.27,0.003,0.75
2019-03-07,1.121,1.109,1.121,1.102,51747,5725622.0,1.69,-1.07,-0.012,0.83
2019-03-08,1.102,1.061,1.102,1.034,21732,2322504.0,6.13,-4.33,-0.048,0.35
2019-03-11,0.991,1.07,1.071,0.991,969,102909.0,7.54,0.85,0.009,0.02
2019-03-12,1.077,1.064,1.085,1.064,4189,451957.0,1.96,-0.56,-0.006,0.07
2019-03-13,1.051,1.074,1.08,1.051,298,31744.0,2.73,0.94,0.01,0.0
2019-03-14,1.074,1.071,1.082,1.069,1528,163949.0,1.21,-0.28,-0.003,0.02
2019-03-15,1.077,1.075,1.084,1.072,16608,1784124.0,1.12,0.37,0.004,0.26
2019-03-18,1.07,1.093,1.093,1.07,9976,1081861.0,2.14,1.67,0.018,0.16
2019-03-19,1.03,1.085,1.149,1.03,283,30829.0,10.89,-0.73,-0.008,0.0
2019-03-20,1.083,1.09,1.093,1.082,20218,2191729.0,1.01,0.46,0.005,0.32
2019-03-21,1.086,1.035,1.088,1.035,20501,2227371.0,4.86,-5.05,-0.055,0.33
2019-03-22,1.083,1.077,1.086,1.073,382,41219.0,1.26,4.06,0.042,0.01
2019-03-25,1.079,1.055,1.079,1.054,12789,1348941.0,2.32,-2.04,-0.022,0.2
2019-03-26,1.14,1.045,1.14,1.044,471,50087.0,9.1,-0.95,-0.01,0.01
2019-03-27,1.055,1.057,1.064,1.053,282,29843.0,1.05,1.15,0.012,0.0
2019-03-28,1.045,1.052,1.053,1.045,373,39147.0,0.76,-0.47,-0.005,0.01
2019-03-29,1.076,1.086,1.086,1.072,1377,148614.0,1.33,3.23,0.034,0.02
2019-04-01,1.102,1.1,1.107,1.1,1392,153315.0,0.64,1.29,0.014,0.02
2019-04-02,1.103,1.103,1.108,1.103,616,68087.0,0.45,0.27,0.003,0.01
2019-04-03,1.099,1.115,1.115,1.099,7444,822838.0,1.45,1.09,0.012,0.12
2019-04-04,1.118,1.129,1.135,1.118,2771,313195.0,1.52,1.26,0.014,0.04
2019-04-08,1.132,1.142,1.156,1.055,12936,1482700.0,8.95,1.15,0.013,0.21
2019-04-09,1.141,1.129,1.141,1.124,1318,149264.0,1.49,-1.14,-0.013,0.02
2019-04-10,1.12,1.118,1.12,1.117,66,7375.0,0.27,-0.97,-0.011,0.0
2019-04-11,1.128,1.119,1.129,1.112,484,54230.0,1.52,0.09,0.001,0.01
2019-04-12,1.117,1.117,1.117,1.112,980,109329.0,0.45,-0.18,-0.002,0.02
2019-04-15,1.113,1.122,1.147,1.113,131617,15080308.0,3.04,0.45,0.005,2.1
2019-04-16,1.119,1.166,1.166,1.119,382494,44178312.0,4.19,3.92,0.044,6.1
2019-04-17,1.164,1.157,1.172,1.155,36637,4273689.0,1.46,-0.77,-0.009,0.58
2019-04-18,1.157,1.148,1.157,1.145,250828,28740367.0,1.04,-0.78,-0.009,4.0
2019-04-19,1.153,1.157,1.164,1.147,960371,110720846.0,1.48,0.78,0.009,15.31
2019-04-22,1.156,1.128,1.156,1.126,1355,153478.0,2.59,-2.51,-0.029,0.02
2019-04-23,1.123,1.128,1.132,1.123,526,59480.0,0.8,0.0,0.0,0.01
2019-04-24,1.133,1.13,1.133,1.125,21340,2417365.0,0.71,0.18,0.002,0.34
2019-04-25,1.13,1.118,1.13,1.118,5568,625565.0,1.06,-1.06,-0.012,0.09
2019-04-26,1.11,1.103,1.112,1.1,12615,1397949.0,1.07,-1.34,-0.015,0.2
2019-04-29,1.117,1.116,1.126,1.11,25161,2816671.0,1.45,1.18,0.013,0.4
2019-04-30,1.119,1.122,1.122,1.114,17336,1939486.0,0.72,0.54,0.006,0.28
2019-05-06,1.119,1.089,1.119,1.075,4642,504106.0,3.92,-2.94,-0.033,0.07
2019-05-07,1.093,1.092,1.099,1.084,22518,2454683.0,1.38,0.28,0.003,0.36
2019-05-08,1.083,1.071,1.083,1.071,211555,22761827.0,1.1,-1.92,-0.021,3.37
2019-05-09,1.073,1.056,1.073,1.052,183024,19419345.0,1.96,-1.4,-0.015,2.92
2019-05-10,1.07,1.079,1.079,1.06,117044,12443096.0,1.8,2.18,0.023,1.87
2019-05-13,1.061,1.065,1.066,1.061,19821,2110903.0,0.46,-1.3,-0.014,0.32
2019-05-14,1.057,1.056,1.057,1.056,77,8137.0,0.09,-0.85,-0.009,0.0
2019-05-15,1.062,1.073,1.073,1.062,872,93007.0,1.04,1.61,0.017,0.01
2019-05-16,1.07,1.073,1.073,1.07,266,28464.0,0.28,0.0,0.0,0.0
2019-05-17,1.068,1.058,1.068,1.058,453,47942.0,0.93,-1.4,-0.015,0.01
2019-05-20,1.059,1.059,1.059,1.059,110,11649.0,0.0,0.09,0.001,0.0
2019-05-21,1.071,1.072,1.073,1.071,223,23910.0,0.19,1.23,0.013,0.0
2019-05-22,1.004,1.065,1.082,1.004,6125,652437.0,7.28,-0.65,-0.007,0.1
2019-05-23,1.068,1.056,1.068,1.056,146,15516.0,1.13,-0.85,-0.009,0.0
2019-05-24,1.068,1.063,1.068,1.062,5929,631184.0,0.57,0.66,0.007,0.09
2019-05-27,1.063,1.064,1.066,1.063,114,12147.0,0.28,0.09,0.001,0.0
2019-05-28,1.067,1.068,1.073,1.067,1608,172402.0,0.56,0.38,0.004,0.03
2019-05-29,1.076,1.069,1.076,1.069,134,14346.0,0.66,0.09,0.001,0.0
2019-05-30,1.058,1.067,1.067,1.058,216,23035.0,0.84,-0.19,-0.002,0.0
2019-05-31,1.058,1.058,1.058,1.058,3,317.0,0.0,-0.84,-0.009,0.0
2019-06-03,1.061,1.061,1.061,1.061,10000,1061000.0,0.0,0.28,0.003,0.16
2019-06-04,1.063,1.061,1.066,1.058,35,3723.0,0.75,0.0,0.0,0.0
2019-06-05,1.069,1.069,1.074,1.069,3153,337117.0,0.47,0.75,0.008,0.05
2019-06-06,1.073,1.073,1.074,1.073,32,3437.0,0.09,0.37,0.004,0.0
2019-06-10,1.073,1.085,1.085,1.073,412,44565.0,1.12,1.12,0.012,0.01
2019-06-11,1.088,1.093,1.099,1.088,50314,5489288.0,1.01,0.74,0.008,0.8
2019-06-12,1.089,1.092,1.099,1.087,52968,5767740.0,1.1,-0.09,-0.001,0.84
2019-06-13,1.092,1.099,1.099,1.083,2340,255523.0,1.47,0.64,0.007,0.04
2019-06-14,1.09,1.092,1.092,1.09,102,11118.0,0.18,-0.64,-0.007,0.0
2019-06-17,1.093,1.093,1.093,1.093,4,437.0,0.0,0.09,0.001,0.0
2019-06-18,1.1,1.101,1.101,1.095,93,10202.0,0.55,0.73,0.008,0.0
2019-06-19,1.112,1.114,1.118,1.111,72,8019.0,0.64,1.18,0.013,0.0
2019-06-20,1.123,1.14,1.143,1.123,1280,145631.0,1.8,2.33,0.026,0.02
2019-06-21,1.14,1.137,1.145,1.126,1323,150279.0,1.67,-0.26,-0.003,0.02
2019-06-24,1.125,1.133,1.133,1.125,28,3165.0,0.7,-0.35,-0.004,0.0
2019-06-25,1.111,1.113,1.113,1.103,343,37895.0,0.88,-1.77,-0.02,0.01
2019-06-26,1.106,1.107,1.109,1.106,207,22926.0,0.27,-0.54,-0.006,0.0
2019-06-27,1.121,1.118,1.122,1.118,108,12077.0,0.36,0.99,0.011,0.0
2019-06-28,1.115,1.113,1.115,1.104,155,17118.0,0.98,-0.45,-0.005,0.0
2019-07-01,1.127,1.128,1.128,1.121,1755,196841.0,0.63,1.35,0.015,0.03
2019-07-02,1.123,1.123,1.123,1.122,68,7635.0,0.09,-0.44,-0.005,0.0
2019-07-03,1.119,1.119,1.119,1.119,40,4476.0,0.0,-0.36,-0.004,0.0
2019-07-04,1.128,1.122,1.128,1.122,13,1460.0,0.54,0.27,0.003,0.0
2019-07-05,1.118,1.134,1.134,1.118,36,4041.0,1.43,1.07,0.012,0.0
2019-07-08,1.098,1.122,1.122,1.097,48,5273.0,2.2,-1.06,-0.012,0.0
2019-07-09,1.095,1.099,1.1,1.095,439,48238.0,0.45,-2.05,-0.023,0.01
2019-07-10,1.018,1.089,1.125,1.018,215,23611.0,9.74,-0.91,-0.01,0.0
2019-07-11,1.098,1.097,1.102,1.096,42,4607.0,0.55,0.73,0.008,0.0
2019-07-12,1.113,1.11,1.113,1.11,6,667.0,0.27,1.19,0.013,0.0
2019-07-15,1.1,1.11,1.11,1.098,544,59927.0,1.08,0.0,0.0,0.01
2019-07-16,1.107,1.104,1.107,1.104,21,2322.0,0.27,-0.54,-0.006,0.0
2019-07-17,1.1,1.1,1.105,1.1,163,17974.0,0.45,-0.36,-0.004,0.0
2019-07-18,1.1,1.102,1.105,1.1,35,3856.0,0.45,0.18,0.002,0.0
2019-07-19,1.119,1.113,1.119,1.113,140,15602.0,0.54,1.0,0.011,0.0
2019-07-22,1.115,1.112,1.12,1.112,398,44375.0,0.72,-0.09,-0.001,0.01
2019-07-23,1.111,1.111,1.111,1.111,26,2889.0,0.0,-0.09,-0.001,0.0
2019-07-24,1.125,1.125,1.125,1.125,10,1125.0,0.0,1.26,0.014,0.0
2019-07-25,1.127,1.134,1.134,1.127,178,20123.0,0.62,0.8,0.009,0.0
2019-07-26,1.139,1.137,1.14,1.132,218,24725.0,0.71,0.26,0.003,0.0
2019-07-29,1.137,1.134,1.137,1.134,1118,126894.0,0.26,-0.26,-0.003,0.02
2019-07-30,1.14,1.145,1.146,1.14,291223,33321925.0,0.53,0.97,0.011,4.64
2019-07-31,1.145,1.136,1.145,1.13,300,34207.0,1.31,-0.79,-0.009,0.0
2019-08-01,1.035,1.11,1.133,1.035,530,59960.0,8.63,-2.29,-0.026,0.01
