日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-08-23,1.055,1.043,1.06,1.036,19326,2028966.0,2.28,-1.04,-0.011,0.15
2019-08-26,1.036,1.043,1.043,1.019,4794,496018.0,2.3,0.0,0.0,0.04
2019-08-27,1.045,1.07,1.08,1.043,6393,678695.0,3.55,2.59,0.027,0.05
2019-08-28,1.074,1.069,1.074,1.06,5982,638356.0,1.31,-0.09,-0.001,0.05
2019-08-29,1.069,1.085,1.085,1.064,6281,673941.0,1.96,1.5,0.016,0.05
2019-08-30,1.085,1.051,1.12,1.05,49148,5293994.0,6.45,-3.13,-0.034,0.37
2019-09-02,1.055,1.093,1.099,1.055,21403,2315831.0,4.19,4.0,0.042,0.16
2019-09-03,1.106,1.118,1.119,1.093,23459,2594393.0,2.38,2.29,0.025,0.18
2019-09-04,1.12,1.121,1.2,1.109,36351,4078997.0,8.14,0.27,0.003,0.28
2019-09-05,1.12,1.148,1.168,1.12,26731,3048671.0,4.28,2.41,0.027,0.2
2019-09-06,1.14,1.156,1.172,1.14,22688,2616242.0,2.79,0.7,0.008,0.17
2019-09-09,1.156,1.202,1.211,1.156,91337,10780154.0,4.76,3.98,0.046,0.7
2019-09-10,1.213,1.181,1.217,1.167,89267,10555550.0,4.16,-1.75,-0.021,0.68
2019-09-11,1.184,1.16,1.185,1.16,47075,5523837.0,2.12,-1.78,-0.021,0.36
2019-09-12,1.167,1.17,1.175,1.158,20135,2349387.0,1.47,0.86,0.01,0.15
2019-09-16,1.17,1.183,1.195,1.17,44630,5281437.0,2.14,1.11,0.013,0.34
2019-09-17,1.191,1.149,1.191,1.138,72202,8350385.0,4.48,-2.87,-0.034,0.55
2019-09-18,1.149,1.143,1.154,1.135,20253,2318388.0,1.65,-0.52,-0.006,0.15
2019-09-19,1.149,1.165,1.168,1.146,24977,2884518.0,1.92,1.92,0.022,0.19
2019-09-20,1.165,1.175,1.187,1.165,67435,7950793.0,1.89,0.86,0.01,0.51
2019-09-23,1.174,1.182,1.182,1.16,35386,4127693.0,1.87,0.6,0.007,0.27
2019-09-24,1.183,1.193,1.203,1.163,90678,10803060.0,3.38,0.93,0.011,0.69
2019-09-25,1.182,1.163,1.184,1.15,66131,7707988.0,2.85,-2.51,-0.03,0.5
2019-09-26,1.157,1.111,1.166,1.11,78129,8858915.0,4.82,-4.47,-0.052,0.59
2019-09-27,1.103,1.131,1.14,1.103,80210,9053688.0,3.33,1.8,0.02,0.61
2019-09-30,1.131,1.114,1.134,1.103,62314,6978903.0,2.74,-1.5,-0.017,0.47
2019-10-08,1.113,1.088,1.114,1.088,69019,7602651.0,2.33,-2.33,-0.026,0.53
2019-10-09,1.082,1.099,1.1,1.075,37691,4121029.0,2.3,1.01,0.011,0.29
2019-10-10,1.099,1.117,1.12,1.092,20605,2273254.0,2.55,1.64,0.018,0.16
2019-10-11,1.118,1.115,1.122,1.103,26760,2970077.0,1.7,-0.18,-0.002,0.2
2019-10-14,1.118,1.14,1.141,1.118,47754,5414894.0,2.06,2.24,0.025,0.36
2019-10-15,1.155,1.107,1.155,1.102,68009,7568061.0,4.65,-2.89,-0.033,0.52
2019-10-16,1.102,1.104,1.118,1.095,36639,4041603.0,2.08,-0.27,-0.003,0.28
2019-10-17,1.103,1.106,1.113,1.101,20844,2310085.0,1.09,0.18,0.002,0.16
2019-10-18,1.109,1.087,1.112,1.085,27881,3054103.0,2.44,-1.72,-0.019,0.21
2019-10-21,1.086,1.089,1.089,1.067,18955,2048691.0,2.02,0.18,0.002,0.14
2019-10-22,1.09,1.107,1.108,1.089,28139,3098242.0,1.74,1.65,0.018,0.21
2019-10-23,1.107,1.096,1.107,1.093,22134,2439607.0,1.26,-0.99,-0.011,0.17
2019-10-24,1.096,1.091,1.096,1.08,15486,1685064.0,1.46,-0.46,-0.005,0.12
2019-10-25,1.092,1.102,1.103,1.079,30002,3277233.0,2.2,1.01,0.011,0.23
2019-10-28,1.121,1.15,1.152,1.121,72986,8308700.0,2.81,4.36,0.048,0.56
2019-10-29,1.156,1.117,1.156,1.117,58452,6630711.0,3.39,-2.87,-0.033,0.45
2019-10-30,1.121,1.12,1.128,1.1,33779,3765244.0,2.51,0.27,0.003,0.26
2019-10-31,1.12,1.102,1.121,1.099,28532,3167855.0,1.96,-1.61,-0.018,0.22
2019-11-01,1.1,1.112,1.115,1.095,25156,2778716.0,1.81,0.91,0.01,0.19
2019-11-04,1.115,1.124,1.133,1.113,47247,5321569.0,1.8,1.08,0.012,0.36
2019-11-05,1.125,1.129,1.135,1.118,71058,8011432.0,1.51,0.44,0.005,0.54
2019-11-06,1.127,1.114,1.133,1.107,35014,3905066.0,2.3,-1.33,-0.015,0.27
2019-11-07,1.118,1.123,1.127,1.114,49822,5564311.0,1.17,0.81,0.009,0.38
2019-11-08,1.127,1.127,1.141,1.125,50491,5721544.0,1.42,0.36,0.004,0.38
2019-11-11,1.122,1.1,1.122,1.096,62236,6890178.0,2.31,-2.4,-0.027,0.47
2019-11-12,1.101,1.094,1.101,1.079,42253,4599688.0,2.0,-0.55,-0.006,0.32
2019-11-13,1.093,1.103,1.104,1.087,38894,4261289.0,1.55,0.82,0.009,0.3
2019-11-14,1.095,1.12,1.124,1.095,61125,6836378.0,2.63,1.54,0.017,0.47
2019-11-15,1.116,1.117,1.135,1.113,66406,7440533.0,1.96,-0.27,-0.003,0.51
2019-11-18,1.116,1.119,1.124,1.11,10857,1213781.0,1.25,0.18,0.002,0.08
