日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-01-18,0.937,0.943,0.954,0.931,2424002,226962979.0,2.47,1.18,0.011,6.06
2019-01-21,0.943,0.945,0.949,0.942,1346611,127183325.0,0.74,0.21,0.002,3.37
2019-01-22,0.943,0.932,0.943,0.93,1576247,147463467.0,1.38,-1.38,-0.013,3.94
2019-01-23,0.93,0.929,0.934,0.927,2367811,220275752.0,0.75,-0.32,-0.003,5.92
2019-01-24,0.929,0.927,0.929,0.918,1625791,150396849.0,1.18,-0.22,-0.002,4.06
2019-01-25,0.927,0.929,0.932,0.927,896148,83250849.0,0.54,0.22,0.002,2.24
2019-01-28,0.929,0.928,0.938,0.927,891724,83309755.0,1.18,-0.11,-0.001,2.23
2019-01-29,0.925,0.926,0.929,0.917,818906,75667414.0,1.29,-0.22,-0.002,2.05
2019-01-30,0.924,0.922,0.93,0.922,501582,46465232.0,0.86,-0.43,-0.004,1.25
2019-01-31,0.923,0.923,0.928,0.92,671052,62067649.0,0.87,0.11,0.001,1.68
2019-02-01,0.923,0.934,0.934,0.923,523954,48598459.0,1.19,1.19,0.011,1.31
2019-02-11,0.933,0.946,0.946,0.933,901151,84675912.0,1.39,1.28,0.012,2.25
2019-02-12,0.944,0.955,0.955,0.944,1094513,104004189.0,1.16,0.95,0.009,2.74
2019-02-13,0.954,0.973,0.976,0.953,800581,77152940.0,2.41,1.88,0.018,2.0
2019-02-14,0.973,0.97,0.973,0.967,888888,86194545.0,0.62,-0.31,-0.003,2.22
2019-02-15,0.969,0.96,0.971,0.96,691765,66683543.0,1.13,-1.03,-0.01,1.73
2019-02-18,0.961,0.983,0.983,0.961,932539,91207595.0,2.29,2.4,0.023,2.33
2019-02-19,0.984,0.983,0.987,0.973,644513,63204187.0,1.42,0.0,0.0,1.61
2019-02-20,0.983,0.985,0.986,0.979,807145,79346196.0,0.71,0.2,0.002,2.02
2019-02-21,0.983,0.98,0.993,0.978,1501858,148301666.0,1.52,-0.51,-0.005,3.75
2019-02-22,0.978,0.993,0.993,0.975,466098,45911263.0,1.84,1.33,0.013,1.16
2019-02-25,0.993,1.039,1.04,0.993,689443,70067767.0,4.73,4.63,0.046,1.72
2019-02-26,1.037,1.037,1.057,1.029,467698,48909208.0,2.69,-0.19,-0.002,1.17
2019-02-27,1.039,1.037,1.054,1.03,539875,56242943.0,2.31,0.0,0.0,1.35
2019-02-28,1.034,1.032,1.042,1.028,359948,37254418.0,1.35,-0.48,-0.005,0.9
2019-03-01,1.033,1.042,1.042,1.026,457847,47279866.0,1.55,0.97,0.01,1.14
2019-03-04,1.042,1.051,1.069,1.042,3956312,419119184.0,2.59,0.86,0.009,9.89
2019-03-05,1.051,1.064,1.064,1.047,3998777,421919328.0,1.62,1.24,0.013,9.99
2019-03-06,1.065,1.072,1.072,1.058,4405391,469054672.0,1.32,0.75,0.008,11.01
2019-03-07,1.072,1.068,1.075,1.06,3929784,419786752.0,1.4,-0.37,-0.004,9.82
2019-03-08,1.065,1.027,1.065,1.027,2514293,265472109.0,3.56,-3.84,-0.041,6.28
2019-03-11,1.027,1.05,1.051,1.027,893368,93503997.0,2.34,2.24,0.023,2.23
2019-03-12,1.055,1.069,1.074,1.055,3934358,419690416.0,1.81,1.81,0.019,9.83
2019-03-13,1.07,1.053,1.07,1.045,3853325,408271088.0,2.34,-1.5,-0.016,9.63
2019-03-14,1.053,1.04,1.055,1.033,513318,53896916.0,2.09,-1.23,-0.013,1.28
2019-03-15,1.045,1.046,1.053,1.04,886929,93166494.0,1.25,0.58,0.006,2.22
2019-03-18,1.048,1.071,1.072,1.043,3899066,412890192.0,2.77,2.39,0.025,9.74
2019-03-19,1.071,1.073,1.082,1.069,2123449,228279860.0,1.21,0.19,0.002,5.31
2019-03-20,1.071,1.068,1.073,1.057,3860796,411130784.0,1.49,-0.47,-0.005,9.65
2019-03-21,1.071,1.072,1.078,1.07,1590184,170728399.0,0.75,0.37,0.004,3.97
2019-03-22,1.072,1.072,1.073,1.058,263091,28042405.0,1.4,0.0,0.0,0.66
2019-03-25,1.069,1.063,1.073,1.056,360425,38490797.0,1.59,-0.84,-0.009,0.9
2019-03-26,1.064,1.04,1.064,1.038,320769,33675734.0,2.45,-2.16,-0.023,0.8
2019-03-27,1.04,1.041,1.043,1.031,489159,50824315.0,1.15,0.1,0.001,1.22
2019-03-28,1.038,1.035,1.05,1.035,384250,40070464.0,1.44,-0.58,-0.006,0.96
2019-03-29,1.037,1.065,1.066,1.037,362677,38242960.0,2.8,2.9,0.03,0.91
2019-04-01,1.079,1.099,1.1,1.078,276397,30252299.0,2.07,3.19,0.034,0.69
2019-04-02,1.106,1.099,1.111,1.098,293974,32478538.0,1.18,0.0,0.0,0.73
2019-04-03,1.096,1.114,1.116,1.096,406360,44917769.0,1.82,1.36,0.015,1.02
2019-04-04,1.116,1.124,1.129,1.116,164664,18461398.0,1.17,0.9,0.01,0.41
2019-04-08,1.145,1.118,1.145,1.107,403214,44969577.0,3.38,-0.53,-0.006,1.01
2019-04-09,1.115,1.117,1.122,1.111,461056,51551179.0,0.98,-0.09,-0.001,1.15
2019-04-10,1.111,1.114,1.122,1.106,338702,37752794.0,1.43,-0.27,-0.003,0.85
2019-04-11,1.112,1.101,1.121,1.099,289181,32100493.0,1.97,-1.17,-0.013,0.72
2019-04-12,1.101,1.097,1.101,1.091,195066,21384050.0,0.91,-0.36,-0.004,0.49
2019-04-15,1.108,1.094,1.122,1.094,159346,17701181.0,2.55,-0.27,-0.003,0.4
2019-04-16,1.09,1.113,1.113,1.083,381947,41794058.0,2.74,1.74,0.019,0.95
2019-04-17,1.113,1.116,1.119,1.107,413002,45941067.0,1.08,0.27,0.003,1.03
2019-04-18,1.11,1.113,1.121,1.109,583388,64912562.0,1.08,-0.27,-0.003,1.46
2019-04-19,1.113,1.116,1.118,1.101,638279,70888751.0,1.53,0.27,0.003,1.6
2019-04-22,1.14,1.099,1.14,1.094,694199,76873822.0,4.12,-1.52,-0.017,1.73
2019-04-23,1.095,1.079,1.097,1.076,623533,67694668.0,1.91,-1.82,-0.02,1.56
2019-04-24,1.09,1.085,1.09,1.067,572650,61664062.0,2.13,0.56,0.006,1.43
2019-04-25,1.08,1.053,1.08,1.051,390534,41854670.0,2.67,-2.95,-0.032,0.98
2019-04-26,1.053,1.037,1.053,1.035,441715,46089793.0,1.71,-1.52,-0.016,1.1
2019-04-29,1.047,1.026,1.047,1.022,179207,18477715.0,2.41,-1.06,-0.011,0.45
2019-04-30,1.026,1.033,1.037,1.025,466202,47922155.0,1.17,0.68,0.007,1.17
2019-05-06,1.03,0.967,1.03,0.957,384415,37530787.0,7.07,-6.39,-0.066,0.96
2019-05-07,0.973,0.97,0.974,0.96,183929,17761262.0,1.45,0.31,0.003,0.46
2019-05-08,0.96,0.964,0.973,0.954,49594,4783373.0,1.96,-0.62,-0.006,0.12
2019-05-09,0.957,0.954,0.964,0.95,288802,27635211.0,1.45,-1.04,-0.01,0.72
2019-05-10,0.96,0.982,0.983,0.946,271903,26341454.0,3.88,2.94,0.028,0.68
2019-05-13,0.98,0.968,0.98,0.965,67432,6542023.0,1.53,-1.43,-0.014,0.17
2019-05-14,0.961,0.96,0.967,0.957,161882,15606059.0,1.03,-0.83,-0.008,0.4
2019-05-15,0.969,0.974,0.977,0.966,157331,15243115.0,1.15,1.46,0.014,0.39
2019-05-16,0.974,0.982,0.983,0.972,258924,25328263.0,1.13,0.82,0.008,0.65
2019-05-17,0.978,0.957,0.978,0.954,80776,7846882.0,2.44,-2.55,-0.025,0.2
2019-05-20,0.955,0.954,0.958,0.946,137743,13093769.0,1.25,-0.31,-0.003,0.34
2019-05-21,0.956,0.967,0.972,0.956,126118,12193480.0,1.68,1.36,0.013,0.32
2019-05-22,0.962,0.963,0.969,0.959,215190,20755854.0,1.03,-0.41,-0.004,0.54
2019-05-23,0.965,0.951,0.965,0.95,160743,15347497.0,1.56,-1.25,-0.012,0.4
2019-05-24,0.951,0.945,0.954,0.945,183091,17369679.0,0.95,-0.63,-0.006,0.46
2019-05-27,0.947,0.962,0.965,0.942,202712,19349469.0,2.43,1.8,0.017,0.51
2019-05-28,0.964,0.967,0.973,0.961,102064,9869801.0,1.25,0.52,0.005,0.26
2019-05-29,0.962,0.968,0.972,0.962,96711,9380721.0,1.03,0.1,0.001,0.24
2019-05-30,0.96,0.96,0.961,0.954,49051,4698901.0,0.72,-0.83,-0.008,0.12
2019-05-31,0.959,0.96,0.968,0.959,191190,18383927.0,0.94,0.0,0.0,0.48
2019-06-03,0.966,0.96,0.968,0.955,135484,13006973.0,1.35,0.0,0.0,0.34
2019-06-04,0.979,0.949,0.98,0.945,296370,28167097.0,3.65,-1.15,-0.011,0.74
2019-06-05,0.96,0.95,0.96,0.948,351995,33539330.0,1.26,0.11,0.001,0.88
2019-06-06,0.95,0.937,0.95,0.935,17520,1645328.0,1.58,-1.37,-0.013,0.04
2019-06-10,0.937,0.947,0.952,0.937,152177,14367608.0,1.6,1.07,0.01,0.38
2019-06-11,0.955,0.973,0.974,0.952,138366,13315546.0,2.32,2.75,0.026,0.35
2019-06-12,0.97,0.968,0.972,0.966,122500,11894859.0,0.62,-0.51,-0.005,0.31
2019-06-13,0.965,0.966,0.968,0.96,234027,22579348.0,0.83,-0.21,-0.002,0.58
2019-06-14,0.968,0.957,0.974,0.957,130074,12606083.0,1.76,-0.93,-0.009,0.33
2019-06-17,0.955,0.955,0.959,0.954,175903,16813907.0,0.52,-0.21,-0.002,0.44
2019-06-18,0.957,0.955,0.959,0.952,381634,36424554.0,0.73,0.0,0.0,0.95
2019-06-19,0.97,0.968,0.979,0.967,357464,34724530.0,1.26,1.36,0.013,0.89
2019-06-20,0.965,0.985,0.988,0.964,179357,17509797.0,2.48,1.76,0.017,0.45
2019-06-21,0.985,0.992,0.994,0.985,202974,20108404.0,0.91,0.71,0.007,0.51
2019-06-24,0.988,0.988,0.991,0.986,276022,27286055.0,0.5,-0.4,-0.004,0.69
2019-06-25,0.985,0.981,0.988,0.973,404186,39713377.0,1.52,-0.71,-0.007,1.01
2019-06-26,0.976,0.983,0.985,0.976,83653,8206219.0,0.92,0.2,0.002,0.21
2019-06-27,0.988,0.993,0.997,0.988,235638,23387233.0,0.92,1.02,0.01,0.59
2019-06-28,0.993,0.987,0.993,0.981,235212,23192838.0,1.21,-0.6,-0.006,0.59
2019-07-01,0.987,1.009,1.009,0.987,535052,53906980.0,2.23,2.23,0.022,1.34
2019-07-02,1.009,1.01,1.013,1.007,594890,60123654.0,0.59,0.1,0.001,1.49
