日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-05-12,0.99,0.979,1.002,0.973,816090,80894546.0,2.86,-3.55,-0.036,0.47
2022-05-13,1.002,1.016,1.017,1.0,1239397,125061317.0,1.74,3.78,0.037,0.72
2022-05-16,1.053,1.021,1.06,1.012,592760,61055621.0,4.72,0.49,0.005,0.34
2022-05-17,1.035,1.077,1.078,1.035,512114,54370494.0,4.21,5.48,0.056,0.3
2022-05-18,1.079,1.064,1.079,1.05,344011,36489420.0,2.69,-1.21,-0.013,0.2
2022-05-19,1.02,1.025,1.033,1.011,180738,18468645.0,2.07,-3.67,-0.039,0.1
2022-05-20,1.05,1.069,1.096,1.05,157369,16746581.0,4.49,4.29,0.044,0.09
2022-05-23,1.059,1.03,1.059,1.025,214828,22287317.0,3.18,-3.65,-0.039,0.12
2022-05-24,1.028,0.976,1.028,0.974,237459,23767918.0,5.24,-5.24,-0.054,0.14
2022-05-25,0.974,0.984,0.988,0.965,234043,22943558.0,2.36,0.82,0.008,0.14
2022-05-26,0.993,0.98,0.993,0.966,211702,20678632.0,2.74,-0.41,-0.004,0.12
2022-05-27,1.03,1.017,1.035,1.013,262488,26943026.0,2.24,3.78,0.037,0.15
2022-05-30,1.032,1.051,1.052,1.032,185086,19326343.0,1.97,3.34,0.034,0.11
2022-05-31,1.05,1.081,1.088,1.048,186838,19843821.0,3.81,2.85,0.03,0.11
2022-06-01,1.081,1.073,1.091,1.063,99934,10735974.0,2.59,-0.74,-0.008,0.06
2022-06-02,1.053,1.068,1.07,1.053,107981,11475557.0,1.58,-0.47,-0.005,0.06
2022-06-06,1.078,1.098,1.1,1.074,128069,13952195.0,2.43,2.81,0.03,0.07
2022-06-07,1.108,1.114,1.132,1.099,167034,18639254.0,3.01,1.46,0.016,0.1
2022-06-08,1.13,1.159,1.159,1.13,176516,20250082.0,2.6,4.04,0.045,0.1
2022-06-09,1.185,1.138,1.194,1.134,263144,30283510.0,5.18,-1.81,-0.021,0.15
2022-06-10,1.128,1.166,1.178,1.118,245149,28185726.0,5.27,2.46,0.028,0.14
2022-06-13,1.159,1.134,1.161,1.125,201765,23080695.0,3.09,-2.74,-0.032,0.12
2022-06-14,1.126,1.134,1.137,1.1,211779,23623781.0,3.26,0.0,0.0,0.12
2022-06-15,1.156,1.145,1.162,1.144,113640,13089019.0,1.59,0.97,0.011,0.07
2022-06-16,1.17,1.115,1.17,1.115,142933,16281425.0,4.8,-2.62,-0.03,0.08
2022-06-17,1.111,1.13,1.139,1.098,259290,29184602.0,3.68,1.35,0.015,0.15
2022-06-20,1.122,1.132,1.133,1.106,200394,22462033.0,2.39,0.18,0.002,0.12
2022-06-21,1.134,1.146,1.156,1.126,151578,17271522.0,2.65,1.24,0.014,0.09
2022-06-22,1.149,1.12,1.151,1.117,34124,3882489.0,2.97,-2.27,-0.026,0.02
2022-06-23,1.128,1.135,1.142,1.108,36428,4107483.0,3.04,1.34,0.015,0.02
2022-06-24,1.146,1.174,1.177,1.146,55212,6419076.0,2.73,3.44,0.039,0.03
2022-06-27,1.181,1.218,1.24,1.181,115641,14122971.0,5.03,3.75,0.044,0.07
2022-06-28,1.218,1.238,1.245,1.195,117280,14267635.0,4.11,1.64,0.02,0.07
2022-06-29,1.234,1.191,1.234,1.186,70203,8509150.0,3.88,-3.8,-0.047,0.04
2022-06-30,1.191,1.187,1.208,1.173,133128,15943195.0,2.94,-0.34,-0.004,0.08
2022-07-01,1.187,1.184,1.218,1.182,31783,3770538.0,3.03,-0.25,-0.003,0.02
2022-07-04,1.184,1.193,1.195,1.169,118389,14024794.0,2.2,0.76,0.009,0.07
2022-07-05,1.2,1.192,1.215,1.182,81963,9821646.0,2.77,-0.08,-0.001,0.05
2022-07-06,1.192,1.158,1.198,1.15,160074,18805067.0,4.03,-2.85,-0.034,0.09
2022-07-07,1.155,1.163,1.165,1.132,136308,15671246.0,2.85,0.43,0.005,0.08
2022-07-08,1.173,1.169,1.185,1.163,104526,12281108.0,1.89,0.52,0.006,0.06
2022-07-11,1.158,1.122,1.158,1.12,112321,12673079.0,3.25,-4.02,-0.047,0.07
2022-07-12,1.122,1.109,1.125,1.102,127538,14202822.0,2.05,-1.16,-0.013,0.07
2022-07-13,1.12,1.118,1.13,1.109,68004,7640256.0,1.89,0.81,0.009,0.04
2022-07-14,1.118,1.122,1.134,1.11,96899,10850690.0,2.15,0.36,0.004,0.06
2022-07-15,1.122,1.09,1.122,1.088,102137,11262156.0,3.03,-2.85,-0.032,0.06
2022-07-18,1.09,1.118,1.12,1.076,89212,9832365.0,4.04,2.57,0.028,0.05
2022-07-19,1.118,1.102,1.118,1.096,263602,29169541.0,1.97,-1.43,-0.016,0.15
