日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-04-25,0.97,0.954,0.978,0.946,1752664,168934719.0,3.2,-4.6,-0.046,8.25
2022-04-26,0.956,0.959,0.971,0.954,323158,31069435.0,1.78,0.52,0.005,1.52
2022-04-27,0.954,0.974,0.975,0.95,191450,18419333.0,2.61,1.56,0.015,0.9
2022-04-28,0.974,0.989,0.99,0.972,191402,18829681.0,1.85,1.54,0.015,0.9
2022-04-29,0.994,1.0,1.002,0.986,365398,36374956.0,1.62,1.11,0.011,1.72
2022-05-05,1.003,0.998,1.01,0.993,133896,13403530.0,1.7,-0.2,-0.002,0.63
2022-05-06,0.985,0.976,0.988,0.971,66087,6464980.0,1.7,-2.2,-0.022,0.31
2022-05-09,0.976,0.971,0.976,0.964,35395,3432445.0,1.23,-0.51,-0.005,0.17
2022-05-10,0.96,0.973,0.973,0.952,147560,14242402.0,2.16,0.21,0.002,0.69
2022-05-11,0.973,0.985,0.988,0.972,115505,11356521.0,1.64,1.23,0.012,0.54
2022-05-12,0.983,0.972,0.983,0.969,229368,22318149.0,1.42,-1.32,-0.013,1.08
2022-05-13,0.973,0.993,0.995,0.973,155024,15331580.0,2.26,2.16,0.021,0.73
2022-05-16,1.0,0.996,1.001,0.991,64861,6466037.0,1.01,0.3,0.003,0.31
2022-05-17,1.0,1.008,1.008,1.0,241165,24217322.0,0.8,1.2,0.012,1.14
2022-05-18,1.005,1.014,1.016,1.003,201278,20326190.0,1.29,0.6,0.006,0.95
2022-05-19,1.009,1.008,1.01,0.997,117655,11835900.0,1.28,-0.59,-0.006,0.55
2022-05-20,1.011,1.029,1.03,1.011,234560,23997856.0,1.88,2.08,0.021,1.1
2022-05-23,1.032,1.019,1.04,1.017,121057,12431684.0,2.24,-0.97,-0.01,0.57
2022-05-24,1.02,1.011,1.025,1.011,65690,6709774.0,1.37,-0.79,-0.008,0.31
2022-05-25,1.011,1.025,1.028,1.011,171407,17556372.0,1.68,1.38,0.014,0.81
2022-05-26,1.025,1.034,1.038,1.025,395032,40820143.0,1.27,0.88,0.009,1.86
2022-05-27,1.041,1.044,1.049,1.04,520005,54357488.0,0.87,0.97,0.01,2.45
2022-05-30,1.046,1.036,1.046,1.031,590048,61146643.0,1.44,-0.77,-0.008,2.78
2022-05-31,1.047,1.043,1.047,1.035,841659,87568949.0,1.16,0.68,0.007,3.96
2022-06-01,1.043,1.051,1.051,1.041,409418,42799518.0,0.96,0.77,0.008,1.93
2022-06-02,1.046,1.051,1.052,1.043,302929,31774596.0,0.86,0.0,0.0,1.43
2022-06-06,1.044,1.042,1.044,1.036,338927,35222498.0,0.76,-0.86,-0.009,1.6
2022-06-07,1.04,1.046,1.052,1.04,700436,73227837.0,1.15,0.38,0.004,3.3
2022-06-08,1.051,1.063,1.063,1.049,415563,43779505.0,1.34,1.63,0.017,1.96
2022-06-09,1.065,1.066,1.074,1.061,270414,28897525.0,1.22,0.28,0.003,1.27
2022-06-10,1.067,1.055,1.067,1.049,121233,12755349.0,1.69,-1.03,-0.011,0.57
2022-06-13,1.051,1.048,1.052,1.042,101039,10559311.0,0.95,-0.66,-0.007,0.48
2022-06-14,1.041,1.053,1.053,1.038,218070,22781633.0,1.43,0.48,0.005,1.03
2022-06-15,1.053,1.041,1.054,1.04,195840,20515302.0,1.33,-1.14,-0.012,0.92
2022-06-16,1.042,1.011,1.094,1.008,289788,29470648.0,8.26,-2.88,-0.03,1.36
2022-06-17,1.004,1.003,1.024,0.999,145464,14599945.0,2.47,-0.79,-0.008,0.68
2022-06-20,1.002,0.989,1.002,0.986,219883,21746746.0,1.6,-1.4,-0.014,1.04
2022-06-21,0.995,1.004,1.009,0.993,144479,14429893.0,1.62,1.52,0.015,0.68
2022-06-22,1.012,0.994,1.012,0.992,239529,23930853.0,1.99,-1.0,-0.01,1.13
2022-06-23,0.995,1.004,1.004,0.994,204687,20443079.0,1.01,1.01,0.01,0.96
2022-06-24,1.0,0.996,1.0,0.993,142188,14152309.0,0.7,-0.8,-0.008,0.67
2022-06-27,1.005,1.013,1.015,1.004,74913,7581826.0,1.1,1.71,0.017,0.35
2022-06-28,1.013,1.026,1.027,1.013,200021,20468402.0,1.38,1.28,0.013,0.94
