日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-01-26,1.93,1.922,1.936,1.9,363738,70083172.0,1.86,-0.72,-0.014,4.32
2015-01-27,1.926,1.921,1.952,1.911,123564,23779877.0,2.13,-0.05,-0.001,1.47
2015-01-28,1.92,1.929,1.94,1.92,152819,29492815.0,1.04,0.42,0.008,1.81
2015-01-29,1.92,1.914,1.93,1.907,52052,9975523.0,1.19,-0.78,-0.015,0.62
2015-01-30,1.92,1.908,1.931,1.908,47965,9189951.0,1.2,-0.31,-0.006,0.57
2015-02-02,1.904,1.907,1.914,1.903,50887,9720683.0,0.58,-0.05,-0.001,0.6
2015-02-03,1.92,1.918,1.92,1.903,24240,4642398.0,0.89,0.58,0.011,0.29
2015-02-04,1.927,1.923,1.938,1.921,80282,15496429.0,0.89,0.26,0.005,0.95
2015-02-05,1.925,1.924,1.957,1.924,68922,13374725.0,1.72,0.05,0.001,0.82
2015-02-06,1.928,1.925,1.935,1.922,75419,14552387.0,0.68,0.05,0.001,0.89
2015-02-09,1.92,1.916,1.922,1.911,12378,2371102.0,0.57,-0.47,-0.009,0.15
2015-02-10,1.916,1.926,1.928,1.915,56671,10882920.0,0.68,0.52,0.01,0.67
2015-02-11,1.921,1.909,1.927,1.906,29764,5689221.0,1.09,-0.88,-0.017,0.35
2015-02-12,1.91,1.915,1.919,1.906,91300,17467202.0,0.68,0.31,0.006,1.08
2015-02-13,1.931,1.928,1.936,1.928,71211,13766625.0,0.42,0.68,0.013,0.84
2015-02-16,1.928,1.942,1.946,1.928,191598,37247833.0,0.93,0.73,0.014,2.27
2015-02-17,1.939,1.941,1.946,1.939,12576,2446174.0,0.36,-0.05,-0.001,0.15
2015-02-25,1.949,1.944,1.956,1.943,10346,2016681.0,0.67,0.15,0.003,0.12
2015-02-26,1.941,1.957,1.957,1.94,54435,10636301.0,0.87,0.67,0.013,0.65
2015-02-27,1.957,1.962,1.969,1.954,38753,7605409.0,0.77,0.26,0.005,0.46
2015-03-02,1.964,1.969,1.973,1.953,69016,13576158.0,1.02,0.36,0.007,0.82
2015-03-03,1.972,1.968,1.976,1.967,92035,18139891.0,0.46,-0.05,-0.001,1.09
2015-03-04,1.951,1.955,1.961,1.949,29241,5719900.0,0.61,-0.66,-0.013,0.35
2015-03-05,1.935,1.93,1.94,1.926,13374,2590814.0,0.72,-1.28,-0.025,0.16
2015-03-06,1.93,1.929,1.935,1.921,22690,4374176.0,0.73,-0.05,-0.001,0.27
2015-03-09,1.929,1.924,1.929,1.904,25116,4800596.0,1.3,-0.26,-0.005,0.3
2015-03-10,1.916,1.91,1.917,1.906,21008,4014910.0,0.57,-0.73,-0.014,0.25
2015-03-11,1.905,1.892,1.908,1.892,21269,4045595.0,0.84,-0.94,-0.018,0.25
2015-03-12,1.892,1.899,1.905,1.888,59307,11249834.0,0.9,0.37,0.007,0.7
2015-03-13,1.9,1.906,1.909,1.9,39289,7484373.0,0.47,0.37,0.007,0.47
2015-03-16,1.9,1.914,1.915,1.897,18754,3574262.0,0.94,0.42,0.008,0.22
2015-03-17,1.921,1.912,1.925,1.91,24758,4750137.0,0.78,-0.1,-0.002,0.29
2015-03-18,1.912,1.935,1.935,1.91,29003,5584082.0,1.31,1.2,0.023,0.34
2015-03-19,1.935,1.944,1.95,1.933,13417,2606721.0,0.88,0.47,0.009,0.16
2015-03-20,1.944,1.941,1.952,1.939,8405,1634160.0,0.67,-0.15,-0.003,0.1
2015-03-23,1.944,1.944,1.952,1.942,50850,9911602.0,0.52,0.15,0.003,0.6
2015-03-24,1.935,1.933,1.941,1.93,53106,10280878.0,0.57,-0.57,-0.011,0.63
2015-03-25,1.932,1.944,1.949,1.931,68183,13220817.0,0.93,0.57,0.011,0.81
2015-03-26,1.935,1.948,1.951,1.935,39407,7672694.0,0.82,0.21,0.004,0.47
2015-03-27,1.945,1.942,1.948,1.94,14155,2752266.0,0.41,-0.31,-0.006,0.17
2015-03-30,1.955,1.982,2.0,1.955,57240,11322849.0,2.32,2.06,0.04,0.68
