日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-02-18,0.997,0.989,1.004,0.988,2917198,292174176.0,1.57,-2.94,-0.03,1.32
2022-02-21,0.965,0.948,0.973,0.944,846233,80811395.0,2.93,-4.15,-0.041,0.38
2022-02-22,0.93,0.922,0.94,0.913,1457760,134019602.0,2.85,-2.74,-0.026,0.66
2022-02-23,0.928,0.94,0.944,0.922,1404163,131535030.0,2.39,1.95,0.018,0.63
2022-02-24,0.917,0.906,0.931,0.886,1353017,122475991.0,4.79,-3.62,-0.034,0.61
2022-02-25,0.918,0.907,0.924,0.903,755342,68820246.0,2.32,0.11,0.001,0.34
2022-02-28,0.907,0.896,0.908,0.886,980883,87699209.0,2.43,-1.21,-0.011,0.44
2022-03-01,0.906,0.918,0.919,0.9,846982,76786575.0,2.12,2.46,0.022,0.38
2022-03-02,0.911,0.897,0.916,0.895,1152215,104132670.0,2.29,-2.29,-0.021,0.52
2022-03-03,0.899,0.874,0.903,0.873,989593,86954684.0,3.34,-2.56,-0.023,0.45
2022-03-04,0.851,0.84,0.852,0.838,1336776,112849636.0,1.6,-3.89,-0.034,0.6
2022-03-07,0.823,0.811,0.823,0.793,1782584,144363033.0,3.57,-3.45,-0.029,0.8
2022-03-08,0.802,0.781,0.815,0.777,1587812,126096522.0,4.69,-3.7,-0.03,0.72
2022-03-09,0.789,0.773,0.796,0.752,2181234,168017043.0,5.63,-1.02,-0.008,0.98
2022-03-10,0.797,0.776,0.805,0.773,1677984,131541675.0,4.14,0.39,0.003,0.76
2022-03-11,0.744,0.75,0.775,0.718,1999791,147539561.0,7.35,-3.35,-0.026,0.9
2022-03-14,0.721,0.69,0.73,0.69,1651636,117066227.0,5.33,-8.0,-0.06,0.75
2022-03-15,0.653,0.626,0.692,0.621,3225493,211072119.0,10.29,-9.28,-0.064,1.46
2022-03-16,0.656,0.689,0.689,0.641,1560580,102447163.0,7.67,10.06,0.063,0.7
2022-03-17,0.758,0.758,0.758,0.758,27778,2105572.0,0.0,10.01,0.069,0.01
2022-03-18,0.754,0.797,0.809,0.744,1989925,154518569.0,8.58,5.15,0.039,0.9
2022-03-21,0.812,0.781,0.825,0.775,1564707,123678222.0,6.27,-2.01,-0.016,0.71
2022-03-22,0.771,0.795,0.801,0.77,1304285,102298898.0,3.97,1.79,0.014,0.59
2022-03-23,0.828,0.842,0.86,0.828,2340910,197972397.0,4.03,5.91,0.047,1.06
2022-03-24,0.835,0.818,0.838,0.818,2102947,174374393.0,2.38,-2.85,-0.024,0.95
2022-03-25,0.812,0.772,0.821,0.77,2328121,185449270.0,6.23,-5.62,-0.046,1.05
2022-03-28,0.784,0.791,0.81,0.763,2278272,180621214.0,6.09,2.46,0.019,1.03
2022-03-29,0.798,0.817,0.82,0.798,1740103,141405151.0,2.78,3.29,0.026,0.79
2022-03-30,0.835,0.827,0.843,0.815,1590934,131880761.0,3.43,1.22,0.01,0.72
2022-03-31,0.824,0.806,0.824,0.802,1358806,110094916.0,2.66,-2.54,-0.021,0.61
2022-04-01,0.79,0.798,0.801,0.776,1469439,115908089.0,3.1,-0.99,-0.008,0.66
2022-04-06,0.815,0.83,0.835,0.815,1420657,117772756.0,2.51,4.01,0.032,0.64
2022-04-07,0.816,0.802,0.837,0.802,1489877,122348517.0,4.22,-3.37,-0.028,0.67
2022-04-08,0.801,0.79,0.801,0.778,1101964,86781622.0,2.87,-1.5,-0.012,0.5
2022-04-11,0.78,0.747,0.783,0.745,1708923,129540152.0,4.81,-5.44,-0.043,0.77
2022-04-12,0.76,0.769,0.776,0.737,1998519,151165334.0,5.22,2.95,0.022,0.9
2022-04-13,0.759,0.765,0.776,0.751,1392006,106560559.0,3.25,-0.52,-0.004,0.63
2022-04-14,0.775,0.777,0.784,0.77,1363919,106300224.0,1.83,1.57,0.012,0.62
2022-04-15,0.761,0.77,0.771,0.761,213120,16403644.0,1.29,-0.9,-0.007,0.1
2022-04-18,0.77,0.765,0.77,0.762,60940,4652940.0,1.04,-0.65,-0.005,0.03
2022-04-19,0.764,0.747,0.765,0.743,1607616,120346025.0,2.88,-2.35,-0.018,0.73
2022-04-20,0.753,0.748,0.762,0.744,2013738,151315441.0,2.41,0.13,0.001,0.91
2022-04-21,0.738,0.719,0.738,0.681,1493144,107853307.0,7.62,-3.88,-0.029,0.67
2022-04-22,0.701,0.724,0.73,0.697,1608637,115013870.0,4.59,0.7,0.005,0.73
2022-04-25,0.716,0.692,0.723,0.691,2570384,182540070.0,4.42,-4.42,-0.032,1.16
2022-04-26,0.702,0.716,0.734,0.702,2069702,149305979.0,4.62,3.47,0.024,0.93
2022-04-27,0.709,0.731,0.735,0.706,2416345,175000258.0,4.05,2.09,0.015,1.09
2022-04-28,0.739,0.737,0.75,0.725,2705056,198028665.0,3.42,0.82,0.006,1.22
2022-04-29,0.74,0.806,0.811,0.74,1708427,131458606.0,9.63,9.36,0.069,0.77
2022-05-05,0.799,0.784,0.803,0.783,1961756,154982992.0,2.48,-2.73,-0.022,0.89
2022-05-06,0.747,0.75,0.761,0.747,1869847,141131959.0,1.79,-4.34,-0.034,0.84
2022-05-09,0.743,0.742,0.752,0.74,484220,36184797.0,1.6,-1.07,-0.008,0.22
2022-05-10,0.7,0.734,0.74,0.7,2891006,210441217.0,5.39,-1.08,-0.008,1.31
2022-05-11,0.727,0.759,0.785,0.727,3255314,248711147.0,7.9,3.41,0.025,1.47
2022-05-12,0.754,0.748,0.767,0.74,3223864,243531342.0,3.56,-1.45,-0.011,1.46
2022-05-13,0.771,0.784,0.786,0.766,2210786,171769040.0,2.67,4.81,0.036,1.0
2022-05-16,0.8,0.786,0.812,0.783,1855080,147268495.0,3.7,0.26,0.002,0.84
2022-05-17,0.799,0.825,0.826,0.797,2380716,193655441.0,3.69,4.96,0.039,1.08
2022-05-18,0.85,0.814,0.85,0.806,2181474,177877346.0,5.33,-1.33,-0.011,0.99
2022-05-19,0.796,0.793,0.799,0.78,2515808,198551789.0,2.33,-2.58,-0.021,1.14
2022-05-20,0.81,0.814,0.816,0.806,2470012,200597116.0,1.26,2.65,0.021,1.12
2022-05-23,0.814,0.79,0.814,0.789,1945499,154860626.0,3.07,-2.95,-0.024,0.88
2022-05-24,0.791,0.756,0.798,0.755,2177800,169525439.0,5.44,-4.3,-0.034,0.98
2022-05-25,0.757,0.765,0.771,0.754,1752510,133434283.0,2.25,1.19,0.009,0.79
2022-05-26,0.772,0.762,0.775,0.753,2365505,180301732.0,2.88,-0.39,-0.003,1.07
2022-05-27,0.794,0.781,0.801,0.776,2673049,210522733.0,3.28,2.49,0.019,1.21
2022-05-30,0.792,0.803,0.805,0.791,1979851,158453269.0,1.79,2.82,0.022,0.89
2022-05-31,0.803,0.83,0.834,0.795,2731333,224540458.0,4.86,3.36,0.027,1.23
2022-06-01,0.831,0.829,0.84,0.82,2585272,214162832.0,2.41,-0.12,-0.001,1.17
2022-06-02,0.824,0.826,0.828,0.817,1984826,163279502.0,1.33,-0.36,-0.003,0.9
2022-06-06,0.83,0.849,0.851,0.829,2194244,184860701.0,2.66,2.78,0.023,0.99
2022-06-07,0.863,0.866,0.879,0.851,3237549,280745728.0,3.3,2.0,0.017,1.46
2022-06-08,0.881,0.904,0.907,0.881,3114340,279670368.0,3.0,4.39,0.038,1.41
