日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-06-25,0.99,0.986,0.992,0.974,870855,85955954.0,1.8,-1.5,-0.015,8.48
2019-06-26,0.989,0.991,0.993,0.987,257817,25532347.0,0.61,0.51,0.005,2.51
2019-06-27,0.992,0.998,0.998,0.992,222121,22139546.0,0.61,0.71,0.007,2.16
2019-06-28,0.996,0.997,0.998,0.994,95282,9489908.0,0.4,-0.1,-0.001,0.93
2019-07-01,1.001,1.009,1.011,1.001,317512,31909117.0,1.0,1.2,0.012,3.09
2019-07-02,1.006,1.009,1.011,1.006,78571,7926916.0,0.5,0.0,0.0,0.77
2019-07-03,1.005,1.006,1.008,1.005,20449,2056313.0,0.3,-0.3,-0.003,0.2
2019-07-04,1.01,1.012,1.016,1.01,38813,3928757.0,0.6,0.6,0.006,0.38
2019-07-05,1.018,1.023,1.027,1.018,28041,2871189.0,0.89,1.09,0.011,0.27
2019-07-08,1.023,1.014,1.023,1.01,22151,2249352.0,1.27,-0.88,-0.009,0.22
2019-07-09,1.005,1.006,1.014,1.004,10415,1047878.0,0.99,-0.79,-0.008,0.1
2019-07-10,1.006,1.0,1.006,1.0,6660,667054.0,0.6,-0.6,-0.006,0.06
2019-07-11,1.0,1.006,1.01,1.0,13873,1393946.0,1.0,0.6,0.006,0.14
2019-07-12,1.006,1.005,1.006,1.0,8174,820744.0,0.6,-0.1,-0.001,0.08
2019-07-15,1.004,1.004,1.007,1.003,6487,652121.0,0.4,-0.1,-0.001,0.06
2019-07-16,1.004,1.004,1.004,1.002,3662,367087.0,0.2,0.0,0.0,0.04
2019-07-17,0.996,1.002,1.002,0.996,3578,357935.0,0.6,-0.2,-0.002,0.03
2019-07-18,0.995,0.988,0.995,0.985,7819,774595.0,1.0,-1.4,-0.014,0.08
2019-07-19,0.996,1.0,1.003,0.99,10921,1088964.0,1.32,1.21,0.012,0.11
2019-07-22,0.998,0.996,1.003,0.995,1665,166196.0,0.8,-0.4,-0.004,0.02
2019-07-23,1.0,1.004,1.007,0.998,9069,908620.0,0.9,0.8,0.008,0.09
2019-07-24,1.008,1.006,1.008,1.005,9151,920784.0,0.3,0.2,0.002,0.09
2019-07-25,1.006,1.008,1.008,1.005,8602,865660.0,0.3,0.2,0.002,0.08
2019-07-26,0.998,1.003,1.004,0.995,5872,587791.0,0.89,-0.5,-0.005,0.06
2019-07-29,1.0,1.005,1.005,0.998,3658,366449.0,0.7,0.2,0.002,0.04
2019-07-30,1.007,1.003,1.007,1.001,1713,171829.0,0.6,-0.2,-0.002,0.02
2019-07-31,1.001,0.998,1.004,0.998,8287,830908.0,0.6,-0.5,-0.005,0.08
2019-08-01,0.997,0.997,0.998,0.992,12633,1255815.0,0.6,-0.1,-0.001,0.12
2019-08-02,0.987,0.988,0.997,0.986,8190,812888.0,1.1,-0.9,-0.009,0.08
2019-08-05,0.985,0.993,0.999,0.985,21287,2108821.0,1.42,0.51,0.005,0.21
2019-08-06,0.985,0.991,0.996,0.981,15959,1576677.0,1.51,-0.2,-0.002,0.16
2019-08-07,0.987,0.995,0.995,0.982,10341,1024208.0,1.31,0.4,0.004,0.1
2019-08-08,0.999,0.995,0.999,0.995,8047,801818.0,0.4,0.0,0.0,0.08
2019-08-09,1.0,1.001,1.003,1.0,6980,699224.0,0.3,0.6,0.006,0.07
2019-08-12,1.006,1.004,1.006,1.002,17323,1740947.0,0.4,0.3,0.003,0.17
2019-08-13,0.995,0.997,0.997,0.994,12998,1293478.0,0.3,-0.7,-0.007,0.13
2019-08-14,0.997,0.994,0.998,0.994,4545,452304.0,0.4,-0.3,-0.003,0.04
2019-08-15,0.984,0.987,0.987,0.982,3130,308470.0,0.5,-0.7,-0.007,0.03
2019-08-16,0.997,0.989,0.997,0.982,5685,561009.0,1.52,0.2,0.002,0.06
2019-08-19,0.998,0.993,0.998,0.99,4941,490582.0,0.81,0.4,0.004,0.05
2019-08-20,0.994,0.996,0.998,0.994,3387,337499.0,0.4,0.3,0.003,0.03
