日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-05-16,1.045,1.051,1.06,1.037,3061915,320130383.0,2.21,0.96,0.01,9.03
2024-05-17,1.054,1.064,1.067,1.052,769148,81419138.0,1.43,1.24,0.013,2.27
2024-05-20,1.072,1.075,1.08,1.07,626532,67348594.0,0.94,1.03,0.011,1.85
2024-05-21,1.072,1.064,1.078,1.061,577239,61631956.0,1.58,-1.02,-0.011,1.7
2024-05-22,1.065,1.063,1.074,1.063,341344,36462073.0,1.03,-0.09,-0.001,1.01
2024-05-23,1.057,1.054,1.062,1.047,315814,33245811.0,1.41,-0.85,-0.009,0.93
2024-05-24,1.05,1.047,1.059,1.045,303163,31867796.0,1.33,-0.66,-0.007,0.89
2024-05-27,1.052,1.071,1.072,1.052,476134,50727566.0,1.91,2.29,0.024,1.4
2024-05-28,1.072,1.078,1.086,1.072,522694,56453206.0,1.31,0.65,0.007,1.54
2024-05-29,1.079,1.071,1.082,1.069,257693,27699950.0,1.21,-0.65,-0.007,0.76
2024-05-30,1.069,1.044,1.069,1.042,348622,36695496.0,2.52,-2.52,-0.027,1.03
2024-05-31,1.051,1.051,1.06,1.049,278793,29385203.0,1.05,0.67,0.007,0.82
2024-06-03,1.052,1.056,1.067,1.051,342256,36244229.0,1.52,0.48,0.005,1.01
2024-06-04,1.047,1.056,1.057,1.042,260485,27384011.0,1.42,0.0,0.0,0.77
2024-06-05,1.055,1.04,1.059,1.04,339056,35547896.0,1.8,-1.52,-0.016,1.0
2024-06-06,1.047,1.049,1.059,1.046,349114,36733034.0,1.25,0.87,0.009,1.03
2024-06-07,1.053,1.056,1.058,1.05,190851,20113121.0,0.76,0.67,0.007,0.56
2024-06-11,1.054,1.034,1.054,1.025,288763,29933540.0,2.75,-2.08,-0.022,0.85
2024-06-12,1.034,1.038,1.041,1.021,453839,46693013.0,1.93,0.39,0.004,1.34
2024-06-13,1.04,1.036,1.044,1.034,177936,18479734.0,0.96,-0.19,-0.002,0.53
2024-06-14,1.036,1.041,1.045,1.035,97287,10132909.0,0.97,0.48,0.005,0.29
2024-06-17,1.039,1.028,1.042,1.028,173266,17910990.0,1.34,-1.25,-0.013,0.51
2024-06-18,1.032,1.044,1.044,1.032,191914,19959903.0,1.17,1.56,0.016,0.57
2024-06-19,1.045,1.063,1.065,1.045,213708,22599550.0,1.92,1.82,0.019,0.63
2024-06-20,1.064,1.075,1.082,1.064,284744,30655098.0,1.69,1.13,0.012,0.84
2024-06-21,1.076,1.059,1.076,1.054,231746,24608771.0,2.05,-1.49,-0.016,0.68
2024-06-24,1.054,1.059,1.06,1.048,162600,17153467.0,1.13,0.0,0.0,0.48
2024-06-25,1.061,1.055,1.072,1.053,143289,15228825.0,1.79,-0.38,-0.004,0.42
