日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-05,0.993,0.994,1.001,0.991,2177612,216995424.0,1.0,-0.4,-0.004,5.86
2024-01-08,0.994,0.98,0.998,0.978,1137883,111786644.0,2.01,-1.41,-0.014,3.06
2024-01-09,0.981,0.986,0.988,0.978,305517,30053530.0,1.02,0.61,0.006,0.82
2024-01-10,0.983,0.982,0.991,0.981,413947,40789383.0,1.01,-0.41,-0.004,1.11
2024-01-11,0.98,0.984,0.988,0.976,601494,59150723.0,1.22,0.2,0.002,1.62
2024-01-12,0.982,0.988,0.991,0.978,174982,17282041.0,1.32,0.41,0.004,0.47
2024-01-15,0.99,0.992,0.993,0.987,78247,7752879.0,0.61,0.4,0.004,0.21
2024-01-16,0.983,0.986,0.997,0.983,148479,14693768.0,1.41,-0.6,-0.006,0.4
2024-01-17,0.984,0.955,0.992,0.955,115264,11142050.0,3.75,-3.14,-0.031,0.31
2024-01-18,0.955,0.962,0.962,0.946,197037,18789616.0,1.68,0.73,0.007,0.53
2024-01-19,0.962,0.947,0.966,0.944,122267,11666391.0,2.29,-1.56,-0.015,0.33
2024-01-22,0.948,0.919,0.948,0.916,60341,5630729.0,3.38,-2.96,-0.028,0.16
2024-01-23,0.919,0.944,0.95,0.916,139951,13143798.0,3.7,2.72,0.025,0.38
2024-01-24,0.95,0.964,0.964,0.945,239111,22838197.0,2.01,2.12,0.02,0.64
2024-01-25,0.984,1.011,1.013,0.978,1175398,117628304.0,3.63,4.88,0.047,3.16
2024-01-26,1.012,1.012,1.022,1.007,803318,81593650.0,1.48,0.1,0.001,2.16
2024-01-29,1.013,1.019,1.038,1.013,700982,71982071.0,2.47,0.69,0.007,1.89
2024-01-30,1.014,1.0,1.018,0.999,511904,51646514.0,1.86,-1.86,-0.019,1.38
2024-01-31,1.0,0.994,1.007,0.992,535926,53556930.0,1.5,-0.6,-0.006,1.44
2024-02-01,0.992,0.988,1.0,0.982,354077,35136567.0,1.81,-0.6,-0.006,0.95
2024-02-02,0.991,0.991,1.008,0.98,334941,33377817.0,2.83,0.3,0.003,0.9
2024-02-05,0.98,0.985,0.998,0.977,296612,29264615.0,2.12,-0.61,-0.006,0.8
2024-02-06,0.985,1.009,1.01,0.985,342890,34282289.0,2.54,2.44,0.024,0.92
2024-02-07,1.013,1.003,1.017,1.0,234434,23608777.0,1.68,-0.59,-0.006,0.63
2024-02-08,1.005,0.998,1.012,0.997,151188,15161871.0,1.5,-0.5,-0.005,0.41
2024-02-19,1.005,1.022,1.025,1.002,151067,15339113.0,2.3,2.4,0.024,0.41
2024-02-20,1.022,1.031,1.035,1.017,181036,18662692.0,1.76,0.88,0.009,0.49
2024-02-21,1.031,1.041,1.057,1.024,341839,35842841.0,3.2,0.97,0.01,0.92
2024-02-22,1.047,1.059,1.064,1.042,322321,33925324.0,2.11,1.73,0.018,0.87
2024-02-23,1.063,1.072,1.081,1.063,293997,31531760.0,1.7,1.23,0.013,0.79
2024-02-26,1.068,1.057,1.072,1.057,147393,15713185.0,1.4,-1.4,-0.015,0.4
2024-02-27,1.056,1.06,1.063,1.051,252332,26660146.0,1.14,0.28,0.003,0.68
2024-02-28,1.061,1.05,1.065,1.05,236635,25001532.0,1.42,-0.94,-0.01,0.64
2024-02-29,1.048,1.048,1.056,1.045,177301,18608664.0,1.05,-0.19,-0.002,0.48
2024-03-01,1.044,1.044,1.049,1.039,129296,13513751.0,0.95,-0.38,-0.004,0.35
2024-03-04,1.048,1.047,1.051,1.044,99092,10377262.0,0.67,0.29,0.003,0.27
2024-03-05,1.044,1.039,1.05,1.036,124524,12981696.0,1.34,-0.76,-0.008,0.33
2024-03-06,1.04,1.045,1.057,1.04,171460,17976773.0,1.64,0.58,0.006,0.46
2024-03-07,1.048,1.055,1.07,1.045,278823,29623632.0,2.39,0.96,0.01,0.75
2024-03-08,1.061,1.071,1.072,1.058,156603,16685047.0,1.33,1.52,0.016,0.42
2024-03-11,1.073,1.061,1.081,1.057,157739,16766417.0,2.24,-0.93,-0.01,0.42
2024-03-12,1.061,1.059,1.063,1.055,136023,14402673.0,0.75,-0.19,-0.002,0.37
2024-03-13,1.061,1.06,1.064,1.056,129631,13732962.0,0.76,0.09,0.001,0.35
2024-03-14,1.058,1.058,1.071,1.055,114355,12151421.0,1.51,-0.19,-0.002,0.31
2024-03-15,1.061,1.052,1.061,1.044,86230,9052970.0,1.61,-0.57,-0.006,0.23
2024-03-18,1.051,1.061,1.064,1.05,86202,9133485.0,1.33,0.86,0.009,0.23
2024-03-19,1.061,1.053,1.063,1.051,47266,4988234.0,1.13,-0.75,-0.008,0.13
2024-03-20,1.053,1.053,1.056,1.047,61716,6499330.0,0.85,0.0,0.0,0.17
2024-03-21,1.055,1.066,1.067,1.055,113046,12010521.0,1.14,1.23,0.013,0.3
2024-03-22,1.063,1.058,1.063,1.049,56974,6015751.0,1.31,-0.75,-0.008,0.15
2024-03-25,1.057,1.058,1.064,1.053,41556,4401455.0,1.04,0.0,0.0,0.11
2024-03-26,1.06,1.05,1.062,1.046,71660,7528056.0,1.51,-0.76,-0.008,0.19
2024-03-27,1.048,1.041,1.049,1.041,56723,5926990.0,0.76,-0.86,-0.009,0.15
2024-03-28,1.039,1.041,1.044,1.034,101678,10578625.0,0.96,0.0,0.0,0.27
2024-03-29,1.041,1.045,1.046,1.041,30580,3192590.0,0.48,0.38,0.004,0.08
2024-04-01,1.044,1.054,1.055,1.043,32250,3380753.0,1.15,0.86,0.009,0.09
2024-04-02,1.054,1.065,1.072,1.052,94820,10129644.0,1.9,1.04,0.011,0.26
2024-04-03,1.069,1.067,1.074,1.065,66103,7072928.0,0.85,0.19,0.002,0.18
2024-04-08,1.061,1.066,1.076,1.055,32778,3507783.0,1.97,-0.09,-0.001,0.09
2024-04-09,1.066,1.067,1.073,1.063,58987,6287913.0,0.94,0.09,0.001,0.16
2024-04-10,1.067,1.069,1.075,1.067,51982,5566881.0,0.75,0.19,0.002,0.14
2024-04-11,1.065,1.073,1.075,1.061,87323,9328354.0,1.31,0.37,0.004,0.23
2024-04-12,1.069,1.064,1.072,1.062,46875,4994013.0,0.93,-0.84,-0.009,0.13
2024-04-15,1.065,1.072,1.072,1.06,91604,9776382.0,1.13,0.75,0.008,0.25
2024-04-16,1.068,1.064,1.075,1.063,52056,5559502.0,1.12,-0.75,-0.008,0.14
2024-04-17,1.063,1.066,1.067,1.056,47190,5021807.0,1.03,0.19,0.002,0.13
2024-04-18,1.064,1.074,1.076,1.062,111383,11929450.0,1.31,0.75,0.008,0.3
2024-04-19,1.07,1.074,1.076,1.068,36136,3876154.0,0.74,0.0,0.0,0.1
2024-04-22,1.075,1.071,1.087,1.068,80407,8676608.0,1.77,-0.28,-0.003,0.22
2024-04-23,1.071,1.068,1.075,1.065,96398,10321758.0,0.93,-0.28,-0.003,0.26
2024-04-24,1.071,1.086,1.086,1.07,129647,13993197.0,1.5,1.69,0.018,0.35
2024-04-25,1.086,1.098,1.106,1.081,187402,20530934.0,2.3,1.1,0.012,0.5
2024-04-26,1.11,1.115,1.12,1.1,220651,24595846.0,1.82,1.55,0.017,0.59
2024-04-29,1.115,1.113,1.125,1.102,60564,6731614.0,2.06,-0.18,-0.002,0.16
2024-04-30,1.113,1.111,1.126,1.109,50372,5635337.0,1.53,-0.18,-0.002,0.14
2024-05-06,1.12,1.122,1.123,1.114,99845,11167019.0,0.81,0.99,0.011,0.27
2024-05-07,1.122,1.132,1.133,1.12,108810,12282289.0,1.16,0.89,0.01,0.29
2024-05-08,1.133,1.132,1.145,1.13,76907,8735701.0,1.33,0.0,0.0,0.21
2024-05-09,1.132,1.149,1.165,1.13,113019,12961950.0,3.09,1.5,0.017,0.3
2024-05-10,1.158,1.204,1.215,1.158,221574,26376432.0,4.96,4.79,0.055,0.6
2024-05-13,1.209,1.215,1.26,1.207,366822,45054331.0,4.4,0.91,0.011,0.99
2024-05-14,1.219,1.205,1.236,1.202,154753,18780081.0,2.8,-0.82,-0.01,0.42
2024-05-15,1.205,1.195,1.205,1.194,48639,5826376.0,0.91,-0.83,-0.01,0.13
2024-05-16,1.195,1.211,1.221,1.195,368827,44760933.0,2.18,1.34,0.016,0.99
2024-05-17,1.214,1.216,1.22,1.207,299447,36302768.0,1.07,0.41,0.005,0.81
2024-05-20,1.229,1.23,1.233,1.223,212928,26158492.0,0.82,1.15,0.014,0.57
2024-05-21,1.23,1.214,1.231,1.213,83600,10191736.0,1.46,-1.3,-0.016,0.22
2024-05-22,1.218,1.217,1.228,1.215,103549,12651161.0,1.07,0.25,0.003,0.28
2024-05-23,1.216,1.199,1.216,1.19,134005,16041073.0,2.14,-1.48,-0.018,0.36
2024-05-24,1.19,1.187,1.203,1.186,86196,10293091.0,1.42,-1.0,-0.012,0.23
2024-05-27,1.195,1.216,1.217,1.19,170326,20565592.0,2.27,2.44,0.029,0.46
2024-05-28,1.22,1.22,1.235,1.212,213024,26105105.0,1.89,0.33,0.004,0.57
2024-05-29,1.222,1.21,1.224,1.207,106024,12888132.0,1.39,-0.82,-0.01,0.29
2024-05-30,1.201,1.183,1.212,1.18,114831,13727091.0,2.64,-2.23,-0.027,0.31
2024-05-31,1.197,1.187,1.202,1.186,250597,29934037.0,1.35,0.34,0.004,0.67
2024-06-03,1.192,1.195,1.201,1.187,80308,9608589.0,1.18,0.67,0.008,0.22
2024-06-04,1.193,1.2,1.201,1.184,81804,9759499.0,1.42,0.42,0.005,0.22
2024-06-05,1.202,1.181,1.203,1.18,190430,22737490.0,1.92,-1.58,-0.019,0.51
2024-06-06,1.186,1.187,1.193,1.184,161962,19246589.0,0.76,0.51,0.006,0.44
2024-06-07,1.196,1.198,1.201,1.19,132481,15858372.0,0.93,0.93,0.011,0.36
