日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-12-20,1.003,1.0,1.004,0.998,1167304,116928272.0,0.6,-0.5,-0.005,1.37
2019-12-23,1.001,0.99,1.003,0.988,600428,59868602.0,1.5,-1.0,-0.01,0.7
2019-12-24,0.993,0.996,0.997,0.988,201611,20002917.0,0.91,0.61,0.006,0.24
2019-12-25,0.996,0.994,0.996,0.991,219647,21814798.0,0.5,-0.2,-0.002,0.26
2019-12-26,0.995,1.001,1.003,0.994,788868,78915262.0,0.91,0.7,0.007,0.93
2019-12-27,1.0,1.001,1.007,1.0,719828,72223183.0,0.7,0.0,0.0,0.84
2019-12-30,1.001,1.013,1.013,0.998,596910,60152581.0,1.5,1.2,0.012,0.7
2019-12-31,1.013,1.018,1.019,1.008,470645,47647861.0,1.09,0.49,0.005,0.55
2020-01-02,1.021,1.031,1.035,1.021,766440,78986936.0,1.38,1.28,0.013,0.9
2020-01-03,1.031,1.031,1.033,1.026,429115,44199455.0,0.68,0.0,0.0,0.5
2020-01-06,1.028,1.028,1.037,1.023,735132,75796464.0,1.36,-0.29,-0.003,0.86
2020-01-07,1.031,1.036,1.036,1.028,539392,55689063.0,0.78,0.78,0.008,0.63
2020-01-08,1.035,1.026,1.035,1.022,355464,36586389.0,1.25,-0.97,-0.01,0.42
2020-01-09,1.035,1.035,1.037,1.03,430890,44552927.0,0.68,0.88,0.009,0.51
2020-01-10,1.037,1.034,1.04,1.029,343948,35512703.0,1.06,-0.1,-0.001,0.4
2020-01-13,1.034,1.04,1.04,1.029,313417,32426804.0,1.06,0.58,0.006,0.37
2020-01-14,1.042,1.042,1.05,1.041,705390,73750404.0,0.87,0.19,0.002,0.83
2020-01-15,1.041,1.038,1.042,1.034,210854,21862239.0,0.77,-0.38,-0.004,0.25
2020-01-16,1.039,1.033,1.04,1.03,360035,37209881.0,0.96,-0.48,-0.005,0.42
2020-01-17,1.035,1.033,1.038,1.031,247855,25651675.0,0.68,0.0,0.0,0.29
2020-01-20,1.038,1.034,1.038,1.028,193229,19916346.0,0.97,0.1,0.001,0.23
2020-01-21,1.033,1.017,1.033,1.016,401397,40951790.0,1.64,-1.64,-0.017,0.47
2020-01-22,1.017,1.022,1.023,1.002,290386,29387476.0,2.06,0.49,0.005,0.34
2020-01-23,1.017,0.994,1.017,0.988,546335,54631624.0,2.84,-2.74,-0.028,0.64
2020-02-03,0.9,0.908,0.941,0.898,668127,60785592.0,4.33,-8.65,-0.086,0.78
2020-02-04,0.909,0.931,0.932,0.908,390005,35946668.0,2.64,2.53,0.023,0.46
2020-02-05,0.934,0.94,0.952,0.929,371742,34984669.0,2.47,0.97,0.009,0.44
2020-02-06,0.941,0.952,0.954,0.934,318640,30133238.0,2.13,1.28,0.012,0.37
2020-02-07,0.947,0.954,0.955,0.942,237989,22516988.0,1.37,0.21,0.002,0.28
2020-02-10,0.951,0.969,0.969,0.946,362595,34778040.0,2.41,1.57,0.015,0.43
