日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-03-02,0.976,1.027,1.05,0.976,1701970,172351505.0,7.54,4.58,0.045,6.98
2020-03-03,1.1,1.033,1.101,1.026,2165926,226447486.0,7.3,0.58,0.006,8.88
2020-03-04,1.022,1.043,1.045,1.016,1019375,105248878.0,2.81,0.97,0.01,4.18
2020-03-05,1.052,1.062,1.072,1.049,1083949,114928529.0,2.21,1.82,0.019,4.44
2020-03-06,1.055,1.054,1.059,1.046,543476,57234417.0,1.22,-0.75,-0.008,2.23
2020-03-09,1.04,1.021,1.04,1.019,712117,73233528.0,1.99,-3.13,-0.033,2.92
2020-03-10,1.01,1.04,1.045,1.001,451216,46146201.0,4.31,1.86,0.019,1.85
2020-03-11,1.038,1.041,1.056,1.036,490544,51350254.0,1.92,0.1,0.001,2.01
2020-03-12,1.03,1.042,1.048,1.03,389224,40459593.0,1.73,0.1,0.001,1.6
2020-03-13,1.005,1.023,1.034,1.002,407603,41399661.0,3.07,-1.82,-0.019,1.67
2020-03-16,1.022,0.998,1.032,0.996,448725,45793155.0,3.52,-2.44,-0.025,1.84
2020-03-17,0.998,0.995,1.01,0.975,268831,26634603.0,3.51,-0.3,-0.003,1.1
2020-03-18,1.0,0.986,1.016,0.985,288203,28946602.0,3.12,-0.9,-0.009,1.18
2020-03-19,0.982,0.99,1.0,0.969,301458,29677339.0,3.14,0.41,0.004,1.24
2020-03-20,0.993,0.996,1.003,0.982,230111,22844378.0,2.12,0.61,0.006,0.94
2020-03-23,0.985,0.966,0.985,0.964,212848,20698882.0,2.11,-3.01,-0.03,0.87
2020-03-24,0.98,0.981,0.991,0.967,299747,29335489.0,2.48,1.55,0.015,1.23
2020-03-25,0.998,0.992,1.0,0.983,259816,25699706.0,1.73,1.12,0.011,1.07
2020-03-26,0.984,0.975,0.986,0.974,227483,22312174.0,1.21,-1.71,-0.017,0.93
2020-03-27,0.985,0.982,0.996,0.977,277098,27314021.0,1.95,0.72,0.007,1.14
2020-03-30,0.976,0.97,0.978,0.959,246461,23758782.0,1.93,-1.22,-0.012,1.01
2020-03-31,0.975,0.967,0.979,0.963,224219,21708158.0,1.65,-0.31,-0.003,0.92
2020-04-01,0.96,0.958,0.972,0.958,264410,25566881.0,1.45,-0.93,-0.009,1.08
2020-04-02,0.959,0.977,0.977,0.956,281544,27197137.0,2.19,1.98,0.019,1.15
2020-04-03,0.976,0.971,0.977,0.968,229550,22373224.0,0.92,-0.61,-0.006,0.94
2020-04-07,0.979,0.995,0.996,0.979,238968,23664631.0,1.75,2.47,0.024,0.98
2020-04-08,0.99,0.999,1.004,0.99,301716,30143644.0,1.41,0.4,0.004,1.24
2020-04-09,1.001,1.011,1.014,1.001,310957,31380608.0,1.3,1.2,0.012,1.27
2020-04-10,1.006,0.999,1.015,0.996,284292,28443623.0,1.88,-1.19,-0.012,1.17
2020-04-13,0.997,1.004,1.006,0.994,221201,22144825.0,1.2,0.5,0.005,0.91
2020-04-14,1.001,1.012,1.013,1.001,235133,23686054.0,1.2,0.8,0.008,0.96
2020-04-15,1.012,1.003,1.013,1.002,218348,22011313.0,1.09,-0.89,-0.009,0.9
2020-04-16,1.0,1.007,1.01,0.995,238470,23944804.0,1.5,0.4,0.004,0.98
2020-04-17,1.007,1.006,1.014,1.003,204412,20658532.0,1.09,-0.1,-0.001,0.84
2020-04-20,1.006,1.009,1.011,1.0,220414,22187463.0,1.09,0.3,0.003,0.9
2020-04-21,1.009,1.005,1.011,0.997,274601,27486474.0,1.39,-0.4,-0.004,1.13
2020-04-22,1.0,1.004,1.004,0.99,250128,24994997.0,1.39,-0.1,-0.001,1.03
2020-04-23,1.003,0.996,1.004,0.995,257888,25768577.0,0.9,-0.8,-0.008,1.06
2020-04-24,0.994,0.988,0.996,0.985,250273,24825623.0,1.1,-0.8,-0.008,1.03
2020-04-27,0.983,0.986,0.993,0.983,265168,26261182.0,1.01,-0.2,-0.002,1.09
2020-04-28,0.986,0.977,0.986,0.958,287014,27864186.0,2.84,-0.91,-0.009,1.18
2020-04-29,0.977,0.977,0.98,0.97,209245,20433316.0,1.02,0.0,0.0,0.86
2020-04-30,0.977,1.0,1.003,0.977,277760,27633334.0,2.66,2.35,0.023,1.14
2020-05-06,0.99,1.004,1.004,0.98,198428,19843479.0,2.4,0.4,0.004,0.81
2020-05-07,1.003,1.002,1.008,1.0,198789,19961863.0,0.8,-0.2,-0.002,0.81
2020-05-08,1.002,1.01,1.013,1.002,285885,28837759.0,1.1,0.8,0.008,1.17
2020-05-11,1.01,1.009,1.014,1.005,253620,25630409.0,0.89,-0.1,-0.001,1.04
2020-05-12,1.006,1.008,1.011,1.001,234211,23583223.0,0.99,-0.1,-0.001,0.96
2020-05-13,1.008,1.015,1.018,1.002,319691,32403492.0,1.59,0.69,0.007,1.31
2020-05-14,1.015,1.006,1.015,1.005,212270,21404442.0,0.99,-0.89,-0.009,0.87
2020-05-15,1.011,1.0,1.011,0.999,211155,21172186.0,1.19,-0.6,-0.006,0.87
2020-05-18,0.998,1.003,1.012,0.997,254533,25559003.0,1.5,0.3,0.003,1.04
2020-05-19,1.013,1.009,1.014,1.006,253800,25621210.0,0.8,0.6,0.006,1.04
2020-05-20,1.008,1.0,1.008,0.998,232239,23278355.0,0.99,-0.89,-0.009,0.95
2020-05-21,1.0,1.003,1.01,1.0,221917,22302389.0,1.0,0.3,0.003,0.91
2020-05-22,1.003,0.992,1.003,0.988,241786,24069157.0,1.5,-1.1,-0.011,0.99
2020-05-25,0.995,0.988,0.995,0.985,219593,21763280.0,1.01,-0.4,-0.004,0.9
2020-05-26,0.995,1.0,1.0,0.98,180054,17882992.0,2.02,1.21,0.012,0.74
2020-05-27,0.998,1.007,1.011,0.998,239328,24067024.0,1.3,0.7,0.007,0.98
2020-05-28,1.007,1.0,1.008,0.995,201943,20249517.0,1.29,-0.7,-0.007,0.83
2020-05-29,1.0,1.009,1.009,0.998,227467,22818116.0,1.1,0.9,0.009,0.93
2020-06-01,1.009,1.022,1.024,1.009,250662,25546072.0,1.49,1.29,0.013,1.03
