日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-03-02,0.97,1.006,1.008,0.97,894357,89344150.0,3.91,3.6,0.035,1.08
2020-03-03,1.049,1.014,1.049,1.007,838680,85570537.0,4.17,0.8,0.008,1.01
2020-03-04,1.012,1.024,1.024,1.0,639425,64833415.0,2.37,0.99,0.01,0.77
2020-03-05,1.027,1.04,1.044,1.027,685694,71121231.0,1.66,1.56,0.016,0.83
2020-03-06,1.032,1.025,1.032,1.017,312080,31976717.0,1.44,-1.44,-0.015,0.38
2020-03-09,1.003,0.987,1.01,0.986,359843,35840056.0,2.34,-3.71,-0.038,0.43
2020-03-10,0.975,1.002,1.003,0.97,207078,20461666.0,3.34,1.52,0.015,0.25
2020-03-11,1.005,0.993,1.009,0.99,214776,21444287.0,1.9,-0.9,-0.009,0.26
2020-03-12,0.979,0.976,0.983,0.97,158742,15506492.0,1.31,-1.71,-0.017,0.19
2020-03-13,0.944,0.962,0.969,0.936,322338,30702461.0,3.38,-1.43,-0.014,0.39
2020-03-16,0.96,0.941,0.971,0.939,256522,24714628.0,3.33,-2.18,-0.021,0.31
2020-03-17,0.943,0.941,0.96,0.922,145329,13664137.0,4.04,0.0,0.0,0.18
2020-03-18,0.936,0.928,0.951,0.928,200870,18925326.0,2.44,-1.38,-0.013,0.24
2020-03-19,0.93,0.916,0.93,0.896,202535,18487704.0,3.66,-1.29,-0.012,0.24
2020-03-20,0.918,0.928,0.928,0.912,216906,19922999.0,1.75,1.31,0.012,0.26
2020-03-23,0.919,0.904,0.919,0.9,196762,17834915.0,2.05,-2.59,-0.024,0.24
2020-03-24,0.908,0.928,0.929,0.908,202934,18670500.0,2.32,2.65,0.024,0.24
2020-03-25,0.928,0.938,0.945,0.928,200649,18781315.0,1.83,1.08,0.01,0.24
2020-03-26,0.929,0.929,0.935,0.927,181719,16920935.0,0.85,-0.96,-0.009,0.22
2020-03-27,0.939,0.931,0.939,0.93,147593,13788914.0,0.97,0.22,0.002,0.18
2020-03-30,0.931,0.929,0.934,0.919,171305,15869270.0,1.61,-0.21,-0.002,0.21
2020-03-31,0.931,0.925,0.935,0.924,137123,12757556.0,1.18,-0.43,-0.004,0.17
2020-04-01,0.925,0.919,0.931,0.919,203850,18874579.0,1.3,-0.65,-0.006,0.25
2020-04-02,0.915,0.937,0.937,0.915,168579,15586448.0,2.39,1.96,0.018,0.2
2020-04-03,0.937,0.925,0.937,0.924,152880,14203474.0,1.39,-1.28,-0.012,0.18
2020-04-07,0.931,0.94,0.941,0.931,182277,17102189.0,1.08,1.62,0.015,0.22
2020-04-08,0.937,0.944,0.948,0.932,165386,15551929.0,1.7,0.43,0.004,0.2
2020-04-09,0.95,0.941,0.95,0.939,166484,15728105.0,1.17,-0.32,-0.003,0.2
2020-04-10,0.942,0.93,0.942,0.928,245683,22941235.0,1.49,-1.17,-0.011,0.3
2020-04-13,0.93,0.926,0.93,0.923,125643,11626770.0,0.75,-0.43,-0.004,0.15
2020-04-14,0.921,0.939,0.939,0.921,173832,16201764.0,1.94,1.4,0.013,0.21
2020-04-15,0.941,0.93,0.941,0.927,146873,13674362.0,1.49,-0.96,-0.009,0.18
2020-04-16,0.925,0.928,0.932,0.925,143557,13323839.0,0.75,-0.22,-0.002,0.17
2020-04-17,0.93,0.93,0.935,0.928,174424,16261937.0,0.75,0.22,0.002,0.21
2020-04-20,0.931,0.932,0.932,0.927,127829,11891067.0,0.54,0.22,0.002,0.15
2020-04-21,0.929,0.913,0.929,0.908,156049,14287429.0,2.25,-2.04,-0.019,0.19
2020-04-22,0.904,0.918,0.921,0.904,214724,19568922.0,1.86,0.55,0.005,0.26
2020-04-23,0.918,0.913,0.918,0.912,164187,15005349.0,0.65,-0.54,-0.005,0.2
2020-04-24,0.913,0.917,0.923,0.913,225968,20764556.0,1.1,0.44,0.004,0.27
2020-04-27,0.915,0.912,0.919,0.91,228588,20904394.0,0.98,-0.55,-0.005,0.28
2020-04-28,0.91,0.896,0.91,0.881,217293,19374339.0,3.18,-1.75,-0.016,0.26
2020-04-29,0.89,0.9,0.906,0.89,266984,24060676.0,1.79,0.45,0.004,0.32
2020-04-30,0.9,0.92,0.92,0.9,231458,21156711.0,2.22,2.22,0.02,0.28
2020-05-06,0.906,0.92,0.922,0.906,231926,21192309.0,1.74,0.0,0.0,0.28
2020-05-07,0.92,0.913,0.92,0.91,194428,17734764.0,1.09,-0.76,-0.007,0.23
2020-05-08,0.916,0.922,0.922,0.914,345073,31601653.0,0.88,0.99,0.009,0.42
2020-05-11,0.921,0.923,0.927,0.92,265800,24560969.0,0.76,0.11,0.001,0.32
2020-05-12,0.921,0.918,0.923,0.913,225596,20691513.0,1.08,-0.54,-0.005,0.27
2020-05-13,0.917,0.919,0.919,0.909,191928,17525289.0,1.09,0.11,0.001,0.23
2020-05-14,0.917,0.909,0.917,0.908,189633,17298428.0,0.98,-1.09,-0.01,0.23
2020-05-15,0.909,0.911,0.914,0.909,169381,15442447.0,0.55,0.22,0.002,0.2
2020-05-18,0.911,0.916,0.919,0.908,224705,20544847.0,1.21,0.55,0.005,0.27
2020-05-19,0.927,0.927,0.929,0.924,204218,18929194.0,0.55,1.2,0.011,0.25
2020-05-20,0.927,0.92,0.929,0.918,189187,17459052.0,1.19,-0.76,-0.007,0.23
2020-05-21,0.92,0.918,0.924,0.916,159048,14635545.0,0.87,-0.22,-0.002,0.19
2020-05-22,0.916,0.902,0.916,0.9,229229,20732843.0,1.74,-1.74,-0.016,0.28
2020-05-25,0.904,0.912,0.916,0.901,206539,18790415.0,1.66,1.11,0.01,0.25
2020-05-26,0.911,0.918,0.918,0.906,190999,17445383.0,1.32,0.66,0.006,0.23
2020-05-27,0.913,0.93,0.931,0.913,240761,22243039.0,1.96,1.31,0.012,0.29
2020-05-28,0.931,0.926,0.931,0.918,166482,15393083.0,1.4,-0.43,-0.004,0.2
2020-05-29,0.922,0.919,0.924,0.918,171881,15829977.0,0.65,-0.76,-0.007,0.21
2020-06-01,0.919,0.932,0.933,0.919,208600,19355761.0,1.52,1.41,0.013,0.25
2020-06-02,0.933,0.936,0.936,0.929,237294,22139757.0,0.75,0.43,0.004,0.29
2020-06-03,0.945,0.933,0.945,0.933,147663,13859394.0,1.28,-0.32,-0.003,0.18
2020-06-04,0.933,0.93,0.935,0.928,269153,25087368.0,0.75,-0.32,-0.003,0.32
2020-06-05,0.934,0.931,0.935,0.924,251734,23374871.0,1.18,0.11,0.001,0.3
2020-06-08,0.931,0.937,0.938,0.931,257344,24045831.0,0.75,0.64,0.006,0.31
2020-06-09,0.936,0.941,0.941,0.934,274605,25725513.0,0.75,0.43,0.004,0.33
2020-06-10,0.94,0.935,0.94,0.933,266865,24969117.0,0.74,-0.64,-0.006,0.32
2020-06-11,0.937,0.93,0.939,0.927,287558,26787663.0,1.28,-0.53,-0.005,0.35
2020-06-12,0.9,0.923,0.925,0.9,262669,24161059.0,2.69,-0.75,-0.007,0.32
2020-06-15,0.923,0.917,0.925,0.914,277960,25574344.0,1.19,-0.65,-0.006,0.34
2020-06-16,0.922,0.93,0.933,0.918,238012,21988146.0,1.64,1.42,0.013,0.29
2020-06-17,0.93,0.937,0.941,0.929,269166,25209613.0,1.29,0.75,0.007,0.32
2020-06-18,0.939,0.974,0.975,0.934,623200,59794468.0,4.38,3.95,0.037,0.75
2020-06-19,0.972,0.966,0.972,0.961,439931,42447138.0,1.13,-0.82,-0.008,0.53
2020-06-22,0.969,0.957,0.969,0.955,397175,38115952.0,1.45,-0.93,-0.009,0.48
2020-06-23,0.959,0.957,0.959,0.952,308847,29484911.0,0.73,0.0,0.0,0.37
2020-06-24,0.955,0.955,0.96,0.953,308988,29550785.0,0.73,-0.21,-0.002,0.37
2020-06-29,0.954,0.941,0.954,0.939,253476,23896987.0,1.57,-1.47,-0.014,0.31
2020-06-30,0.944,0.95,0.952,0.944,287782,27251416.0,0.85,0.96,0.009,0.35
2020-07-01,0.951,0.966,0.966,0.949,332356,31772013.0,1.79,1.68,0.016,0.4
2020-07-02,0.968,0.999,1.0,0.965,573045,56386800.0,3.62,3.42,0.033,0.69
2020-07-03,1.004,1.056,1.056,1.0,926605,96005193.0,5.61,5.71,0.057,1.12
