日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-07-31,1.018,1.035,1.045,1.015,3355160,346257312.0,2.97,2.58,0.026,36.93
2020-08-03,1.056,1.068,1.069,1.047,2953218,312934800.0,2.13,3.19,0.033,32.5
2020-08-04,1.083,1.048,1.084,1.041,2992851,315837504.0,4.03,-1.87,-0.02,32.94
2020-08-05,1.074,1.056,1.08,1.042,2299239,242979747.0,3.63,0.76,0.008,25.31
2020-08-06,1.05,1.052,1.058,1.037,2053546,215147468.0,1.99,-0.38,-0.004,22.6
2020-08-07,1.05,1.03,1.052,1.009,3321280,341465648.0,4.09,-2.09,-0.022,36.56
2020-08-10,1.02,1.02,1.031,1.006,2314246,234901666.0,2.43,-0.97,-0.01,25.47
2020-08-11,1.022,1.009,1.033,1.005,1850647,188934467.0,2.75,-1.08,-0.011,20.37
2020-08-12,1.006,1.014,1.015,0.981,3449290,343447440.0,3.37,0.5,0.005,37.96
2020-08-13,1.015,1.007,1.018,1.004,1197771,120929140.0,1.38,-0.69,-0.007,13.18
2020-08-14,1.007,1.023,1.026,1.002,1931242,196547394.0,2.38,1.59,0.016,21.26
2020-08-17,1.024,1.04,1.041,1.02,2290176,236742896.0,2.05,1.66,0.017,25.21
2020-08-18,1.041,1.031,1.042,1.025,1228705,126794707.0,1.63,-0.87,-0.009,13.52
2020-08-19,1.028,1.001,1.03,0.999,2377739,240311066.0,3.01,-2.91,-0.03,26.17
2020-08-20,1.0,0.996,1.009,0.986,1471084,146884016.0,2.3,-0.5,-0.005,16.19
2020-08-21,1.009,1.004,1.021,0.997,1708577,172605654.0,2.41,0.8,0.008,18.81
2020-08-24,1.013,1.029,1.036,1.001,3089198,316156336.0,3.49,2.49,0.025,34.0
2020-08-25,1.031,1.023,1.037,1.019,1404150,144281240.0,1.75,-0.58,-0.006,15.45
2020-08-26,1.021,0.997,1.022,0.991,3273657,327220320.0,3.03,-2.54,-0.026,36.03
2020-08-27,0.997,0.999,1.004,0.983,1865287,185069729.0,2.11,0.2,0.002,20.53
2020-08-28,0.996,1.013,1.016,0.99,2147384,215580645.0,2.6,1.4,0.014,23.63
2020-08-31,1.018,1.011,1.029,1.01,2110291,215652417.0,1.88,-0.2,-0.002,23.23
2020-09-01,1.007,1.015,1.018,0.999,1254309,126470838.0,1.88,0.4,0.004,13.81
2020-09-02,1.016,1.017,1.025,1.011,1419068,144664606.0,1.38,0.2,0.002,15.62
2020-09-03,1.017,1.007,1.017,1.004,1233764,124402376.0,1.28,-0.98,-0.01,13.58
2020-09-04,1.0,1.007,1.008,0.986,1530497,153133005.0,2.18,0.0,0.0,16.85
2020-09-07,1.004,0.973,1.009,0.965,4441160,438065776.0,4.37,-3.38,-0.034,48.88
2020-09-08,0.976,0.967,0.978,0.955,1904171,183504262.0,2.36,-0.62,-0.006,20.96
2020-09-09,0.952,0.935,0.953,0.926,2184453,205192903.0,2.79,-3.31,-0.032,24.04
2020-09-10,0.942,0.924,0.948,0.921,1312167,122775636.0,2.89,-1.18,-0.011,14.44
2020-09-11,0.92,0.95,0.951,0.92,1362905,127844984.0,3.35,2.81,0.026,15.0
2020-09-14,0.952,0.958,0.966,0.949,1088328,104173947.0,1.79,0.84,0.008,11.98
2020-09-15,0.955,0.961,0.965,0.948,804881,76974933.0,1.77,0.31,0.003,8.86
2020-09-16,0.96,0.948,0.963,0.943,939460,89510497.0,2.08,-1.35,-0.013,10.34
2020-09-17,0.943,0.955,0.964,0.938,1205158,114551644.0,2.74,0.74,0.007,13.26
2020-09-18,0.952,0.966,0.968,0.952,1063220,102157664.0,1.68,1.15,0.011,11.7
2020-09-21,0.967,0.961,0.975,0.96,979219,94831337.0,1.55,-0.52,-0.005,10.78
2020-09-22,0.955,0.952,0.965,0.95,796740,76276361.0,1.56,-0.94,-0.009,8.77
2020-09-23,0.954,0.958,0.962,0.949,688767,65810308.0,1.37,0.63,0.006,7.58
2020-09-24,0.95,0.939,0.952,0.937,952894,89841786.0,1.57,-1.98,-0.019,10.49
2020-09-25,0.939,0.934,0.944,0.93,611447,57138526.0,1.49,-0.53,-0.005,6.73
2020-09-28,0.934,0.935,0.941,0.932,605209,56642944.0,0.96,0.11,0.001,6.66
2020-09-29,0.94,0.946,0.949,0.937,732140,69221218.0,1.28,1.18,0.011,8.06
2020-09-30,0.946,0.944,0.952,0.939,590709,55890355.0,1.37,-0.21,-0.002,6.5
2020-10-09,0.96,0.98,0.981,0.96,2043120,198974060.0,2.22,3.81,0.036,22.49
2020-10-12,0.986,1.006,1.007,0.985,2214193,220795121.0,2.24,2.65,0.026,24.37
2020-10-13,1.004,1.002,1.011,0.993,1181252,118390496.0,1.79,-0.4,-0.004,13.0
2020-10-14,0.997,0.981,0.998,0.979,1110084,109256128.0,1.9,-2.1,-0.021,12.22
2020-10-15,0.983,0.98,0.988,0.979,548445,53916103.0,0.92,-0.1,-0.001,6.04
2020-10-16,0.98,0.971,0.983,0.965,959918,93251862.0,1.84,-0.92,-0.009,10.57
2020-10-19,0.98,0.971,0.986,0.968,585916,57186662.0,1.85,0.0,0.0,6.45
2020-10-20,0.971,0.982,0.982,0.963,602781,58606524.0,1.96,1.13,0.011,6.63
2020-10-21,0.98,0.963,0.98,0.957,998377,96207822.0,2.34,-1.93,-0.019,10.99
2020-10-22,0.959,0.964,0.967,0.953,549901,52902135.0,1.45,0.1,0.001,6.05
2020-10-23,0.966,0.953,0.974,0.95,765306,73475766.0,2.49,-1.14,-0.011,8.42
2020-10-26,0.95,0.964,0.971,0.945,1023430,98267411.0,2.73,1.15,0.011,11.26
