日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-10-28,1.019,1.024,1.029,1.01,3408646,347457744.0,1.88,1.49,0.015,81.54
2019-10-29,1.024,1.013,1.024,1.012,878820,89539074.0,1.17,-1.07,-0.011,21.02
2019-10-30,1.01,1.009,1.013,1.0,520985,52496045.0,1.28,-0.39,-0.004,12.46
2019-10-31,1.009,1.004,1.014,1.003,408964,41274142.0,1.09,-0.5,-0.005,9.78
2019-11-01,1.002,1.019,1.02,1.002,1298323,131751636.0,1.79,1.49,0.015,31.06
2019-11-04,1.021,1.025,1.031,1.02,1366774,140292414.0,1.08,0.59,0.006,32.7
2019-11-05,1.026,1.034,1.038,1.022,1139327,117458334.0,1.56,0.88,0.009,27.25
2019-11-06,1.033,1.027,1.037,1.024,570490,58900927.0,1.26,-0.68,-0.007,13.65
2019-11-07,1.026,1.031,1.037,1.026,374947,38674912.0,1.07,0.39,0.004,8.97
2019-11-08,1.039,1.034,1.048,1.033,1034767,107783840.0,1.45,0.29,0.003,24.75
2019-11-11,1.031,1.016,1.034,1.015,357795,36595532.0,1.84,-1.74,-0.018,8.56
2019-11-12,1.018,1.017,1.021,1.008,292298,29649285.0,1.28,0.1,0.001,6.99
2019-11-13,1.018,1.025,1.025,1.01,272131,27726738.0,1.47,0.79,0.008,6.51
2019-11-14,1.022,1.033,1.038,1.022,399846,41265269.0,1.56,0.78,0.008,9.56
2019-11-15,1.033,1.025,1.039,1.025,243970,25152439.0,1.36,-0.77,-0.008,5.84
2019-11-18,1.025,1.029,1.031,1.022,181557,18646327.0,0.88,0.39,0.004,4.34
2019-11-19,1.029,1.049,1.05,1.028,880354,91824824.0,2.14,1.94,0.02,21.06
2019-11-20,1.045,1.04,1.052,1.038,427082,44692469.0,1.33,-0.86,-0.009,10.22
2019-11-21,1.037,1.037,1.042,1.032,145248,15051188.0,0.96,-0.29,-0.003,3.47
2019-11-22,1.038,1.021,1.048,1.017,454739,46702912.0,2.99,-1.54,-0.016,10.88
2019-11-25,1.02,1.017,1.021,1.008,314801,31908434.0,1.27,-0.39,-0.004,7.53
2019-11-26,1.017,1.023,1.028,1.016,251678,25721937.0,1.18,0.59,0.006,6.02
2019-11-27,1.024,1.024,1.03,1.017,244601,25075388.0,1.27,0.1,0.001,5.85
2019-11-28,1.023,1.02,1.028,1.019,132435,13539421.0,0.88,-0.39,-0.004,3.17
2019-11-29,1.02,1.015,1.022,1.006,279508,28301775.0,1.57,-0.49,-0.005,6.69
2019-12-02,1.017,1.014,1.021,1.012,154482,15708797.0,0.89,-0.1,-0.001,3.7
2019-12-03,1.012,1.018,1.018,1.005,259881,26234616.0,1.28,0.39,0.004,6.22
2019-12-04,1.013,1.018,1.021,1.01,175085,17803219.0,1.08,0.0,0.0,4.19
2019-12-05,1.018,1.032,1.036,1.018,567153,58442303.0,1.77,1.38,0.014,13.57
2019-12-06,1.035,1.038,1.039,1.029,345140,35720212.0,0.97,0.58,0.006,8.26
2019-12-09,1.038,1.029,1.039,1.026,282282,29051736.0,1.25,-0.87,-0.009,6.75
2019-12-10,1.029,1.039,1.039,1.02,326535,33759987.0,1.85,0.97,0.01,7.81
2019-12-11,1.038,1.035,1.043,1.032,290840,30187491.0,1.06,-0.38,-0.004,6.96
2019-12-12,1.033,1.036,1.041,1.033,233440,24239064.0,0.77,0.1,0.001,5.58
2019-12-13,1.038,1.05,1.051,1.038,881903,92370395.0,1.25,1.35,0.014,21.1
2019-12-16,1.052,1.075,1.075,1.052,1261337,134377925.0,2.19,2.38,0.025,30.17
2019-12-17,1.075,1.083,1.09,1.071,598334,64734668.0,1.77,0.74,0.008,14.31
2019-12-18,1.083,1.084,1.094,1.083,589549,64122308.0,1.02,0.09,0.001,14.1
2019-12-19,1.084,1.08,1.088,1.076,330437,35700920.0,1.11,-0.37,-0.004,7.9
2019-12-20,1.078,1.071,1.087,1.07,190644,20521448.0,1.57,-0.83,-0.009,4.56
2019-12-23,1.063,1.054,1.075,1.053,360838,38382580.0,2.05,-1.59,-0.017,8.63
2019-12-24,1.054,1.073,1.075,1.054,138714,14760015.0,1.99,1.8,0.019,3.32
2019-12-25,1.072,1.08,1.083,1.068,145801,15715171.0,1.4,0.65,0.007,3.49
