日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-04-01,1.046,1.039,1.053,1.031,1103852,115202233.0,2.09,-1.24,-0.013,22.29
2020-04-02,1.04,1.052,1.053,1.026,310864,32312801.0,2.6,1.25,0.013,6.28
2020-04-03,1.05,1.062,1.072,1.045,300940,32072644.0,2.57,0.95,0.01,6.08
2020-04-07,1.065,1.09,1.092,1.065,157997,17102132.0,2.54,2.64,0.028,3.19
2020-04-08,1.09,1.086,1.095,1.075,112558,12226853.0,1.83,-0.37,-0.004,2.27
2020-04-09,1.097,1.122,1.125,1.08,155088,17274781.0,4.14,3.31,0.036,3.13
2020-04-10,1.119,1.108,1.142,1.102,166329,18594448.0,3.57,-1.25,-0.014,3.36
2020-04-13,1.109,1.114,1.125,1.098,75204,8357548.0,2.44,0.54,0.006,1.52
2020-04-14,1.11,1.132,1.136,1.103,74773,8381094.0,2.96,1.62,0.018,1.51
2020-04-15,1.131,1.125,1.145,1.121,57350,6487782.0,2.12,-0.62,-0.007,1.16
2020-04-16,1.125,1.134,1.14,1.111,65609,7405848.0,2.58,0.8,0.009,1.32
2020-04-17,1.134,1.124,1.145,1.12,67479,7626995.0,2.2,-0.88,-0.01,1.36
2020-04-20,1.123,1.138,1.145,1.123,56798,6458391.0,1.96,1.25,0.014,1.15
2020-04-21,1.135,1.128,1.139,1.12,37650,4245754.0,1.67,-0.88,-0.01,0.76
2020-04-22,1.122,1.15,1.15,1.118,82327,9356644.0,2.84,1.95,0.022,1.66
2020-04-23,1.15,1.149,1.169,1.145,34596,4001641.0,2.09,-0.09,-0.001,0.7
2020-04-24,1.16,1.132,1.16,1.128,62107,7051986.0,2.79,-1.48,-0.017,1.25
2020-04-27,1.132,1.157,1.165,1.127,60894,7001992.0,3.36,2.21,0.025,1.23
2020-04-28,1.159,1.163,1.168,1.137,40024,4632217.0,2.68,0.52,0.006,0.81
2020-04-29,1.169,1.148,1.172,1.144,72631,8370050.0,2.41,-1.29,-0.015,1.47
2020-04-30,1.149,1.141,1.158,1.133,126370,14383451.0,2.18,-0.61,-0.007,2.55
2020-05-06,1.14,1.157,1.159,1.126,80545,9240820.0,2.89,1.4,0.016,1.63
2020-05-07,1.165,1.159,1.165,1.152,55918,6486574.0,1.12,0.17,0.002,1.13
2020-05-08,1.158,1.173,1.178,1.155,67671,7929545.0,1.98,1.21,0.014,1.37
2020-05-11,1.173,1.159,1.182,1.155,51009,5927258.0,2.3,-1.19,-0.014,1.03
2020-05-12,1.159,1.18,1.18,1.159,71297,8368977.0,1.81,1.81,0.021,1.44
2020-05-13,1.175,1.2,1.203,1.175,68721,8205576.0,2.37,1.69,0.02,1.39
2020-05-14,1.21,1.198,1.21,1.19,26027,3113752.0,1.67,-0.17,-0.002,0.53
2020-05-15,1.204,1.188,1.204,1.179,37353,4436563.0,2.09,-0.83,-0.01,0.75
2020-05-18,1.192,1.209,1.219,1.182,48694,5866319.0,3.11,1.77,0.021,0.98
2020-05-19,1.21,1.221,1.231,1.21,26831,3271625.0,1.74,0.99,0.012,0.54
2020-05-20,1.227,1.204,1.227,1.199,37730,4561347.0,2.29,-1.39,-0.017,0.76
2020-05-21,1.209,1.213,1.232,1.205,28413,3468181.0,2.24,0.75,0.009,0.57
2020-05-22,1.21,1.183,1.213,1.179,34939,4160372.0,2.8,-2.47,-0.03,0.71
2020-05-25,1.18,1.199,1.202,1.18,25467,3042979.0,1.86,1.35,0.016,0.51
2020-05-26,1.205,1.225,1.227,1.201,26490,3236576.0,2.17,2.17,0.026,0.53
2020-05-27,1.225,1.198,1.225,1.193,44568,5372866.0,2.61,-2.2,-0.027,0.9
2020-05-28,1.198,1.184,1.2,1.169,49844,5895097.0,2.59,-1.17,-0.014,1.01
2020-05-29,1.18,1.204,1.21,1.18,45922,5516830.0,2.53,1.69,0.02,0.93
2020-06-01,1.22,1.223,1.225,1.208,49297,6009011.0,1.41,1.58,0.019,1.0
2020-06-02,1.223,1.205,1.223,1.201,36647,4414310.0,1.8,-1.47,-0.018,0.74
2020-06-03,1.205,1.214,1.224,1.205,42200,5140095.0,1.58,0.75,0.009,0.85
2020-06-04,1.214,1.226,1.23,1.209,37767,4616317.0,1.73,0.99,0.012,0.76
2020-06-05,1.226,1.238,1.239,1.221,48235,5942607.0,1.47,0.98,0.012,0.97
2020-06-08,1.243,1.222,1.245,1.214,58674,7181411.0,2.5,-1.29,-0.016,1.18
2020-06-09,1.221,1.242,1.245,1.218,43993,5449582.0,2.21,1.64,0.02,0.89
2020-06-10,1.242,1.267,1.272,1.236,37449,4723369.0,2.9,2.01,0.025,0.76
2020-06-11,1.267,1.26,1.276,1.251,35992,4550160.0,1.97,-0.55,-0.007,0.73
2020-06-12,1.256,1.278,1.287,1.246,54422,6889547.0,3.25,1.43,0.018,1.1
2020-06-15,1.3,1.282,1.312,1.279,61522,7923924.0,2.58,0.31,0.004,1.24
2020-06-16,1.289,1.308,1.308,1.282,34676,4503470.0,2.03,2.03,0.026,0.7
2020-06-17,1.309,1.332,1.34,1.309,64949,8623261.0,2.37,1.83,0.024,1.31
2020-06-18,1.335,1.313,1.35,1.295,66609,8733960.0,4.13,-1.43,-0.019,1.35
2020-06-19,1.292,1.346,1.352,1.292,63828,8565308.0,4.57,2.51,0.033,1.29
2020-06-22,1.344,1.352,1.369,1.342,45731,6184686.0,2.01,0.45,0.006,0.92
2020-06-23,1.352,1.385,1.39,1.348,40940,5626966.0,3.11,2.44,0.033,0.83
2020-06-24,1.389,1.393,1.397,1.355,105058,14366666.0,3.03,0.58,0.008,2.12
2020-06-29,1.391,1.387,1.391,1.368,49607,6848049.0,1.65,-0.43,-0.006,1.0
2020-06-30,1.387,1.41,1.413,1.387,51937,7300185.0,1.87,1.66,0.023,1.05
2020-07-01,1.408,1.39,1.412,1.364,112050,15562579.0,3.4,-1.42,-0.02,2.26
2020-07-02,1.39,1.366,1.391,1.354,116726,15959744.0,2.66,-1.73,-0.024,2.36
2020-07-03,1.366,1.381,1.382,1.34,108582,14792984.0,3.07,1.1,0.015,2.19
2020-07-06,1.372,1.381,1.381,1.359,117935,16175385.0,1.59,0.0,0.0,2.38
2020-07-07,1.38,1.417,1.429,1.362,96094,13470096.0,4.85,2.61,0.036,1.94
2020-07-08,1.382,1.417,1.429,1.382,120893,17105409.0,3.32,0.0,0.0,2.44
2020-07-09,1.415,1.474,1.474,1.4,98207,14236344.0,5.22,4.02,0.057,1.98
2020-07-10,1.474,1.486,1.505,1.465,61588,9177604.0,2.71,0.81,0.012,1.24
2020-07-13,1.484,1.546,1.6,1.484,99023,15212215.0,7.81,4.04,0.06,2.0
2020-07-14,1.57,1.547,1.575,1.515,91117,14050248.0,3.88,0.06,0.001,1.84
2020-07-15,1.55,1.577,1.619,1.55,186534,29719179.0,4.46,1.94,0.03,3.77
2020-07-16,1.577,1.475,1.581,1.469,160148,24447124.0,7.1,-6.47,-0.102,3.23
2020-07-17,1.475,1.501,1.524,1.467,67003,10017858.0,3.86,1.76,0.026,1.35
2020-07-20,1.502,1.488,1.519,1.453,78292,11570518.0,4.4,-0.87,-0.013,1.58
2020-07-21,1.49,1.547,1.547,1.48,69399,10597834.0,4.5,3.97,0.059,1.4
2020-07-22,1.546,1.562,1.581,1.526,52156,8160241.0,3.56,0.97,0.015,1.05
2020-07-23,1.549,1.596,1.598,1.544,89022,14050139.0,3.46,2.18,0.034,1.8
2020-07-24,1.596,1.503,1.596,1.49,115168,17668913.0,6.64,-5.83,-0.093,2.33
2020-07-27,1.502,1.53,1.545,1.502,47623,7268239.0,2.86,1.8,0.027,0.96
2020-07-28,1.53,1.533,1.548,1.503,118107,18040499.0,2.94,0.2,0.003,2.39
2020-07-29,1.533,1.59,1.592,1.53,78540,12387335.0,4.04,3.72,0.057,1.59
2020-07-30,1.592,1.597,1.644,1.588,121030,19515102.0,3.52,0.44,0.007,2.44
2020-07-31,1.597,1.616,1.621,1.575,69728,11179364.0,2.88,1.19,0.019,1.41
2020-08-03,1.616,1.639,1.639,1.596,71579,11618959.0,2.66,1.42,0.023,1.45
2020-08-04,1.636,1.632,1.68,1.621,79924,13220239.0,3.6,-0.43,-0.007,1.61
2020-08-05,1.632,1.65,1.657,1.595,52253,8526000.0,3.8,1.1,0.018,1.06
2020-08-06,1.647,1.616,1.67,1.602,61419,9979755.0,4.12,-2.06,-0.034,1.24
2020-08-07,1.616,1.593,1.64,1.562,51917,8264353.0,4.83,-1.42,-0.023,1.05
2020-08-10,1.593,1.592,1.609,1.554,35782,5663396.0,3.45,-0.06,-0.001,0.72
