日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-02-10,1.116,1.113,1.123,1.089,1180793,131179756.0,3.06,0.09,0.001,1.37
2020-02-11,1.114,1.098,1.119,1.09,249491,27466700.0,2.61,-1.35,-0.015,0.29
2020-02-12,1.096,1.144,1.146,1.092,502705,56465739.0,4.92,4.19,0.046,0.58
2020-02-13,1.143,1.14,1.154,1.124,607840,69125144.0,2.62,-0.35,-0.004,0.71
2020-02-14,1.13,1.132,1.158,1.117,585844,66629045.0,3.6,-0.7,-0.008,0.68
2020-02-17,1.136,1.188,1.19,1.136,752107,87554946.0,4.77,4.95,0.056,0.87
2020-02-18,1.198,1.205,1.207,1.17,588516,69836019.0,3.11,1.43,0.017,0.68
2020-02-19,1.199,1.181,1.202,1.178,735975,87603361.0,1.99,-1.99,-0.024,0.85
2020-02-20,1.179,1.197,1.201,1.17,603755,71686787.0,2.62,1.35,0.016,0.7
2020-02-21,1.197,1.242,1.27,1.197,808686,99966521.0,6.1,3.76,0.045,0.94
2020-02-24,1.245,1.284,1.289,1.241,1212399,153827274.0,3.86,3.38,0.042,1.41
2020-02-25,1.252,1.298,1.337,1.205,1496224,188984281.0,10.28,1.09,0.014,1.74
2020-02-26,1.27,1.236,1.28,1.223,1152081,144592609.0,4.39,-4.78,-0.062,1.34
2020-02-27,1.236,1.237,1.265,1.195,818099,100738430.0,5.66,0.08,0.001,0.95
2020-02-28,1.17,1.152,1.202,1.14,1138117,133754060.0,5.01,-6.87,-0.085,1.32
2020-03-02,1.171,1.194,1.206,1.142,774027,91439530.0,5.56,3.65,0.042,0.9
2020-03-03,1.218,1.224,1.268,1.204,1019396,126275218.0,5.36,2.51,0.03,1.18
2020-03-04,1.205,1.209,1.232,1.178,794333,95941558.0,4.41,-1.23,-0.015,0.92
2020-03-05,1.242,1.208,1.248,1.189,708955,86144404.0,4.88,-0.08,-0.001,0.82
2020-03-06,1.185,1.191,1.208,1.17,398871,47650182.0,3.15,-1.41,-0.017,0.46
2020-03-09,1.171,1.124,1.175,1.123,771426,88815508.0,4.37,-5.63,-0.067,0.9
2020-03-10,1.108,1.181,1.181,1.108,693534,79812164.0,6.49,5.07,0.057,0.81
2020-03-11,1.188,1.159,1.202,1.155,452725,53491258.0,3.98,-1.86,-0.022,0.53
2020-03-12,1.131,1.137,1.151,1.125,388827,44190242.0,2.24,-1.9,-0.022,0.45
2020-03-13,1.101,1.148,1.164,1.083,551030,62092664.0,7.12,0.97,0.011,0.64
2020-03-16,1.15,1.088,1.159,1.076,495699,55350739.0,7.23,-5.23,-0.06,0.58
2020-03-17,1.108,1.09,1.116,1.05,352714,38280067.0,6.07,0.18,0.002,0.41
2020-03-18,1.101,1.078,1.127,1.077,367716,40634540.0,4.59,-1.1,-0.012,0.43
2020-03-19,1.088,1.094,1.101,1.053,425764,45910460.0,4.45,1.48,0.016,0.49
2020-03-20,1.12,1.09,1.12,1.074,280745,30705322.0,4.2,-0.37,-0.004,0.33
2020-03-23,1.057,1.029,1.073,1.021,403486,42250165.0,4.77,-5.6,-0.061,0.47
2020-03-24,1.054,1.048,1.059,1.007,288553,29993973.0,5.05,1.85,0.019,0.33
2020-03-25,1.073,1.069,1.08,1.06,369095,39528152.0,1.91,2.0,0.021,0.43
2020-03-26,1.062,1.054,1.076,1.051,226425,24044600.0,2.34,-1.4,-0.015,0.26
2020-03-27,1.061,1.047,1.074,1.042,156320,16513185.0,3.04,-0.66,-0.007,0.18
2020-03-30,1.03,1.003,1.03,0.988,354372,35499590.0,4.01,-4.2,-0.044,0.41
2020-03-31,1.014,1.008,1.025,1.003,164788,16718351.0,2.19,0.5,0.005,0.19
2020-04-01,1.008,1.008,1.031,1.0,195291,19918066.0,3.08,0.0,0.0,0.23
2020-04-02,1.004,1.049,1.05,1.002,290374,29878320.0,4.76,4.07,0.041,0.34
2020-04-03,1.051,1.034,1.053,1.028,159389,16574762.0,2.38,-1.43,-0.015,0.19
2020-04-07,1.054,1.068,1.069,1.053,229241,24345689.0,1.55,3.29,0.034,0.27
2020-04-08,1.063,1.067,1.073,1.061,139607,14880793.0,1.12,-0.09,-0.001,0.16
2020-04-09,1.07,1.075,1.078,1.062,261074,27999244.0,1.5,0.75,0.008,0.3
2020-04-10,1.073,1.035,1.074,1.03,226899,23721718.0,4.09,-3.72,-0.04,0.26
2020-04-13,1.032,1.009,1.032,1.002,178439,18052908.0,2.9,-2.51,-0.026,0.21
2020-04-14,1.015,1.039,1.039,1.011,198908,20410987.0,2.78,2.97,0.03,0.23
