日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-04-23,0.999,1.018,1.023,0.999,1403350,142235549.0,2.39,1.39,0.014,35.83
2021-04-26,1.018,1.001,1.035,0.999,440418,44983170.0,3.54,-1.67,-0.017,11.25
2021-04-27,1.001,0.998,1.005,0.981,128547,12741963.0,2.4,-0.3,-0.003,3.28
2021-04-28,0.998,1.013,1.021,0.978,205487,20747230.0,4.31,1.5,0.015,5.25
2021-04-29,1.014,1.02,1.024,1.008,293318,29856446.0,1.58,0.69,0.007,7.49
2021-04-30,1.02,1.042,1.051,1.013,366975,38204025.0,3.73,2.16,0.022,9.37
2021-05-06,1.046,1.035,1.053,1.02,170669,17715934.0,3.17,-0.67,-0.007,4.36
2021-05-07,1.035,1.016,1.048,1.013,153291,15783747.0,3.38,-1.84,-0.019,3.91
2021-05-10,1.011,1.022,1.029,0.999,102371,10444349.0,2.95,0.59,0.006,2.61
2021-05-11,1.005,1.012,1.028,0.991,129194,12959709.0,3.62,-0.98,-0.01,3.3
2021-05-12,1.004,1.011,1.02,1.003,76867,7755830.0,1.68,-0.1,-0.001,1.96
2021-05-13,1.005,0.995,1.007,0.991,116678,11617270.0,1.58,-1.58,-0.016,2.98
2021-05-14,0.995,1.011,1.014,0.983,170322,17034433.0,3.12,1.61,0.016,4.35
2021-05-17,1.014,1.04,1.045,1.011,341190,35349511.0,3.36,2.87,0.029,8.71
2021-05-18,1.04,1.037,1.049,1.033,216447,22465793.0,1.54,-0.29,-0.003,5.53
2021-05-19,1.037,1.057,1.061,1.03,276768,29162136.0,2.99,1.93,0.02,7.07
2021-05-20,1.056,1.05,1.065,1.044,138789,14618983.0,1.99,-0.66,-0.007,3.54
2021-05-21,1.05,1.053,1.071,1.043,159161,16789555.0,2.67,0.29,0.003,4.06
2021-05-24,1.053,1.056,1.057,1.04,155164,16293377.0,1.61,0.28,0.003,3.96
2021-05-25,1.056,1.068,1.07,1.046,182230,19337132.0,2.27,1.14,0.012,4.65
2021-05-26,1.068,1.057,1.072,1.055,130977,13875268.0,1.59,-1.03,-0.011,3.34
2021-05-27,1.059,1.062,1.065,1.052,147082,15595757.0,1.23,0.47,0.005,3.76
2021-05-28,1.062,1.089,1.109,1.062,264025,28881610.0,4.43,2.54,0.027,6.74
2021-05-31,1.089,1.136,1.139,1.089,245948,27586210.0,4.59,4.32,0.047,6.28
2021-06-01,1.136,1.125,1.136,1.109,166026,18611035.0,2.38,-0.97,-0.011,4.24
2021-06-02,1.138,1.118,1.141,1.114,179564,20198084.0,2.4,-0.62,-0.007,4.58
2021-06-03,1.114,1.1,1.12,1.096,146858,16260045.0,2.15,-1.61,-0.018,3.75
2021-06-04,1.083,1.118,1.134,1.083,187219,20930315.0,4.64,1.64,0.018,4.78
2021-06-07,1.118,1.097,1.12,1.086,196993,21577527.0,3.04,-1.88,-0.021,5.03
2021-06-08,1.097,1.094,1.116,1.086,132279,14507891.0,2.73,-0.27,-0.003,3.38
2021-06-09,1.094,1.099,1.101,1.087,138750,15178037.0,1.28,0.46,0.005,3.54
2021-06-10,1.099,1.143,1.151,1.099,259329,29498597.0,4.73,4.0,0.044,6.62
2021-06-11,1.15,1.166,1.178,1.141,243716,28201586.0,3.24,2.01,0.023,6.22
2021-06-15,1.177,1.15,1.181,1.141,184837,21322068.0,3.43,-1.37,-0.016,4.72
2021-06-16,1.137,1.104,1.144,1.1,207175,23142748.0,3.83,-4.0,-0.046,5.29
2021-06-17,1.101,1.123,1.125,1.1,159465,17822914.0,2.26,1.72,0.019,4.07
2021-06-18,1.12,1.151,1.158,1.103,222933,25507289.0,4.9,2.49,0.028,5.69
2021-06-21,1.151,1.164,1.172,1.136,208343,24179284.0,3.13,1.13,0.013,5.32
2021-06-22,1.164,1.173,1.174,1.152,161580,18807413.0,1.89,0.77,0.009,4.13
2021-06-23,1.174,1.201,1.21,1.174,214932,25714027.0,3.07,2.39,0.028,5.49
2021-06-24,1.203,1.213,1.22,1.192,233648,28279864.0,2.33,1.0,0.012,5.97
2021-06-25,1.215,1.228,1.232,1.213,224033,27437407.0,1.57,1.24,0.015,5.72
2021-06-28,1.229,1.251,1.26,1.229,278590,34852368.0,2.52,1.87,0.023,7.11
2021-06-29,1.257,1.27,1.282,1.257,272320,34576704.0,2.0,1.52,0.019,6.95
2021-06-30,1.268,1.292,1.293,1.251,264433,33790852.0,3.31,1.73,0.022,6.75
2021-07-01,1.294,1.273,1.3,1.258,263184,33503191.0,3.25,-1.47,-0.019,6.72
2021-07-02,1.272,1.249,1.276,1.241,228838,28749827.0,2.75,-1.89,-0.024,5.84
2021-07-05,1.25,1.262,1.268,1.239,246477,30900872.0,2.32,1.04,0.013,6.29
2021-07-06,1.262,1.255,1.287,1.23,217976,27411412.0,4.52,-0.55,-0.007,5.57
2021-07-07,1.232,1.319,1.322,1.232,345861,44601927.0,7.17,5.1,0.064,8.83
2021-07-08,1.35,1.349,1.364,1.33,274754,37098318.0,2.58,2.27,0.03,7.02
2021-07-09,1.349,1.357,1.363,1.31,291962,38938036.0,3.93,0.59,0.008,7.45
2021-07-12,1.361,1.387,1.406,1.361,306117,42391345.0,3.32,2.21,0.03,7.82
2021-07-13,1.39,1.391,1.399,1.369,267431,37028042.0,2.16,0.29,0.004,6.83
2021-07-14,1.391,1.358,1.391,1.347,275759,37554380.0,3.16,-2.37,-0.033,7.04
2021-07-15,1.36,1.399,1.401,1.346,303240,41603344.0,4.05,3.02,0.041,7.74
2021-07-16,1.42,1.356,1.42,1.35,353778,48828461.0,5.0,-3.07,-0.043,9.03
2021-07-19,1.352,1.338,1.37,1.322,218179,29276407.0,3.54,-1.33,-0.018,5.57
2021-07-20,1.334,1.351,1.355,1.315,175027,23511496.0,2.99,0.97,0.013,4.47
2021-07-21,1.351,1.405,1.411,1.351,327184,45390285.0,4.44,4.0,0.054,8.35
2021-07-22,1.41,1.414,1.417,1.386,239665,33564775.0,2.21,0.64,0.009,6.12
2021-07-23,1.425,1.414,1.445,1.403,260769,37046920.0,2.97,0.0,0.0,6.66
2021-07-26,1.414,1.395,1.42,1.35,294090,40820365.0,4.95,-1.34,-0.019,7.51
2021-07-27,1.4,1.32,1.422,1.315,411487,56807319.0,7.67,-5.38,-0.075,10.51
2021-07-28,1.319,1.332,1.349,1.278,423216,56095462.0,5.38,0.91,0.012,10.81
2021-07-29,1.36,1.415,1.416,1.351,512850,70822977.0,4.88,6.23,0.083,13.09
2021-07-30,1.444,1.411,1.449,1.398,651173,92630969.0,3.6,-0.28,-0.004,16.63
2021-08-02,1.421,1.427,1.456,1.391,506097,72036603.0,4.61,1.13,0.016,12.92
2021-08-03,1.429,1.379,1.432,1.365,638545,88920576.0,4.7,-3.36,-0.048,16.3
2021-08-04,1.379,1.461,1.469,1.375,770855,111102504.0,6.82,5.95,0.082,19.68
2021-08-05,1.461,1.477,1.489,1.445,647985,95280653.0,3.01,1.1,0.016,16.55
2021-08-06,1.49,1.488,1.522,1.473,667522,99958984.0,3.32,0.74,0.011,17.04
2021-08-09,1.484,1.448,1.484,1.415,604052,86698792.0,4.64,-2.69,-0.04,15.42
2021-08-10,1.444,1.437,1.468,1.408,578689,83346465.0,4.14,-0.76,-0.011,14.78
2021-08-11,1.43,1.441,1.45,1.419,437531,62780134.0,2.16,0.28,0.004,11.17
