日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-19,0.976,0.974,0.991,0.966,744655,72987083.0,2.49,-2.89,-0.029,4.02
2021-03-22,0.97,0.988,0.998,0.97,285386,28025021.0,2.87,1.44,0.014,1.54
2021-03-23,0.99,0.96,0.99,0.951,59802,5764860.0,3.95,-2.83,-0.028,0.32
2021-03-24,0.956,0.942,0.963,0.935,31099,2937488.0,2.92,-1.88,-0.018,0.17
2021-03-25,0.942,0.939,0.945,0.921,70813,6636442.0,2.55,-0.32,-0.003,0.38
2021-03-26,0.939,0.989,0.99,0.939,165148,16133476.0,5.43,5.32,0.05,0.89
2021-03-29,0.99,0.98,0.99,0.969,33572,3294166.0,2.12,-0.91,-0.009,0.18
2021-03-30,0.985,0.995,0.996,0.968,75129,7445123.0,2.86,1.53,0.015,0.41
2021-03-31,0.993,0.99,0.997,0.982,33853,3350816.0,1.51,-0.5,-0.005,0.18
2021-04-01,0.99,1.002,1.011,0.99,86493,8692218.0,2.12,1.21,0.012,0.47
2021-04-02,1.003,1.002,1.011,0.994,139022,13942173.0,1.7,0.0,0.0,0.75
2021-04-06,1.002,1.017,1.028,1.002,279129,28330106.0,2.59,1.5,0.015,1.51
2021-04-07,1.017,1.001,1.02,0.993,50920,5125430.0,2.65,-1.57,-0.016,0.28
2021-04-08,1.0,0.996,1.0,0.986,28499,2829858.0,1.4,-0.5,-0.005,0.15
2021-04-09,0.998,0.978,0.998,0.976,30055,2951925.0,2.21,-1.81,-0.018,0.16
2021-04-12,0.978,0.96,0.982,0.947,84181,8100183.0,3.58,-1.84,-0.018,0.45
2021-04-13,0.96,0.955,0.967,0.947,19835,1893008.0,2.08,-0.52,-0.005,0.11
2021-04-14,0.956,0.981,0.983,0.956,41371,4029349.0,2.83,2.72,0.026,0.22
2021-04-15,0.98,0.985,0.987,0.972,15292,1495108.0,1.53,0.41,0.004,0.08
2021-04-16,0.995,0.977,0.996,0.962,21015,2049245.0,3.45,-0.81,-0.008,0.11
2021-04-19,0.977,1.021,1.023,0.972,173801,17551526.0,5.22,4.5,0.044,0.94
2021-04-20,1.02,1.026,1.048,1.015,127811,13110826.0,3.23,0.49,0.005,0.69
2021-04-21,1.023,1.022,1.031,1.011,52120,5321825.0,1.95,-0.39,-0.004,0.28
2021-04-22,1.035,1.028,1.036,1.016,30648,3148743.0,1.96,0.59,0.006,0.17
2021-04-23,1.027,1.044,1.047,1.016,82510,8573575.0,3.02,1.56,0.016,0.45
