日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-02-04,0.98,0.968,0.991,0.951,1587134,154098109.0,4.08,-1.22,-0.012,7.89
2021-02-05,0.975,0.953,0.993,0.949,1929955,187187129.0,4.55,-1.55,-0.015,9.6
2021-02-08,0.951,0.962,0.963,0.92,1181278,111560429.0,4.51,0.94,0.009,5.88
2021-02-09,0.962,0.997,0.999,0.962,1441479,142511148.0,3.85,3.64,0.035,7.17
2021-02-10,1.0,1.015,1.02,0.989,2734522,275949056.0,3.11,1.81,0.018,13.6
2021-02-18,1.045,1.005,1.047,0.992,1812204,183132988.0,5.42,-0.99,-0.01,9.01
2021-02-19,0.993,0.99,1.0,0.96,1857902,181670106.0,3.98,-1.49,-0.015,9.24
2021-02-22,0.988,0.971,1.01,0.971,1637359,162027504.0,3.94,-1.92,-0.019,8.14
2021-02-23,0.97,0.965,0.975,0.948,1119688,107846773.0,2.78,-0.62,-0.006,5.57
2021-02-24,0.961,0.918,0.967,0.907,2682099,249837494.0,6.22,-4.87,-0.047,13.34
2021-02-25,0.93,0.909,0.936,0.903,1282909,117489985.0,3.59,-0.98,-0.009,6.38
2021-02-26,0.893,0.893,0.899,0.87,1335074,118342460.0,3.19,-1.76,-0.016,6.64
2021-03-01,0.902,0.923,0.928,0.902,1076167,98642338.0,2.91,3.36,0.03,5.35
2021-03-02,0.93,0.92,0.935,0.908,1075153,99254314.0,2.93,-0.33,-0.003,5.35
2021-03-03,0.915,0.922,0.922,0.899,902242,82131675.0,2.5,0.22,0.002,4.49
2021-03-04,0.915,0.862,0.915,0.858,2884824,252578435.0,6.18,-6.51,-0.06,14.35
2021-03-05,0.842,0.861,0.87,0.834,1118466,95437925.0,4.18,-0.12,-0.001,5.56
2021-03-08,0.864,0.814,0.87,0.813,1383493,116072708.0,6.62,-5.46,-0.047,6.88
2021-03-09,0.812,0.797,0.825,0.775,1237786,99196308.0,6.14,-2.09,-0.017,6.16
2021-03-10,0.818,0.808,0.827,0.804,930252,75795748.0,2.89,1.38,0.011,4.63
2021-03-11,0.81,0.836,0.839,0.805,1249107,103356098.0,4.21,3.47,0.028,6.21
2021-03-12,0.843,0.849,0.855,0.831,1051160,88811464.0,2.87,1.56,0.013,5.23
2021-03-15,0.849,0.818,0.85,0.808,965807,79425532.0,4.95,-3.65,-0.031,4.8
2021-03-16,0.816,0.82,0.826,0.804,645402,52734405.0,2.69,0.24,0.002,3.21
2021-03-17,0.819,0.833,0.835,0.803,746144,61602253.0,3.9,1.59,0.013,3.71
2021-03-18,0.833,0.843,0.846,0.832,637039,53534410.0,1.68,1.2,0.01,3.17
2021-03-19,0.825,0.817,0.831,0.81,822718,67414254.0,2.49,-3.08,-0.026,4.09
2021-03-22,0.815,0.829,0.835,0.815,651115,53901185.0,2.45,1.47,0.012,3.24
2021-03-23,0.829,0.805,0.829,0.798,1254544,101230207.0,3.74,-2.9,-0.024,6.24
2021-03-24,0.8,0.789,0.809,0.784,891716,70584546.0,3.11,-1.99,-0.016,4.43
2021-03-25,0.781,0.79,0.794,0.772,643425,50384184.0,2.79,0.13,0.001,3.2
2021-03-26,0.794,0.826,0.829,0.791,1727207,140951697.0,4.81,4.56,0.036,8.59
2021-03-29,0.824,0.819,0.827,0.814,663494,54532651.0,1.57,-0.85,-0.007,3.3
2021-03-30,0.816,0.835,0.837,0.811,895985,74283156.0,3.17,1.95,0.016,4.46
2021-03-31,0.835,0.833,0.837,0.822,734341,60913446.0,1.8,-0.24,-0.002,3.65
2021-04-01,0.834,0.841,0.852,0.834,817085,68889851.0,2.16,0.96,0.008,4.06
2021-04-02,0.842,0.844,0.85,0.833,544446,45861762.0,2.02,0.36,0.003,2.71
2021-04-06,0.847,0.856,0.864,0.845,764276,65372215.0,2.25,1.42,0.012,3.8
2021-04-07,0.86,0.843,0.86,0.834,595353,50087888.0,3.04,-1.52,-0.013,2.96
2021-04-08,0.836,0.837,0.84,0.828,430094,35937491.0,1.42,-0.71,-0.006,2.14
2021-04-09,0.839,0.821,0.839,0.818,617503,50912010.0,2.51,-1.91,-0.016,3.07
2021-04-12,0.821,0.8,0.825,0.794,870928,70032346.0,3.78,-2.56,-0.021,4.33
2021-04-13,0.8,0.802,0.81,0.794,589671,47269864.0,2.0,0.25,0.002,2.93
2021-04-14,0.806,0.826,0.827,0.803,834002,68217346.0,2.99,2.99,0.024,4.15
2021-04-15,0.821,0.826,0.83,0.814,511330,42066363.0,1.94,0.0,0.0,2.54
