日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-24,0.994,0.981,0.998,0.98,985367,97403783.0,1.8,-1.9,-0.019,468.94
2021-03-25,0.974,0.982,0.986,0.971,106803,10497582.0,1.53,0.1,0.001,50.83
2021-03-26,0.983,0.998,1.0,0.983,153037,15228461.0,1.73,1.63,0.016,72.83
2021-03-29,1.002,1.003,1.007,0.998,415770,41667142.0,0.9,0.5,0.005,197.87
2021-03-30,1.0,0.998,1.0,0.992,136576,13626074.0,0.8,-0.5,-0.005,65.0
2021-03-31,0.998,0.997,0.998,0.99,205249,20427257.0,0.8,-0.1,-0.001,97.68
2021-04-01,0.997,1.003,1.003,0.996,61011,6092459.0,0.7,0.6,0.006,29.04
2021-04-02,1.006,1.004,1.009,1.002,93229,9389970.0,0.7,0.1,0.001,44.37
2021-04-06,1.004,1.014,1.015,1.004,108204,10942687.0,1.1,1.0,0.01,51.49
2021-04-07,1.016,1.012,1.016,1.006,27866,2811631.0,0.99,-0.2,-0.002,13.26
2021-04-08,1.011,1.011,1.013,1.006,29288,2958766.0,0.69,-0.1,-0.001,13.94
2021-04-09,1.01,1.011,1.013,1.006,76679,7749117.0,0.69,0.0,0.0,36.49
2021-04-12,1.01,0.992,1.012,0.992,39838,4006288.0,1.98,-1.88,-0.019,18.96
2021-04-13,0.992,0.986,0.993,0.985,776,76695.0,0.81,-0.6,-0.006,0.37
2021-04-14,0.986,0.999,0.999,0.982,34315,3397960.0,1.72,1.32,0.013,16.33
2021-04-15,0.994,0.997,0.998,0.99,29085,2894138.0,0.8,-0.2,-0.002,13.84
2021-04-16,1.0,1.008,1.01,0.999,60578,6083419.0,1.1,1.1,0.011,28.83
2021-04-19,1.009,1.024,1.025,1.009,62082,6330439.0,1.59,1.59,0.016,29.55
2021-04-20,1.021,1.022,1.028,1.02,40745,4172830.0,0.78,-0.2,-0.002,19.39
2021-04-21,1.02,1.021,1.023,1.014,18099,1842717.0,0.88,-0.1,-0.001,8.61
2021-04-22,1.02,1.025,1.026,1.02,27668,2835396.0,0.59,0.39,0.004,13.17
2021-04-23,1.021,1.021,1.024,1.016,16066,1642306.0,0.78,-0.39,-0.004,7.65
2021-04-26,1.021,1.018,1.031,1.016,20813,2132646.0,1.47,-0.29,-0.003,9.91
2021-04-27,1.014,1.013,1.016,1.003,44050,4454334.0,1.28,-0.49,-0.005,20.96
2021-04-28,1.013,1.017,1.017,1.008,76030,7714394.0,0.89,0.39,0.004,36.18
2021-04-29,1.014,1.015,1.019,1.012,52135,5296281.0,0.69,-0.2,-0.002,24.81
