日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-02-19,1.018,1.022,1.025,1.004,1905914,193533993.0,2.04,-0.58,-0.006,68.48
2021-02-22,1.022,1.001,1.023,0.998,817662,82677777.0,2.45,-2.05,-0.021,29.38
2021-02-23,0.996,0.99,0.998,0.982,337182,33352570.0,1.6,-1.1,-0.011,12.12
2021-02-24,0.99,0.977,0.998,0.963,514380,50595408.0,3.54,-1.31,-0.013,18.48
2021-02-25,0.979,0.963,0.984,0.961,314623,30564942.0,2.35,-1.43,-0.014,11.3
2021-02-26,0.953,0.947,0.958,0.942,300963,28569610.0,1.66,-1.66,-0.016,10.81
2021-03-01,0.953,0.98,0.982,0.953,234960,22802193.0,3.06,3.48,0.033,8.44
2021-03-02,0.986,0.98,0.989,0.969,203816,19996553.0,2.04,0.0,0.0,7.32
2021-03-03,0.98,0.981,0.982,0.963,202470,19701054.0,1.94,0.1,0.001,7.28
2021-03-04,0.973,0.957,0.979,0.951,230642,22195868.0,2.85,-2.45,-0.024,8.29
2021-03-05,0.95,0.958,0.964,0.943,175393,16721234.0,2.19,0.1,0.001,6.3
2021-03-08,0.965,0.932,0.97,0.925,242525,22977789.0,4.7,-2.71,-0.026,8.71
2021-03-09,0.932,0.896,0.932,0.887,220140,19934663.0,4.83,-3.86,-0.036,7.91
2021-03-10,0.898,0.892,0.912,0.888,97721,8754918.0,2.68,-0.45,-0.004,3.51
2021-03-11,0.891,0.91,0.912,0.885,150528,13568076.0,3.03,2.02,0.018,5.41
2021-03-12,0.908,0.903,0.912,0.896,104832,9477045.0,1.76,-0.77,-0.007,3.77
2021-03-15,0.91,0.877,0.91,0.871,146493,12903093.0,4.32,-2.88,-0.026,5.26
2021-03-16,0.864,0.879,0.886,0.864,82993,7284499.0,2.51,0.23,0.002,2.98
2021-03-17,0.874,0.893,0.894,0.871,112944,10047624.0,2.62,1.59,0.014,4.06
2021-03-18,0.893,0.897,0.9,0.893,97425,8740875.0,0.78,0.45,0.004,3.5
2021-03-19,0.881,0.89,0.9,0.881,101288,9016318.0,2.12,-0.78,-0.007,3.64
2021-03-22,0.901,0.906,0.906,0.887,109487,9870175.0,2.13,1.8,0.016,3.93
2021-03-23,0.907,0.903,0.916,0.897,137753,12527140.0,2.1,-0.33,-0.003,4.95
2021-03-24,0.91,0.888,0.915,0.885,105850,9473211.0,3.32,-1.66,-0.015,3.8
2021-03-25,0.886,0.894,0.898,0.882,58775,5242025.0,1.8,0.68,0.006,2.11
2021-03-26,0.895,0.915,0.92,0.895,166147,15108851.0,2.8,2.35,0.021,5.97
2021-03-29,0.907,0.915,0.925,0.907,69912,6430264.0,1.97,0.0,0.0,2.51
2021-03-30,0.902,0.922,0.925,0.902,130541,12024237.0,2.51,0.77,0.007,4.69
2021-03-31,0.92,0.922,0.923,0.915,54585,5019364.0,0.87,0.0,0.0,1.96
2021-04-01,0.925,0.935,0.937,0.915,121085,11290972.0,2.39,1.41,0.013,4.35
2021-04-02,0.936,0.953,0.957,0.936,206014,19599774.0,2.25,1.93,0.018,7.4
2021-04-06,0.952,0.954,0.959,0.948,109724,10465522.0,1.15,0.1,0.001,3.94
2021-04-07,0.954,0.955,0.958,0.944,117990,11213605.0,1.47,0.1,0.001,4.24
2021-04-08,0.95,0.956,0.961,0.95,58904,5635443.0,1.15,0.1,0.001,2.12
2021-04-09,0.956,0.942,0.96,0.941,105893,10007419.0,1.99,-1.46,-0.014,3.8
2021-04-12,0.938,0.924,0.948,0.917,75569,7028253.0,3.29,-1.91,-0.018,2.72
2021-04-13,0.917,0.918,0.932,0.916,50127,4629127.0,1.73,-0.65,-0.006,1.8
2021-04-14,0.918,0.936,0.937,0.918,62149,5796835.0,2.07,1.96,0.018,2.23
2021-04-15,0.95,0.936,0.95,0.926,55300,5159726.0,2.56,0.0,0.0,1.99
2021-04-16,0.93,0.937,0.945,0.93,41365,3875179.0,1.6,0.11,0.001,1.49
2021-04-19,0.937,0.964,0.967,0.937,176843,16946024.0,3.2,2.88,0.027,6.35
2021-04-20,0.96,0.962,0.968,0.953,158346,15273499.0,1.56,-0.21,-0.002,5.69
2021-04-21,0.96,0.965,0.967,0.951,84819,8157617.0,1.66,0.31,0.003,3.05
2021-04-22,0.966,0.966,0.97,0.962,76173,7365287.0,0.83,0.1,0.001,2.74
2021-04-23,0.966,0.966,0.97,0.96,77200,7465058.0,1.04,0.0,0.0,2.77
2021-04-26,0.965,0.962,0.987,0.962,172101,16786772.0,2.59,-0.41,-0.004,6.18
2021-04-27,0.961,0.962,0.969,0.953,48713,4673771.0,1.66,0.0,0.0,1.75
2021-04-28,0.966,0.978,0.978,0.96,103071,10016716.0,1.87,1.66,0.016,3.7
2021-04-29,0.985,0.98,0.99,0.976,66774,6567468.0,1.43,0.2,0.002,2.4
2021-04-30,0.98,0.976,0.982,0.969,93653,9129902.0,1.33,-0.41,-0.004,3.37
2021-05-06,0.975,0.967,0.976,0.96,50336,4867438.0,1.64,-0.92,-0.009,1.81
2021-05-07,0.969,0.936,0.969,0.932,97984,9287196.0,3.83,-3.21,-0.031,3.52
2021-05-10,0.92,0.924,0.933,0.917,108157,10000999.0,1.71,-1.28,-0.012,3.89
2021-05-11,0.92,0.927,0.928,0.908,96307,8830319.0,2.16,0.32,0.003,3.46
2021-05-12,0.927,0.935,0.936,0.919,56967,5278171.0,1.83,0.86,0.008,2.05
2021-05-13,0.926,0.921,0.932,0.918,56969,5260578.0,1.5,-1.5,-0.014,2.05
2021-05-14,0.931,0.941,0.941,0.917,88796,8278673.0,2.61,2.17,0.02,3.19
2021-05-17,0.941,0.954,0.963,0.941,97405,9322121.0,2.34,1.38,0.013,3.5
2021-05-18,0.951,0.954,0.956,0.946,60474,5757113.0,1.05,0.0,0.0,2.17
2021-05-19,0.948,0.959,0.963,0.948,55450,5310571.0,1.57,0.52,0.005,1.99
2021-05-20,0.955,0.959,0.963,0.955,54956,5273383.0,0.83,0.0,0.0,1.97
2021-05-21,0.968,0.954,0.968,0.953,83738,8030320.0,1.56,-0.52,-0.005,3.01
2021-05-24,0.954,0.967,0.968,0.945,90006,8643186.0,2.41,1.36,0.013,3.23
2021-05-25,0.967,0.985,0.987,0.967,195088,19122451.0,2.07,1.86,0.018,7.01
2021-05-26,0.985,0.984,0.995,0.983,141086,13937862.0,1.22,-0.1,-0.001,5.07
2021-05-27,0.984,1.002,1.009,0.977,382530,38301076.0,3.25,1.83,0.018,13.74
2021-05-28,0.999,1.002,1.011,0.996,158398,15937065.0,1.5,0.0,0.0,5.69
2021-05-31,1.009,1.018,1.02,0.995,411262,41741286.0,2.5,1.6,0.016,14.78
2021-06-01,1.018,1.02,1.029,1.011,231953,23703958.0,1.77,0.2,0.002,8.33
2021-06-02,1.02,1.005,1.027,1.001,152412,15432096.0,2.55,-1.47,-0.015,5.48
2021-06-03,1.006,0.999,1.012,0.998,99766,10040809.0,1.39,-0.6,-0.006,3.58
2021-06-04,0.999,1.012,1.02,0.996,167747,16960223.0,2.4,1.3,0.013,6.03
2021-06-07,1.012,1.024,1.028,1.012,242618,24833042.0,1.58,1.19,0.012,8.72
2021-06-08,1.029,1.019,1.03,1.014,166597,17062048.0,1.56,-0.49,-0.005,5.99
2021-06-09,1.024,1.023,1.028,1.016,102737,10503101.0,1.18,0.39,0.004,3.69
2021-06-10,1.023,1.04,1.043,1.023,469484,48592316.0,1.96,1.66,0.017,16.87
2021-06-11,1.04,1.032,1.042,1.031,117554,12164350.0,1.06,-0.77,-0.008,4.22
2021-06-15,1.032,1.038,1.045,1.028,259433,26965262.0,1.65,0.58,0.006,9.32
2021-06-16,1.04,1.014,1.044,1.012,122634,12584167.0,3.08,-2.31,-0.024,4.41
2021-06-17,1.01,1.055,1.057,1.01,432665,45291047.0,4.64,4.04,0.041,15.55
2021-06-18,1.054,1.074,1.078,1.054,354822,38030745.0,2.27,1.8,0.019,12.75
2021-06-21,1.075,1.081,1.087,1.061,290658,31364516.0,2.42,0.65,0.007,10.44
2021-06-22,1.084,1.081,1.088,1.07,195419,21083555.0,1.67,0.0,0.0,7.02
2021-06-23,1.081,1.105,1.112,1.081,281493,30973712.0,2.87,2.22,0.024,10.11
2021-06-24,1.112,1.09,1.112,1.085,137186,14986469.0,2.44,-1.36,-0.015,4.93
2021-06-25,1.09,1.098,1.102,1.085,178929,19622299.0,1.56,0.73,0.008,6.43
2021-06-28,1.1,1.116,1.121,1.099,148138,16488266.0,2.0,1.64,0.018,5.32
2021-06-29,1.116,1.109,1.123,1.102,119179,13242052.0,1.88,-0.63,-0.007,4.28
2021-06-30,1.11,1.141,1.147,1.11,332941,37856655.0,3.34,2.89,0.032,11.96
2021-07-01,1.15,1.129,1.15,1.128,173245,19713464.0,1.93,-1.05,-0.012,6.22
2021-07-02,1.13,1.106,1.13,1.105,171397,19088990.0,2.21,-2.04,-0.023,6.16
2021-07-05,1.106,1.133,1.134,1.106,132201,14871725.0,2.53,2.44,0.027,4.75
