日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-12-28,0.999,0.993,1.0,0.976,1634492,161549639.0,2.39,-1.1,-0.011,108.61
2021-12-29,0.99,0.983,0.99,0.981,19176,1887654.0,0.91,-1.01,-0.01,1.27
2021-12-30,0.974,0.983,0.986,0.974,73932,7258782.0,1.22,0.0,0.0,4.91
2021-12-31,1.0,0.994,1.0,0.978,177623,17624848.0,2.24,1.12,0.011,11.8
2022-01-04,0.999,1.004,1.006,0.996,264551,26507398.0,1.01,1.01,0.01,17.58
2022-01-05,0.993,1.003,1.007,0.993,120661,12097826.0,1.39,-0.1,-0.001,8.02
2022-01-06,0.997,1.009,1.014,0.997,136284,13742743.0,1.69,0.6,0.006,9.06
2022-01-07,1.004,1.034,1.04,1.004,166067,17065168.0,3.57,2.48,0.025,11.03
2022-01-10,1.034,1.039,1.042,1.025,131936,13643326.0,1.64,0.48,0.005,8.77
2022-01-11,1.035,1.033,1.046,1.033,83101,8624832.0,1.25,-0.58,-0.006,5.52
2022-01-12,1.034,1.035,1.04,1.027,68181,7056394.0,1.26,0.19,0.002,4.53
2022-01-13,1.035,1.041,1.049,1.035,70990,7400438.0,1.35,0.58,0.006,4.72
2022-01-14,1.031,1.013,1.031,1.012,55749,5676765.0,1.83,-2.69,-0.028,3.7
2022-01-17,1.016,1.013,1.018,1.008,34912,3534036.0,0.99,0.0,0.0,2.32
2022-01-18,1.01,1.045,1.049,1.01,92077,9488096.0,3.85,3.16,0.032,6.12
2022-01-19,1.047,1.051,1.059,1.046,73720,7765165.0,1.24,0.57,0.006,4.9
2022-01-20,1.047,1.056,1.061,1.043,62157,6540538.0,1.71,0.48,0.005,4.13
2022-01-21,1.049,1.041,1.049,1.038,23446,2448134.0,1.04,-1.42,-0.015,1.56
2022-01-24,1.041,1.052,1.057,1.04,46339,4866371.0,1.63,1.06,0.011,3.08
2022-01-25,1.045,1.023,1.045,1.023,44632,4618525.0,2.09,-2.76,-0.029,2.97
2022-01-26,1.029,1.038,1.039,1.025,44044,4546804.0,1.37,1.47,0.015,2.93
2022-01-27,1.032,1.029,1.044,1.028,52617,5444816.0,1.54,-0.87,-0.009,3.5
2022-01-28,1.033,1.011,1.033,1.009,52362,5321879.0,2.33,-1.75,-0.018,3.48
2022-02-07,1.013,1.063,1.064,1.013,55868,5880002.0,5.04,5.14,0.052,3.71
2022-02-08,1.063,1.078,1.078,1.057,50714,5402653.0,1.98,1.41,0.015,3.37
2022-02-09,1.088,1.076,1.088,1.07,50438,5432615.0,1.67,-0.19,-0.002,3.35
2022-02-10,1.005,1.089,1.09,1.005,34665,3757377.0,7.9,1.21,0.013,2.3
2022-02-11,1.084,1.093,1.109,1.035,95717,10530123.0,6.8,0.37,0.004,6.36
2022-02-14,1.092,1.074,1.098,1.07,39102,4237912.0,2.56,-1.74,-0.019,2.6
2022-02-15,1.07,1.061,1.07,1.054,25111,2672050.0,1.49,-1.21,-0.013,1.67
2022-02-16,1.062,1.072,1.08,1.062,13158,1412907.0,1.7,1.04,0.011,0.87
2022-02-17,1.069,1.069,1.07,1.064,55812,5957628.0,0.56,-0.28,-0.003,3.71
2022-02-18,1.064,1.081,1.081,1.064,33663,3615648.0,1.59,1.12,0.012,2.24
2022-02-21,1.074,1.081,1.081,1.07,13608,1459751.0,1.02,0.0,0.0,0.9
2022-02-22,1.078,1.077,1.078,1.065,32892,3526144.0,1.2,-0.37,-0.004,2.19
2022-02-23,1.07,1.064,1.07,1.06,22161,2355973.0,0.93,-1.21,-0.013,1.47
2022-02-24,1.043,1.055,1.063,1.043,11802,1248908.0,1.88,-0.85,-0.009,0.78
2022-02-25,1.055,1.042,1.056,1.037,37613,3923961.0,1.8,-1.23,-0.013,2.5
2022-02-28,1.041,1.044,1.047,1.038,28556,2976249.0,0.86,0.19,0.002,1.9
2022-03-01,1.046,1.054,1.055,1.043,36307,3803610.0,1.15,0.96,0.01,2.41
2022-03-02,1.054,1.056,1.06,1.053,19759,2087961.0,0.66,0.19,0.002,1.31
2022-03-03,1.064,1.077,1.08,1.064,13036,1395059.0,1.52,1.99,0.021,0.87
2022-03-04,1.077,1.066,1.077,1.059,56257,5998515.0,1.67,-1.02,-0.011,3.74
2022-03-07,1.066,1.068,1.078,1.064,46646,4991954.0,1.31,0.19,0.002,3.1
2022-03-08,1.073,1.047,1.073,1.043,37565,3964850.0,2.81,-1.97,-0.021,2.5
2022-03-09,1.051,1.035,1.057,1.002,52209,5418439.0,5.25,-1.15,-0.012,3.47
2022-03-10,1.03,1.035,1.041,1.025,45448,4719900.0,1.55,0.0,0.0,3.02
2022-03-11,1.025,1.023,1.025,1.002,52467,5317945.0,2.22,-1.16,-0.012,3.49
2022-03-14,1.021,1.002,1.08,1.002,55061,5573395.0,7.62,-2.05,-0.021,3.66
2022-03-15,0.997,0.932,0.997,0.932,67090,6435995.0,6.49,-6.99,-0.07,4.46
2022-03-16,0.937,0.967,0.967,0.926,62954,5869355.0,4.4,3.76,0.035,4.18
2022-03-17,0.976,0.969,0.98,0.968,56078,5438490.0,1.24,0.21,0.002,3.73
2022-03-18,0.96,1.001,1.001,0.96,54429,5346096.0,4.23,3.3,0.032,3.62
2022-03-21,1.001,0.99,1.001,0.984,50680,5022295.0,1.7,-1.1,-0.011,3.37
2022-03-22,0.999,1.008,1.009,0.994,48673,4859812.0,1.52,1.82,0.018,3.23
2022-03-23,1.008,1.012,1.015,1.0,36271,3660688.0,1.49,0.4,0.004,2.41
2022-03-24,1.017,1.019,1.023,1.017,42096,4292853.0,0.59,0.69,0.007,2.8
2022-03-25,1.011,1.007,1.017,1.007,25082,2535766.0,0.98,-1.18,-0.012,1.67
2022-03-28,1.002,1.026,1.027,1.002,26948,2738289.0,2.48,1.89,0.019,1.79
2022-03-29,1.026,1.026,1.027,1.018,46084,4714515.0,0.88,0.0,0.0,3.06
2022-03-30,1.028,1.033,1.035,1.022,33928,3492545.0,1.27,0.68,0.007,2.25
2022-03-31,1.033,1.032,1.04,1.029,39731,4115425.0,1.06,-0.1,-0.001,2.64
2022-04-01,1.024,1.035,1.035,1.022,40706,4193267.0,1.26,0.29,0.003,2.7
2022-04-06,1.03,1.069,1.074,1.03,69290,7330843.0,4.25,3.29,0.034,4.6
2022-04-07,1.063,1.061,1.073,1.059,22177,2355964.0,1.31,-0.75,-0.008,1.47
2022-04-08,1.071,1.079,1.08,1.061,38316,4102395.0,1.79,1.7,0.018,2.55
2022-04-11,1.078,1.068,1.081,1.067,49353,5305953.0,1.3,-1.02,-0.011,3.28
2022-04-12,1.058,1.061,1.071,1.054,92332,9830155.0,1.59,-0.66,-0.007,6.14
2022-04-13,1.062,1.068,1.077,1.062,14097,1504266.0,1.41,0.66,0.007,0.94
2022-04-14,1.07,1.081,1.084,1.066,56674,6085845.0,1.69,1.22,0.013,3.77
2022-04-15,1.082,1.075,1.086,1.073,12154,1314970.0,1.2,-0.56,-0.006,0.81
2022-04-18,1.065,1.055,1.072,1.054,4345,462750.0,1.67,-1.86,-0.02,0.29
2022-04-19,1.06,1.072,1.074,1.056,52639,5590040.0,1.71,1.61,0.017,3.5
2022-04-20,1.067,1.044,1.068,1.043,39829,4199082.0,2.33,-2.61,-0.028,2.65
2022-04-21,1.046,1.018,1.046,1.018,62001,6388256.0,2.68,-2.49,-0.026,4.12
2022-04-22,1.018,1.036,1.038,1.012,44942,4633111.0,2.55,1.77,0.018,2.99
2022-04-25,1.027,1.003,1.029,1.003,72556,7409272.0,2.51,-3.19,-0.033,4.82
2022-04-26,1.007,1.005,1.022,0.999,82922,8323072.0,2.29,0.2,0.002,5.51
