日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-08-05,4.29,4.384,4.392,4.278,815736,354194448.0,2.66,2.48,0.106,18.35
2020-08-06,4.392,4.419,4.428,4.392,240855,106107566.0,0.82,0.8,0.035,5.42
2020-08-07,4.466,4.444,4.482,4.388,202679,90353813.0,2.13,0.57,0.025,4.56
2020-08-10,4.42,4.414,4.435,4.396,138706,61177647.0,0.88,-0.68,-0.03,3.12
2020-08-11,4.41,4.311,4.41,4.298,115572,50357603.0,2.54,-2.33,-0.103,2.6
2020-08-12,4.193,4.073,4.193,3.998,67469,27296057.0,4.52,-5.52,-0.238,1.52
2020-08-13,4.111,4.12,4.139,4.104,71029,29283296.0,0.86,1.15,0.047,1.6
2020-08-14,4.19,4.15,4.211,4.144,89308,37405180.0,1.63,0.73,0.03,2.01
2020-08-17,4.143,4.196,4.2,4.143,37271,15579159.0,1.37,1.11,0.046,0.84
2020-08-18,4.248,4.289,4.298,4.248,40636,17392227.0,1.19,2.22,0.093,0.91
2020-08-19,4.289,4.245,4.289,4.238,139221,59326112.0,1.19,-1.03,-0.044,3.13
2020-08-20,4.144,4.161,4.18,4.1,263828,109550253.0,1.88,-1.98,-0.084,5.93
2020-08-21,4.162,4.16,4.167,4.144,63387,26358966.0,0.55,-0.02,-0.001,1.43
2020-08-24,4.16,4.125,4.16,4.106,39722,16354602.0,1.3,-0.84,-0.035,0.89
2020-08-25,4.207,4.134,4.207,4.124,60154,24878647.0,2.01,0.22,0.009,1.35
2020-08-26,4.171,4.126,4.171,4.123,35865,14812163.0,1.16,-0.19,-0.008,0.81
2020-08-27,4.15,4.172,4.174,4.15,58441,24354891.0,0.58,1.11,0.046,1.31
2020-08-28,4.159,4.166,4.178,4.146,66982,27877172.0,0.77,-0.14,-0.006,1.51
2020-08-31,4.23,4.184,4.23,4.184,41650,17475989.0,1.1,0.43,0.018,0.94
2020-09-01,4.196,4.229,4.238,4.196,35010,14790145.0,1.0,1.08,0.045,0.79
2020-09-02,4.21,4.192,4.21,4.135,80683,33817031.0,1.77,-0.87,-0.037,1.81
2020-09-03,4.16,4.117,4.168,4.115,136701,56683376.0,1.26,-1.79,-0.075,3.07
2020-09-04,4.126,4.136,4.148,4.122,102254,42270245.0,0.63,0.46,0.019,2.3
2020-09-07,4.137,4.138,4.153,4.126,145614,60335458.0,0.65,0.05,0.002,3.28
2020-09-08,4.116,4.132,4.136,4.11,114557,47208336.0,0.63,-0.14,-0.006,2.58
2020-09-09,4.123,4.128,4.14,4.12,82005,33865030.0,0.48,-0.1,-0.004,1.84
2020-09-10,4.153,4.158,4.169,4.153,97145,40425646.0,0.39,0.73,0.03,2.18
2020-09-11,4.161,4.15,4.165,4.136,59152,24560123.0,0.7,-0.19,-0.008,1.33
2020-09-14,4.155,4.149,4.162,4.148,47736,19838392.0,0.34,-0.02,-0.001,1.07
2020-09-15,4.16,4.164,4.172,4.049,54418,22635542.0,2.96,0.36,0.015,1.22
2020-09-16,4.185,4.151,4.185,4.141,43356,17984274.0,1.06,-0.31,-0.013,0.98
2020-09-17,4.142,4.122,4.142,4.11,83180,34306071.0,0.77,-0.7,-0.029,1.87
2020-09-18,4.123,4.14,4.14,4.123,38905,16086026.0,0.41,0.44,0.018,0.88
2020-09-21,4.16,4.136,4.16,4.136,36966,15319832.0,0.58,-0.1,-0.004,0.83
2020-09-22,4.057,4.049,4.065,4.027,136282,55170147.0,0.92,-2.1,-0.087,3.07
2020-09-23,4.049,3.998,4.051,3.985,68875,27665117.0,1.63,-1.26,-0.051,1.55
2020-09-24,3.993,3.943,3.996,3.932,85293,33810748.0,1.6,-1.38,-0.055,1.92
2020-09-25,3.967,3.996,3.996,3.96,61006,24244292.0,0.91,1.34,0.053,1.37
2020-09-28,3.997,3.981,3.997,3.974,54342,21639424.0,0.58,-0.38,-0.015,1.22
2020-09-29,4.06,4.034,4.06,4.014,50605,20383346.0,1.16,1.33,0.053,1.14
2020-09-30,4.046,4.034,4.049,4.031,24190,9781565.0,0.45,0.0,0.0,0.54
2020-10-09,3.982,4.035,4.047,3.98,24440,9854325.0,1.66,0.02,0.001,0.55
2020-10-12,4.06,4.069,4.092,4.06,25622,10466619.0,0.79,0.84,0.034,0.58
2020-10-13,4.077,4.061,4.079,4.052,25780,10478490.0,0.66,-0.2,-0.008,0.58
2020-10-14,3.991,4.015,4.016,3.989,19887,7955997.0,0.66,-1.13,-0.046,0.45
2020-10-15,4.0,4.007,4.02,3.998,26970,10808191.0,0.55,-0.2,-0.008,0.61
2020-10-16,4.035,4.024,4.035,4.022,31958,12874119.0,0.32,0.42,0.017,0.72
2020-10-19,4.009,4.027,4.033,4.005,29985,12057520.0,0.7,0.07,0.003,0.67
2020-10-20,4.01,4.013,4.017,3.997,38419,15395074.0,0.5,-0.35,-0.014,0.86
2020-10-21,4.034,4.025,4.037,4.022,18356,7397087.0,0.37,0.3,0.012,0.41
2020-10-22,4.028,4.026,4.028,4.015,42138,16954286.0,0.32,0.02,0.001,0.95
2020-10-23,4.007,4.013,4.015,4.006,16558,6641159.0,0.22,-0.32,-0.013,0.37
2020-10-26,4.001,3.993,4.004,3.984,31211,12476341.0,0.5,-0.5,-0.02,0.7
2020-10-27,4.013,4.033,4.034,4.013,14711,5930495.0,0.53,1.0,0.04,0.33
2020-10-28,4.039,4.032,4.043,4.027,42042,16968786.0,0.4,-0.02,-0.001,0.95
2020-10-29,4.0,3.977,4.0,3.97,37734,15009829.0,0.74,-1.36,-0.055,0.85
2020-10-30,3.966,3.949,3.966,3.944,10924,4321011.0,0.55,-0.7,-0.028,0.25
2020-11-02,3.972,3.988,3.993,3.972,18844,7502718.0,0.53,0.99,0.039,0.42
2020-11-03,4.001,4.006,4.013,3.99,39797,15940683.0,0.58,0.45,0.018,0.9
2020-11-04,4.03,4.023,4.033,4.013,66332,26697171.0,0.5,0.42,0.017,1.49
2020-11-05,4.01,4.02,4.024,4.009,28769,11555334.0,0.37,-0.07,-0.003,0.65
2020-11-06,4.06,4.064,4.076,4.054,25443,10344036.0,0.55,1.09,0.044,0.57
2020-11-09,4.066,4.035,4.079,4.031,26116,10621967.0,1.18,-0.71,-0.029,0.59
2020-11-10,3.96,3.948,3.96,3.911,50527,19856859.0,1.21,-2.16,-0.087,1.14
2020-11-11,3.96,3.941,3.98,3.923,38248,15029593.0,1.44,-0.18,-0.007,0.86
2020-11-12,3.941,3.935,3.941,3.922,38056,14956523.0,0.48,-0.15,-0.006,0.86
2020-11-13,3.948,3.951,3.951,3.945,16740,6608812.0,0.15,0.41,0.016,0.38
2020-11-16,3.958,3.949,3.966,3.942,40062,15849078.0,0.61,-0.05,-0.002,0.9
2020-11-17,3.945,3.939,3.949,3.934,28651,11292269.0,0.38,-0.25,-0.01,0.64
2020-11-18,3.921,3.915,3.923,3.907,43441,17010660.0,0.41,-0.61,-0.024,0.98
2020-11-19,3.908,3.895,3.909,3.885,53770,20958061.0,0.61,-0.51,-0.02,1.21
2020-11-20,3.893,3.899,3.907,3.893,23025,8979649.0,0.36,0.1,0.004,0.52
2020-11-23,3.905,3.908,3.91,3.897,44522,17381135.0,0.33,0.23,0.009,1.0
2020-11-24,3.88,3.809,3.88,3.801,51271,19530995.0,2.02,-2.53,-0.099,1.15
2020-11-25,3.809,3.775,3.809,3.759,34816,13123045.0,1.31,-0.89,-0.034,0.78
2020-11-26,3.773,3.767,3.775,3.757,29108,10965207.0,0.48,-0.21,-0.008,0.65
2020-11-27,3.768,3.772,3.773,3.761,20620,7771570.0,0.32,0.13,0.005,0.46
2020-11-30,3.725,3.683,3.725,3.654,95029,34975073.0,1.88,-2.36,-0.089,2.14
2020-12-01,3.694,3.707,3.718,3.692,44944,16649599.0,0.71,0.65,0.024,1.01
2020-12-02,3.799,3.759,3.799,3.745,40508,15219993.0,1.46,1.4,0.052,0.91
2020-12-03,3.75,3.804,3.807,3.71,61383,23276021.0,2.58,1.2,0.045,1.38
2020-12-04,3.806,3.807,3.818,3.798,10555,4016234.0,0.53,0.08,0.003,0.24
2020-12-07,3.793,3.801,3.806,3.79,8019,3045044.0,0.42,-0.16,-0.006,0.18
2020-12-08,3.84,3.856,3.861,3.84,14558,5614349.0,0.55,1.45,0.055,0.33
2020-12-09,3.85,3.832,3.857,3.824,12639,4859430.0,0.86,-0.62,-0.024,0.28
2020-12-10,3.799,3.795,3.81,3.794,15831,6018725.0,0.42,-0.97,-0.037,0.36
2020-12-11,3.799,3.791,3.801,3.786,7549,2864880.0,0.4,-0.11,-0.004,0.17
2020-12-14,3.79,3.79,3.799,3.786,18374,6972352.0,0.34,-0.03,-0.001,0.41
2020-12-15,3.822,3.819,3.822,3.785,26196,9988911.0,0.98,0.77,0.029,0.59
2020-12-16,3.835,3.845,3.853,3.833,18068,6943854.0,0.52,0.68,0.026,0.41
2020-12-17,3.857,3.866,3.872,3.846,10640,4106716.0,0.68,0.55,0.021,0.24
2020-12-18,3.879,3.893,3.904,3.879,20533,7992266.0,0.65,0.7,0.027,0.46
2020-12-21,3.92,3.941,3.96,3.92,23167,9140475.0,1.03,1.23,0.048,0.52
2020-12-22,3.897,3.881,3.909,3.88,3941,1537208.0,0.74,-1.52,-0.06,0.09
2020-12-23,3.881,3.872,3.882,3.867,2857,1106929.0,0.39,-0.23,-0.009,0.06
2020-12-24,3.895,3.886,3.9,3.881,4579,1781341.0,0.49,0.36,0.014,0.1
2020-12-25,3.885,3.861,3.909,3.851,10530,4103617.0,1.49,-0.64,-0.025,0.24
2020-12-28,3.911,3.834,3.959,3.595,22156,8695058.0,9.43,-0.7,-0.027,0.5
2020-12-29,3.905,3.888,3.908,3.888,3672,1431195.0,0.52,1.41,0.054,0.08
2020-12-30,3.897,3.887,3.902,3.878,5281,2054366.0,0.62,-0.03,-0.001,0.12
2020-12-31,3.919,3.9,3.919,3.885,14728,5754374.0,0.87,0.33,0.013,0.33
2021-01-04,3.948,3.954,3.962,3.947,28353,11219067.0,0.38,1.38,0.054,0.64
2021-01-05,3.979,3.976,3.986,3.954,28887,11482318.0,0.81,0.56,0.022,0.65
2021-01-06,3.988,3.981,3.993,3.969,19015,7577013.0,0.6,0.13,0.005,0.43
2021-01-07,3.98,3.951,3.98,3.922,23464,9234251.0,1.46,-0.75,-0.03,0.53
2021-01-08,3.937,3.928,3.946,3.927,5192,2042008.0,0.48,-0.58,-0.023,0.12
2021-01-11,3.8,3.832,3.836,3.788,19920,7589465.0,1.22,-2.44,-0.096,0.45
2021-01-12,3.83,3.86,3.86,3.818,19570,7506272.0,1.1,0.73,0.028,0.44
2021-01-13,3.925,3.857,3.925,3.845,20068,7735767.0,2.07,-0.08,-0.003,0.45
2021-01-14,3.849,3.83,3.849,3.807,13053,5000493.0,1.09,-0.7,-0.027,0.29
2021-01-15,3.851,3.837,3.852,3.83,13094,5029117.0,0.57,0.18,0.007,0.29
2021-01-18,3.831,3.832,3.835,3.795,25051,9563829.0,1.04,-0.13,-0.005,0.56
2021-01-19,3.845,3.832,3.845,3.828,20703,7943656.0,0.44,0.0,0.0,0.47
2021-01-20,3.909,3.847,3.909,3.823,17876,6863015.0,2.24,0.39,0.015,0.4
2021-01-21,3.853,3.879,3.882,3.853,10678,4131853.0,0.75,0.83,0.032,0.24
2021-01-22,3.868,3.861,3.868,3.852,12355,4768650.0,0.41,-0.46,-0.018,0.28
2021-01-25,3.861,3.842,3.863,3.84,16809,6471622.0,0.6,-0.49,-0.019,0.38
2021-01-26,3.847,3.852,3.86,3.847,8990,3463115.0,0.34,0.26,0.01,0.2
2021-01-27,3.851,3.833,3.851,3.814,17103,6537897.0,0.96,-0.49,-0.019,0.38
2021-01-28,3.818,3.814,3.82,3.81,6393,2440051.0,0.26,-0.5,-0.019,0.14
2021-01-29,3.82,3.832,3.833,3.812,9114,3479836.0,0.55,0.47,0.018,0.2
2021-02-01,3.824,3.875,3.878,3.821,14789,5701707.0,1.49,1.12,0.043,0.33
2021-02-02,3.868,3.84,3.87,3.838,21269,8196259.0,0.83,-0.9,-0.035,0.48
2021-02-03,3.799,3.801,3.815,3.794,38744,14738008.0,0.55,-1.02,-0.039,0.87
2021-02-04,3.791,3.775,3.794,3.75,21504,8108899.0,1.16,-0.68,-0.026,0.48
2021-02-05,3.73,3.733,3.744,3.724,24102,8995505.0,0.53,-1.11,-0.042,0.54
2021-02-08,3.758,3.765,3.783,3.749,13525,5084445.0,0.91,0.86,0.032,0.3
2021-02-09,3.798,3.807,3.811,3.797,17997,6847686.0,0.37,1.12,0.042,0.4
2021-02-10,3.789,3.805,3.812,3.789,17894,6807974.0,0.6,-0.05,-0.002,0.4
2021-02-18,3.77,3.698,3.77,3.679,37534,13874602.0,2.39,-2.81,-0.107,0.84
2021-02-19,3.698,3.681,3.698,3.667,42502,15615395.0,0.84,-0.46,-0.017,0.96
2021-02-22,3.7,3.726,3.733,3.7,36999,13752469.0,0.9,1.22,0.045,0.83
2021-02-23,3.742,3.76,3.776,3.742,11644,4382763.0,0.91,0.91,0.034,0.26
2021-02-24,3.76,3.743,3.76,3.737,20256,7601701.0,0.61,-0.45,-0.017,0.46
2021-02-25,3.731,3.691,3.732,3.679,12720,4736562.0,1.42,-1.39,-0.052,0.29
2021-02-26,3.69,3.688,3.719,3.649,25227,9268589.0,1.9,-0.08,-0.003,0.57
2021-03-01,3.627,3.649,3.665,3.623,16483,5994868.0,1.14,-1.06,-0.039,0.37
2021-03-02,3.625,3.597,3.625,3.552,23495,8384483.0,2.0,-1.43,-0.052,0.53
2021-03-03,3.633,3.603,3.633,3.596,17905,6455056.0,1.03,0.17,0.006,0.4
2021-03-04,3.6,3.586,3.6,3.553,25917,9230418.0,1.3,-0.47,-0.017,0.58
2021-03-05,3.531,3.553,3.556,3.51,16665,5866463.0,1.28,-0.92,-0.033,0.37
2021-03-08,3.58,3.58,3.583,3.556,6721,2401757.0,0.76,0.76,0.027,0.15
2021-03-09,3.534,3.537,3.568,3.53,9844,3489477.0,1.06,-1.2,-0.043,0.22
2021-03-10,3.599,3.595,3.6,3.583,15666,5623478.0,0.48,1.64,0.058,0.35
2021-03-11,3.6,3.619,3.628,3.575,10275,3713631.0,1.47,0.67,0.024,0.23
2021-03-12,3.6,3.559,3.601,3.55,26875,9646037.0,1.41,-1.66,-0.06,0.6
2021-03-15,3.617,3.618,3.628,3.605,7756,2802074.0,0.65,1.66,0.059,0.17
2021-03-16,3.63,3.622,3.63,3.613,5618,2034602.0,0.47,0.11,0.004,0.13
2021-03-17,3.622,3.63,3.63,3.614,10085,3655511.0,0.44,0.22,0.008,0.23
2021-03-18,3.64,3.628,3.709,3.626,14098,5154517.0,2.29,-0.06,-0.002,0.32
2021-03-19,3.615,3.625,3.649,3.614,7611,2761844.0,0.96,-0.08,-0.003,0.17
2021-03-22,3.621,3.607,3.641,3.603,8659,3142555.0,1.05,-0.5,-0.018,0.19
2021-03-23,3.644,3.605,3.644,3.601,9164,3324420.0,1.19,-0.06,-0.002,0.21
2021-03-24,3.617,3.606,3.633,3.606,3391,1228039.0,0.75,0.03,0.001,0.08
2021-03-25,3.639,3.619,3.648,3.613,2782,1012417.0,0.97,0.36,0.013,0.06
2021-03-26,3.626,3.639,3.644,3.617,2126,771048.0,0.75,0.55,0.02,0.05
2021-03-29,3.629,3.63,3.635,3.623,3471,1259453.0,0.33,-0.25,-0.009,0.08
2021-03-30,3.6,3.574,3.619,3.562,32290,11592518.0,1.57,-1.54,-0.056,0.73
2021-03-31,3.562,3.544,3.562,3.521,12605,4456760.0,1.15,-0.84,-0.03,0.28
2021-04-01,3.591,3.578,3.622,3.548,18389,6620709.0,2.09,0.96,0.034,0.41
2021-04-02,3.633,3.66,3.663,3.633,10856,3972512.0,0.84,2.29,0.082,0.24
2021-04-06,3.66,3.658,3.661,3.64,3111,1135854.0,0.57,-0.05,-0.002,0.07
2021-04-07,3.65,3.665,3.667,3.639,2357,860908.0,0.77,0.19,0.007,0.05
2021-04-08,3.645,3.683,3.699,3.645,15314,5600326.0,1.47,0.49,0.018,0.34
2021-04-09,3.69,3.622,3.693,3.621,6380,2351907.0,1.95,-1.66,-0.061,0.14
2021-04-12,3.69,3.66,3.69,3.644,7163,2617323.0,1.27,1.05,0.038,0.16
2021-04-13,3.627,3.62,3.642,3.62,8100,2943464.0,0.6,-1.09,-0.04,0.18
2021-04-14,3.658,3.66,3.662,3.65,5323,1946263.0,0.33,1.1,0.04,0.12
2021-04-15,3.634,3.656,3.658,3.634,2902,1059825.0,0.66,-0.11,-0.004,0.07
2021-04-16,3.693,3.692,3.699,3.685,9815,3624401.0,0.38,0.98,0.036,0.22
2021-04-19,3.709,3.717,3.723,3.709,5773,2148153.0,0.38,0.68,0.025,0.13
2021-04-20,3.717,3.678,3.717,3.676,2844,1047264.0,1.1,-1.05,-0.039,0.06
2021-04-21,3.706,3.722,3.724,3.706,3845,1426880.0,0.49,1.2,0.044,0.09
2021-04-22,3.73,3.725,3.738,3.717,1911,713501.0,0.56,0.08,0.003,0.04
2021-04-23,3.719,3.769,3.835,3.713,4547,1691611.0,3.28,1.18,0.044,0.1
2021-04-26,3.63,3.696,3.706,3.63,5442,2013795.0,2.02,-1.94,-0.073,0.12
2021-04-27,3.695,3.699,3.703,3.687,7959,2942062.0,0.43,0.08,0.003,0.18
2021-04-28,3.678,3.676,3.688,3.674,7842,2885056.0,0.38,-0.62,-0.023,0.18
2021-04-29,3.712,3.688,3.715,3.688,6787,2516027.0,0.73,0.33,0.012,0.15
2021-04-30,3.692,3.675,3.692,3.657,10259,3758275.0,0.95,-0.35,-0.013,0.23
2021-05-06,3.697,3.691,3.73,3.685,3966,1475975.0,1.22,0.44,0.016,0.09
2021-05-07,3.749,3.76,3.773,3.749,10599,3988075.0,0.65,1.87,0.069,0.24
2021-05-10,3.767,3.779,3.789,3.767,6773,2558138.0,0.59,0.51,0.019,0.15
2021-05-11,3.779,3.777,3.785,3.773,6841,2584788.0,0.32,-0.05,-0.002,0.15
2021-05-12,3.769,3.783,3.783,3.763,3250,1226613.0,0.53,0.16,0.006,0.07
2021-05-13,3.766,3.757,3.769,3.747,4021,1512604.0,0.58,-0.69,-0.026,0.09
2021-05-14,3.85,3.762,3.85,3.737,12844,4836088.0,3.01,0.13,0.005,0.29
2021-05-17,3.812,3.82,3.835,3.8,15137,5785301.0,0.93,1.54,0.058,0.34
2021-05-18,3.853,3.82,3.866,3.82,7472,2880513.0,1.2,0.0,0.0,0.17
2021-05-19,3.836,3.845,3.857,3.831,13465,5175367.0,0.68,0.65,0.025,0.3
2021-05-20,3.844,3.869,3.876,3.844,10074,3888919.0,0.83,0.62,0.024,0.23
2021-05-21,3.869,3.862,3.869,3.845,10653,4111772.0,0.62,-0.18,-0.007,0.24
2021-05-24,3.87,3.876,3.891,3.87,17647,6847206.0,0.54,0.36,0.014,0.4
2021-05-25,3.841,3.859,3.862,3.841,13285,5111696.0,0.54,-0.44,-0.017,0.3
2021-05-26,3.895,3.898,3.909,3.887,13723,5356848.0,0.57,1.01,0.039,0.31
2021-05-27,3.877,3.881,3.886,3.868,4216,1633982.0,0.46,-0.44,-0.017,0.09
2021-05-28,3.866,3.848,3.868,3.846,4294,1657171.0,0.57,-0.85,-0.033,0.1
2021-05-31,3.884,3.879,3.893,3.878,3107,1207457.0,0.39,0.81,0.031,0.07
2021-06-01,3.894,3.902,3.904,3.891,4379,1706100.0,0.34,0.59,0.023,0.1
2021-06-02,3.902,3.897,3.949,3.832,18337,7053131.0,3.0,-0.13,-0.005,0.41
2021-06-03,3.853,3.835,3.902,3.819,20135,7741226.0,2.13,-1.59,-0.062,0.45
2021-06-04,3.835,3.773,3.835,3.728,14638,5484278.0,2.79,-1.62,-0.062,0.33
2021-06-07,3.794,3.803,3.824,3.794,3615,1377557.0,0.8,0.8,0.03,0.08
2021-06-08,3.83,3.828,3.9,3.825,998,382506.0,1.97,0.66,0.025,0.02
2021-06-09,3.826,3.779,3.848,3.772,3174,1216199.0,1.99,-1.28,-0.049,0.07
2021-06-10,3.81,3.806,3.824,3.805,2058,784387.0,0.5,0.71,0.027,0.05
2021-06-11,3.848,3.837,3.849,3.832,16005,6152746.0,0.45,0.81,0.031,0.36
2021-06-15,3.837,3.826,3.837,3.741,15877,5984876.0,2.5,-0.29,-0.011,0.36
2021-06-16,3.759,3.73,3.79,3.7,11342,4270628.0,2.35,-2.51,-0.096,0.26
2021-06-17,3.73,3.75,3.787,3.7,22909,8545259.0,2.33,0.54,0.02,0.52
2021-06-18,3.725,3.67,3.725,3.666,7363,2703275.0,1.57,-2.13,-0.08,0.17
2021-06-21,3.669,3.68,3.68,3.65,4211,1541352.0,0.82,0.27,0.01,0.09
2021-06-22,3.69,3.713,3.717,3.678,6108,2253102.0,1.06,0.9,0.033,0.14
2021-06-23,3.716,3.686,3.716,3.686,5558,2051223.0,0.81,-0.73,-0.027,0.13
2021-06-24,3.675,3.669,3.679,3.666,4406,1618530.0,0.35,-0.46,-0.017,0.1
2021-06-25,3.668,3.668,3.675,3.665,4525,1660383.0,0.27,-0.03,-0.001,0.1
2021-06-28,3.665,3.73,3.765,3.652,13306,4884523.0,3.08,1.69,0.062,0.3
2021-06-29,3.73,3.66,3.73,3.66,9083,3327506.0,1.88,-1.88,-0.07,0.2
2021-06-30,3.639,3.697,3.73,3.623,6443,2342239.0,2.92,1.01,0.037,0.14
2021-07-01,3.641,3.689,3.72,3.641,4938,1811270.0,2.14,-0.22,-0.008,0.11
2021-07-02,3.689,3.677,3.689,3.673,5153,1896464.0,0.43,-0.33,-0.012,0.12
2021-07-05,3.682,3.686,3.698,3.682,1690,623229.0,0.44,0.24,0.009,0.04
2021-07-06,3.7,3.722,3.725,3.693,25807,9569265.0,0.87,0.98,0.036,0.58
2021-07-07,3.725,3.722,3.725,3.711,3768,1400932.0,0.38,0.0,0.0,0.08
2021-07-08,3.714,3.713,3.717,3.706,3854,1430652.0,0.3,-0.24,-0.009,0.09
2021-07-09,3.729,3.719,3.739,3.718,1873,698007.0,0.57,0.16,0.006,0.04
2021-07-12,3.726,3.716,3.731,3.709,1154,429573.0,0.59,-0.08,-0.003,0.03
2021-07-13,3.731,3.719,3.737,3.719,1851,690795.0,0.48,0.08,0.003,0.04
