日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-01,1.008,1.012,1.016,1.002,873687,88247182.0,1.39,0.4,0.004,43.85
2025-12-02,1.016,1.006,1.019,1.002,453833,46010488.0,1.68,-0.59,-0.006,22.78
2025-12-03,1.002,0.994,1.011,0.991,146017,14544668.0,1.99,-1.19,-0.012,7.33
2025-12-04,0.994,1.006,1.007,0.988,360131,35991784.0,1.91,1.21,0.012,18.08
2025-12-05,1.005,1.016,1.017,0.997,634305,63979341.0,1.99,0.99,0.01,31.84
2025-12-08,1.016,1.017,1.025,1.01,833359,84846924.0,1.48,0.1,0.001,41.83
2025-12-09,1.015,0.999,1.017,0.996,328505,32949256.0,2.06,-1.77,-0.018,16.49
2025-12-10,0.999,1.0,1.001,0.988,578924,57479484.0,1.3,0.1,0.001,29.06
2025-12-11,1.002,0.991,1.009,0.991,503559,50112986.0,1.8,-0.9,-0.009,25.27
2025-12-12,1.004,1.009,1.011,0.995,420213,42276740.0,1.61,1.82,0.018,21.09
2025-12-15,0.998,0.987,1.0,0.987,490042,48642532.0,1.29,-2.18,-0.022,24.6
2025-12-16,0.977,0.968,0.981,0.96,590006,57005231.0,2.13,-1.93,-0.019,29.61
