日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-07-10,0.973,0.953,0.98,0.949,2192737,209864221.0,3.19,-1.95,-0.019,8.08
2024-07-11,0.96,0.966,0.968,0.958,824366,79253105.0,1.05,1.36,0.013,3.04
2024-07-12,0.97,0.97,0.977,0.959,456212,44178678.0,1.86,0.41,0.004,1.68
2024-07-15,0.969,0.973,0.98,0.965,635887,62079934.0,1.55,0.31,0.003,2.34
2024-07-16,0.975,0.968,0.978,0.968,653116,63584105.0,1.03,-0.51,-0.005,2.41
2024-07-17,0.968,0.939,0.97,0.936,1060921,99908198.0,3.51,-3.0,-0.029,3.91
2024-07-18,0.937,0.951,0.953,0.933,514231,48626707.0,2.13,1.28,0.012,1.9
2024-07-19,0.948,0.925,0.948,0.922,1285007,119112994.0,2.73,-2.73,-0.026,4.74
2024-07-22,0.923,0.929,0.932,0.906,555762,51105951.0,2.81,0.43,0.004,2.05
2024-07-23,0.932,0.926,0.938,0.926,123689,11533615.0,1.29,-0.32,-0.003,0.46
2024-07-24,0.926,0.935,0.94,0.926,150945,14113333.0,1.51,0.97,0.009,0.56
2024-07-25,0.935,0.904,0.935,0.901,343363,31200491.0,3.64,-3.32,-0.031,1.27
2024-07-26,0.905,0.894,0.915,0.893,307509,27638366.0,2.43,-1.11,-0.01,1.13
2024-07-29,0.896,0.914,0.916,0.896,358493,32523650.0,2.24,2.24,0.02,1.32
2024-07-30,0.914,0.893,0.914,0.892,112184,10043143.0,2.41,-2.3,-0.021,0.41
2024-07-31,0.895,0.906,0.908,0.888,210433,18947773.0,2.24,1.46,0.013,0.78
2024-08-01,0.908,0.908,0.916,0.904,140512,12776335.0,1.32,0.22,0.002,0.52
2024-08-02,0.895,0.897,0.9,0.891,142365,12772313.0,0.99,-1.21,-0.011,0.52
2024-08-05,0.886,0.86,0.888,0.855,699980,61095259.0,3.68,-4.12,-0.037,2.58
2024-08-06,0.872,0.859,0.874,0.855,159051,13715805.0,2.21,-0.12,-0.001,0.59
2024-08-07,0.859,0.878,0.886,0.859,319137,28006097.0,3.14,2.21,0.019,1.18
2024-08-08,0.882,0.88,0.887,0.873,225762,19846341.0,1.59,0.23,0.002,0.83
2024-08-09,0.883,0.881,0.892,0.88,226152,20051130.0,1.36,0.11,0.001,0.83
2024-08-12,0.881,0.876,0.889,0.875,251219,22090093.0,1.59,-0.57,-0.005,0.93
2024-08-13,0.883,0.89,0.891,0.883,178645,15859193.0,0.91,1.6,0.014,0.66
2024-08-14,0.891,0.886,0.894,0.885,95151,8446315.0,1.01,-0.45,-0.004,0.35
2024-08-15,0.885,0.896,0.902,0.882,338630,30348904.0,2.26,1.13,0.01,1.25
2024-08-16,0.9,0.906,0.914,0.9,350984,31967745.0,1.56,1.12,0.01,1.29
2024-08-19,0.91,0.911,0.918,0.907,155978,14246058.0,1.21,0.55,0.005,0.58
2024-08-20,0.911,0.898,0.913,0.895,172996,15537133.0,1.98,-1.43,-0.013,0.64
2024-08-21,0.898,0.897,0.899,0.891,161105,14407739.0,0.89,-0.11,-0.001,0.59
2024-08-22,0.897,0.9,0.902,0.889,215648,19324871.0,1.45,0.33,0.003,0.8
2024-08-23,0.9,0.904,0.907,0.899,114373,10333260.0,0.89,0.44,0.004,0.42
2024-08-26,0.906,0.911,0.913,0.906,194020,17659525.0,0.77,0.77,0.007,0.72
2024-08-27,0.909,0.927,0.931,0.909,491288,45452594.0,2.41,1.76,0.016,1.81
2024-08-28,0.926,0.917,0.93,0.913,290839,26733523.0,1.83,-1.08,-0.01,1.07
2024-08-29,0.915,0.908,0.917,0.902,202927,18429458.0,1.64,-0.98,-0.009,0.75
2024-08-30,0.908,0.916,0.919,0.906,221199,20192179.0,1.43,0.88,0.008,0.82
2024-09-02,0.916,0.907,0.916,0.899,153287,13888515.0,1.86,-0.98,-0.009,0.57
2024-09-03,0.908,0.9,0.911,0.896,129276,11642855.0,1.65,-0.77,-0.007,0.48
2024-09-04,0.888,0.873,0.89,0.87,162984,14248647.0,2.22,-3.0,-0.027,0.6
2024-09-05,0.873,0.854,0.875,0.853,407795,34993147.0,2.52,-2.18,-0.019,1.5
2024-09-06,0.857,0.853,0.86,0.85,88386,7579202.0,1.17,-0.12,-0.001,0.33
2024-09-09,0.85,0.822,0.85,0.82,195022,16139278.0,3.52,-3.63,-0.031,0.72
2024-09-10,0.825,0.828,0.829,0.82,670777,55276729.0,1.09,0.73,0.006,2.47
2024-09-11,0.814,0.811,0.819,0.797,402880,32371137.0,2.66,-2.05,-0.017,1.49
2024-09-12,0.812,0.814,0.819,0.806,137968,11240466.0,1.6,0.37,0.003,0.51
2024-09-13,0.816,0.821,0.832,0.816,162745,13430537.0,1.97,0.86,0.007,0.6
2024-09-18,0.831,0.829,0.833,0.824,93843,7782378.0,1.1,0.97,0.008,0.35
2024-09-19,0.83,0.837,0.839,0.825,150147,12500769.0,1.69,0.97,0.008,0.55
2024-09-20,0.843,0.841,0.851,0.837,148048,12510502.0,1.67,0.48,0.004,0.55
2024-09-23,0.841,0.857,0.863,0.836,281442,24048059.0,3.21,1.9,0.016,1.04
2024-09-24,0.864,0.891,0.895,0.864,421289,37188923.0,3.62,3.97,0.034,1.55
2024-09-25,0.912,0.897,0.92,0.895,263759,23984675.0,2.81,0.67,0.006,0.97
2024-09-26,0.895,0.896,0.906,0.885,446490,39841701.0,2.34,-0.11,-0.001,1.65
2024-09-27,0.905,0.893,0.905,0.885,244100,21786147.0,2.23,-0.33,-0.003,0.9
2024-09-30,0.91,0.923,0.937,0.907,704698,64765512.0,3.36,3.36,0.03,2.6
2024-10-08,1.002,0.947,1.013,0.927,854012,82608673.0,9.32,2.6,0.024,3.15
2024-10-09,0.938,0.898,0.942,0.892,348926,31826799.0,5.28,-5.17,-0.049,1.29
2024-10-10,0.906,0.94,0.957,0.906,424426,39911758.0,5.68,4.68,0.042,1.56
2024-10-11,0.952,0.92,0.955,0.915,861637,80757786.0,4.26,-2.13,-0.02,3.18
2024-10-14,0.94,0.947,0.959,0.935,593778,56321400.0,2.61,2.93,0.027,2.19
2024-10-15,0.945,0.921,0.949,0.92,261993,24484425.0,3.06,-2.75,-0.026,0.97
2024-10-16,0.92,0.928,0.937,0.918,331670,30756073.0,2.06,0.76,0.007,1.22
2024-10-17,0.933,0.916,0.943,0.916,143838,13420382.0,2.91,-1.29,-0.012,0.53
2024-10-18,0.92,0.928,0.935,0.916,180754,16734698.0,2.07,1.31,0.012,0.67
2024-10-21,0.933,0.923,0.936,0.921,152266,14119359.0,1.62,-0.54,-0.005,0.56
2024-10-22,0.928,0.926,0.931,0.922,128720,11918092.0,0.98,0.33,0.003,0.47
2024-10-23,0.927,0.925,0.933,0.924,152609,14174647.0,0.97,-0.11,-0.001,0.56
2024-10-24,0.925,0.923,0.925,0.917,52243,4806284.0,0.86,-0.22,-0.002,0.19
2024-10-25,0.922,0.913,0.924,0.911,151574,13895699.0,1.41,-1.08,-0.01,0.56
2024-10-28,0.913,0.914,0.919,0.906,460579,42126474.0,1.42,0.11,0.001,1.7
2024-10-29,0.912,0.9,0.916,0.899,681184,61699175.0,1.86,-1.53,-0.014,2.51
2024-10-30,0.9,0.888,0.903,0.885,265293,23641768.0,2.0,-1.33,-0.012,0.98
2024-10-31,0.893,0.892,0.898,0.888,375540,33544811.0,1.13,0.45,0.004,1.38
2024-11-01,0.898,0.897,0.906,0.896,368861,33254777.0,1.12,0.56,0.005,1.36
2024-11-04,0.9,0.894,0.901,0.891,409001,36646068.0,1.11,-0.33,-0.003,1.51
2024-11-05,0.895,0.905,0.908,0.894,435204,39296204.0,1.57,1.23,0.011,1.6
2024-11-06,0.905,0.899,0.913,0.899,592193,53601364.0,1.55,-0.66,-0.006,2.18
2024-11-07,0.899,0.914,0.919,0.897,674724,61610576.0,2.45,1.67,0.015,2.49
2024-11-08,0.92,0.894,0.92,0.892,764722,68943630.0,3.06,-2.19,-0.02,2.82
2024-11-11,0.887,0.882,0.891,0.88,404194,35678901.0,1.23,-1.34,-0.012,1.49
2024-11-12,0.882,0.87,0.891,0.868,333237,29273237.0,2.61,-1.36,-0.012,1.23
2024-11-13,0.87,0.877,0.885,0.867,303002,26579246.0,2.07,0.8,0.007,1.12
2024-11-14,0.873,0.866,0.877,0.865,260888,22755505.0,1.37,-1.25,-0.011,0.96
2024-11-15,0.865,0.875,0.879,0.865,275440,24082970.0,1.62,1.04,0.009,1.02
2024-11-18,0.88,0.886,0.892,0.877,313234,27747760.0,1.71,1.26,0.011,1.15
2024-11-19,0.889,0.883,0.89,0.879,149229,13179039.0,1.24,-0.34,-0.003,0.55
2024-11-20,0.883,0.886,0.886,0.882,121325,10726656.0,0.45,0.34,0.003,0.45
2024-11-21,0.885,0.886,0.889,0.883,91515,8112054.0,0.68,0.0,0.0,0.34
2024-11-22,0.886,0.871,0.89,0.869,165742,14567736.0,2.37,-1.69,-0.015,0.61
2024-11-25,0.872,0.874,0.881,0.871,126984,11105827.0,1.15,0.34,0.003,0.47
2024-11-26,0.874,0.868,0.876,0.864,45546,3963940.0,1.37,-0.69,-0.006,0.17
2024-11-27,0.868,0.872,0.873,0.864,258486,22450555.0,1.04,0.46,0.004,0.95
2024-11-28,0.872,0.864,0.874,0.864,124241,10784039.0,1.15,-0.92,-0.008,0.46
2024-11-29,0.866,0.869,0.872,0.864,172625,14977674.0,0.93,0.58,0.005,0.64
2024-12-02,0.875,0.87,0.879,0.868,279316,24362384.0,1.27,0.12,0.001,1.03
2024-12-03,0.872,0.888,0.89,0.871,377270,33211770.0,2.18,2.07,0.018,1.39
2024-12-04,0.89,0.902,0.908,0.887,893294,80439654.0,2.36,1.58,0.014,3.29
2024-12-05,0.9,0.896,0.901,0.894,288027,25829318.0,0.78,-0.67,-0.006,1.06
2024-12-06,0.897,0.905,0.908,0.897,344300,31133012.0,1.23,1.0,0.009,1.27
2024-12-09,0.905,0.912,0.915,0.902,804515,73299502.0,1.44,0.77,0.007,2.97
2024-12-10,0.936,0.916,0.945,0.912,486499,44906752.0,3.62,0.44,0.004,1.79
2024-12-11,0.915,0.921,0.929,0.914,567293,52346496.0,1.64,0.55,0.005,2.09
2024-12-12,0.924,0.928,0.929,0.92,301372,27874197.0,0.98,0.76,0.007,1.11
2024-12-13,0.925,0.912,0.925,0.907,315395,28825743.0,1.94,-1.72,-0.016,1.16
2024-12-16,0.913,0.922,0.927,0.913,659272,60910462.0,1.54,1.1,0.01,2.43
2024-12-17,0.923,0.922,0.935,0.921,1113503,103314684.0,1.52,0.0,0.0,4.11
2024-12-18,0.931,0.933,0.937,0.93,1228303,114714460.0,0.76,1.19,0.011,4.53
2024-12-19,0.927,0.928,0.937,0.924,481375,44681870.0,1.39,-0.54,-0.005,1.77
2024-12-20,0.93,0.916,0.931,0.914,435656,40051829.0,1.83,-1.29,-0.012,1.61
2024-12-23,0.916,0.929,0.932,0.916,474390,43959203.0,1.75,1.42,0.013,1.75
2024-12-24,0.931,0.946,0.949,0.93,803103,75772776.0,2.05,1.83,0.017,2.96
2024-12-25,0.952,0.946,0.959,0.942,523161,49700014.0,1.8,0.0,0.0,1.93
2024-12-26,0.949,0.95,0.954,0.942,303375,28779957.0,1.27,0.42,0.004,1.12
2024-12-27,0.946,0.945,0.948,0.938,567796,53516587.0,1.05,-0.53,-0.005,2.09
2024-12-30,0.946,0.951,0.959,0.946,509765,48508173.0,1.38,0.63,0.006,1.88
2024-12-31,0.953,0.954,0.963,0.948,556394,53297248.0,1.58,0.32,0.003,2.05
2025-01-02,0.954,0.931,0.962,0.929,621359,58306870.0,3.46,-2.41,-0.023,2.29
2025-01-03,0.939,0.938,0.947,0.934,511729,48192861.0,1.4,0.75,0.007,1.89
2025-01-06,0.946,0.944,0.949,0.936,346197,32682220.0,1.39,0.64,0.006,1.28
2025-01-07,0.943,0.929,0.944,0.924,404330,37653373.0,2.12,-1.59,-0.015,1.49
2025-01-08,0.931,0.929,0.935,0.92,408496,37914949.0,1.61,0.0,0.0,1.51
2025-01-09,0.929,0.92,0.93,0.919,275703,25411783.0,1.18,-0.97,-0.009,1.02
2025-01-10,0.922,0.906,0.925,0.906,240329,21964723.0,2.07,-1.52,-0.014,0.89
2025-01-13,0.904,0.91,0.915,0.904,301149,27421038.0,1.21,0.44,0.004,1.11
2025-01-14,0.911,0.922,0.924,0.911,206447,18945789.0,1.43,1.32,0.012,0.76
2025-01-15,0.92,0.918,0.926,0.917,226593,20630546.0,0.98,-0.43,-0.004,0.84
2025-01-16,0.921,0.925,0.929,0.921,160289,14669592.0,0.87,0.76,0.007,0.59
2025-01-17,0.924,0.923,0.927,0.919,550443,50188703.0,0.86,-0.22,-0.002,2.03
2025-01-20,0.925,0.916,0.927,0.914,401506,36547290.0,1.41,-0.76,-0.007,1.48
2025-01-21,0.918,0.909,0.918,0.906,497606,44727453.0,1.31,-0.76,-0.007,1.83
2025-01-22,0.907,0.9,0.908,0.898,209716,18680075.0,1.1,-0.99,-0.009,0.77
2025-01-23,0.903,0.9,0.912,0.898,323631,28979406.0,1.56,0.0,0.0,1.19
2025-01-24,0.901,0.907,0.907,0.899,276957,24765237.0,0.89,0.78,0.007,1.02
2025-01-27,0.907,0.912,0.915,0.907,276602,24934785.0,0.88,0.55,0.005,1.02
2025-02-05,0.913,0.904,0.913,0.902,273727,24520261.0,1.21,-0.88,-0.008,1.01
2025-02-06,0.904,0.912,0.913,0.904,388530,34961077.0,1.0,0.88,0.008,1.43
2025-02-07,0.913,0.914,0.915,0.91,416754,37632329.0,0.55,0.22,0.002,1.54
2025-02-10,0.921,0.92,0.928,0.916,463760,42292078.0,1.31,0.66,0.006,1.71
2025-02-11,0.924,0.929,0.929,0.922,376149,34452448.0,0.76,0.98,0.009,1.39
