日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-07,1.017,0.998,1.02,0.998,1705905,171990163.0,2.18,-0.89,-0.009,4.11
2025-07-08,0.998,0.995,1.01,0.989,413154,41197358.0,2.1,-0.3,-0.003,1.0
2025-07-09,0.997,1.007,1.015,0.984,1067084,107546700.0,3.12,1.21,0.012,2.57
2025-07-10,1.012,1.008,1.024,1.001,697192,70608323.0,2.28,0.1,0.001,1.68
2025-07-11,1.006,1.019,1.024,1.006,1348935,137374985.0,1.79,1.09,0.011,3.25
2025-07-14,1.02,1.036,1.038,1.008,663702,67790525.0,2.94,1.67,0.017,1.6
2025-07-15,1.04,1.07,1.076,1.035,1690660,179236883.0,3.96,3.28,0.034,4.08
2025-07-16,1.08,1.09,1.094,1.075,957644,104027961.0,1.78,1.87,0.02,2.31
2025-07-17,1.096,1.147,1.155,1.095,3295902,374162119.0,5.5,5.23,0.057,7.95
2025-07-18,1.153,1.154,1.163,1.139,2012626,231754584.0,2.09,0.61,0.007,4.85
2025-07-21,1.151,1.146,1.161,1.126,1440819,164627225.0,3.03,-0.69,-0.008,3.47
2025-07-22,1.146,1.148,1.183,1.144,2082530,243127759.0,3.4,0.17,0.002,5.02
2025-07-23,1.16,1.148,1.177,1.143,1915745,222414862.0,2.96,0.0,0.0,4.62
2025-07-24,1.15,1.156,1.162,1.14,1383904,159286572.0,1.92,0.7,0.008,3.34
2025-07-25,1.165,1.163,1.188,1.161,1893871,222277585.0,2.34,0.61,0.007,4.57
2025-07-28,1.172,1.206,1.207,1.166,1435253,169628355.0,3.53,3.7,0.043,3.46
2025-07-29,1.209,1.267,1.274,1.209,4791314,596139893.0,5.39,5.06,0.061,11.55
2025-07-30,1.272,1.248,1.394,1.238,18980878,2501741419.0,12.31,-1.5,-0.019,45.76
2025-07-31,1.269,1.228,1.311,1.218,16670899,2085725620.0,7.45,-1.6,-0.02,40.19
2025-08-01,1.233,1.212,1.258,1.206,9656756,1190016879.0,4.23,-1.3,-0.016,23.28
2025-08-04,1.202,1.207,1.209,1.168,5255409,624835708.0,3.38,-0.41,-0.005,12.67
2025-08-05,1.221,1.24,1.241,1.214,6562344,806013080.0,2.24,2.73,0.033,15.82
2025-08-06,1.256,1.247,1.26,1.236,4042558,504371157.0,1.94,0.56,0.007,9.75
2025-08-07,1.249,1.21,1.253,1.2,4800823,586314714.0,4.25,-2.97,-0.037,11.57
