日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-07-10,0.981,0.962,0.986,0.961,2063795,200451184.0,2.57,-0.93,-0.009,10.91
2024-07-11,0.964,0.972,0.974,0.964,449703,43585370.0,1.04,1.04,0.01,2.38
2024-07-12,0.974,0.972,0.982,0.968,293937,28660193.0,1.44,0.0,0.0,1.55
2024-07-15,0.972,0.974,0.981,0.968,214877,20961672.0,1.34,0.21,0.002,1.14
2024-07-16,0.973,0.972,0.978,0.969,404191,39340822.0,0.92,-0.21,-0.002,2.14
2024-07-17,0.971,0.939,0.971,0.937,1514424,142876937.0,3.5,-3.4,-0.033,8.01
2024-07-18,0.941,0.954,0.955,0.937,725377,68771074.0,1.92,1.6,0.015,3.83
2024-07-19,0.954,0.925,0.954,0.925,1792831,166561299.0,3.04,-3.04,-0.029,9.48
2024-07-22,0.925,0.932,0.934,0.907,910758,83956606.0,2.92,0.76,0.007,4.81
2024-07-23,0.932,0.93,0.938,0.928,331275,30933493.0,1.07,-0.21,-0.002,1.75
2024-07-24,0.929,0.937,0.944,0.929,537393,50364414.0,1.61,0.75,0.007,2.84
2024-07-25,0.936,0.909,0.937,0.907,461228,42239850.0,3.2,-2.99,-0.028,2.44
2024-07-26,0.912,0.9,0.92,0.896,382186,34505986.0,2.64,-0.99,-0.009,2.02
2024-07-29,0.902,0.916,0.918,0.902,369921,33675024.0,1.78,1.78,0.016,1.96
2024-07-30,0.913,0.896,0.913,0.894,281787,25286282.0,2.07,-2.18,-0.02,1.49
2024-07-31,0.9,0.906,0.908,0.891,403254,36345821.0,1.9,1.12,0.01,2.13
2024-08-01,0.91,0.911,0.918,0.905,343079,31278051.0,1.43,0.55,0.005,1.81
2024-08-02,0.905,0.902,0.906,0.897,342714,30871507.0,0.99,-0.99,-0.009,1.81
2024-08-05,0.89,0.866,0.89,0.862,641855,56381025.0,3.1,-3.99,-0.036,3.39
2024-08-06,0.878,0.865,0.879,0.86,200134,17326434.0,2.19,-0.12,-0.001,1.06
2024-08-07,0.865,0.883,0.888,0.865,366333,32268890.0,2.66,2.08,0.018,1.94
2024-08-08,0.889,0.885,0.889,0.876,500205,44163678.0,1.47,0.23,0.002,2.64
2024-08-09,0.889,0.883,0.895,0.883,277195,24687239.0,1.36,-0.23,-0.002,1.47
2024-08-12,0.883,0.883,0.891,0.882,61874,5470985.0,1.02,0.0,0.0,0.33
2024-08-13,0.887,0.893,0.897,0.887,145335,12967551.0,1.13,1.13,0.01,0.77
2024-08-14,0.892,0.89,0.894,0.889,58756,5238578.0,0.56,-0.34,-0.003,0.31
2024-08-15,0.889,0.902,0.905,0.886,443781,39933760.0,2.13,1.35,0.012,2.35
2024-08-16,0.908,0.912,0.918,0.906,303760,27775880.0,1.33,1.11,0.01,1.61
2024-08-19,0.912,0.913,0.919,0.911,132686,12138824.0,0.88,0.11,0.001,0.7
2024-08-20,0.912,0.902,0.912,0.898,255390,23008058.0,1.53,-1.2,-0.011,1.35
2024-08-21,0.903,0.903,0.905,0.895,184636,16602555.0,1.11,0.11,0.001,0.98
2024-08-22,0.905,0.905,0.905,0.895,222069,19972774.0,1.11,0.22,0.002,1.17
2024-08-23,0.904,0.91,0.913,0.904,776131,70607796.0,0.99,0.55,0.005,4.1
2024-08-26,0.917,0.916,0.917,0.912,1220356,111710225.0,0.55,0.66,0.006,6.45
