日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-10-31,1.0,0.987,1.0,0.986,762693,75648232.0,1.4,-1.1,-0.011,42.23
2025-11-03,0.987,0.994,0.996,0.984,1281741,126434505.0,1.22,0.71,0.007,70.97
2025-11-04,0.995,0.988,0.999,0.985,110827,10997252.0,1.41,-0.6,-0.006,6.14
2025-11-05,0.983,0.984,0.988,0.971,96672,9485229.0,1.72,-0.4,-0.004,5.35
2025-11-06,0.986,1.005,1.005,0.986,123464,12342174.0,1.93,2.13,0.021,6.84
2025-11-07,1.005,0.998,1.005,0.995,41730,4166284.0,1.0,-0.7,-0.007,2.31
2025-11-10,0.998,1.014,1.018,0.993,229133,23137004.0,2.51,1.6,0.016,12.69
2025-11-11,1.016,1.014,1.018,1.009,103713,10505438.0,0.89,0.0,0.0,5.74
2025-11-12,1.012,1.025,1.026,1.012,122765,12541806.0,1.38,1.08,0.011,6.8
2025-11-13,1.025,1.029,1.031,1.018,60110,6144533.0,1.27,0.39,0.004,3.33
2025-11-14,1.022,1.01,1.022,1.007,47606,4831612.0,1.46,-1.85,-0.019,2.64
2025-11-17,1.01,0.999,1.01,0.999,50133,5028046.0,1.09,-1.09,-0.011,2.78
2025-11-18,0.992,0.985,1.008,0.984,56317,5580556.0,2.4,-1.4,-0.014,3.12
2025-11-19,0.994,0.98,0.994,0.978,44621,4385427.0,1.62,-0.51,-0.005,2.47
2025-11-20,0.985,0.981,0.989,0.978,48029,4724509.0,1.12,0.1,0.001,2.66
2025-11-21,0.972,0.965,0.975,0.96,38473,3716030.0,1.53,-1.63,-0.016,2.13
2025-11-24,0.966,0.978,0.979,0.964,12122,1177281.0,1.55,1.35,0.013,0.67
2025-11-25,0.979,0.981,0.989,0.978,13248,1304738.0,1.12,0.31,0.003,0.73
2025-11-26,0.982,0.987,0.99,0.982,24551,2424983.0,0.82,0.61,0.006,1.36
2025-11-27,0.982,0.983,0.989,0.979,31845,3137031.0,1.01,-0.41,-0.004,1.76
2025-11-28,0.983,0.98,0.985,0.979,7182,705472.0,0.61,-0.31,-0.003,0.4
2025-12-01,0.988,0.982,0.989,0.978,274401,26936481.0,1.12,0.2,0.002,15.19
2025-12-02,0.986,0.984,0.992,0.981,37203,3667984.0,1.12,0.2,0.002,2.06
2025-12-03,0.984,0.973,0.984,0.973,11876,1161246.0,1.12,-1.12,-0.011,0.66
2025-12-04,0.973,0.977,0.978,0.971,49682,4844833.0,0.72,0.41,0.004,2.75
2025-12-05,0.99,0.986,0.99,0.976,16598,1629175.0,1.43,0.92,0.009,0.92
2025-12-08,0.985,0.976,0.989,0.975,12731,1247944.0,1.42,-1.01,-0.01,0.7
2025-12-09,0.976,0.965,0.976,0.963,13786,1333510.0,1.33,-1.13,-0.011,0.76
2025-12-10,0.966,0.961,0.966,0.957,32931,3161565.0,0.93,-0.41,-0.004,1.82
2025-12-11,0.969,0.964,0.975,0.963,50193,4864185.0,1.25,0.31,0.003,2.78
2025-12-12,0.969,0.978,0.981,0.969,45447,4439452.0,1.24,1.45,0.014,2.52
2025-12-15,0.972,0.968,0.973,0.967,7300,708994.0,0.61,-1.02,-0.01,0.4
2025-12-16,0.961,0.95,0.966,0.946,28262,2693127.0,2.07,-1.86,-0.018,1.56
