日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-11-12,0.993,0.99,1.003,0.985,705330,70261527.0,1.81,-0.7,-0.007,136.07
2024-11-13,0.99,0.995,0.997,0.984,202943,20143655.0,1.31,0.51,0.005,39.15
2024-11-14,0.998,0.987,0.999,0.986,145358,14438449.0,1.31,-0.8,-0.008,28.04
2024-11-15,0.988,0.99,0.998,0.986,137834,13669919.0,1.22,0.3,0.003,26.59
2024-11-18,1.0,1.008,1.021,0.999,1172207,118530666.0,2.22,1.82,0.018,226.14
2024-11-19,1.007,1.007,1.012,0.996,126616,12686917.0,1.59,-0.1,-0.001,24.43
2024-11-20,1.007,1.003,1.007,0.999,75682,7595904.0,0.79,-0.4,-0.004,14.6
2024-11-21,1.006,1.007,1.008,1.003,125451,12598616.0,0.5,0.4,0.004,24.2
2024-11-22,1.01,0.986,1.011,0.986,80960,8074504.0,2.48,-2.09,-0.021,15.62
2024-11-25,0.986,0.987,0.994,0.98,50114,4946920.0,1.42,0.1,0.001,9.67
2024-11-26,0.983,0.985,0.993,0.981,35904,3549234.0,1.22,-0.2,-0.002,6.93
2024-11-27,0.985,0.995,0.996,0.977,35422,3500814.0,1.93,1.02,0.01,6.83
2024-11-28,0.995,0.991,0.996,0.99,32193,3196451.0,0.6,-0.4,-0.004,6.21
2024-11-29,0.99,0.995,0.999,0.99,84164,8391271.0,0.91,0.4,0.004,16.24
2024-12-02,0.995,0.994,0.996,0.988,52763,5237598.0,0.8,-0.1,-0.001,10.18
2024-12-03,0.991,1.004,1.005,0.988,319110,31961105.0,1.71,1.01,0.01,61.56
2024-12-04,1.0,1.012,1.016,1.0,302015,30546784.0,1.59,0.8,0.008,58.26
2024-12-05,1.012,1.013,1.017,1.01,220990,22404011.0,0.69,0.1,0.001,42.63
2024-12-06,1.016,1.026,1.028,1.015,416891,42648814.0,1.28,1.28,0.013,80.42
2024-12-09,1.021,1.029,1.036,1.02,224495,23113983.0,1.56,0.29,0.003,43.31
2024-12-10,1.034,1.03,1.045,1.026,239364,24743597.0,1.85,0.1,0.001,46.18
2024-12-11,1.03,1.03,1.035,1.025,157193,16181824.0,0.97,0.0,0.0,30.33
2024-12-12,1.03,1.032,1.033,1.026,120268,12396734.0,0.68,0.19,0.002,23.2
2024-12-13,1.028,1.018,1.028,1.016,115014,11754311.0,1.16,-1.36,-0.014,22.19
2024-12-16,1.017,1.029,1.036,1.013,121911,12547261.0,2.26,1.08,0.011,23.52
2024-12-17,1.025,1.031,1.042,1.025,104182,10801700.0,1.65,0.19,0.002,20.1
2024-12-18,1.036,1.039,1.055,1.035,134919,14050911.0,1.94,0.78,0.008,26.03
2024-12-19,1.035,1.025,1.038,1.023,89009,9157669.0,1.44,-1.35,-0.014,17.17
2024-12-20,1.026,1.019,1.026,1.014,76612,7793233.0,1.17,-0.59,-0.006,14.78
2024-12-23,1.019,1.021,1.029,1.019,47099,4819876.0,0.98,0.2,0.002,9.09
2024-12-24,1.022,1.026,1.03,1.02,156731,16089769.0,0.98,0.49,0.005,30.24
2024-12-25,1.03,1.038,1.066,1.026,183083,18955814.0,3.9,1.17,0.012,35.32
2024-12-26,1.038,1.034,1.038,1.028,26749,2758123.0,0.96,-0.39,-0.004,5.16
2024-12-27,1.029,1.035,1.035,1.022,76385,7876515.0,1.26,0.1,0.001,14.74
2024-12-30,1.035,1.047,1.048,1.035,93072,9715907.0,1.26,1.16,0.012,17.96
2024-12-31,1.049,1.042,1.054,1.041,87513,9168246.0,1.24,-0.48,-0.005,16.88
2025-01-02,1.043,1.013,1.046,1.01,53181,5464739.0,3.45,-2.78,-0.029,10.26
2025-01-03,1.012,1.005,1.021,1.002,58789,5960915.0,1.88,-0.79,-0.008,11.34
2025-01-06,1.005,1.011,1.011,1.0,78005,7849419.0,1.09,0.6,0.006,15.05
2025-01-07,1.006,1.003,1.009,0.996,41215,4130331.0,1.29,-0.79,-0.008,7.95
2025-01-08,1.001,1.005,1.009,0.994,78354,7853617.0,1.5,0.2,0.002,15.12
2025-01-09,1.005,0.992,1.005,0.988,31253,3094228.0,1.69,-1.29,-0.013,6.03
2025-01-10,0.992,0.979,0.992,0.978,78779,7736451.0,1.41,-1.31,-0.013,15.2
2025-01-13,0.979,0.969,0.979,0.967,19160,1865412.0,1.23,-1.02,-0.01,3.7
2025-01-14,0.973,0.985,0.986,0.973,25129,2452882.0,1.34,1.65,0.016,4.85
2025-01-15,0.985,0.989,0.997,0.985,9479,934548.0,1.22,0.41,0.004,1.83
2025-01-16,0.989,0.997,0.998,0.989,34876,3454067.0,0.91,0.81,0.008,6.73
2025-01-17,0.992,0.992,0.999,0.99,14155,1397483.0,0.9,-0.5,-0.005,2.73
2025-01-20,0.993,0.988,0.993,0.983,25411,2494750.0,1.01,-0.4,-0.004,4.9
2025-01-21,0.988,0.981,0.988,0.976,35395,3440489.0,1.21,-0.71,-0.007,6.83
2025-01-22,0.979,0.968,0.979,0.967,23239,2241335.0,1.22,-1.33,-0.013,4.48
2025-01-23,0.974,0.985,0.986,0.974,32140,3145201.0,1.24,1.76,0.017,6.2
2025-01-24,0.985,0.988,0.992,0.977,32307,3171088.0,1.52,0.3,0.003,6.23
2025-01-27,0.984,1.005,1.007,0.984,30013,2994222.0,2.33,1.72,0.017,5.79
2025-02-05,1.005,0.985,1.005,0.982,34197,3357264.0,2.29,-1.99,-0.02,6.6
2025-02-06,0.985,0.985,0.987,0.978,16048,1568305.0,0.91,0.0,0.0,3.1
2025-02-07,0.981,0.991,0.992,0.981,24885,2446984.0,1.12,0.61,0.006,4.8
2025-02-10,0.991,0.991,0.992,0.985,29684,2916722.0,0.71,0.0,0.0,5.73
2025-02-11,0.991,0.991,0.992,0.987,78485,7723462.0,0.5,0.0,0.0,15.14
2025-02-12,0.99,0.99,0.991,0.986,20359,2003169.0,0.5,-0.1,-0.001,3.93
2025-02-13,0.992,0.993,0.995,0.99,10738,1060931.0,0.51,0.3,0.003,2.07
2025-02-14,0.992,0.991,0.992,0.986,55236,5430323.0,0.6,-0.2,-0.002,10.66
2025-02-17,0.99,0.991,0.992,0.985,69391,6810472.0,0.71,0.0,0.0,13.39
2025-02-18,0.989,0.994,0.996,0.988,41290,4077274.0,0.81,0.3,0.003,7.97
2025-02-19,0.986,0.986,0.989,0.983,34094,3341497.0,0.6,-0.8,-0.008,6.58
2025-02-20,0.986,0.981,0.986,0.979,11486,1120682.0,0.71,-0.51,-0.005,2.22
2025-02-21,0.981,0.98,0.981,0.972,52494,5092959.0,0.92,-0.1,-0.001,10.13
2025-02-24,0.979,0.973,0.979,0.967,46728,4509561.0,1.22,-0.71,-0.007,9.01
2025-02-25,0.973,0.965,0.974,0.963,40190,3866465.0,1.13,-0.82,-0.008,7.75
2025-02-26,0.965,0.972,0.973,0.965,35180,3397748.0,0.83,0.73,0.007,6.79
2025-02-27,0.967,0.975,0.975,0.966,36005,3481954.0,0.93,0.31,0.003,6.95
2025-02-28,0.973,0.972,0.978,0.969,22070,2139091.0,0.92,-0.31,-0.003,4.26
2025-03-03,0.972,0.971,0.976,0.968,45536,4395511.0,0.82,-0.1,-0.001,8.78
2025-03-04,0.971,0.968,0.971,0.965,16546,1590460.0,0.62,-0.31,-0.003,3.19
2025-03-05,0.966,0.969,0.97,0.963,32104,3087013.0,0.72,0.1,0.001,6.19
2025-03-06,0.965,0.969,0.969,0.964,14416,1385329.0,0.52,0.0,0.0,2.78
2025-03-07,0.967,0.967,0.971,0.965,51658,4982783.0,0.62,-0.21,-0.002,9.97
2025-03-10,0.967,0.968,0.97,0.965,19455,1873309.0,0.52,0.1,0.001,3.75
2025-03-11,0.965,0.968,0.972,0.963,30501,2938425.0,0.93,0.0,0.0,5.88
2025-03-12,0.969,0.97,0.971,0.968,17719,1709728.0,0.31,0.21,0.002,3.42
2025-03-13,0.97,0.984,0.984,0.97,35746,3483968.0,1.44,1.44,0.014,6.9
2025-03-14,0.985,0.985,0.988,0.983,17454,1710753.0,0.51,0.1,0.001,3.37
2025-03-17,0.985,0.989,0.993,0.985,28316,2787945.0,0.81,0.41,0.004,5.46
2025-03-18,0.989,0.986,0.991,0.985,25386,2492232.0,0.61,-0.3,-0.003,4.9
2025-03-19,0.99,0.989,0.99,0.983,46156,4535207.0,0.71,0.3,0.003,8.9
2025-03-20,0.991,0.983,0.992,0.983,10708,1053474.0,0.91,-0.61,-0.006,2.07
2025-03-21,0.993,0.992,0.995,0.983,32078,3158121.0,1.22,0.92,0.009,6.19
2025-03-24,0.992,0.995,0.996,0.989,50547,4990642.0,0.71,0.3,0.003,9.75
2025-03-25,0.995,1.006,1.007,0.995,39640,3958649.0,1.21,1.11,0.011,7.65
2025-03-26,1.007,1.005,1.007,1.001,35156,3515700.0,0.6,-0.1,-0.001,6.78
2025-03-27,1.005,1.006,1.009,1.004,45053,4510117.0,0.5,0.1,0.001,8.69
2025-03-28,1.003,0.999,1.003,0.997,21015,2089979.0,0.6,-0.7,-0.007,4.05
2025-03-31,0.996,0.996,1.004,0.994,18964,1881809.0,1.0,-0.3,-0.003,3.66
2025-04-01,0.996,1.0,1.004,0.996,17121,1703347.0,0.8,0.4,0.004,3.3
2025-04-02,1.002,1.007,1.008,1.002,52051,5208696.0,0.6,0.7,0.007,10.04
2025-04-03,1.005,1.007,1.009,0.998,13279,1325368.0,1.09,0.0,0.0,2.56
2025-04-07,0.996,0.948,1.0,0.927,37176,3531319.0,7.25,-5.86,-0.059,7.17
2025-04-08,0.945,0.966,0.967,0.945,20551,1964787.0,2.32,1.9,0.018,3.96
2025-04-09,0.966,0.963,0.966,0.947,11169,1061605.0,1.97,-0.31,-0.003,2.15
2025-04-10,0.963,0.97,0.973,0.963,17649,1701804.0,1.04,0.73,0.007,3.4
2025-04-11,0.967,0.965,0.967,0.961,19280,1849331.0,0.62,-0.52,-0.005,3.72
2025-04-14,0.966,0.976,0.979,0.965,63610,6163609.0,1.45,1.14,0.011,12.27
2025-04-15,0.979,0.982,0.982,0.974,54885,5342646.0,0.82,0.61,0.006,10.59
2025-04-16,0.982,0.99,0.991,0.98,72722,7118253.0,1.12,0.81,0.008,14.03
2025-04-17,0.991,0.986,0.991,0.984,41064,4033392.0,0.71,-0.4,-0.004,7.92
2025-04-18,0.986,0.992,0.992,0.986,70988,6985058.0,0.61,0.61,0.006,13.69
2025-04-21,0.987,0.992,0.996,0.983,38596,3799378.0,1.31,0.0,0.0,7.45
2025-04-22,0.994,0.988,0.994,0.985,72586,7149116.0,0.91,-0.4,-0.004,14.0
2025-04-23,0.988,0.983,0.988,0.983,69526,6817503.0,0.51,-0.51,-0.005,13.41
2025-04-24,0.985,0.993,0.993,0.985,44872,4418909.0,0.81,1.02,0.01,8.66
2025-04-25,0.993,0.989,0.993,0.985,28697,2818413.0,0.81,-0.4,-0.004,5.54
2025-04-28,0.988,0.993,0.993,0.986,18904,1864137.0,0.71,0.4,0.004,3.65
2025-04-29,0.986,0.986,0.988,0.983,67225,6590411.0,0.5,-0.7,-0.007,12.97
2025-04-30,0.98,0.976,0.989,0.968,25692,2484868.0,2.13,-1.01,-0.01,4.96
2025-05-06,0.972,0.971,0.973,0.966,30332,2928619.0,0.72,-0.51,-0.005,5.85
