日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-08-04,0.977,0.981,0.985,0.968,26245245,2569736012.0,1.74,0.41,0.004,23.41
2022-08-05,0.979,1.001,1.002,0.979,23635091,2343715054.0,2.34,2.04,0.02,21.08
2022-08-08,0.995,1.011,1.012,0.995,23073746,2321631276.0,1.7,1.0,0.01,20.58
2022-08-09,1.009,1.015,1.017,1.004,20995088,2123033476.0,1.29,0.4,0.004,18.73
2022-08-10,1.013,1.017,1.02,1.011,17577283,1786284379.0,0.89,0.2,0.002,15.68
2022-08-11,1.017,1.03,1.031,1.017,18550561,1902019796.0,1.38,1.28,0.013,16.55
2022-08-12,1.028,1.021,1.033,1.02,17074721,1755325458.0,1.26,-0.87,-0.009,15.23
2022-08-15,1.021,1.027,1.032,1.018,16760511,1720153751.0,1.37,0.59,0.006,14.95
2022-08-16,1.025,1.032,1.04,1.025,16022214,1656667113.0,1.46,0.49,0.005,14.29
2022-08-17,1.03,1.034,1.037,1.026,15623607,1612480956.0,1.07,0.19,0.002,13.94
2022-08-18,1.03,1.038,1.04,1.029,15703038,1624460031.0,1.06,0.39,0.004,14.01
2022-08-19,1.037,1.021,1.041,1.021,14700038,1513872653.0,1.93,-1.64,-0.017,13.11
2022-08-22,1.02,1.027,1.03,1.012,16417350,1680160405.0,1.76,0.59,0.006,14.64
2022-08-23,1.023,1.03,1.031,1.023,18291726,1879190128.0,0.78,0.29,0.003,16.31
2022-08-24,1.028,0.994,1.031,0.992,20261966,2040197494.0,3.79,-3.5,-0.036,18.07
2022-08-25,0.995,0.991,0.999,0.979,16739347,1652100524.0,2.01,-0.3,-0.003,14.93
2022-08-26,0.99,0.986,1.002,0.982,15349209,1524586811.0,2.02,-0.5,-0.005,13.69
2022-08-29,0.975,0.989,0.992,0.971,16500901,1627511762.0,2.13,0.3,0.003,14.72
2022-08-30,0.988,0.984,0.991,0.98,18462623,1819057684.0,1.11,-0.51,-0.005,16.47
2022-08-31,0.982,0.951,0.985,0.949,17257860,1661023243.0,3.66,-3.35,-0.033,15.39
2022-09-01,0.95,0.948,0.962,0.944,19531568,1860864099.0,1.89,-0.32,-0.003,17.42
2022-09-02,0.949,0.955,0.96,0.946,15009567,1431057170.0,1.48,0.74,0.007,13.39
2022-09-05,0.952,0.957,0.965,0.949,17482501,1672263318.0,1.68,0.21,0.002,15.59
2022-09-06,0.957,0.975,0.976,0.956,14352603,1388580071.0,2.09,1.88,0.018,12.8
2022-09-07,0.974,0.981,0.986,0.971,15443269,1514983563.0,1.54,0.62,0.006,13.77
2022-09-08,0.981,0.973,0.985,0.972,14773788,1444068877.0,1.33,-0.82,-0.008,13.18
2022-09-09,0.973,0.977,0.978,0.967,17093498,1664053983.0,1.13,0.41,0.004,15.25
2022-09-14,0.964,0.963,0.967,0.957,6025205,1642349417.0,1.02,-1.43,-0.014,5.37
2022-09-15,0.963,0.932,0.967,0.921,6554125,1748824490.0,4.78,-3.22,-0.031,5.85
