日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-10-16,1.0,1.0,1.001,0.994,1506189,150391616.0,0.7,0.0,0.0,184.67
2023-10-17,0.999,1.002,1.004,0.998,674280,67517763.0,0.6,0.2,0.002,82.67
2023-10-18,1.0,0.992,1.002,0.992,130284,13015260.0,1.0,-1.0,-0.01,15.97
2023-10-19,0.992,0.98,0.992,0.978,59576,5846218.0,1.41,-1.21,-0.012,7.3
2023-10-20,0.98,0.974,0.98,0.97,33277,3239300.0,1.02,-0.61,-0.006,4.08
2023-10-23,0.965,0.96,0.973,0.956,43651,4211644.0,1.75,-1.44,-0.014,5.35
2023-10-24,0.96,0.965,0.967,0.96,60529,5834958.0,0.73,0.52,0.005,7.42
2023-10-25,0.97,0.976,0.978,0.97,51805,5053524.0,0.83,1.14,0.011,6.35
2023-10-26,0.975,0.981,0.981,0.97,60887,5924418.0,1.13,0.51,0.005,7.47
2023-10-27,0.975,0.986,0.987,0.975,20543,2023449.0,1.22,0.51,0.005,2.52
2023-10-30,0.98,0.974,0.983,0.972,35558,3466882.0,1.12,-1.22,-0.012,4.36
2023-10-31,0.97,0.977,0.977,0.97,38783,3777487.0,0.72,0.31,0.003,4.76
2023-11-01,0.969,0.975,0.976,0.969,19584,1905065.0,0.72,-0.2,-0.002,2.4
2023-11-02,0.973,0.975,0.981,0.973,97973,9573701.0,0.82,0.0,0.0,12.01
2023-11-03,0.973,0.971,0.979,0.971,15883,1545815.0,0.82,-0.41,-0.004,1.95
2023-11-06,0.971,0.972,0.972,0.967,50572,4905772.0,0.51,0.1,0.001,6.2
2023-11-07,0.968,0.968,0.971,0.965,40320,3902589.0,0.62,-0.41,-0.004,4.94
2023-11-08,0.968,0.968,0.97,0.965,78232,7575711.0,0.52,0.0,0.0,9.59
2023-11-09,0.97,0.976,0.976,0.97,52902,5153420.0,0.62,0.83,0.008,6.49
2023-11-10,0.976,0.971,0.976,0.968,50900,4938650.0,0.82,-0.51,-0.005,6.24
2023-11-13,0.967,0.972,0.972,0.966,44132,4269431.0,0.62,0.1,0.001,5.41
2023-11-14,0.972,0.973,0.973,0.97,46510,4514835.0,0.31,0.1,0.001,5.7
2023-11-15,0.972,0.976,0.976,0.972,59280,5775727.0,0.41,0.31,0.003,7.27
2023-11-16,0.977,0.975,0.978,0.971,86547,8429863.0,0.72,-0.1,-0.001,10.61
2023-11-17,0.97,0.971,0.972,0.968,49307,4785785.0,0.41,-0.41,-0.004,6.05
2023-11-20,0.975,0.974,0.976,0.969,60662,5905764.0,0.72,0.31,0.003,7.44
2023-11-21,0.979,0.977,0.985,0.977,87383,8577479.0,0.82,0.31,0.003,10.71
2023-11-22,0.978,0.975,0.981,0.975,41058,4019522.0,0.61,-0.2,-0.002,5.03
2023-11-23,0.975,0.981,0.983,0.975,46273,4533664.0,0.82,0.62,0.006,5.67
2023-11-24,0.981,0.982,0.986,0.98,57084,5606144.0,0.61,0.1,0.001,7.0
