日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-06,1.002,0.993,1.007,0.991,3803372,381424784.0,1.58,-1.78,-0.018,239.41
2023-06-07,0.993,0.994,0.999,0.99,359622,35791810.0,0.91,0.1,0.001,22.64
2023-06-08,0.995,1.004,1.007,0.989,789924,79148828.0,1.81,1.01,0.01,49.72
2023-06-09,1.005,1.007,1.008,1.001,1016641,102317897.0,0.7,0.3,0.003,64.0
2023-06-12,1.008,1.004,1.009,1.001,696189,70076438.0,0.79,-0.3,-0.003,43.82
2023-06-13,1.004,0.998,1.007,0.994,728251,72849061.0,1.29,-0.6,-0.006,45.84
2023-06-14,0.997,0.996,1.003,0.995,515469,51507197.0,0.8,-0.2,-0.002,32.45
2023-06-15,0.998,0.996,0.999,0.991,505446,50275490.0,0.8,0.0,0.0,31.82
2023-06-16,0.997,1.007,1.01,0.997,1000147,100696343.0,1.31,1.1,0.011,62.96
2023-06-19,1.008,0.999,1.008,0.997,197213,19710456.0,1.09,-0.79,-0.008,12.41
2023-06-20,0.998,0.989,0.999,0.988,1483537,147238316.0,1.1,-1.0,-0.01,93.39
2023-06-21,0.988,0.987,0.995,0.98,269964,26712740.0,1.52,-0.2,-0.002,16.99
2023-06-26,0.986,0.972,0.986,0.969,275040,26852795.0,1.72,-1.52,-0.015,17.31
2023-06-27,0.97,0.995,0.998,0.968,1267111,125273156.0,3.09,2.37,0.023,79.76
2023-06-28,0.993,0.999,0.999,0.989,186472,18544105.0,1.01,0.4,0.004,11.74
2023-06-29,0.993,0.996,1.0,0.99,263828,26285891.0,1.0,-0.3,-0.003,16.61
2023-06-30,0.995,1.001,1.004,0.99,340386,34111362.0,1.41,0.5,0.005,21.43
2023-07-03,0.996,1.019,1.022,0.996,1190872,120876109.0,2.6,1.8,0.018,74.96
2023-07-04,1.019,1.014,1.022,1.011,346916,35268035.0,1.08,-0.49,-0.005,21.84
2023-07-05,1.013,1.012,1.02,1.012,544971,55359798.0,0.79,-0.2,-0.002,34.3
2023-07-06,1.01,1.007,1.013,1.006,201004,20296644.0,0.69,-0.49,-0.005,12.65
2023-07-07,1.005,1.012,1.017,1.005,292834,29632380.0,1.19,0.5,0.005,18.43
2023-07-10,1.011,1.013,1.017,1.007,233043,23565543.0,0.99,0.1,0.001,14.67
2023-07-11,1.013,1.014,1.015,1.008,667574,67546383.0,0.69,0.1,0.001,42.02
2023-07-12,1.009,1.004,1.015,1.004,343959,34684232.0,1.08,-0.99,-0.01,21.65
2023-07-13,1.004,1.01,1.012,1.004,279256,28198641.0,0.8,0.6,0.006,17.58
2023-07-14,1.01,1.012,1.016,1.009,446737,45247648.0,0.69,0.2,0.002,28.12
2023-07-17,1.01,1.009,1.011,1.002,291694,29291478.0,0.89,-0.3,-0.003,18.36
2023-07-18,1.009,1.005,1.009,1.001,263387,26471825.0,0.79,-0.4,-0.004,16.58
2023-07-19,1.004,1.01,1.013,1.004,236285,23842764.0,0.9,0.5,0.005,14.87
2023-07-20,1.007,1.003,1.013,1.002,313392,31632985.0,1.09,-0.69,-0.007,19.73
2023-07-21,0.999,1.0,1.004,0.997,252836,25302066.0,0.7,-0.3,-0.003,15.92
2023-07-24,0.999,1.0,1.005,0.993,268048,26801633.0,1.2,0.0,0.0,16.87
2023-07-25,1.0,1.02,1.021,1.0,525901,53510366.0,2.1,2.0,0.02,33.1
2023-07-26,1.02,1.017,1.024,1.013,282744,28770235.0,1.08,-0.29,-0.003,17.8
2023-07-27,1.017,1.019,1.027,1.017,345412,35338051.0,0.98,0.2,0.002,21.74
2023-07-28,1.019,1.034,1.034,1.014,353622,36267455.0,1.96,1.47,0.015,22.26
2023-07-31,1.031,1.043,1.05,1.031,362219,37838185.0,1.84,0.87,0.009,22.8
2023-08-01,1.04,1.046,1.054,1.04,525611,55026299.0,1.34,0.29,0.003,33.09
2023-08-02,1.046,1.038,1.048,1.036,312476,32526518.0,1.15,-0.76,-0.008,19.67
2023-08-03,1.036,1.041,1.044,1.031,250881,26040501.0,1.25,0.29,0.003,15.79
2023-08-04,1.049,1.043,1.053,1.042,229270,24027298.0,1.06,0.19,0.002,14.43
2023-08-07,1.039,1.033,1.039,1.031,218407,22584897.0,0.77,-0.96,-0.01,13.75
2023-08-08,1.03,1.032,1.035,1.028,188395,19422525.0,0.68,-0.1,-0.001,11.86
2023-08-09,1.028,1.026,1.03,1.024,173639,17818235.0,0.58,-0.58,-0.006,10.93
2023-08-10,1.023,1.028,1.033,1.023,251589,25837954.0,0.97,0.19,0.002,15.84
2023-08-11,1.029,1.01,1.029,1.01,256640,26137036.0,1.85,-1.75,-0.018,16.15
2023-08-14,0.996,1.015,1.017,0.996,275036,27681769.0,2.08,0.5,0.005,17.31
