日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-04-08,1.023,1.03,1.033,1.014,2942805,301265989.0,1.85,0.19,0.002,39.65
2024-04-09,1.025,1.024,1.034,1.019,688143,70680646.0,1.46,-0.58,-0.006,9.27
2024-04-10,1.024,1.027,1.033,1.023,541105,55651838.0,0.98,0.29,0.003,7.29
2024-04-11,1.024,1.038,1.043,1.023,382961,39615618.0,1.95,1.07,0.011,5.16
2024-04-12,1.038,1.037,1.042,1.032,241423,25056034.0,0.96,-0.1,-0.001,3.25
2024-04-15,1.037,1.056,1.057,1.033,239800,25155503.0,2.31,1.83,0.019,3.23
2024-04-16,1.056,1.06,1.068,1.049,313295,33206992.0,1.8,0.38,0.004,4.22
2024-04-17,1.06,1.078,1.078,1.049,233449,24766724.0,2.74,1.7,0.018,3.15
2024-04-18,1.07,1.078,1.089,1.068,254087,27410369.0,1.95,0.0,0.0,3.42
2024-04-19,1.074,1.08,1.088,1.072,209749,22661937.0,1.48,0.19,0.002,2.83
2024-04-22,1.08,1.057,1.086,1.056,217146,23214868.0,2.78,-2.13,-0.023,2.93
2024-04-23,1.056,1.041,1.056,1.039,176226,18408077.0,1.61,-1.51,-0.016,2.37
2024-04-24,1.04,1.039,1.041,1.031,145989,15116456.0,0.96,-0.19,-0.002,1.97
2024-04-25,1.04,1.048,1.048,1.037,153553,15999937.0,1.06,0.87,0.009,2.07
2024-04-26,1.04,1.034,1.049,1.03,152009,15779197.0,1.81,-1.34,-0.014,2.05
2024-04-29,1.032,1.033,1.035,1.026,191884,19787333.0,0.87,-0.1,-0.001,2.59
2024-04-30,1.033,1.036,1.041,1.029,145472,15070067.0,1.16,0.29,0.003,1.96
2024-05-06,1.036,1.043,1.044,1.033,142652,14821940.0,1.06,0.68,0.007,1.92
2024-05-07,1.041,1.044,1.044,1.037,172839,17989057.0,0.67,0.1,0.001,2.33
2024-05-08,1.041,1.05,1.054,1.041,156353,16429760.0,1.25,0.57,0.006,2.11
2024-05-09,1.05,1.056,1.058,1.049,101407,10683886.0,0.86,0.57,0.006,1.37
2024-05-10,1.059,1.061,1.062,1.054,163157,17268189.0,0.76,0.47,0.005,2.2
2024-05-13,1.057,1.068,1.07,1.053,143603,15257419.0,1.6,0.66,0.007,1.93
2024-05-14,1.06,1.064,1.067,1.059,110775,11764138.0,0.75,-0.37,-0.004,1.49
2024-05-15,1.064,1.061,1.068,1.058,129036,13721898.0,0.94,-0.28,-0.003,1.74
2024-05-16,1.061,1.063,1.068,1.061,120470,12826611.0,0.66,0.19,0.002,1.62
2024-05-17,1.065,1.071,1.071,1.061,129702,13800291.0,0.94,0.75,0.008,1.75
2024-05-20,1.073,1.082,1.086,1.072,138373,14919160.0,1.31,1.03,0.011,1.86
2024-05-21,1.082,1.084,1.088,1.08,137159,14863891.0,0.74,0.18,0.002,1.85
2024-05-22,1.084,1.084,1.093,1.083,128183,13947473.0,0.92,0.0,0.0,1.73
2024-05-23,1.08,1.073,1.081,1.069,127679,13724230.0,1.11,-1.01,-0.011,1.72
2024-05-24,1.073,1.073,1.083,1.071,125135,13495275.0,1.12,0.0,0.0,1.69
2024-05-27,1.074,1.09,1.09,1.074,109344,11859907.0,1.49,1.58,0.017,1.47
2024-05-28,1.1,1.087,1.1,1.085,110302,12010009.0,1.38,-0.28,-0.003,1.49
2024-05-29,1.087,1.087,1.096,1.083,91918,10030324.0,1.2,0.0,0.0,1.24
2024-05-30,1.087,1.08,1.095,1.077,74193,8069546.0,1.66,-0.64,-0.007,1.0
2024-05-31,1.079,1.082,1.087,1.079,76462,8284883.0,0.74,0.19,0.002,1.03
2024-06-03,1.082,1.068,1.082,1.064,90656,9717614.0,1.66,-1.29,-0.014,1.22
2024-06-04,1.066,1.071,1.072,1.064,119222,12740664.0,0.75,0.28,0.003,1.61
2024-06-05,1.071,1.057,1.071,1.056,95734,10190833.0,1.4,-1.31,-0.014,1.29
2024-06-06,1.05,1.059,1.066,1.05,151253,16055443.0,1.51,0.19,0.002,2.04
2024-06-07,1.062,1.07,1.07,1.062,134908,14354158.0,0.76,1.04,0.011,1.82
2024-06-11,1.069,1.051,1.07,1.048,140673,14820723.0,2.06,-1.78,-0.019,1.9
2024-06-12,1.049,1.063,1.064,1.045,128159,13486153.0,1.81,1.14,0.012,1.73
2024-06-13,1.063,1.052,1.063,1.049,101760,10726975.0,1.32,-1.03,-0.011,1.37
2024-06-14,1.048,1.055,1.057,1.048,112740,11871807.0,0.86,0.29,0.003,1.52
2024-06-17,1.055,1.041,1.055,1.04,100953,10557810.0,1.42,-1.33,-0.014,1.36
2024-06-18,1.041,1.043,1.044,1.033,101148,10526251.0,1.06,0.19,0.002,1.36
2024-06-19,1.044,1.045,1.05,1.044,84252,8819133.0,0.58,0.19,0.002,1.14
2024-06-20,1.045,1.046,1.048,1.041,100641,10516459.0,0.67,0.1,0.001,1.36
2024-06-21,1.045,1.045,1.049,1.042,104464,10912587.0,0.67,-0.1,-0.001,1.41
2024-06-24,1.045,1.032,1.045,1.029,89488,9231113.0,1.53,-1.24,-0.013,1.21
2024-06-25,1.033,1.037,1.041,1.033,94135,9749841.0,0.78,0.48,0.005,1.27
