日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-03-12,1.009,1.017,1.017,1.004,8950808,903707611.0,1.29,0.59,0.006,53.48
2024-03-13,1.015,1.01,1.016,1.005,2245468,226686603.0,1.08,-0.69,-0.007,13.42
2024-03-14,1.008,1.008,1.018,1.003,2175895,219847406.0,1.49,-0.2,-0.002,13.0
2024-03-15,1.006,1.006,1.008,0.996,1995698,199758607.0,1.19,-0.2,-0.002,11.93
2024-03-18,1.006,1.012,1.013,1.004,1517327,153163457.0,0.89,0.6,0.006,9.07
2024-03-19,1.012,1.005,1.012,1.003,1081726,108978969.0,0.89,-0.69,-0.007,6.46
2024-03-20,1.001,1.005,1.008,1.001,1592889,160112982.0,0.7,0.0,0.0,9.52
2024-03-21,1.007,1.005,1.011,1.003,996682,100342630.0,0.8,0.0,0.0,5.96
2024-03-22,1.004,0.995,1.004,0.987,2582023,256685149.0,1.69,-1.0,-0.01,15.43
2024-03-25,0.993,0.992,1.0,0.99,1349425,134277490.0,1.01,-0.3,-0.003,8.06
2024-03-26,0.993,0.996,0.999,0.991,1414332,140577670.0,0.81,0.4,0.004,8.45
2024-03-27,0.996,0.991,0.999,0.989,1440377,143083473.0,1.0,-0.5,-0.005,8.61
2024-03-28,0.99,0.994,1.001,0.984,1833477,182003771.0,1.72,0.3,0.003,10.96
2024-03-29,0.993,0.997,0.999,0.992,1234260,122849711.0,0.7,0.3,0.003,7.38
2024-04-01,0.998,1.013,1.016,0.998,2384416,240943760.0,1.81,1.6,0.016,14.25
2024-04-02,1.013,1.01,1.014,1.006,1255481,126875080.0,0.79,-0.3,-0.003,7.5
2024-04-03,1.01,1.009,1.01,1.004,1437596,144766503.0,0.59,-0.1,-0.001,8.59
2024-04-08,1.006,1.0,1.007,0.999,1981631,198771139.0,0.79,-0.89,-0.009,11.84
2024-04-09,1.0,0.999,1.002,0.995,1798008,179242653.0,0.7,-0.1,-0.001,10.74
2024-04-10,0.999,0.991,1.0,0.988,1643735,163402641.0,1.2,-0.8,-0.008,9.82
2024-04-11,0.989,0.989,0.994,0.984,1494107,147896799.0,1.01,-0.2,-0.002,8.93
2024-04-12,0.989,0.979,0.992,0.978,1994079,196401438.0,1.42,-1.01,-0.01,11.92
2024-04-15,0.98,1.0,1.003,0.98,2406217,239741662.0,2.35,2.15,0.021,14.38
2024-04-16,0.998,0.997,1.004,0.991,3024572,302037421.0,1.3,-0.3,-0.003,18.07
2024-04-17,0.996,1.006,1.007,0.991,1942947,193906714.0,1.6,0.9,0.009,11.61
2024-04-18,1.002,1.008,1.018,1.002,3501210,354143007.0,1.59,0.2,0.002,20.92
2024-04-19,1.004,1.002,1.008,0.997,1616420,161894511.0,1.09,-0.6,-0.006,9.66
2024-04-22,1.001,1.002,1.01,1.0,2004401,201579370.0,1.0,0.0,0.0,11.98
2024-04-23,1.0,0.994,1.002,0.991,1486596,147896389.0,1.1,-0.8,-0.008,8.88
2024-04-24,0.994,0.996,0.998,0.991,1229915,122211159.0,0.7,0.2,0.002,7.35
2024-04-25,0.994,1.0,1.004,0.991,1956346,195205757.0,1.31,0.4,0.004,11.69
2024-04-26,1.002,1.015,1.017,1.0,2219131,224120034.0,1.7,1.5,0.015,13.26
2024-04-29,1.016,1.028,1.035,1.012,2492610,255723965.0,2.27,1.28,0.013,14.89
2024-04-30,1.027,1.024,1.029,1.022,1637277,167919899.0,0.68,-0.39,-0.004,9.78
2024-05-06,1.036,1.042,1.043,1.036,1938408,201598732.0,0.68,1.76,0.018,11.58
2024-05-07,1.04,1.041,1.045,1.037,3187710,332298148.0,0.77,-0.1,-0.001,19.05
2024-05-08,1.039,1.032,1.039,1.031,1282102,132677863.0,0.77,-0.86,-0.009,7.66
2024-05-09,1.031,1.041,1.044,1.031,1338557,139184477.0,1.26,0.87,0.009,8.0
2024-05-10,1.042,1.042,1.046,1.035,1834451,190979194.0,1.06,0.1,0.001,10.96
2024-05-13,1.038,1.037,1.042,1.031,2512727,260659215.0,1.06,-0.48,-0.005,15.01
2024-05-14,1.04,1.035,1.041,1.032,1355874,140349722.0,0.87,-0.19,-0.002,8.1
2024-05-15,1.034,1.028,1.036,1.026,3475039,358339397.0,0.97,-0.68,-0.007,20.76
2024-05-16,1.03,1.034,1.038,1.026,3042786,314390739.0,1.17,0.58,0.006,18.18
2024-05-17,1.036,1.046,1.048,1.03,2677070,277385569.0,1.74,1.16,0.012,16.0
2024-05-20,1.048,1.047,1.054,1.044,2830225,296909771.0,0.96,0.1,0.001,16.91
2024-05-21,1.045,1.043,1.048,1.038,2679035,279685579.0,0.96,-0.38,-0.004,16.01
2024-05-22,1.041,1.044,1.046,1.04,2138144,223103464.0,0.58,0.1,0.001,12.78
2024-05-23,1.04,1.034,1.041,1.03,1748843,180842840.0,1.05,-0.96,-0.01,10.45
2024-05-24,1.031,1.023,1.035,1.021,2146113,220618420.0,1.35,-1.06,-0.011,12.82
2024-05-27,1.023,1.029,1.03,1.022,1974257,202417080.0,0.78,0.59,0.006,11.8
2024-05-28,1.027,1.022,1.03,1.021,1807840,185431925.0,0.87,-0.68,-0.007,10.8
2024-05-29,1.021,1.024,1.03,1.021,1610484,165328042.0,0.88,0.2,0.002,9.62
2024-05-30,1.024,1.019,1.028,1.015,3714383,379131183.0,1.27,-0.49,-0.005,22.19
2024-05-31,1.019,1.015,1.025,1.014,2413486,246028326.0,1.08,-0.39,-0.004,14.42
