日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-10-15,0.95,0.929,0.958,0.928,3425838,323557998.0,3.15,-2.31,-0.022,11.39
2024-10-16,0.913,0.924,0.933,0.913,2645642,244194171.0,2.15,-0.54,-0.005,8.8
2024-10-17,0.928,0.913,0.933,0.91,2358568,217474677.0,2.49,-1.19,-0.011,7.84
2024-10-18,0.914,0.947,0.966,0.909,3590613,333426318.0,6.24,3.72,0.034,11.94
2024-10-21,0.951,0.954,0.964,0.941,2467233,234915101.0,2.43,0.74,0.007,8.2
2024-10-22,0.953,0.958,0.96,0.948,1270005,121340922.0,1.26,0.42,0.004,4.22
2024-10-23,0.96,0.965,0.974,0.954,1725111,166367567.0,2.09,0.73,0.007,5.74
2024-10-24,0.963,0.953,0.964,0.949,1758592,167656178.0,1.55,-1.24,-0.012,5.85
2024-10-25,0.951,0.962,0.969,0.951,2074889,199311850.0,1.89,0.94,0.009,6.9
2024-10-28,0.962,0.965,0.966,0.953,4474889,430714067.0,1.35,0.31,0.003,14.88
2024-10-29,0.968,0.957,0.973,0.955,2122169,204115696.0,1.87,-0.83,-0.008,7.06
2024-10-30,0.951,0.952,0.959,0.945,4899556,466729881.0,1.46,-0.52,-0.005,16.29
2024-10-31,0.952,0.953,0.962,0.946,6529289,623536031.0,1.68,0.11,0.001,21.71
2024-11-01,0.951,0.952,0.962,0.948,5603389,535427022.0,1.47,-0.1,-0.001,18.63
2024-11-04,0.954,0.964,0.965,0.95,6311393,603919614.0,1.58,1.26,0.012,20.98
2024-11-05,0.965,0.99,0.991,0.96,6646953,651386606.0,3.22,2.7,0.026,22.1
2024-11-06,0.991,0.988,1.002,0.981,9139202,906518851.0,2.12,-0.2,-0.002,30.38
2024-11-07,0.98,1.011,1.012,0.978,13097204,1306433373.0,3.44,2.33,0.023,43.54
2024-11-08,1.02,1.009,1.022,1.001,9564809,967313224.0,2.08,-0.2,-0.002,31.8
2024-11-11,1.001,1.014,1.015,0.992,6149131,617778747.0,2.28,0.5,0.005,20.44
2024-11-12,1.011,1.003,1.026,0.997,9561389,967792995.0,2.86,-1.08,-0.011,31.79
2024-11-13,0.999,1.006,1.01,0.992,5573234,559416654.0,1.79,0.3,0.003,18.53
2024-11-14,1.005,0.985,1.006,0.985,7738164,770248470.0,2.09,-2.09,-0.021,25.73
2024-11-15,0.983,0.968,0.989,0.968,5637905,553225652.0,2.13,-1.73,-0.017,18.74
2024-11-18,0.972,0.96,0.98,0.955,5375480,520696194.0,2.58,-0.83,-0.008,17.87
2024-11-19,0.961,0.967,0.968,0.946,5704756,546654560.0,2.29,0.73,0.007,18.97
2024-11-20,0.965,0.973,0.977,0.961,4450614,431436455.0,1.65,0.62,0.006,14.8
2024-11-21,0.973,0.973,0.975,0.967,3578870,347431497.0,0.82,0.0,0.0,11.9
2024-11-22,0.972,0.943,0.974,0.943,6173610,593621486.0,3.19,-3.08,-0.03,20.52
2024-11-25,0.945,0.938,0.948,0.929,4867517,457173348.0,2.01,-0.53,-0.005,16.18
2024-11-26,0.935,0.933,0.944,0.933,4388540,411612661.0,1.17,-0.53,-0.005,14.59
2024-11-27,0.931,0.95,0.951,0.926,5496882,516194912.0,2.68,1.82,0.017,18.27
2024-11-28,0.95,0.943,0.952,0.94,4743864,448986054.0,1.26,-0.74,-0.007,15.77
2024-11-29,0.942,0.954,0.963,0.941,4310050,410238634.0,2.33,1.17,0.011,14.33
2024-12-02,0.954,0.962,0.965,0.951,3113614,298892894.0,1.47,0.84,0.008,10.35
2024-12-03,0.963,0.961,0.966,0.955,2857493,274344173.0,1.14,-0.1,-0.001,9.5
2024-12-04,0.96,0.957,0.965,0.953,3091069,296324676.0,1.25,-0.42,-0.004,10.28
2024-12-05,0.955,0.956,0.96,0.952,2129947,203461027.0,0.84,-0.1,-0.001,7.08
2024-12-06,0.956,0.968,0.974,0.954,3638450,351681216.0,2.09,1.26,0.012,12.1
2024-12-09,0.969,0.966,0.973,0.96,1743733,168515651.0,1.34,-0.21,-0.002,5.8
2024-12-10,0.992,0.974,0.999,0.97,4129088,406118700.0,3.0,0.83,0.008,13.73
2024-12-11,0.97,0.973,0.976,0.97,3506952,341451006.0,0.62,-0.1,-0.001,11.66
2024-12-12,0.972,0.981,0.982,0.971,3463351,338029954.0,1.13,0.82,0.008,11.51
