日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-10-15,1.0,0.96,1.0,0.959,9879447,964894739.0,4.18,-2.24,-0.022,24.62
2024-10-16,0.948,0.953,0.965,0.943,7562770,721479960.0,2.29,-0.73,-0.007,18.85
2024-10-17,0.955,0.943,0.965,0.943,3397528,323944530.0,2.31,-1.05,-0.01,8.47
2024-10-18,0.943,0.978,1.0,0.94,4426954,425277952.0,6.36,3.71,0.035,11.03
2024-10-21,0.978,0.984,0.995,0.972,3441487,338511192.0,2.35,0.61,0.006,8.58
2024-10-22,0.986,0.991,0.994,0.981,4166549,411708871.0,1.32,0.71,0.007,10.38
2024-10-23,0.994,0.996,1.005,0.986,3327277,331591115.0,1.92,0.5,0.005,8.29
2024-10-24,0.993,0.982,0.993,0.98,3740267,368403356.0,1.31,-1.41,-0.014,9.32
2024-10-25,0.984,0.994,1.002,0.983,4834004,479732020.0,1.93,1.22,0.012,12.05
2024-10-28,0.996,0.999,0.999,0.985,8860217,880608924.0,1.41,0.5,0.005,22.08
2024-10-29,1.001,0.989,1.004,0.987,7511655,748300191.0,1.7,-1.0,-0.01,18.72
2024-10-30,0.987,0.982,0.991,0.976,15396379,1512806570.0,1.52,-0.71,-0.007,38.37
2024-10-31,0.981,0.985,0.993,0.976,10374575,1023829561.0,1.73,0.31,0.003,25.85
2024-11-01,0.981,0.983,0.993,0.979,9882146,975321575.0,1.42,-0.2,-0.002,24.63
2024-11-04,0.984,0.995,0.996,0.981,6252144,617299693.0,1.53,1.22,0.012,15.58
2024-11-05,0.995,1.023,1.025,0.991,9816514,990803224.0,3.42,2.81,0.028,24.46
2024-11-06,1.02,1.019,1.035,1.014,12376334,1267672270.0,2.05,-0.39,-0.004,30.84
2024-11-07,1.016,1.047,1.047,1.009,13196098,1355394391.0,3.73,2.75,0.028,32.89
2024-11-08,1.062,1.04,1.065,1.035,10999709,1150914875.0,2.87,-0.67,-0.007,27.41
2024-11-11,1.025,1.049,1.05,1.023,8962427,928913184.0,2.6,0.87,0.009,22.34
2024-11-12,1.049,1.039,1.061,1.029,23943143,2504476953.0,3.05,-0.95,-0.01,59.67
2024-11-13,1.032,1.04,1.044,1.03,20072723,2081204922.0,1.35,0.1,0.001,50.02
2024-11-14,1.038,1.021,1.041,1.018,17604966,1813782478.0,2.21,-1.83,-0.019,43.87
2024-11-15,1.019,1.001,1.022,1.0,15643295,1586253573.0,2.15,-1.96,-0.02,38.99
2024-11-18,1.006,0.993,1.013,0.987,11421653,1142192523.0,2.6,-0.8,-0.008,28.46
2024-11-19,0.997,1.001,1.002,0.979,9569158,948461662.0,2.32,0.81,0.008,23.85
2024-11-20,0.997,1.005,1.01,0.997,8663068,868213270.0,1.3,0.4,0.004,21.59
2024-11-21,1.004,1.008,1.01,1.001,8043245,808392597.0,0.9,0.3,0.003,20.04
2024-11-22,1.008,0.976,1.008,0.975,9864450,979440855.0,3.27,-3.17,-0.032,24.58
2024-11-25,0.977,0.97,0.981,0.959,7767788,753638578.0,2.25,-0.61,-0.006,19.36
2024-11-26,0.968,0.966,0.976,0.964,7171235,695416558.0,1.24,-0.41,-0.004,17.87
2024-11-27,0.964,0.981,0.983,0.958,8286884,803534725.0,2.59,1.55,0.015,20.65
2024-11-28,0.982,0.975,0.984,0.972,8631099,843942670.0,1.22,-0.61,-0.006,21.51
2024-11-29,0.973,0.986,0.996,0.973,8734925,859592347.0,2.36,1.13,0.011,21.77
2024-12-02,0.983,0.995,0.998,0.983,7312575,725670031.0,1.52,0.91,0.009,18.22
2024-12-03,0.995,0.995,1.0,0.989,6762302,671526072.0,1.11,0.0,0.0,16.85
2024-12-04,0.992,0.99,0.997,0.986,7826937,775667371.0,1.11,-0.5,-0.005,19.51
2024-12-05,0.989,0.988,0.992,0.984,6865834,678480733.0,0.81,-0.2,-0.002,17.11
2024-12-06,0.988,1.001,1.008,0.987,8144978,811966932.0,2.13,1.32,0.013,20.3
2024-12-09,1.001,0.999,1.007,0.993,6598498,659867636.0,1.4,-0.2,-0.002,16.44
2024-12-10,1.03,1.006,1.033,1.003,7657386,777245944.0,3.0,0.7,0.007,19.08
2024-12-11,1.006,1.007,1.01,1.003,6548256,659641605.0,0.7,0.1,0.001,16.32
2024-12-12,1.006,1.016,1.017,1.004,8181808,826624300.0,1.29,0.89,0.009,20.39
2024-12-13,1.012,0.996,1.012,0.992,8368639,835726904.0,1.97,-1.97,-0.02,20.86
2024-12-16,0.991,0.985,0.995,0.983,6603712,652326671.0,1.2,-1.1,-0.011,16.46
2024-12-17,0.984,0.985,0.994,0.983,7904537,780887595.0,1.12,0.0,0.0,19.7
2024-12-18,0.986,0.989,0.994,0.986,6993274,692361391.0,0.81,0.41,0.004,17.43
2024-12-19,0.984,0.993,0.996,0.979,7750616,765816034.0,1.72,0.4,0.004,19.32
2024-12-20,0.994,0.991,0.998,0.989,6438025,639347816.0,0.91,-0.2,-0.002,16.04
2024-12-23,0.99,0.989,0.997,0.987,6812849,676713094.0,1.01,-0.2,-0.002,16.98
2024-12-24,0.989,0.998,1.0,0.988,6991429,695241865.0,1.21,0.91,0.009,17.42
2024-12-25,0.999,0.997,1.003,0.993,6957611,693881302.0,1.0,-0.1,-0.001,17.34
2024-12-26,0.995,1.0,1.001,0.994,5513652,550866195.0,0.7,0.3,0.003,13.74
2024-12-27,1.0,0.999,1.007,0.996,7627721,762752400.0,1.1,-0.1,-0.001,19.01
2024-12-30,0.998,1.001,1.004,0.997,13767209,1377927538.0,0.7,0.2,0.002,34.31
2024-12-31,1.001,0.984,1.003,0.983,10262590,1020683872.0,2.0,-1.7,-0.017,25.58
2025-01-02,0.985,0.956,0.986,0.949,11303852,1094907681.0,3.76,-2.85,-0.028,28.17
2025-01-03,0.956,0.944,0.96,0.941,10651842,1013521149.0,1.99,-1.26,-0.012,26.55
2025-01-06,0.945,0.94,0.945,0.935,8798626,826659345.0,1.06,-0.42,-0.004,21.93
2025-01-07,0.941,0.947,0.948,0.936,7328592,689465920.0,1.28,0.74,0.007,18.26
2025-01-08,0.945,0.945,0.952,0.929,9445774,887665968.0,2.43,-0.21,-0.002,23.54
2025-01-09,0.942,0.945,0.95,0.941,8675115,819259026.0,0.95,0.0,0.0,21.62
2025-01-10,0.946,0.935,0.948,0.934,7106558,667793643.0,1.48,-1.06,-0.01,17.71
2025-01-13,0.929,0.931,0.936,0.926,7296460,677804280.0,1.07,-0.43,-0.004,18.18
2025-01-14,0.932,0.957,0.959,0.931,7195278,679861716.0,3.01,2.79,0.026,17.93
2025-01-15,0.954,0.951,0.956,0.949,7443915,707912050.0,0.73,-0.63,-0.006,18.55
