日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-09-18,1.002,0.984,1.1,0.981,477522,47433472.0,11.88,-1.8,-0.018,3.77
2025-09-19,0.985,0.988,0.988,0.979,213181,20959093.0,0.91,0.41,0.004,1.68
2025-09-22,0.988,0.979,0.988,0.975,249227,24418181.0,1.32,-0.91,-0.009,1.97
2025-09-23,0.979,0.983,0.985,0.975,344184,33725006.0,1.02,0.41,0.004,2.72
2025-09-24,0.983,0.982,0.986,0.978,371677,36564393.0,0.81,-0.1,-0.001,2.93
2025-09-25,0.982,0.978,0.982,0.974,396733,38784272.0,0.81,-0.41,-0.004,3.13
2025-09-26,0.978,0.979,0.981,0.973,359638,35162375.0,0.82,0.1,0.001,2.84
2025-09-29,0.979,0.979,0.984,0.972,389883,37974637.0,1.23,0.0,0.0,3.08
2025-09-30,0.979,0.979,0.98,0.974,338137,33045591.0,0.61,0.0,0.0,2.67
2025-10-09,0.978,0.991,0.991,0.976,363051,35616593.0,1.53,1.23,0.012,2.86
2025-10-10,0.99,0.996,0.999,0.988,410177,40836103.0,1.11,0.5,0.005,3.24
2025-10-13,0.996,0.995,0.999,0.98,105404,10402361.0,1.91,-0.1,-0.001,0.83
2025-10-14,0.991,1.005,1.005,0.991,484953,48506765.0,1.41,1.01,0.01,3.83
2025-10-15,1.004,1.007,1.009,1.0,508620,51021451.0,0.9,0.2,0.002,4.01
2025-10-16,1.0,1.01,1.012,1.0,483264,48758404.0,1.19,0.3,0.003,3.81
2025-10-17,1.012,1.008,1.017,1.002,540140,54505381.0,1.49,-0.2,-0.002,4.26
2025-10-20,1.01,1.006,1.01,0.996,437386,43767080.0,1.39,-0.2,-0.002,3.45
2025-10-21,1.002,1.012,1.012,1.002,381893,38532049.0,0.99,0.6,0.006,3.01
2025-10-22,1.012,1.014,1.015,1.01,460047,46558988.0,0.49,0.2,0.002,3.63
2025-10-23,1.014,1.02,1.021,1.011,654447,66456516.0,0.99,0.59,0.006,5.16
2025-10-24,1.02,1.016,1.021,1.015,551255,56076821.0,0.59,-0.39,-0.004,4.35
2025-10-27,1.022,1.024,1.027,1.011,678893,69510641.0,1.57,0.79,0.008,5.36
2025-10-28,1.022,1.018,1.023,1.016,572274,58310935.0,0.68,-0.59,-0.006,4.51
2025-10-29,1.02,1.018,1.02,1.012,485132,49298914.0,0.79,0.0,0.0,3.83
2025-10-30,1.018,1.02,1.024,1.013,490814,50106988.0,1.08,0.2,0.002,3.87
2025-10-31,1.017,1.012,1.017,1.009,717716,72577884.0,0.78,-0.78,-0.008,5.66
2025-11-03,1.003,1.028,1.113,1.003,855487,87604120.0,10.87,1.58,0.016,6.75
2025-11-04,1.025,1.025,1.028,1.021,483758,49578631.0,0.68,-0.29,-0.003,3.82
2025-11-05,1.026,1.027,1.03,1.018,445851,45672520.0,1.17,0.2,0.002,3.52
2025-11-06,1.026,1.035,1.037,1.022,501877,51902544.0,1.46,0.78,0.008,3.96
2025-11-07,1.035,1.042,1.043,1.035,496472,51676933.0,0.77,0.68,0.007,3.92
2025-11-10,1.042,1.049,1.05,1.04,771821,80785381.0,0.96,0.67,0.007,6.09
2025-11-11,1.054,1.051,1.054,1.041,496421,51986035.0,1.24,0.19,0.002,3.92
2025-11-12,1.056,1.053,1.056,1.047,522312,54988782.0,0.86,0.19,0.002,4.12
2025-11-13,1.052,1.053,1.056,1.044,535689,56161205.0,1.14,0.0,0.0,4.23
2025-11-14,1.053,1.047,1.055,1.045,584252,61485887.0,0.95,-0.57,-0.006,4.61
2025-11-17,1.05,1.035,1.051,1.034,519564,53926370.0,1.62,-1.15,-0.012,4.1
2025-11-18,1.038,1.028,1.048,1.026,496918,50974065.0,2.13,-0.68,-0.007,3.92
2025-11-19,1.028,1.033,1.035,1.026,474627,48747131.0,0.88,0.49,0.005,3.74
2025-11-20,1.032,1.038,1.044,1.03,498888,51586904.0,1.36,0.48,0.005,3.94
2025-11-21,1.036,1.021,1.037,1.02,534852,54533203.0,1.64,-1.64,-0.017,4.22
2025-11-24,1.02,1.015,1.024,1.013,488164,49417536.0,1.08,-0.59,-0.006,3.85
2025-11-25,1.015,1.019,1.021,1.012,713099,72165548.0,0.89,0.39,0.004,5.63
2025-11-26,1.017,1.016,1.022,1.015,418727,42406671.0,0.69,-0.29,-0.003,3.3
2025-11-27,1.016,1.017,1.021,1.012,369586,37363380.0,0.89,0.1,0.001,2.92
2025-11-28,1.017,1.016,1.018,1.013,382726,38693702.0,0.49,-0.1,-0.001,3.02
2025-12-01,1.016,1.02,1.021,1.014,391896,39655174.0,0.69,0.39,0.004,3.09
2025-12-02,1.017,1.02,1.022,1.017,339308,34446404.0,0.49,0.0,0.0,2.68
2025-12-03,1.023,1.022,1.026,1.018,330489,33631454.0,0.78,0.2,0.002,2.61
2025-12-04,1.023,1.016,1.023,1.015,454991,46043172.0,0.78,-0.59,-0.006,3.59
2025-12-05,1.017,1.017,1.018,1.011,439199,44359196.0,0.69,0.1,0.001,3.46
2025-12-08,1.017,1.014,1.019,1.012,394996,39834674.0,0.69,-0.29,-0.003,3.12
2025-12-09,1.013,1.008,1.013,1.006,449763,45157621.0,0.69,-0.59,-0.006,3.55
2025-12-10,1.012,1.004,1.012,0.998,435055,43323757.0,1.39,-0.4,-0.004,3.43
2025-12-11,1.001,1.0,1.006,0.999,426746,42497235.0,0.7,-0.4,-0.004,3.37
2025-12-12,1.0,1.0,1.001,0.997,453163,45031847.0,0.4,0.0,0.0,3.58
2025-12-15,0.999,1.004,1.007,0.998,235736,23531664.0,0.9,0.4,0.004,1.86
2025-12-16,1.007,1.003,1.007,0.999,371279,36989380.0,0.8,-0.1,-0.001,2.93
