日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-10-15,0.948,0.928,0.956,0.928,7610457,719728879.0,2.94,-2.62,-0.025,15.67
2024-10-16,0.92,0.923,0.936,0.913,7271781,672319616.0,2.48,-0.54,-0.005,14.97
2024-10-17,0.93,0.915,0.937,0.914,8200176,759218921.0,2.49,-0.87,-0.008,16.89
2024-10-18,0.911,0.949,0.975,0.911,9615317,896173023.0,6.99,3.72,0.034,19.8
2024-10-21,0.959,0.954,0.965,0.943,9550495,911147362.0,2.32,0.53,0.005,19.67
2024-10-22,0.95,0.961,0.964,0.948,9109982,871808654.0,1.68,0.73,0.007,18.76
2024-10-23,0.965,0.965,0.975,0.955,8915351,860407357.0,2.08,0.42,0.004,18.36
2024-10-24,0.957,0.953,0.961,0.95,8013899,765306852.0,1.14,-1.24,-0.012,16.5
2024-10-25,0.954,0.962,0.97,0.952,14154090,1360141293.0,1.89,0.94,0.009,29.15
2024-10-28,0.962,0.966,0.967,0.954,11514171,1108459418.0,1.35,0.42,0.004,23.71
2024-10-29,0.97,0.959,0.974,0.957,12162914,1172015087.0,1.76,-0.72,-0.007,25.05
2024-10-30,0.959,0.953,0.961,0.946,14514123,1383394319.0,1.56,-0.63,-0.006,29.89
2024-10-31,0.951,0.955,0.963,0.946,11097203,1059980535.0,1.78,0.21,0.002,22.85
2024-11-01,0.954,0.953,0.963,0.949,10749887,1028062511.0,1.47,-0.21,-0.002,22.14
2024-11-04,0.953,0.966,0.966,0.951,10689076,1023227661.0,1.57,1.36,0.013,22.01
2024-11-05,0.964,0.992,0.993,0.962,14864229,1457425672.0,3.21,2.69,0.026,30.61
2024-11-06,0.996,0.988,1.004,0.982,24114752,2394644737.0,2.22,-0.4,-0.004,49.66
2024-11-07,0.98,1.014,1.014,0.978,18011347,1789697376.0,3.64,2.63,0.026,37.09
2024-11-08,1.021,1.007,1.026,1.002,40433227,4092540535.0,2.37,-0.69,-0.007,83.26
2024-11-11,1.0,1.016,1.017,0.994,12767717,1284274996.0,2.28,0.89,0.009,26.29
2024-11-12,1.015,1.005,1.027,0.997,15766611,1596834997.0,2.95,-1.08,-0.011,32.47
2024-11-13,0.999,1.008,1.011,0.997,11187428,1121687880.0,1.39,0.3,0.003,23.04
2024-11-14,1.007,0.987,1.007,0.986,16479864,1644742039.0,2.08,-2.08,-0.021,33.94
2024-11-15,0.985,0.968,0.99,0.967,29687501,2912363472.0,2.33,-1.93,-0.019,61.14
2024-11-18,0.977,0.961,0.98,0.955,15691647,1520429228.0,2.58,-0.72,-0.007,32.31
2024-11-19,0.961,0.969,0.97,0.948,19799506,1898472888.0,2.29,0.83,0.008,40.77
2024-11-20,0.965,0.974,0.978,0.961,13752605,1333284715.0,1.75,0.52,0.005,28.32
2024-11-21,0.974,0.975,0.978,0.968,14174566,1378656746.0,1.03,0.1,0.001,29.19
2024-11-22,0.973,0.944,0.974,0.942,15647168,1504864124.0,3.28,-3.18,-0.031,32.22
2024-11-25,0.946,0.939,0.948,0.929,14400169,1353091997.0,2.01,-0.53,-0.005,29.65
2024-11-26,0.935,0.934,0.945,0.933,13785952,1293284624.0,1.28,-0.53,-0.005,28.39
2024-11-27,0.934,0.95,0.952,0.926,14643236,1372387282.0,2.78,1.71,0.016,30.16
2024-11-28,0.951,0.944,0.952,0.941,13096156,1238832834.0,1.16,-0.63,-0.006,26.97
2024-11-29,0.944,0.953,0.964,0.943,14813219,1410286762.0,2.22,0.95,0.009,30.51
2024-12-02,0.957,0.963,0.966,0.951,13889588,1334509598.0,1.57,1.05,0.01,28.6
2024-12-03,0.963,0.964,0.967,0.956,13932244,1339091902.0,1.14,0.1,0.001,28.69
2024-12-04,0.962,0.958,0.965,0.954,13142313,1260424980.0,1.14,-0.62,-0.006,27.06
2024-12-05,0.957,0.957,0.96,0.952,10988791,1050323899.0,0.84,-0.1,-0.001,22.63
2024-12-06,0.957,0.969,0.975,0.955,14285410,1378744431.0,2.09,1.25,0.012,29.42
2024-12-09,0.969,0.967,0.974,0.961,13554143,1310492120.0,1.34,-0.21,-0.002,27.91
2024-12-10,0.999,0.974,1.009,0.971,17799300,1752423218.0,3.93,0.72,0.007,36.65
2024-12-11,0.974,0.973,0.977,0.97,14216381,1384646271.0,0.72,-0.1,-0.001,29.28
2024-12-12,0.975,0.983,0.984,0.971,13607890,1329048135.0,1.34,1.03,0.01,28.02
2024-12-13,0.979,0.961,0.979,0.958,15354196,1482236746.0,2.14,-2.24,-0.022,31.62
2024-12-16,0.958,0.953,0.961,0.95,12082077,1154187044.0,1.14,-0.83,-0.008,24.88
2024-12-17,0.951,0.953,0.963,0.95,15182095,1451535078.0,1.36,0.0,0.0,31.26
2024-12-18,0.954,0.959,0.962,0.954,14538324,1393024314.0,0.84,0.63,0.006,29.94
2024-12-19,0.952,0.961,0.963,0.947,14302768,1366617518.0,1.67,0.21,0.002,29.45
2024-12-20,0.96,0.959,0.966,0.957,16025008,1539241707.0,0.94,-0.21,-0.002,33.0
2024-12-23,0.96,0.956,0.965,0.955,12675348,1217772308.0,1.04,-0.31,-0.003,26.1
2024-12-24,0.956,0.966,0.967,0.955,13725189,1320539193.0,1.26,1.05,0.01,28.26
2024-12-25,0.966,0.964,0.97,0.961,16728614,1614337168.0,0.93,-0.21,-0.002,34.45
2024-12-26,0.964,0.967,0.969,0.962,12351493,1194282143.0,0.73,0.31,0.003,25.44
2024-12-27,0.967,0.966,0.975,0.964,14407806,1394895341.0,1.14,-0.1,-0.001,29.67
2024-12-30,0.965,0.969,0.972,0.965,18094447,1753203947.0,0.72,0.31,0.003,37.26
2024-12-31,0.969,0.956,0.971,0.954,18075948,1741137690.0,1.75,-1.34,-0.013,37.22
2025-01-02,0.955,0.928,0.955,0.917,18084580,1693738808.0,3.97,-2.93,-0.028,37.24
2025-01-03,0.926,0.914,0.929,0.91,16548056,1524104191.0,2.05,-1.51,-0.014,34.08
2025-01-06,0.914,0.91,0.915,0.904,14386126,1308777605.0,1.2,-0.44,-0.004,29.63
2025-01-07,0.909,0.918,0.918,0.907,14623221,1332279221.0,1.21,0.88,0.008,30.11
2025-01-08,0.913,0.914,0.922,0.899,15145926,1377199751.0,2.51,-0.44,-0.004,31.19
2025-01-09,0.912,0.914,0.918,0.91,13346270,1222065624.0,0.88,0.0,0.0,27.48
2025-01-10,0.913,0.905,0.917,0.904,12174687,1109439063.0,1.42,-0.98,-0.009,25.07
2025-01-13,0.9,0.901,0.906,0.897,13535074,1219137780.0,0.99,-0.44,-0.004,27.87
2025-01-14,0.904,0.927,0.929,0.9,15756363,1445384563.0,3.22,2.89,0.026,32.45
2025-01-15,0.924,0.92,0.926,0.918,11080809,1021891208.0,0.86,-0.76,-0.007,22.82
2025-01-16,0.923,0.921,0.934,0.916,14503726,1338901547.0,1.96,0.11,0.001,29.87
2025-01-17,0.917,0.925,0.932,0.917,14088139,1302485982.0,1.63,0.43,0.004,29.01
2025-01-20,0.93,0.93,0.938,0.927,12532005,1169439882.0,1.19,0.54,0.005,25.81
2025-01-21,0.934,0.932,0.935,0.926,13348707,1241617109.0,0.97,0.22,0.002,27.49
2025-01-22,0.93,0.924,0.931,0.919,11583397,1068705600.0,1.29,-0.86,-0.008,23.85
2025-01-23,0.93,0.925,0.941,0.923,14249781,1328057423.0,1.95,0.11,0.001,29.34
2025-01-24,0.924,0.933,0.936,0.922,12352824,1149935787.0,1.51,0.86,0.008,25.44
2025-01-27,0.936,0.926,0.937,0.925,10059762,936484968.0,1.29,-0.75,-0.007,20.72
2025-02-05,0.929,0.924,0.932,0.921,11228955,1039012022.0,1.19,-0.22,-0.002,23.12
2025-02-06,0.924,0.938,0.94,0.922,13695848,1277473032.0,1.95,1.52,0.014,28.2
2025-02-07,0.938,0.953,0.96,0.937,14325178,1361106239.0,2.45,1.6,0.015,29.5
2025-02-10,0.954,0.956,0.958,0.95,11666745,1113655652.0,0.84,0.31,0.003,24.03
2025-02-11,0.955,0.953,0.957,0.949,10950146,1042767398.0,0.84,-0.31,-0.003,22.55
2025-02-12,0.952,0.962,0.964,0.948,11996561,1145302780.0,1.68,0.94,0.009,24.7
2025-02-13,0.962,0.959,0.967,0.957,14763572,1419766825.0,1.04,-0.31,-0.003,30.4
2025-02-14,0.959,0.967,0.968,0.957,14385681,1383921901.0,1.15,0.83,0.008,29.62
2025-02-17,0.968,0.968,0.971,0.961,14555175,1406781599.0,1.03,0.1,0.001,29.97
2025-02-18,0.968,0.959,0.972,0.955,12881144,1246045111.0,1.76,-0.93,-0.009,26.53
2025-02-19,0.959,0.966,0.968,0.956,11625938,1119521844.0,1.25,0.73,0.007,23.94
2025-02-20,0.966,0.966,0.968,0.961,12651986,1220032685.0,0.72,0.0,0.0,26.05
2025-02-21,0.966,0.979,0.98,0.965,14280713,1389768439.0,1.55,1.35,0.013,29.41
2025-02-24,0.979,0.978,0.983,0.971,13643869,1334172538.0,1.23,-0.1,-0.001,28.1
2025-02-25,0.97,0.967,0.975,0.964,12967089,1259068634.0,1.12,-1.12,-0.011,26.7
2025-02-26,0.967,0.976,0.976,0.966,13154886,1277094278.0,1.03,0.93,0.009,27.09
2025-02-27,0.976,0.976,0.978,0.966,12916102,1254321597.0,1.23,0.0,0.0,26.6
2025-02-28,0.974,0.956,0.974,0.952,14463397,1394492275.0,2.25,-2.05,-0.02,29.78
2025-03-03,0.958,0.953,0.966,0.95,11734955,1124836268.0,1.67,-0.31,-0.003,24.17
2025-03-04,0.951,0.954,0.956,0.946,11207201,1067262998.0,1.05,0.1,0.001,23.08
2025-03-05,0.954,0.957,0.959,0.95,12687444,1211250942.0,0.94,0.31,0.003,26.13
2025-03-06,0.96,0.972,0.975,0.96,14128542,1369863314.0,1.57,1.57,0.015,29.1
2025-03-07,0.971,0.97,0.977,0.968,14696815,1428365387.0,0.93,-0.21,-0.002,30.27
2025-03-10,0.969,0.968,0.972,0.962,10773472,1039539821.0,1.03,-0.21,-0.002,22.19
2025-03-11,0.962,0.969,0.971,0.957,10582787,1020205655.0,1.45,0.1,0.001,21.79
2025-03-12,0.97,0.968,0.975,0.966,10300251,998424377.0,0.93,-0.1,-0.001,21.21
