日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-06,1.005,0.99,1.007,0.986,6569791,658212153.0,2.08,-2.08,-0.021,139.33
2023-06-07,0.992,0.994,1.0,0.989,2042972,203505683.0,1.11,0.4,0.004,43.33
2023-06-08,0.995,1.004,1.007,0.99,2072951,207557835.0,1.71,1.01,0.01,43.96
2023-06-09,1.005,1.007,1.008,1.001,1898788,191057613.0,0.7,0.3,0.003,40.27
2023-06-12,1.01,1.005,1.01,1.002,1265239,127322307.0,0.79,-0.2,-0.002,26.83
2023-06-13,1.003,0.999,1.005,0.993,1118894,111574059.0,1.19,-0.6,-0.006,23.73
2023-06-14,0.994,0.998,1.003,0.994,755041,75398629.0,0.9,-0.1,-0.001,16.01
2023-06-15,0.997,0.995,0.999,0.991,779958,77579567.0,0.8,-0.3,-0.003,16.54
2023-06-16,0.996,1.006,1.01,0.996,1439750,144850769.0,1.41,1.11,0.011,30.53
2023-06-19,1.007,0.999,1.007,0.996,789706,78852407.0,1.09,-0.7,-0.007,16.75
2023-06-20,0.997,0.985,0.997,0.985,1458685,144569246.0,1.2,-1.4,-0.014,30.93
2023-06-21,0.985,0.986,0.995,0.984,689455,68198062.0,1.12,0.1,0.001,14.62
2023-06-26,0.985,0.973,0.985,0.971,1132004,110778759.0,1.42,-1.32,-0.013,24.01
2023-06-27,0.972,0.996,0.999,0.971,918143,90834625.0,2.88,2.36,0.023,19.47
2023-06-28,0.994,0.999,1.0,0.988,638513,63550366.0,1.2,0.3,0.003,13.54
2023-06-29,0.996,0.997,1.001,0.993,1069110,106503828.0,0.8,-0.2,-0.002,22.67
2023-06-30,0.993,1.002,1.004,0.993,740425,74127936.0,1.1,0.5,0.005,15.7
2023-07-03,1.001,1.02,1.022,1.001,1868580,189714403.0,2.1,1.8,0.018,39.63
2023-07-04,1.014,1.015,1.022,1.011,738737,75184062.0,1.08,-0.49,-0.005,15.67
2023-07-05,1.011,1.015,1.02,1.01,787545,79859098.0,0.99,0.0,0.0,16.7
2023-07-06,1.01,1.007,1.014,1.006,579641,58515568.0,0.79,-0.79,-0.008,12.29
2023-07-07,1.005,1.012,1.016,1.004,659927,66726511.0,1.19,0.5,0.005,14.0
2023-07-10,1.01,1.013,1.018,1.009,585665,59329024.0,0.89,0.1,0.001,12.42
2023-07-11,1.013,1.012,1.016,1.009,595694,60334522.0,0.69,-0.1,-0.001,12.63
2023-07-12,1.02,1.004,1.02,1.003,602519,60881054.0,1.68,-0.79,-0.008,12.78
2023-07-13,1.007,1.012,1.012,1.006,552883,55854192.0,0.6,0.8,0.008,11.73
2023-07-14,1.012,1.011,1.018,1.008,677429,68588924.0,0.99,-0.1,-0.001,14.37
2023-07-17,1.011,1.009,1.011,1.002,687254,69104638.0,0.89,-0.2,-0.002,14.57
2023-07-18,1.009,1.008,1.01,1.003,541848,54514122.0,0.69,-0.1,-0.001,11.49
2023-07-19,1.008,1.011,1.014,1.006,504802,50967367.0,0.79,0.3,0.003,10.71
2023-07-20,1.01,1.004,1.014,1.003,591967,59768793.0,1.09,-0.69,-0.007,12.55
2023-07-21,1.003,1.001,1.006,0.998,560901,56155253.0,0.8,-0.3,-0.003,11.9
2023-07-24,1.004,1.001,1.005,0.995,445516,44577364.0,1.0,0.0,0.0,9.45
2023-07-25,1.006,1.021,1.021,1.005,827408,84216244.0,1.6,2.0,0.02,17.55
2023-07-26,1.017,1.018,1.024,1.013,518584,52750146.0,1.08,-0.29,-0.003,11.0
2023-07-27,1.016,1.016,1.026,1.015,730300,74641160.0,1.08,-0.2,-0.002,15.49
2023-07-28,1.016,1.034,1.034,1.013,889839,91360013.0,2.07,1.77,0.018,18.87
2023-07-31,1.033,1.043,1.05,1.033,746553,78026083.0,1.64,0.87,0.009,15.83
2023-08-01,1.043,1.048,1.053,1.043,740361,77484219.0,0.96,0.48,0.005,15.7
2023-08-02,1.047,1.038,1.047,1.036,582146,60564545.0,1.05,-0.95,-0.01,12.35
2023-08-03,1.038,1.042,1.043,1.03,441909,45777327.0,1.25,0.39,0.004,9.37
2023-08-04,1.044,1.044,1.054,1.043,569846,59686458.0,1.06,0.19,0.002,12.08
2023-08-07,1.044,1.034,1.044,1.031,558918,57792123.0,1.25,-0.96,-0.01,11.85
2023-08-08,1.03,1.034,1.036,1.028,652675,67353506.0,0.77,0.0,0.0,13.84
2023-08-09,1.033,1.027,1.033,1.026,621197,63861376.0,0.68,-0.68,-0.007,13.17
2023-08-10,1.033,1.03,1.034,1.025,609041,62691100.0,0.88,0.29,0.003,12.92
2023-08-11,1.028,1.01,1.03,1.01,696333,71039683.0,1.94,-1.94,-0.02,14.77
2023-08-14,1.006,1.016,1.018,0.997,559806,56492952.0,2.08,0.59,0.006,11.87
2023-08-15,1.016,1.019,1.02,1.01,439868,44734832.0,0.98,0.3,0.003,9.33
2023-08-16,1.017,1.009,1.018,1.007,672628,68090734.0,1.08,-0.98,-0.01,14.26
2023-08-17,1.001,1.013,1.013,1.0,992664,99718932.0,1.29,0.4,0.004,21.05
2023-08-18,1.013,1.004,1.02,1.002,567348,57274610.0,1.78,-0.89,-0.009,12.03
2023-08-21,1.002,0.995,1.007,0.994,593368,59396346.0,1.29,-0.9,-0.009,12.58
2023-08-22,0.995,1.002,1.007,0.991,609427,60693239.0,1.61,0.7,0.007,12.92
2023-08-23,1.0,0.995,1.004,0.994,541683,54199725.0,1.0,-0.7,-0.007,11.49
2023-08-24,0.996,0.974,0.997,0.972,3017781,294797203.0,2.51,-2.11,-0.021,64.0
2023-08-25,0.974,0.977,0.982,0.966,843652,82298480.0,1.64,0.31,0.003,17.89
2023-08-28,1.005,0.993,1.025,0.99,876604,87618995.0,3.58,1.64,0.016,18.59
2023-08-29,0.992,0.995,1.0,0.988,663650,65881022.0,1.21,0.2,0.002,14.07
2023-08-30,0.995,0.99,0.997,0.986,619455,61406344.0,1.11,-0.5,-0.005,13.14
2023-08-31,0.989,0.978,0.993,0.977,653333,64025496.0,1.62,-1.21,-0.012,13.86
2023-09-01,0.98,0.99,0.993,0.979,650656,64337114.0,1.43,1.23,0.012,13.8
2023-09-04,0.995,1.01,1.011,0.995,567044,57150655.0,1.62,2.02,0.02,12.03
2023-09-05,1.006,1.006,1.009,1.002,525255,52798076.0,0.69,-0.4,-0.004,11.14
2023-09-06,1.005,1.001,1.005,0.996,559079,55843368.0,0.89,-0.5,-0.005,11.86
2023-09-07,1.0,0.994,1.004,0.994,458517,45832784.0,1.0,-0.7,-0.007,9.72
2023-09-08,0.995,0.991,0.995,0.987,555959,55003937.0,0.8,-0.3,-0.003,11.79
2023-09-11,0.992,0.999,0.999,0.991,554443,55247603.0,0.81,0.81,0.008,11.76
2023-09-12,1.0,0.998,1.001,0.995,468488,46726834.0,0.6,-0.1,-0.001,9.94
2023-09-13,0.999,0.997,1.004,0.994,618087,61649508.0,1.0,-0.1,-0.001,13.11
2023-09-14,0.993,1.003,1.004,0.993,550719,55099461.0,1.1,0.6,0.006,11.68
2023-09-15,1.004,0.998,1.009,0.995,524377,52445762.0,1.4,-0.5,-0.005,11.12
2023-09-18,1.001,0.993,1.001,0.987,454873,45062139.0,1.4,-0.5,-0.005,9.65
2023-09-19,0.988,0.999,1.0,0.988,425269,42369438.0,1.21,0.6,0.006,9.02
2023-09-20,1.0,0.997,1.001,0.993,338863,33780731.0,0.8,-0.2,-0.002,7.19
2023-09-21,0.99,0.99,0.999,0.988,443185,43945602.0,1.1,-0.7,-0.007,9.4
2023-09-22,0.99,0.995,0.996,0.985,456363,45217294.0,1.11,0.51,0.005,9.68
2023-09-25,0.998,0.99,0.998,0.988,371011,36797577.0,1.01,-0.5,-0.005,7.87
2023-09-26,0.991,0.985,0.991,0.983,815722,80371161.0,0.81,-0.51,-0.005,17.3
2023-09-27,0.984,0.984,0.989,0.981,421504,41495617.0,0.81,-0.1,-0.001,8.94
2023-09-28,0.984,0.983,0.987,0.982,472122,46487175.0,0.51,-0.1,-0.001,10.01
2023-10-09,0.984,0.98,0.985,0.972,458842,44929146.0,1.32,-0.31,-0.003,9.73
2023-10-10,0.981,0.962,0.984,0.96,533001,51387286.0,2.45,-1.84,-0.018,11.3
2023-10-11,0.965,0.956,0.965,0.953,542755,51915027.0,1.25,-0.62,-0.006,11.51
2023-10-12,0.961,0.964,0.966,0.959,443643,42749244.0,0.73,0.84,0.008,9.41
2023-10-13,0.964,0.959,0.964,0.953,465229,44586422.0,1.14,-0.52,-0.005,9.87
2023-10-16,0.957,0.961,0.962,0.957,501144,48084018.0,0.52,0.21,0.002,10.63
2023-10-17,0.963,0.969,0.969,0.962,413467,39925925.0,0.73,0.83,0.008,8.77
2023-10-18,0.965,0.963,0.969,0.963,501696,48410925.0,0.62,-0.62,-0.006,10.64
2023-10-19,0.96,0.946,0.96,0.945,521930,49673578.0,1.56,-1.77,-0.017,11.07
2023-10-20,0.943,0.937,0.946,0.935,513111,48368632.0,1.16,-0.95,-0.009,10.88
2023-10-23,0.937,0.917,0.937,0.913,476768,44006700.0,2.56,-2.13,-0.02,10.11
2023-10-24,0.917,0.927,0.927,0.915,538377,49614339.0,1.31,1.09,0.01,11.42
2023-10-25,0.931,0.936,0.94,0.931,503819,47165555.0,0.97,0.97,0.009,10.68
2023-10-26,0.93,0.94,0.94,0.928,376208,35096238.0,1.28,0.43,0.004,7.98
2023-10-27,0.94,0.944,0.948,0.936,458419,43246897.0,1.28,0.43,0.004,9.72
2023-10-30,0.944,0.941,0.947,0.937,319221,29992108.0,1.06,-0.32,-0.003,6.77
2023-10-31,0.941,0.94,0.944,0.936,540900,50699438.0,0.85,-0.11,-0.001,11.47
