日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-09-21,1.002,0.999,1.006,0.997,1833027,183725630.0,0.89,-0.79,-0.008,362.51
2023-09-22,0.995,1.003,1.004,0.993,338498,33829431.0,1.1,0.4,0.004,66.94
2023-09-25,1.003,1.002,1.007,0.998,209361,21011664.0,0.9,-0.1,-0.001,41.4
2023-09-26,1.002,0.998,1.002,0.998,117443,11743105.0,0.4,-0.4,-0.004,23.23
2023-09-27,0.998,0.995,1.001,0.995,58574,5845638.0,0.6,-0.3,-0.003,11.58
2023-09-28,0.995,0.995,0.999,0.995,40170,4004835.0,0.4,0.0,0.0,7.94
2023-10-09,0.995,0.99,0.995,0.982,57256,5655864.0,1.31,-0.5,-0.005,11.32
2023-10-10,0.986,0.979,0.991,0.979,18844,1854037.0,1.21,-1.11,-0.011,3.73
2023-10-11,0.979,0.976,0.982,0.974,41431,4046980.0,0.82,-0.31,-0.003,8.19
2023-10-12,0.981,0.988,0.989,0.981,68670,6771789.0,0.82,1.23,0.012,13.58
2023-10-13,0.983,0.985,0.988,0.983,31263,3082317.0,0.51,-0.3,-0.003,6.18
2023-10-16,0.98,0.989,0.99,0.98,79298,7832665.0,1.02,0.41,0.004,15.68
2023-10-17,0.99,0.99,0.991,0.985,46153,4562253.0,0.61,0.1,0.001,9.13
2023-10-18,0.988,0.983,0.989,0.982,99690,9817120.0,0.71,-0.71,-0.007,19.72
2023-10-19,0.971,0.962,0.976,0.962,44488,4318794.0,1.42,-2.14,-0.021,8.8
2023-10-20,0.958,0.96,0.967,0.958,29938,2878227.0,0.94,-0.21,-0.002,5.92
2023-10-23,0.955,0.945,0.958,0.942,38244,3641598.0,1.67,-1.56,-0.015,7.56
2023-10-24,0.945,0.953,0.956,0.945,34930,3324306.0,1.16,0.85,0.008,6.91
2023-10-25,0.962,0.969,0.971,0.955,20461,1983151.0,1.68,1.68,0.016,4.05
2023-10-26,0.96,0.967,0.969,0.96,37562,3625871.0,0.93,-0.21,-0.002,7.43
2023-10-27,0.967,0.971,0.973,0.967,37068,3597788.0,0.62,0.41,0.004,7.33
2023-10-30,0.97,0.959,0.97,0.958,26841,2583335.0,1.24,-1.24,-0.012,5.31
2023-10-31,0.959,0.961,0.961,0.955,73837,7083052.0,0.63,0.21,0.002,14.6
2023-11-01,0.96,0.959,0.96,0.957,16909,1621498.0,0.31,-0.21,-0.002,3.34
2023-11-02,0.961,0.96,0.964,0.96,108199,10402887.0,0.42,0.1,0.001,21.4
2023-11-03,0.959,0.956,0.961,0.954,23750,2272891.0,0.73,-0.42,-0.004,4.7
2023-11-06,0.952,0.957,0.957,0.952,84215,8047023.0,0.52,0.1,0.001,16.65
2023-11-07,0.95,0.957,0.958,0.95,27163,2595773.0,0.84,0.0,0.0,5.37
2023-11-08,0.952,0.955,0.958,0.951,29985,2865242.0,0.73,-0.21,-0.002,5.93
2023-11-09,0.955,0.958,0.961,0.955,30314,2907862.0,0.63,0.31,0.003,6.0
2023-11-10,0.955,0.954,0.955,0.949,43757,4163570.0,0.63,-0.42,-0.004,8.65
2023-11-13,0.954,0.959,0.959,0.951,73593,7035426.0,0.84,0.52,0.005,14.55
2023-11-14,0.96,0.958,0.96,0.955,37457,3585997.0,0.52,-0.1,-0.001,7.41
2023-11-15,0.959,0.964,0.966,0.958,27946,2695052.0,0.84,0.63,0.006,5.53
2023-11-16,0.964,0.965,0.966,0.961,90397,8708837.0,0.52,0.1,0.001,17.88
2023-11-17,0.965,0.962,0.965,0.959,29257,2813471.0,0.62,-0.31,-0.003,5.79
2023-11-20,0.961,0.964,0.965,0.96,44689,4307049.0,0.52,0.21,0.002,8.84
2023-11-21,0.967,0.97,0.976,0.967,27469,2668013.0,0.93,0.62,0.006,5.43
2023-11-22,0.965,0.968,0.976,0.965,47181,4583359.0,1.13,-0.21,-0.002,9.33
2023-11-23,0.968,0.976,0.976,0.966,52401,5097267.0,1.03,0.83,0.008,10.36
2023-11-24,0.978,0.976,0.979,0.972,65999,6450541.0,0.72,0.0,0.0,13.05
2023-11-27,0.97,0.971,0.972,0.967,86840,8417624.0,0.51,-0.51,-0.005,17.17
2023-11-28,0.967,0.97,0.971,0.965,61774,5984314.0,0.62,-0.1,-0.001,12.22
2023-11-29,0.97,0.963,0.971,0.962,47816,4608978.0,0.93,-0.72,-0.007,9.46
2023-11-30,0.963,0.965,0.965,0.962,73164,7047959.0,0.31,0.21,0.002,14.47
2023-12-01,0.965,0.97,0.97,0.965,13248,1280259.0,0.52,0.52,0.005,2.62
2023-12-04,0.97,0.973,0.975,0.97,56525,5496389.0,0.52,0.31,0.003,11.18
2023-12-05,0.97,0.956,0.97,0.956,46698,4506592.0,1.44,-1.75,-0.017,9.24
2023-12-06,0.955,0.958,0.96,0.952,25793,2464088.0,0.84,0.21,0.002,5.1
2023-12-07,0.956,0.959,0.96,0.954,40086,3833991.0,0.63,0.1,0.001,7.93
2023-12-08,0.956,0.954,0.96,0.954,99512,9523961.0,0.63,-0.52,-0.005,19.68
2023-12-11,0.95,0.954,0.967,0.942,27628,2665925.0,2.62,0.0,0.0,5.46
