日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-03-18,1.004,1.016,1.018,1.001,8414042,847841972.0,1.68,0.49,0.005,118.76
2024-03-19,1.012,1.006,1.015,1.005,1350458,136446098.0,0.98,-0.98,-0.01,19.06
2024-03-20,1.005,1.01,1.011,1.004,1260676,127033006.0,0.7,0.4,0.004,17.79
2024-03-21,1.01,1.009,1.014,1.007,958856,96903779.0,0.69,-0.1,-0.001,13.53
2024-03-22,1.006,0.997,1.006,0.991,2027751,202317366.0,1.49,-1.19,-0.012,28.62
2024-03-25,0.997,0.995,1.003,0.994,1278597,127540725.0,0.9,-0.2,-0.002,18.05
2024-03-26,0.995,1.001,1.002,0.994,1189820,118734955.0,0.8,0.6,0.006,16.79
2024-03-27,1.001,0.993,1.004,0.992,899686,89248864.0,1.2,-0.8,-0.008,12.7
2024-03-28,0.994,0.998,1.006,0.988,1293393,127977733.0,1.81,0.5,0.005,18.26
2024-03-29,0.997,1.0,1.007,0.997,2258154,224671145.0,1.0,0.2,0.002,31.87
2024-04-01,1.004,1.019,1.022,1.004,1270981,128395604.0,1.8,1.9,0.019,17.94
2024-04-02,1.017,1.015,1.02,1.011,569990,57475178.0,0.88,-0.39,-0.004,8.05
2024-04-03,1.015,1.012,1.015,1.009,614776,61813046.0,0.59,-0.3,-0.003,8.68
2024-04-08,1.009,1.004,1.012,1.004,530471,53070847.0,0.79,-0.79,-0.008,7.49
2024-04-09,1.005,1.003,1.006,0.999,434610,43249212.0,0.7,-0.1,-0.001,6.13
2024-04-10,1.004,0.996,1.004,0.993,375089,37220246.0,1.1,-0.7,-0.007,5.29
2024-04-11,0.995,0.994,0.999,0.989,308088,30406862.0,1.0,-0.2,-0.002,4.35
2024-04-12,0.994,0.987,0.998,0.985,428763,42190868.0,1.31,-0.7,-0.007,6.05
2024-04-15,0.986,1.006,1.007,0.984,491578,48776194.0,2.33,1.93,0.019,6.94
2024-04-16,1.004,1.001,1.008,0.996,458302,45641305.0,1.19,-0.5,-0.005,6.47
2024-04-17,1.0,1.012,1.012,0.997,486566,48448854.0,1.5,1.1,0.011,6.87
2024-04-18,1.011,1.014,1.022,1.007,406936,41057092.0,1.48,0.2,0.002,5.74
2024-04-19,1.014,1.005,1.014,1.002,476524,47584160.0,1.18,-0.89,-0.009,6.73
2024-04-22,1.005,1.007,1.014,1.005,490634,49222909.0,0.9,0.2,0.002,6.93
2024-04-23,1.007,1.001,1.007,0.998,342213,34008413.0,0.89,-0.6,-0.006,4.83
2024-04-24,1.002,1.0,1.003,0.996,428989,42576167.0,0.7,-0.1,-0.001,6.06
2024-04-25,0.999,1.005,1.008,0.996,379788,37837898.0,1.2,0.5,0.005,5.36
2024-04-26,1.005,1.022,1.026,1.005,839011,84829408.0,2.09,1.69,0.017,11.84
2024-04-29,1.022,1.035,1.043,1.019,807545,82958582.0,2.35,1.27,0.013,11.4
2024-04-30,1.035,1.028,1.035,1.026,298387,30551942.0,0.87,-0.68,-0.007,4.21
2024-05-06,1.035,1.045,1.048,1.035,390691,40543809.0,1.26,1.65,0.017,5.51
2024-05-07,1.046,1.047,1.049,1.043,357085,37119595.0,0.57,0.19,0.002,5.04
2024-05-08,1.047,1.036,1.047,1.036,788146,81565419.0,1.05,-1.05,-0.011,11.12
2024-05-09,1.035,1.047,1.049,1.035,193327,20066205.0,1.35,1.06,0.011,2.73
2024-05-10,1.049,1.046,1.051,1.04,825212,85778125.0,1.05,-0.1,-0.001,11.65
2024-05-13,1.042,1.044,1.047,1.036,319394,33063394.0,1.05,-0.19,-0.002,4.51
2024-05-14,1.041,1.041,1.047,1.038,282085,29170762.0,0.86,-0.29,-0.003,3.98
2024-05-15,1.041,1.033,1.041,1.032,390594,40189044.0,0.86,-0.77,-0.008,5.51
2024-05-16,1.033,1.037,1.042,1.032,361534,37232317.0,0.97,0.39,0.004,5.1
2024-05-17,1.038,1.053,1.053,1.036,461661,47757995.0,1.64,1.54,0.016,6.52
2024-05-20,1.049,1.054,1.059,1.049,414644,43446466.0,0.95,0.09,0.001,5.85
2024-05-21,1.053,1.048,1.053,1.044,370606,38627188.0,0.85,-0.57,-0.006,5.23
2024-05-22,1.048,1.05,1.051,1.045,325943,33952577.0,0.57,0.19,0.002,4.6
2024-05-23,1.05,1.04,1.05,1.036,441215,45574569.0,1.33,-0.95,-0.01,6.23
2024-05-24,1.04,1.027,1.04,1.024,747461,76575604.0,1.54,-1.25,-0.013,10.55
2024-05-27,1.023,1.036,1.036,1.023,512992,52504063.0,1.27,0.88,0.009,7.24
2024-05-28,1.036,1.028,1.036,1.026,349785,35797637.0,0.97,-0.77,-0.008,4.94
2024-05-29,1.029,1.029,1.035,1.026,323385,33156912.0,0.88,0.1,0.001,4.56
2024-05-30,1.029,1.026,1.034,1.023,492820,50289646.0,1.07,-0.29,-0.003,6.96
2024-05-31,1.032,1.022,1.032,1.02,886582,90273872.0,1.17,-0.39,-0.004,12.51
2024-06-03,1.022,1.023,1.027,1.015,907927,92147351.0,1.17,0.1,0.001,12.82
2024-06-04,1.023,1.032,1.034,1.022,1881067,192412098.0,1.17,0.88,0.009,26.55
2024-06-05,1.034,1.026,1.036,1.026,3023301,309868378.0,0.97,-0.58,-0.006,42.67
2024-06-06,1.028,1.027,1.037,1.026,1454933,149200106.0,1.07,0.1,0.001,20.54
