日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-30,0.998,1.002,1.006,0.992,6232818,623196432.0,1.4,-0.1,-0.001,81.6
2023-05-31,1.001,0.995,1.001,0.993,1024756,102184344.0,0.8,-0.7,-0.007,13.42
2023-06-01,0.994,0.994,1.002,0.988,992011,98574488.0,1.41,-0.1,-0.001,12.99
2023-06-02,0.994,0.999,1.001,0.994,1101724,110004651.0,0.7,0.5,0.005,14.42
2023-06-05,0.996,1.005,1.012,0.996,2777232,279443448.0,1.6,0.6,0.006,36.36
2023-06-06,1.005,0.996,1.012,0.995,1438370,144702665.0,1.69,-0.9,-0.009,18.83
2023-06-07,0.996,1.001,1.005,0.996,611355,61253308.0,0.9,0.5,0.005,8.0
2023-06-08,1.001,1.016,1.018,0.996,1714380,173103976.0,2.2,1.5,0.015,22.44
2023-06-09,1.015,1.014,1.016,1.009,694084,70318270.0,0.69,-0.2,-0.002,9.09
2023-06-12,1.013,1.006,1.013,1.002,693839,69855587.0,1.08,-0.79,-0.008,9.08
2023-06-13,1.004,1.003,1.008,0.999,502543,50347106.0,0.89,-0.3,-0.003,6.58
2023-06-14,1.003,0.998,1.008,0.998,574096,57508297.0,1.0,-0.5,-0.005,7.52
2023-06-15,0.998,0.999,1.003,0.994,461839,46080400.0,0.9,0.1,0.001,6.05
2023-06-16,0.999,1.005,1.01,0.999,751213,75469088.0,1.1,0.6,0.006,9.83
2023-06-19,1.004,0.996,1.005,0.993,623298,62092873.0,1.19,-0.9,-0.009,8.16
2023-06-20,0.996,0.983,0.998,0.982,619308,61103333.0,1.61,-1.31,-0.013,8.11
2023-06-21,0.98,0.983,0.991,0.98,543492,53517833.0,1.12,0.0,0.0,7.11
2023-06-26,0.978,0.965,0.979,0.961,765883,74235981.0,1.83,-1.83,-0.018,10.03
2023-06-27,0.963,0.986,0.99,0.963,625032,60937251.0,2.8,2.18,0.021,8.18
2023-06-28,0.986,0.989,0.99,0.981,516911,50883522.0,0.91,0.3,0.003,6.77
2023-06-29,0.989,0.987,0.991,0.983,487431,48116952.0,0.81,-0.2,-0.002,6.38
2023-06-30,0.988,0.991,0.995,0.985,548399,54384422.0,1.01,0.41,0.004,7.18
2023-07-03,0.992,1.012,1.014,0.992,1245546,125329577.0,2.22,2.12,0.021,16.31
2023-07-04,1.011,1.005,1.014,1.001,675406,68090033.0,1.28,-0.69,-0.007,8.84
2023-07-05,1.005,1.004,1.009,1.0,548485,55099001.0,0.9,-0.1,-0.001,7.18
2023-07-06,1.003,1.0,1.005,0.997,459994,46013305.0,0.8,-0.4,-0.004,6.02
2023-07-07,0.999,1.002,1.008,0.997,848872,85136109.0,1.1,0.2,0.002,11.11
2023-07-10,1.003,1.002,1.006,0.998,381504,38227750.0,0.8,0.0,0.0,4.99
2023-07-11,1.002,1.004,1.006,1.0,449499,45105276.0,0.6,0.2,0.002,5.88
2023-07-12,1.006,0.999,1.007,0.997,422003,42288704.0,1.0,-0.5,-0.005,5.52
2023-07-13,0.999,1.009,1.01,0.999,807212,81146593.0,1.1,1.0,0.01,10.57
2023-07-14,1.009,1.011,1.016,1.005,787043,79645005.0,1.09,0.2,0.002,10.3
2023-07-17,1.008,1.009,1.009,1.002,445813,44768480.0,0.69,-0.2,-0.002,5.84
2023-07-18,1.009,1.006,1.01,1.002,463270,46610002.0,0.79,-0.3,-0.003,6.06
2023-07-19,1.006,1.011,1.013,1.005,549911,55509253.0,0.8,0.5,0.005,7.2
