日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-24,0.991,1.002,1.006,0.988,361667,36206215.0,1.81,0.8,0.008,27.32
2025-01-27,1.0,1.002,1.007,1.0,140092,14043637.0,0.7,0.0,0.0,10.58
2025-02-05,1.003,0.998,1.004,0.994,56164,5602096.0,1.0,-0.4,-0.004,4.24
2025-02-06,0.993,1.009,1.01,0.993,184981,18599972.0,1.7,1.1,0.011,13.97
2025-02-07,1.006,1.017,1.027,1.0,437348,44462342.0,2.68,0.79,0.008,33.04
2025-02-10,1.02,1.025,1.026,1.016,198553,20298120.0,0.98,0.79,0.008,15.0
2025-02-11,1.025,1.02,1.025,1.016,109098,11130278.0,0.88,-0.49,-0.005,8.24
2025-02-12,1.02,1.03,1.033,1.016,109506,11215990.0,1.67,0.98,0.01,8.27
2025-02-13,1.026,1.026,1.126,1.026,186872,19287966.0,9.71,-0.39,-0.004,14.12
2025-02-14,1.026,1.037,1.041,1.026,145800,15072618.0,1.46,1.07,0.011,11.01
2025-02-17,1.038,1.038,1.041,1.032,123682,12812148.0,0.87,0.1,0.001,9.34
2025-02-18,1.038,1.035,1.044,1.027,146267,15175204.0,1.64,-0.29,-0.003,11.05
2025-02-19,1.031,1.038,1.039,1.028,60878,6303451.0,1.06,0.29,0.003,4.6
2025-02-20,1.046,1.037,1.046,1.031,50474,5223492.0,1.45,-0.1,-0.001,3.81
2025-02-21,1.039,1.052,1.052,1.037,139771,14614063.0,1.45,1.45,0.015,10.56
2025-02-24,1.052,1.048,1.056,1.044,181429,19063818.0,1.14,-0.38,-0.004,13.7
2025-02-25,1.046,1.04,1.046,1.03,124700,12962039.0,1.53,-0.76,-0.008,9.42
2025-02-26,1.038,1.047,1.047,1.037,92413,9621646.0,0.96,0.67,0.007,6.98
2025-02-27,1.047,1.048,1.048,1.039,106733,11132389.0,0.86,0.1,0.001,8.06
2025-02-28,1.047,1.032,1.049,1.024,141001,14642469.0,2.39,-1.53,-0.016,10.65
2025-03-03,1.03,1.029,1.04,1.026,80490,8319385.0,1.36,-0.29,-0.003,6.08
2025-03-04,1.027,1.025,1.038,1.019,128080,13125538.0,1.85,-0.39,-0.004,9.67
2025-03-05,1.019,1.032,1.032,1.019,106643,10949775.0,1.27,0.68,0.007,8.06
2025-03-06,1.032,1.047,1.048,1.032,153721,16017854.0,1.55,1.45,0.015,11.61
2025-03-07,1.044,1.042,1.046,1.041,80859,8437009.0,0.48,-0.48,-0.005,6.11
2025-03-10,1.041,1.04,1.044,1.033,146717,15215878.0,1.06,-0.19,-0.002,11.08
2025-03-11,1.035,1.04,1.04,1.032,106179,10986336.0,0.77,0.0,0.0,8.02
2025-03-12,1.04,1.038,1.044,1.036,132666,13792675.0,0.77,-0.19,-0.002,10.02
2025-03-13,1.037,1.032,1.041,1.031,135535,14042082.0,0.96,-0.58,-0.006,10.24
2025-03-14,1.032,1.059,1.061,1.032,257431,27061198.0,2.81,2.62,0.027,19.45
2025-03-17,1.058,1.055,1.063,1.055,97331,10307685.0,0.76,-0.38,-0.004,7.35
