日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-10-12,0.999,0.989,1.0,0.985,1407068,139604890.0,1.5,-0.8,-0.008,84.78
2023-10-13,0.985,0.971,0.985,0.969,247824,24162761.0,1.62,-1.82,-0.018,14.93
2023-10-16,0.967,0.963,0.97,0.956,162212,15631057.0,1.44,-0.82,-0.008,9.77
2023-10-17,0.974,0.965,0.974,0.955,62987,6074200.0,1.97,0.21,0.002,3.79
2023-10-18,0.953,0.949,0.953,0.935,148283,14022728.0,1.87,-1.66,-0.016,8.93
2023-10-19,0.93,0.94,0.963,0.93,164694,15663679.0,3.48,-0.95,-0.009,9.92
2023-10-20,0.931,0.909,0.937,0.906,116450,10680542.0,3.3,-3.3,-0.031,7.02
2023-10-23,0.88,0.878,0.903,0.873,76682,6795690.0,3.3,-3.41,-0.031,4.62
2023-10-24,0.877,0.886,0.894,0.868,162926,14315475.0,2.96,0.91,0.008,9.82
2023-10-25,0.892,0.907,0.918,0.892,106188,9663301.0,2.93,2.37,0.021,6.4
2023-10-26,0.9,0.915,0.915,0.896,54616,4964703.0,2.09,0.88,0.008,3.29
2023-10-27,0.911,0.915,0.918,0.897,148528,13428035.0,2.3,0.0,0.0,8.95
2023-10-30,0.913,0.929,0.932,0.909,100826,9259280.0,2.51,1.53,0.014,6.07
2023-10-31,0.923,0.915,0.926,0.909,46629,4269719.0,1.83,-1.51,-0.014,2.81
2023-11-01,0.921,0.911,0.924,0.909,95709,8747322.0,1.64,-0.44,-0.004,5.77
2023-11-02,0.915,0.901,0.917,0.899,204058,18515326.0,1.98,-1.1,-0.01,12.29
2023-11-03,0.904,0.924,0.924,0.904,132582,12145334.0,2.22,2.55,0.023,7.99
2023-11-06,0.927,0.949,0.951,0.927,181064,17028953.0,2.6,2.71,0.025,10.91
2023-11-07,0.949,0.961,0.965,0.949,186746,17822948.0,1.69,1.26,0.012,11.25
2023-11-08,0.961,0.968,0.983,0.959,180780,17602744.0,2.5,0.73,0.007,10.89
2023-11-09,0.968,0.973,0.979,0.96,133335,12933451.0,1.96,0.52,0.005,8.03
2023-11-10,0.962,0.956,0.967,0.956,136805,13156819.0,1.13,-1.75,-0.017,8.24
2023-11-13,0.962,0.985,0.988,0.962,142029,13945867.0,2.72,3.03,0.029,8.56
2023-11-14,0.98,0.994,0.998,0.98,172258,17096011.0,1.83,0.91,0.009,10.38
2023-11-15,1.002,0.987,1.004,0.984,298189,29769421.0,2.01,-0.7,-0.007,17.97
2023-11-16,0.98,0.986,0.999,0.98,191678,19005702.0,1.93,-0.1,-0.001,11.55
2023-11-17,0.96,0.989,0.996,0.96,108331,10705264.0,3.65,0.3,0.003,6.53
2023-11-20,0.989,1.0,1.008,0.981,167287,16619659.0,2.73,1.11,0.011,10.08
2023-11-21,1.0,0.983,1.0,0.979,115566,11493002.0,2.1,-1.7,-0.017,6.96
2023-11-22,0.983,0.972,0.992,0.972,134839,13241017.0,2.03,-1.12,-0.011,8.12
2023-11-23,0.968,0.981,0.981,0.956,131718,12762012.0,2.57,0.93,0.009,7.94
2023-11-24,0.951,0.951,0.985,0.95,138797,13249556.0,3.57,-3.06,-0.03,8.36
2023-11-27,0.95,0.954,0.963,0.95,123302,11780213.0,1.37,0.32,0.003,7.43
2023-11-28,0.954,0.957,0.96,0.946,125951,12012257.0,1.47,0.31,0.003,7.59
2023-11-29,0.957,0.949,0.958,0.947,137455,13099068.0,1.15,-0.84,-0.008,8.28
2023-11-30,0.976,0.942,0.977,0.932,151268,14228797.0,4.74,-0.74,-0.007,9.11
2023-12-01,0.94,0.964,0.967,0.94,96537,9119625.0,2.87,2.34,0.022,5.82
2023-12-04,0.947,0.966,0.98,0.947,119509,11647650.0,3.42,0.21,0.002,7.2
2023-12-05,0.95,0.935,0.951,0.93,119359,11262711.0,2.17,-3.21,-0.031,7.19
2023-12-06,0.935,0.937,0.943,0.923,102086,9518420.0,2.14,0.21,0.002,6.15
2023-12-07,0.947,0.948,0.95,0.934,129125,12132235.0,1.71,1.17,0.011,7.78
2023-12-08,0.948,0.966,0.97,0.948,96372,9266487.0,2.32,1.9,0.018,5.81
2023-12-11,0.947,0.981,0.982,0.947,112765,10861265.0,3.62,1.55,0.015,6.79
2023-12-12,0.981,0.985,0.987,0.975,92844,9107826.0,1.22,0.41,0.004,5.59
2023-12-13,0.973,0.959,0.979,0.959,104605,10163303.0,2.03,-2.64,-0.026,6.3
2023-12-14,0.959,0.954,0.973,0.954,116015,11187276.0,1.98,-0.52,-0.005,6.99
2023-12-15,0.955,0.941,0.955,0.94,115772,10937789.0,1.57,-1.36,-0.013,6.98
2023-12-18,0.941,0.927,0.947,0.924,110566,10296489.0,2.44,-1.49,-0.014,6.66
2023-12-19,0.899,0.938,0.948,0.899,121217,11228989.0,5.29,1.19,0.011,7.3
2023-12-20,0.932,0.902,0.932,0.901,133968,12220187.0,3.3,-3.84,-0.036,8.07
2023-12-21,0.905,0.916,0.917,0.893,119576,10815039.0,2.66,1.55,0.014,7.2
2023-12-22,0.903,0.889,0.909,0.886,127268,11406447.0,2.51,-2.95,-0.027,7.67
2023-12-25,0.838,0.88,0.898,0.838,127479,11333430.0,6.75,-1.01,-0.009,7.68
2023-12-26,0.882,0.874,0.892,0.866,121654,10578333.0,2.95,-0.68,-0.006,7.33
2023-12-27,0.876,0.875,0.88,0.872,120961,10586264.0,0.92,0.11,0.001,7.29
2023-12-28,0.869,0.9,0.904,0.869,130939,11724105.0,4.0,2.86,0.025,7.89
2023-12-29,0.905,0.908,0.911,0.901,101341,9189000.0,1.11,0.89,0.008,6.11
2024-01-02,0.91,0.894,0.91,0.893,147878,13304527.0,1.87,-1.54,-0.014,8.91
2024-01-03,0.89,0.881,0.89,0.872,234004,20600636.0,2.01,-1.45,-0.013,14.1
2024-01-04,0.88,0.864,0.88,0.859,160453,13865575.0,2.38,-1.93,-0.017,9.67
2024-01-05,0.86,0.847,0.868,0.842,120871,10437896.0,3.01,-1.97,-0.017,7.28
2024-01-08,0.873,0.822,0.873,0.822,152349,12672245.0,6.02,-2.95,-0.025,9.18
2024-01-09,0.838,0.817,0.838,0.812,162510,13361393.0,3.16,-0.61,-0.005,9.79
2024-01-10,0.807,0.806,0.817,0.8,131752,10617315.0,2.08,-1.35,-0.011,7.94
2024-01-11,0.81,0.819,0.822,0.81,129316,10524265.0,1.49,1.61,0.013,7.79
2024-01-12,0.821,0.802,0.821,0.801,134431,10909284.0,2.44,-2.08,-0.017,8.1
2024-01-15,0.809,0.794,0.809,0.789,181966,14465616.0,2.49,-1.0,-0.008,10.96
2024-01-16,0.787,0.784,0.791,0.774,175816,13757330.0,2.14,-1.26,-0.01,10.59
2024-01-17,0.786,0.77,0.788,0.77,133191,10462961.0,2.3,-1.79,-0.014,8.02
2024-01-18,0.746,0.778,0.778,0.746,163652,12476127.0,4.16,1.04,0.008,9.86
2024-01-19,0.777,0.768,0.781,0.768,139113,10778883.0,1.67,-1.29,-0.01,8.38
2024-01-22,0.78,0.732,0.78,0.728,149578,11367839.0,6.77,-4.69,-0.036,9.01
2024-01-23,0.728,0.752,0.754,0.726,152984,11296108.0,3.83,2.73,0.02,9.22
2024-01-24,0.75,0.758,0.76,0.73,169151,12600704.0,3.99,0.8,0.006,10.19
2024-01-25,0.756,0.781,0.783,0.754,127431,9664367.0,3.83,3.03,0.023,7.68
2024-01-26,0.782,0.77,0.785,0.769,134149,10467774.0,2.05,-1.41,-0.011,8.08
2024-01-29,0.77,0.745,0.77,0.745,133259,10121725.0,3.25,-3.25,-0.025,8.03
2024-01-30,0.74,0.723,0.748,0.723,165641,12287951.0,3.36,-2.95,-0.022,9.98
2024-01-31,0.715,0.689,0.72,0.689,159786,11319388.0,4.29,-4.7,-0.034,9.63
2024-02-01,0.679,0.692,0.707,0.679,187872,12973259.0,4.06,0.44,0.003,11.32
2024-02-02,0.696,0.664,0.696,0.64,163782,11247707.0,8.09,-4.05,-0.028,9.87
2024-02-05,0.664,0.646,0.664,0.612,212104,13439927.0,7.83,-2.71,-0.018,12.78
2024-02-06,0.618,0.684,0.684,0.618,131572,8486808.0,10.22,5.88,0.038,7.93
2024-02-07,0.666,0.701,0.712,0.666,196457,13824765.0,6.73,2.49,0.017,11.84
2024-02-08,0.721,0.731,0.734,0.712,162824,11790685.0,3.14,4.28,0.03,9.81
2024-02-19,0.747,0.758,0.758,0.735,173651,12927633.0,3.15,3.69,0.027,10.46
2024-02-20,0.75,0.755,0.758,0.735,138300,10374987.0,3.03,-0.4,-0.003,8.33
2024-02-21,0.749,0.753,0.771,0.746,148356,11206157.0,3.31,-0.26,-0.002,8.94
2024-02-22,0.768,0.776,0.784,0.766,149242,11575391.0,2.39,3.05,0.023,8.99
2024-02-23,0.778,0.785,0.786,0.771,130975,10188460.0,1.93,1.16,0.009,7.89
2024-02-26,0.777,0.79,0.8,0.777,169044,13344558.0,2.93,0.64,0.005,10.18
2024-02-27,0.798,0.839,0.84,0.781,180975,14353344.0,7.47,6.2,0.049,10.9
2024-02-28,0.85,0.789,0.858,0.789,131693,11108830.0,8.22,-5.96,-0.05,7.93
2024-02-29,0.789,0.83,0.83,0.789,151984,12411271.0,5.2,5.2,0.041,9.16
2024-03-01,0.83,0.865,0.865,0.83,106090,8980296.0,4.22,4.22,0.035,6.39
2024-03-04,0.868,0.863,0.88,0.848,176283,15246107.0,3.7,-0.23,-0.002,10.62
2024-03-05,0.85,0.848,0.867,0.843,139861,11937622.0,2.78,-1.74,-0.015,8.43
2024-03-06,0.848,0.846,0.853,0.831,169350,14277902.0,2.59,-0.24,-0.002,10.2
2024-03-07,0.835,0.818,0.85,0.818,176019,14657178.0,3.78,-3.31,-0.028,10.61
2024-03-08,0.814,0.83,0.834,0.813,183499,15084595.0,2.57,1.47,0.012,11.06
2024-03-11,0.818,0.844,0.844,0.818,153884,12737841.0,3.13,1.69,0.014,9.27
2024-03-12,0.845,0.841,0.85,0.834,157870,13280989.0,1.9,-0.36,-0.003,9.51
2024-03-13,0.844,0.851,0.864,0.843,154556,13196280.0,2.5,1.19,0.01,9.31
2024-03-14,0.827,0.842,0.869,0.817,151355,12718973.0,6.11,-1.06,-0.009,9.12
2024-03-15,0.836,0.845,0.847,0.827,137041,11397122.0,2.38,0.36,0.003,8.26
2024-03-18,0.85,0.862,0.862,0.843,169223,14454971.0,2.25,2.01,0.017,10.2
2024-03-19,0.857,0.858,0.866,0.856,132122,11376559.0,1.16,-0.46,-0.004,7.96
2024-03-20,0.856,0.878,0.878,0.807,138622,11979461.0,8.28,2.33,0.02,8.35
2024-03-21,0.878,0.87,0.892,0.87,148315,13106097.0,2.51,-0.91,-0.008,8.94
2024-03-22,0.862,0.866,0.89,0.852,133668,11590148.0,4.37,-0.46,-0.004,8.05
2024-03-25,0.861,0.84,0.87,0.838,124749,10748457.0,3.7,-3.0,-0.026,7.52
2024-03-26,0.83,0.816,0.842,0.805,153937,12688749.0,4.4,-2.86,-0.024,9.27
2024-03-27,0.806,0.78,0.81,0.779,164648,13122418.0,3.8,-4.41,-0.036,9.92
2024-03-28,0.772,0.805,0.813,0.772,149937,11899101.0,5.26,3.21,0.025,9.03
2024-03-29,0.8,0.8,0.801,0.786,132417,10536287.0,1.86,-0.62,-0.005,7.98
2024-04-01,0.803,0.821,0.821,0.803,147881,12044168.0,2.25,2.63,0.021,8.91
2024-04-02,0.84,0.802,0.84,0.797,137465,11081807.0,5.24,-2.31,-0.019,8.28
2024-04-03,0.779,0.779,0.8,0.777,166687,13047293.0,2.87,-2.87,-0.023,10.04
2024-04-08,0.78,0.762,0.78,0.762,152854,11758764.0,2.31,-2.18,-0.017,9.21
2024-04-09,0.764,0.772,0.772,0.758,158432,12108534.0,1.84,1.31,0.01,9.55
2024-04-10,0.772,0.75,0.772,0.745,134554,10139357.0,3.5,-2.85,-0.022,8.11
2024-04-11,0.748,0.757,0.766,0.748,168136,12754463.0,2.4,0.93,0.007,10.13
2024-04-12,0.758,0.764,0.768,0.754,266940,20408662.0,1.85,0.92,0.007,16.08
2024-04-15,0.778,0.752,0.778,0.744,423383,32045224.0,4.45,-1.57,-0.012,25.51
2024-04-16,0.752,0.724,0.752,0.723,199201,14697074.0,3.86,-3.72,-0.028,12.0
2024-04-17,0.732,0.753,0.753,0.732,183472,13701131.0,2.9,4.01,0.029,11.05
2024-04-18,0.761,0.745,0.761,0.738,168841,12558017.0,3.05,-1.06,-0.008,10.17
2024-04-19,0.741,0.727,0.742,0.723,165226,12158824.0,2.55,-2.42,-0.018,9.95
2024-04-22,0.71,0.724,0.729,0.705,147487,10590750.0,3.3,-0.41,-0.003,8.89
2024-04-23,0.721,0.724,0.732,0.721,151449,11016551.0,1.52,0.0,0.0,9.12
2024-04-24,0.723,0.751,0.752,0.723,160943,11856676.0,4.01,3.73,0.027,9.7
2024-04-25,0.772,0.746,0.772,0.737,179963,13438716.0,4.66,-0.67,-0.005,10.84
2024-04-26,0.746,0.771,0.771,0.746,164752,12469398.0,3.35,3.35,0.025,9.93
2024-04-29,0.771,0.788,0.796,0.771,136261,10696353.0,3.24,2.2,0.017,8.21
2024-04-30,0.788,0.784,0.793,0.775,141175,11137216.0,2.28,-0.51,-0.004,8.51
2024-05-06,0.792,0.79,0.8,0.787,139330,11093369.0,1.66,0.77,0.006,8.39
2024-05-07,0.802,0.785,0.802,0.783,146981,11659551.0,2.41,-0.63,-0.005,8.86
2024-05-08,0.775,0.766,0.782,0.763,183606,14136045.0,2.42,-2.42,-0.019,11.06
2024-05-09,0.755,0.773,0.776,0.755,157370,12158393.0,2.74,0.91,0.007,9.48
2024-05-10,0.776,0.761,0.776,0.758,145126,11098675.0,2.33,-1.55,-0.012,8.74
2024-05-13,0.749,0.75,0.758,0.746,144506,10867637.0,1.58,-1.45,-0.011,8.71
2024-05-14,0.77,0.755,0.77,0.749,207958,15660519.0,2.8,0.67,0.005,12.53
2024-05-15,0.755,0.742,0.755,0.742,147611,11044521.0,1.72,-1.72,-0.013,8.89
2024-05-16,0.748,0.75,0.759,0.744,149389,11254034.0,2.02,1.08,0.008,9.0
2024-05-17,0.75,0.759,0.761,0.745,155341,11700690.0,2.13,1.2,0.009,9.36
2024-05-20,0.759,0.768,0.774,0.757,105089,8039227.0,2.24,1.19,0.009,6.33
2024-05-21,0.771,0.76,0.771,0.759,121508,9272655.0,1.56,-1.04,-0.008,7.32
2024-05-22,0.761,0.764,0.765,0.755,123776,9395927.0,1.32,0.53,0.004,7.46
2024-05-23,0.765,0.744,0.765,0.743,130963,9838303.0,2.88,-2.62,-0.02,7.89
2024-05-24,0.746,0.729,0.747,0.729,132705,9845035.0,2.42,-2.02,-0.015,8.0
2024-05-27,0.727,0.733,0.735,0.718,259153,18813369.0,2.33,0.55,0.004,15.61
2024-05-28,0.738,0.723,0.738,0.723,359410,26099520.0,2.05,-1.36,-0.01,21.65
2024-05-29,0.73,0.718,0.73,0.716,184506,13389824.0,1.94,-0.69,-0.005,11.12
2024-05-30,0.718,0.72,0.725,0.71,142079,10183019.0,2.09,0.28,0.002,8.56
2024-05-31,0.722,0.724,0.732,0.722,252768,18406767.0,1.39,0.56,0.004,15.23
2024-06-03,0.724,0.72,0.726,0.714,153893,11119382.0,1.66,-0.55,-0.004,9.27
2024-06-04,0.719,0.722,0.722,0.711,168892,12083183.0,1.53,0.28,0.002,10.18
2024-06-05,0.723,0.719,0.729,0.719,154282,11189769.0,1.39,-0.42,-0.003,9.3
2024-06-06,0.731,0.703,0.731,0.7,160837,11468111.0,4.31,-2.23,-0.016,9.69
2024-06-07,0.697,0.698,0.71,0.694,110088,7741928.0,2.28,-0.71,-0.005,6.63
2024-06-11,0.697,0.714,0.715,0.691,178094,12521797.0,3.44,2.29,0.016,10.73
2024-06-12,0.715,0.714,0.72,0.713,161358,11565619.0,0.98,0.0,0.0,9.72
2024-06-13,0.715,0.717,0.722,0.713,139355,9983627.0,1.26,0.42,0.003,8.4
2024-06-14,0.715,0.721,0.721,0.709,117029,8350259.0,1.67,0.56,0.004,7.05
2024-06-17,0.722,0.72,0.726,0.716,158291,11407867.0,1.39,-0.14,-0.001,9.54
2024-06-18,0.719,0.728,0.733,0.718,174579,12717168.0,2.08,1.11,0.008,10.52
2024-06-19,0.732,0.726,0.735,0.724,177116,12910025.0,1.51,-0.27,-0.002,10.67
2024-06-20,0.721,0.709,0.732,0.709,146189,10492823.0,3.17,-2.34,-0.017,8.81
2024-06-21,0.7,0.711,0.712,0.697,140409,9892170.0,2.12,0.28,0.002,8.46
2024-06-24,0.705,0.687,0.708,0.684,154270,10766542.0,3.38,-3.38,-0.024,9.29
2024-06-25,0.687,0.669,0.689,0.665,109578,7417827.0,3.49,-2.62,-0.018,6.6
2024-06-26,0.671,0.702,0.703,0.67,144613,9783073.0,4.93,4.93,0.033,8.71
2024-06-27,0.703,0.692,0.703,0.691,144903,10116930.0,1.71,-1.42,-0.01,8.73
2024-06-28,0.693,0.685,0.701,0.684,162517,11329793.0,2.46,-1.01,-0.007,9.79
2024-07-01,0.68,0.68,0.685,0.666,175734,11907274.0,2.77,-0.73,-0.005,10.59
2024-07-02,0.681,0.694,0.694,0.68,152205,10440504.0,2.06,2.06,0.014,9.17
2024-07-03,0.701,0.673,0.701,0.672,146154,9863477.0,4.18,-3.03,-0.021,8.81
2024-07-04,0.686,0.657,0.686,0.655,162950,10774004.0,4.61,-2.38,-0.016,9.82
2024-07-05,0.644,0.662,0.666,0.644,131954,8667262.0,3.35,0.76,0.005,7.95
2024-07-08,0.661,0.643,0.661,0.641,144351,9393554.0,3.02,-2.87,-0.019,8.7
2024-07-09,0.642,0.657,0.658,0.636,154748,9996717.0,3.42,2.18,0.014,9.32
2024-07-10,0.658,0.654,0.661,0.64,120125,7901351.0,3.2,-0.46,-0.003,7.24
2024-07-11,0.654,0.668,0.671,0.654,149478,9949772.0,2.6,2.14,0.014,9.01
2024-07-12,0.675,0.659,0.675,0.657,132754,8767744.0,2.69,-1.35,-0.009,8.0
2024-07-15,0.657,0.649,0.659,0.649,168064,10994100.0,1.52,-1.52,-0.01,10.13
2024-07-16,0.645,0.666,0.668,0.645,142550,9322360.0,3.54,2.62,0.017,8.59
2024-07-17,0.665,0.661,0.67,0.661,163083,10868962.0,1.35,-0.75,-0.005,9.83
